context: Kurogiri, get rid of these guys. response:	Villain - Tomura Shigaraki - Quirk: Decay
context: Kurogiri, get rid of these guys.\Villain - Tomura Shigaraki - Quirk: Decay response:	Everything I hate came together in one set.
context: Kurogiri, get rid of these guys.\Villain - Tomura Shigaraki - Quirk: Decay\Everything I hate came together in one set. response:	A brat,
context: Kurogiri, get rid of these guys.\Villain - Tomura Shigaraki - Quirk: Decay\Everything I hate came together in one set.\A brat, response:	and a rude guy.
context: Kurogiri, get rid of these guys.\Villain - Tomura Shigaraki - Quirk: Decay\Everything I hate came together in one set.\A brat,\and a rude guy. response:	Villain - Kurogiri - Quirk: Warp Gate
context: Kurogiri, get rid of these guys.\Villain - Tomura Shigaraki - Quirk: Decay\Everything I hate came together in one set.\A brat,\and a rude guy.\Villain - Kurogiri - Quirk: Warp Gate response:	Now, now.
context: Kurogiri, get rid of these guys.\Villain - Tomura Shigaraki - Quirk: Decay\Everything I hate came together in one set.\A brat,\and a rude guy.\Villain - Kurogiri - Quirk: Warp Gate\Now, now. response:	They came all this way to visit, so let's at least hear them out, Tomura Shigaraki.
context: Kurogiri, get rid of these guys.\Villain - Tomura Shigaraki - Quirk: Decay\Everything I hate came together in one set.\A brat,\and a rude guy.\Villain - Kurogiri - Quirk: Warp Gate\Now, now.\They came all this way to visit, so let's at least hear them out, Tomura Shigaraki. response:	Besides, that big shot broker brought them.
context: Villain - Tomura Shigaraki - Quirk: Decay\Everything I hate came together in one set.\A brat,\and a rude guy.\Villain - Kurogiri - Quirk: Warp Gate\Now, now.\They came all this way to visit, so let's at least hear them out, Tomura Shigaraki.\Besides, that big shot broker brought them. response:	Villain - Giran
context: Everything I hate came together in one set.\A brat,\and a rude guy.\Villain - Kurogiri - Quirk: Warp Gate\Now, now.\They came all this way to visit, so let's at least hear them out, Tomura Shigaraki.\Besides, that big shot broker brought them.\Villain - Giran response:	They're bound to be valuable assets.
context: A brat,\and a rude guy.\Villain - Kurogiri - Quirk: Warp Gate\Now, now.\They came all this way to visit, so let's at least hear them out, Tomura Shigaraki.\Besides, that big shot broker brought them.\Villain - Giran\They're bound to be valuable assets. response:	I don't care what you do with them, but make sure I get my commission, Kurogiri.
context: and a rude guy.\Villain - Kurogiri - Quirk: Warp Gate\Now, now.\They came all this way to visit, so let's at least hear them out, Tomura Shigaraki.\Besides, that big shot broker brought them.\Villain - Giran\They're bound to be valuable assets.\I don't care what you do with them, but make sure I get my commission, Kurogiri. response:	At least let me introduce them.
context: Villain - Kurogiri - Quirk: Warp Gate\Now, now.\They came all this way to visit, so let's at least hear them out, Tomura Shigaraki.\Besides, that big shot broker brought them.\Villain - Giran\They're bound to be valuable assets.\I don't care what you do with them, but make sure I get my commission, Kurogiri.\At least let me introduce them. response:	First, this cute high school girl.
