context: Yesterday sucked! response:	I barely had any chances to speak to Onodera,
context: Yesterday sucked!\I barely had any chances to speak to Onodera, response:	and then I got locked inside the storehouse with Kirisaki.
context: Yesterday sucked!\I barely had any chances to speak to Onodera,\and then I got locked inside the storehouse with Kirisaki. response:	Whoops! Never mind that part!
context: Yesterday sucked!\I barely had any chances to speak to Onodera,\and then I got locked inside the storehouse with Kirisaki.\Whoops! Never mind that part! response:	Anyways, the issue at hand is that we were seen by Onodera!
context: Yesterday sucked!\I barely had any chances to speak to Onodera,\and then I got locked inside the storehouse with Kirisaki.\Whoops! Never mind that part!\Anyways, the issue at hand is that we were seen by Onodera! response:	Listen, Kosaki...
context: Yesterday sucked!\I barely had any chances to speak to Onodera,\and then I got locked inside the storehouse with Kirisaki.\Whoops! Never mind that part!\Anyways, the issue at hand is that we were seen by Onodera!\Listen, Kosaki... response:	Whoa!
context: Yesterday sucked!\I barely had any chances to speak to Onodera,\and then I got locked inside the storehouse with Kirisaki.\Whoops! Never mind that part!\Anyways, the issue at hand is that we were seen by Onodera!\Listen, Kosaki...\Whoa! response:	There's no use in wallowing in depression, all right?
context: Yesterday sucked!\I barely had any chances to speak to Onodera,\and then I got locked inside the storehouse with Kirisaki.\Whoops! Never mind that part!\Anyways, the issue at hand is that we were seen by Onodera!\Listen, Kosaki...\Whoa!\There's no use in wallowing in depression, all right? response:	But...
context: I barely had any chances to speak to Onodera,\and then I got locked inside the storehouse with Kirisaki.\Whoops! Never mind that part!\Anyways, the issue at hand is that we were seen by Onodera!\Listen, Kosaki...\Whoa!\There's no use in wallowing in depression, all right?\But... response:	I just don't have it in me to go after a boy who already has a girlfriend.
context: and then I got locked inside the storehouse with Kirisaki.\Whoops! Never mind that part!\Anyways, the issue at hand is that we were seen by Onodera!\Listen, Kosaki...\Whoa!\There's no use in wallowing in depression, all right?\But...\I just don't have it in me to go after a boy who already has a girlfriend. response:	It's so... It feels like it's something that you just don't do.
context: Whoops! Never mind that part!\Anyways, the issue at hand is that we were seen by Onodera!\Listen, Kosaki...\Whoa!\There's no use in wallowing in depression, all right?\But...\I just don't have it in me to go after a boy who already has a girlfriend.\It's so... It feels like it's something that you just don't do. response:	Well, not that you've done anything yet.
context: Anyways, the issue at hand is that we were seen by Onodera!\Listen, Kosaki...\Whoa!\There's no use in wallowing in depression, all right?\But...\I just don't have it in me to go after a boy who already has a girlfriend.\It's so... It feels like it's something that you just don't do.\Well, not that you've done anything yet. response:	What are you going to do now? Give up, just like that?
context: Listen, Kosaki...\Whoa!\There's no use in wallowing in depression, all right?\But...\I just don't have it in me to go after a boy who already has a girlfriend.\It's so... It feels like it's something that you just don't do.\Well, not that you've done anything yet.\What are you going to do now? Give up, just like that? response:	What are they talking about? I can't quite hear.
context: Whoa!\There's no use in wallowing in depression, all right?\But...\I just don't have it in me to go after a boy who already has a girlfriend.\It's so... It feels like it's something that you just don't do.\Well, not that you've done anything yet.\What are you going to do now? Give up, just like that?\What are they talking about? I can't quite hear. response:	Wait, you still have that key?
context: There's no use in wallowing in depression, all right?\But...\I just don't have it in me to go after a boy who already has a girlfriend.\It's so... It feels like it's something that you just don't do.\Well, not that you've done anything yet.\What are you going to do now? Give up, just like that?\What are they talking about? I can't quite hear.\Wait, you still have that key? response:	What?
context: But...\I just don't have it in me to go after a boy who already has a girlfriend.\It's so... It feels like it's something that you just don't do.\Well, not that you've done anything yet.\What are you going to do now? Give up, just like that?\What are they talking about? I can't quite hear.\Wait, you still have that key?\What? response:	Key?
context: I just don't have it in me to go after a boy who already has a girlfriend.\It's so... It feels like it's something that you just don't do.\Well, not that you've done anything yet.\What are you going to do now? Give up, just like that?\What are they talking about? I can't quite hear.\Wait, you still have that key?\What?\Key? response:	Oh, that key from before...
context: It's so... It feels like it's something that you just don't do.\Well, not that you've done anything yet.\What are you going to do now? Give up, just like that?\What are they talking about? I can't quite hear.\Wait, you still have that key?\What?\Key?\Oh, that key from before... response:	I think she said it was the key to a bookcase in her house, or something.
context: Well, not that you've done anything yet.\What are you going to do now? Give up, just like that?\What are they talking about? I can't quite hear.\Wait, you still have that key?\What?\Key?\Oh, that key from before...\I think she said it was the key to a bookcase in her house, or something. response:	Or do you actually intend to look for the boy you made that promise with ten years ago?
context: What are you going to do now? Give up, just like that?\What are they talking about? I can't quite hear.\Wait, you still have that key?\What?\Key?\Oh, that key from before...\I think she said it was the key to a bookcase in her house, or something.\Or do you actually intend to look for the boy you made that promise with ten years ago? response:	Wh-What did she just say? Ten years ago?
