context: But if that's the case, what would become of the Galactic Alliance response:	if the Hideauze are beaten completely?
context: But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely? response:	What are you going to do, Ledo?
context: But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo? response:	Chamber, do a search on work I could do here.
context: But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\Chamber, do a search on work I could do here. response:	Search complete. Nothing found.
context: But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\Chamber, do a search on work I could do here.\Search complete. Nothing found. response:	Database deficiency. Gargantia employment circumstances unknown.
context: But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\Chamber, do a search on work I could do here.\Search complete. Nothing found.\Database deficiency. Gargantia employment circumstances unknown. response:	If there's work that you can do, there must be something for me...
context: But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\Chamber, do a search on work I could do here.\Search complete. Nothing found.\Database deficiency. Gargantia employment circumstances unknown.\If there's work that you can do, there must be something for me... response:	It is irrelevant to compare yourself to this machine.
context: But if that's the case, what would become of the Galactic Alliance\if the Hideauze are beaten completely?\What are you going to do, Ledo?\Chamber, do a search on work I could do here.\Search complete. Nothing found.\Database deficiency. Gargantia employment circumstances unknown.\If there's work that you can do, there must be something for me...\It is irrelevant to compare yourself to this machine. response:	Non-battle duties that would be appropriate for you are close to nil.
context: if the Hideauze are beaten completely?\What are you going to do, Ledo?\Chamber, do a search on work I could do here.\Search complete. Nothing found.\Database deficiency. Gargantia employment circumstances unknown.\If there's work that you can do, there must be something for me...\It is irrelevant to compare yourself to this machine.\Non-battle duties that would be appropriate for you are close to nil. response:	Recommendation: Maintain the current situation.
context: What are you going to do, Ledo?\Chamber, do a search on work I could do here.\Search complete. Nothing found.\Database deficiency. Gargantia employment circumstances unknown.\If there's work that you can do, there must be something for me...\It is irrelevant to compare yourself to this machine.\Non-battle duties that would be appropriate for you are close to nil.\Recommendation: Maintain the current situation. response:	In other words, I should just keep standing by, huh?
context: Chamber, do a search on work I could do here.\Search complete. Nothing found.\Database deficiency. Gargantia employment circumstances unknown.\If there's work that you can do, there must be something for me...\It is irrelevant to compare yourself to this machine.\Non-battle duties that would be appropriate for you are close to nil.\Recommendation: Maintain the current situation.\In other words, I should just keep standing by, huh? response:	Ledo! Good morning!
context: Search complete. Nothing found.\Database deficiency. Gargantia employment circumstances unknown.\If there's work that you can do, there must be something for me...\It is irrelevant to compare yourself to this machine.\Non-battle duties that would be appropriate for you are close to nil.\Recommendation: Maintain the current situation.\In other words, I should just keep standing by, huh?\Ledo! Good morning! response:	Good morning.
context: Database deficiency. Gargantia employment circumstances unknown.\If there's work that you can do, there must be something for me...\It is irrelevant to compare yourself to this machine.\Non-battle duties that would be appropriate for you are close to nil.\Recommendation: Maintain the current situation.\In other words, I should just keep standing by, huh?\Ledo! Good morning!\Good morning. response:	Agreement: It is early in the morning.
context: If there's work that you can do, there must be something for me...\It is irrelevant to compare yourself to this machine.\Non-battle duties that would be appropriate for you are close to nil.\Recommendation: Maintain the current situation.\In other words, I should just keep standing by, huh?\Ledo! Good morning!\Good morning.\Agreement: It is early in the morning. response:	Chamber! I saw you coming here.
context: It is irrelevant to compare yourself to this machine.\Non-battle duties that would be appropriate for you are close to nil.\Recommendation: Maintain the current situation.\In other words, I should just keep standing by, huh?\Ledo! Good morning!\Good morning.\Agreement: It is early in the morning.\Chamber! I saw you coming here. response:	What are you putting together?
context: Non-battle duties that would be appropriate for you are close to nil.\Recommendation: Maintain the current situation.\In other words, I should just keep standing by, huh?\Ledo! Good morning!\Good morning.\Agreement: It is early in the morning.\Chamber! I saw you coming here.\What are you putting together? response:	A component one of the hull interlocking devices.
context: Recommendation: Maintain the current situation.\In other words, I should just keep standing by, huh?\Ledo! Good morning!\Good morning.\Agreement: It is early in the morning.\Chamber! I saw you coming here.\What are you putting together?\A component one of the hull interlocking devices. response:	They're really putting you to work, huh?
context: In other words, I should just keep standing by, huh?\Ledo! Good morning!\Good morning.\Agreement: It is early in the morning.\Chamber! I saw you coming here.\What are you putting together?\A component one of the hull interlocking devices.\They're really putting you to work, huh? response:	You're making another one!
context: Ledo! Good morning!\Good morning.\Agreement: It is early in the morning.\Chamber! I saw you coming here.\What are you putting together?\A component one of the hull interlocking devices.\They're really putting you to work, huh?\You're making another one! response:	Bebel told me. So that's actually a flute, right?
context: Good morning.\Agreement: It is early in the morning.\Chamber! I saw you coming here.\What are you putting together?\A component one of the hull interlocking devices.\They're really putting you to work, huh?\You're making another one!\Bebel told me. So that's actually a flute, right? response:	Let me see!
context: Agreement: It is early in the morning.\Chamber! I saw you coming here.\What are you putting together?\A component one of the hull interlocking devices.\They're really putting you to work, huh?\You're making another one!\Bebel told me. So that's actually a flute, right?\Let me see! response:	It's not done yet? Sound's not coming out.
context: Chamber! I saw you coming here.\What are you putting together?\A component one of the hull interlocking devices.\They're really putting you to work, huh?\You're making another one!\Bebel told me. So that's actually a flute, right?\Let me see!\It's not done yet? Sound's not coming out. response:	Even sound comes out... not useful.
context: What are you putting together?\A component one of the hull interlocking devices.\They're really putting you to work, huh?\You're making another one!\Bebel told me. So that's actually a flute, right?\Let me see!\It's not done yet? Sound's not coming out.\Even sound comes out... not useful. response:	Oh, come on! You've spent all this time working on it...
context: A component one of the hull interlocking devices.\They're really putting you to work, huh?\You're making another one!\Bebel told me. So that's actually a flute, right?\Let me see!\It's not done yet? Sound's not coming out.\Even sound comes out... not useful.\Oh, come on! You've spent all this time working on it... response:	Not useful. No meaning.
context: They're really putting you to work, huh?\You're making another one!\Bebel told me. So that's actually a flute, right?\Let me see!\It's not done yet? Sound's not coming out.\Even sound comes out... not useful.\Oh, come on! You've spent all this time working on it...\Not useful. No meaning. response:	Here.
context: You're making another one!\Bebel told me. So that's actually a flute, right?\Let me see!\It's not done yet? Sound's not coming out.\Even sound comes out... not useful.\Oh, come on! You've spent all this time working on it...\Not useful. No meaning.\Here. response:	What is this?
context: Bebel told me. So that's actually a flute, right?\Let me see!\It's not done yet? Sound's not coming out.\Even sound comes out... not useful.\Oh, come on! You've spent all this time working on it...\Not useful. No meaning.\Here.\What is this? response:	Your pay. For moving the cargo that last time.
context: Let me see!\It's not done yet? Sound's not coming out.\Even sound comes out... not useful.\Oh, come on! You've spent all this time working on it...\Not useful. No meaning.\Here.\What is this?\Your pay. For moving the cargo that last time. response:	Use it wisely!
context: It's not done yet? Sound's not coming out.\Even sound comes out... not useful.\Oh, come on! You've spent all this time working on it...\Not useful. No meaning.\Here.\What is this?\Your pay. For moving the cargo that last time.\Use it wisely! response:	Say, don't you have any money in space?
context: Even sound comes out... not useful.\Oh, come on! You've spent all this time working on it...\Not useful. No meaning.\Here.\What is this?\Your pay. For moving the cargo that last time.\Use it wisely!\Say, don't you have any money in space? response:	The Galactic Alliance does not allow personal possessions during military service.
context: Oh, come on! You've spent all this time working on it...\Not useful. No meaning.\Here.\What is this?\Your pay. For moving the cargo that last time.\Use it wisely!\Say, don't you have any money in space?\The Galactic Alliance does not allow personal possessions during military service. response:	That would put a damper on my motivation.
context: Not useful. No meaning.\Here.\What is this?\Your pay. For moving the cargo that last time.\Use it wisely!\Say, don't you have any money in space?\The Galactic Alliance does not allow personal possessions during military service.\That would put a damper on my motivation. response:	Amy. I want to... do my own work.
context: Here.\What is this?\Your pay. For moving the cargo that last time.\Use it wisely!\Say, don't you have any money in space?\The Galactic Alliance does not allow personal possessions during military service.\That would put a damper on my motivation.\Amy. I want to... do my own work. response:	Yeah, that's not a bad idea! Let's go for it!
context: What is this?\Your pay. For moving the cargo that last time.\Use it wisely!\Say, don't you have any money in space?\The Galactic Alliance does not allow personal possessions during military service.\That would put a damper on my motivation.\Amy. I want to... do my own work.\Yeah, that's not a bad idea! Let's go for it! response:	What kind of work... there is?
context: Your pay. For moving the cargo that last time.\Use it wisely!\Say, don't you have any money in space?\The Galactic Alliance does not allow personal possessions during military service.\That would put a damper on my motivation.\Amy. I want to... do my own work.\Yeah, that's not a bad idea! Let's go for it!\What kind of work... there is? response:	For example, I do deliveries.
context: Use it wisely!\Say, don't you have any money in space?\The Galactic Alliance does not allow personal possessions during military service.\That would put a damper on my motivation.\Amy. I want to... do my own work.\Yeah, that's not a bad idea! Let's go for it!\What kind of work... there is?\For example, I do deliveries. response:	It would be a pain if everyone had to hand-deliver letters and small packages, right?
context: Say, don't you have any money in space?\The Galactic Alliance does not allow personal possessions during military service.\That would put a damper on my motivation.\Amy. I want to... do my own work.\Yeah, that's not a bad idea! Let's go for it!\What kind of work... there is?\For example, I do deliveries.\It would be a pain if everyone had to hand-deliver letters and small packages, right? response:	So instead, I get paid for carrying them all around and delivering them.
context: The Galactic Alliance does not allow personal possessions during military service.\That would put a damper on my motivation.\Amy. I want to... do my own work.\Yeah, that's not a bad idea! Let's go for it!\What kind of work... there is?\For example, I do deliveries.\It would be a pain if everyone had to hand-deliver letters and small packages, right?\So instead, I get paid for carrying them all around and delivering them. response:	That's how we support each other.
context: That would put a damper on my motivation.\Amy. I want to... do my own work.\Yeah, that's not a bad idea! Let's go for it!\What kind of work... there is?\For example, I do deliveries.\It would be a pain if everyone had to hand-deliver letters and small packages, right?\So instead, I get paid for carrying them all around and delivering them.\That's how we support each other. response:	Support... I... support someone, too?
context: Amy. I want to... do my own work.\Yeah, that's not a bad idea! Let's go for it!\What kind of work... there is?\For example, I do deliveries.\It would be a pain if everyone had to hand-deliver letters and small packages, right?\So instead, I get paid for carrying them all around and delivering them.\That's how we support each other.\Support... I... support someone, too? response:	That's right! So first, you should think about what you want someone to do.
context: Yeah, that's not a bad idea! Let's go for it!\What kind of work... there is?\For example, I do deliveries.\It would be a pain if everyone had to hand-deliver letters and small packages, right?\So instead, I get paid for carrying them all around and delivering them.\That's how we support each other.\Support... I... support someone, too?\That's right! So first, you should think about what you want someone to do. response:	Want someone to do... Can't think anything...
context: What kind of work... there is?\For example, I do deliveries.\It would be a pain if everyone had to hand-deliver letters and small packages, right?\So instead, I get paid for carrying them all around and delivering them.\That's how we support each other.\Support... I... support someone, too?\That's right! So first, you should think about what you want someone to do.\Want someone to do... Can't think anything... response:	Well, maybe it'll take a little time...
context: For example, I do deliveries.\It would be a pain if everyone had to hand-deliver letters and small packages, right?\So instead, I get paid for carrying them all around and delivering them.\That's how we support each other.\Support... I... support someone, too?\That's right! So first, you should think about what you want someone to do.\Want someone to do... Can't think anything...\Well, maybe it'll take a little time... response:	After all, you're still unfamiliar with the way we live.
context: It would be a pain if everyone had to hand-deliver letters and small packages, right?\So instead, I get paid for carrying them all around and delivering them.\That's how we support each other.\Support... I... support someone, too?\That's right! So first, you should think about what you want someone to do.\Want someone to do... Can't think anything...\Well, maybe it'll take a little time...\After all, you're still unfamiliar with the way we live. response:	Tell me... what I can do!
context: So instead, I get paid for carrying them all around and delivering them.\That's how we support each other.\Support... I... support someone, too?\That's right! So first, you should think about what you want someone to do.\Want someone to do... Can't think anything...\Well, maybe it'll take a little time...\After all, you're still unfamiliar with the way we live.\Tell me... what I can do! response:	Sure!
context: That's how we support each other.\Support... I... support someone, too?\That's right! So first, you should think about what you want someone to do.\Want someone to do... Can't think anything...\Well, maybe it'll take a little time...\After all, you're still unfamiliar with the way we live.\Tell me... what I can do!\Sure! response:	Calm Day
context: Support... I... support someone, too?\That's right! So first, you should think about what you want someone to do.\Want someone to do... Can't think anything...\Well, maybe it'll take a little time...\After all, you're still unfamiliar with the way we live.\Tell me... what I can do!\Sure!\Calm Day response:	Delivery!
context: That's right! So first, you should think about what you want someone to do.\Want someone to do... Can't think anything...\Well, maybe it'll take a little time...\After all, you're still unfamiliar with the way we live.\Tell me... what I can do!\Sure!\Calm Day\Delivery! response:	Thanks.
context: Want someone to do... Can't think anything...\Well, maybe it'll take a little time...\After all, you're still unfamiliar with the way we live.\Tell me... what I can do!\Sure!\Calm Day\Delivery!\Thanks. response:	Here you are. Please sign this.
context: Well, maybe it'll take a little time...\After all, you're still unfamiliar with the way we live.\Tell me... what I can do!\Sure!\Calm Day\Delivery!\Thanks.\Here you are. Please sign this. response:	Sure.
context: After all, you're still unfamiliar with the way we live.\Tell me... what I can do!\Sure!\Calm Day\Delivery!\Thanks.\Here you are. Please sign this.\Sure. response:	Um, would you happen to need a hand with your work?
context: Tell me... what I can do!\Sure!\Calm Day\Delivery!\Thanks.\Here you are. Please sign this.\Sure.\Um, would you happen to need a hand with your work? response:	He said he wants to do some kind of work.
context: Sure!\Calm Day\Delivery!\Thanks.\Here you are. Please sign this.\Sure.\Um, would you happen to need a hand with your work?\He said he wants to do some kind of work. response:	Huh. So you're that Spaceboy everybody's talking about...
context: Calm Day\Delivery!\Thanks.\Here you are. Please sign this.\Sure.\Um, would you happen to need a hand with your work?\He said he wants to do some kind of work.\Huh. So you're that Spaceboy everybody's talking about... response:	A worker here retired last month...
context: Delivery!\Thanks.\Here you are. Please sign this.\Sure.\Um, would you happen to need a hand with your work?\He said he wants to do some kind of work.\Huh. So you're that Spaceboy everybody's talking about...\A worker here retired last month... response:	Then...
context: Thanks.\Here you are. Please sign this.\Sure.\Um, would you happen to need a hand with your work?\He said he wants to do some kind of work.\Huh. So you're that Spaceboy everybody's talking about...\A worker here retired last month...\Then... response:	It's fine! There's always enough room for one more fisherman.
context: Here you are. Please sign this.\Sure.\Um, would you happen to need a hand with your work?\He said he wants to do some kind of work.\Huh. So you're that Spaceboy everybody's talking about...\A worker here retired last month...\Then...\It's fine! There's always enough room for one more fisherman. response:	Nope. Look.
context: Sure.\Um, would you happen to need a hand with your work?\He said he wants to do some kind of work.\Huh. So you're that Spaceboy everybody's talking about...\A worker here retired last month...\Then...\It's fine! There's always enough room for one more fisherman.\Nope. Look. response:	This is how it's been recently, ever since we lost the rip current.
