context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Vetto cast an ancient curse on Asta's arms.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Vetto cast an ancient curse on Asta's arms. response:	The only hope of healing his arms was
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Vetto cast an ancient curse on Asta's arms.\The only hope of healing his arms was response:	the Queen of Witches, who lives in the Witches' Forest.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Vetto cast an ancient curse on Asta's arms.\The only hope of healing his arms was\the Queen of Witches, who lives in the Witches' Forest. response:	But...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Vetto cast an ancient curse on Asta's arms.\The only hope of healing his arms was\the Queen of Witches, who lives in the Witches' Forest.\But... response:	To be blunt, the queen is supreme.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Vetto cast an ancient curse on Asta's arms.\The only hope of healing his arms was\the Queen of Witches, who lives in the Witches' Forest.\But...\To be blunt, the queen is supreme. response:	She's so powerful that even the Diamond Kingdom won't try to deal with her.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Vetto cast an ancient curse on Asta's arms.\The only hope of healing his arms was\the Queen of Witches, who lives in the Witches' Forest.\But...\To be blunt, the queen is supreme.\She's so powerful that even the Diamond Kingdom won't try to deal with her. response:	Not to mention that it's impossible to reason with her.
context: He was called the Wizard King, and he became a legend.\Vetto cast an ancient curse on Asta's arms.\The only hope of healing his arms was\the Queen of Witches, who lives in the Witches' Forest.\But...\To be blunt, the queen is supreme.\She's so powerful that even the Diamond Kingdom won't try to deal with her.\Not to mention that it's impossible to reason with her. response:	We're going.
context: Vetto cast an ancient curse on Asta's arms.\The only hope of healing his arms was\the Queen of Witches, who lives in the Witches' Forest.\But...\To be blunt, the queen is supreme.\She's so powerful that even the Diamond Kingdom won't try to deal with her.\Not to mention that it's impossible to reason with her.\We're going. response:	If there's a clue to healing Asta's arms there...
