context: What? response:	ED]
context: What?\ED] response:	The Game Research Society
context: What?\ED]\The Game Research Society response:	There is no hope in 3D anymore. The world will be saved by 2D.
context: What?\ED]\The Game Research Society\There is no hope in 3D anymore. The world will be saved by 2D. response:	Let's eat
context: What?\ED]\The Game Research Society\There is no hope in 3D anymore. The world will be saved by 2D.\Let's eat response:	Toubara Park
context: What?\ED]\The Game Research Society\There is no hope in 3D anymore. The world will be saved by 2D.\Let's eat\Toubara Park response:	Subterranean Rabbit
context: What?\ED]\The Game Research Society\There is no hope in 3D anymore. The world will be saved by 2D.\Let's eat\Toubara Park\Subterranean Rabbit response:	Nyu!
context: What?\ED]\The Game Research Society\There is no hope in 3D anymore. The world will be saved by 2D.\Let's eat\Toubara Park\Subterranean Rabbit\Nyu! response:	Nyu!
context: ED]\The Game Research Society\There is no hope in 3D anymore. The world will be saved by 2D.\Let's eat\Toubara Park\Subterranean Rabbit\Nyu!\Nyu! response:	How about this?
context: The Game Research Society\There is no hope in 3D anymore. The world will be saved by 2D.\Let's eat\Toubara Park\Subterranean Rabbit\Nyu!\Nyu!\How about this? response:	Oh, Ruri-chan's clothes fell off.
context: There is no hope in 3D anymore. The world will be saved by 2D.\Let's eat\Toubara Park\Subterranean Rabbit\Nyu!\Nyu!\How about this?\Oh, Ruri-chan's clothes fell off. response:	Why do we have to come all the way to school to play galge during summer vacation?
context: Let's eat\Toubara Park\Subterranean Rabbit\Nyu!\Nyu!\How about this?\Oh, Ruri-chan's clothes fell off.\Why do we have to come all the way to school to play galge during summer vacation? response:	Well, I'm afraid that if we played it at my house, my parents might find out.
context: Toubara Park\Subterranean Rabbit\Nyu!\Nyu!\How about this?\Oh, Ruri-chan's clothes fell off.\Why do we have to come all the way to school to play galge during summer vacation?\Well, I'm afraid that if we played it at my house, my parents might find out. response:	Suzutsuki-san!
context: Subterranean Rabbit\Nyu!\Nyu!\How about this?\Oh, Ruri-chan's clothes fell off.\Why do we have to come all the way to school to play galge during summer vacation?\Well, I'm afraid that if we played it at my house, my parents might find out.\Suzutsuki-san! response:	Summer vacation has already started, so what brings you here?
context: Nyu!\Nyu!\How about this?\Oh, Ruri-chan's clothes fell off.\Why do we have to come all the way to school to play galge during summer vacation?\Well, I'm afraid that if we played it at my house, my parents might find out.\Suzutsuki-san!\Summer vacation has already started, so what brings you here? response:	I want you guys to make me a game.
context: Nyu!\How about this?\Oh, Ruri-chan's clothes fell off.\Why do we have to come all the way to school to play galge during summer vacation?\Well, I'm afraid that if we played it at my house, my parents might find out.\Suzutsuki-san!\Summer vacation has already started, so what brings you here?\I want you guys to make me a game. response:	Oh, a role-playing fighting game.
context: How about this?\Oh, Ruri-chan's clothes fell off.\Why do we have to come all the way to school to play galge during summer vacation?\Well, I'm afraid that if we played it at my house, my parents might find out.\Suzutsuki-san!\Summer vacation has already started, so what brings you here?\I want you guys to make me a game.\Oh, a role-playing fighting game. response:	When do you need it by?
context: Oh, Ruri-chan's clothes fell off.\Why do we have to come all the way to school to play galge during summer vacation?\Well, I'm afraid that if we played it at my house, my parents might find out.\Suzutsuki-san!\Summer vacation has already started, so what brings you here?\I want you guys to make me a game.\Oh, a role-playing fighting game.\When do you need it by? response:	The deadline is August 28th.
context: Why do we have to come all the way to school to play galge during summer vacation?\Well, I'm afraid that if we played it at my house, my parents might find out.\Suzutsuki-san!\Summer vacation has already started, so what brings you here?\I want you guys to make me a game.\Oh, a role-playing fighting game.\When do you need it by?\The deadline is August 28th. response:	In other words, I need it by tomorrow.
context: Well, I'm afraid that if we played it at my house, my parents might find out.\Suzutsuki-san!\Summer vacation has already started, so what brings you here?\I want you guys to make me a game.\Oh, a role-playing fighting game.\When do you need it by?\The deadline is August 28th.\In other words, I need it by tomorrow. response:	That's impossible.
context: Suzutsuki-san!\Summer vacation has already started, so what brings you here?\I want you guys to make me a game.\Oh, a role-playing fighting game.\When do you need it by?\The deadline is August 28th.\In other words, I need it by tomorrow.\That's impossible. response:	Subaru.
context: Summer vacation has already started, so what brings you here?\I want you guys to make me a game.\Oh, a role-playing fighting game.\When do you need it by?\The deadline is August 28th.\In other words, I need it by tomorrow.\That's impossible.\Subaru. response:	What should we do?
context: I want you guys to make me a game.\Oh, a role-playing fighting game.\When do you need it by?\The deadline is August 28th.\In other words, I need it by tomorrow.\That's impossible.\Subaru.\What should we do? response:	A-Actually, I didn't come all the way here to ask you because I wanted to!
context: Oh, a role-playing fighting game.\When do you need it by?\The deadline is August 28th.\In other words, I need it by tomorrow.\That's impossible.\Subaru.\What should we do?\A-Actually, I didn't come all the way here to ask you because I wanted to! response:	That's like, the best 3D angel ever!
context: When do you need it by?\The deadline is August 28th.\In other words, I need it by tomorrow.\That's impossible.\Subaru.\What should we do?\A-Actually, I didn't come all the way here to ask you because I wanted to!\That's like, the best 3D angel ever! response:	Ojou-sama...
context: The deadline is August 28th.\In other words, I need it by tomorrow.\That's impossible.\Subaru.\What should we do?\A-Actually, I didn't come all the way here to ask you because I wanted to!\That's like, the best 3D angel ever!\Ojou-sama... response:	Tomorrow, okay?
