context: TS START response:	A few minutes later
context: TS START\A few minutes later response:	Principal's Office
context: TS START\A few minutes later\Principal's Office response:	Principal's Office
context: TS START\A few minutes later\Principal's Office\Principal's Office response:	Principal's Office
context: TS START\A few minutes later\Principal's Office\Principal's Office\Principal's Office response:	Classroom Building A Rooftop
context: TS START\A few minutes later\Principal's Office\Principal's Office\Principal's Office\Classroom Building A Rooftop response:	Anti - Angel Operations Headquarters
context: TS START\A few minutes later\Principal's Office\Principal's Office\Principal's Office\Classroom Building A Rooftop\Anti - Angel Operations Headquarters response:	Operation commence time
context: TS START\A few minutes later\Principal's Office\Principal's Office\Principal's Office\Classroom Building A Rooftop\Anti - Angel Operations Headquarters\Operation commence time response:	Planned operation completion
context: A few minutes later\Principal's Office\Principal's Office\Principal's Office\Classroom Building A Rooftop\Anti - Angel Operations Headquarters\Operation commence time\Planned operation completion response:	Current time
context: Principal's Office\Principal's Office\Principal's Office\Classroom Building A Rooftop\Anti - Angel Operations Headquarters\Operation commence time\Planned operation completion\Current time response:	Planned live performance ending
context: Principal's Office\Principal's Office\Classroom Building A Rooftop\Anti - Angel Operations Headquarters\Operation commence time\Planned operation completion\Current time\Planned live performance ending response:	Academy Main Dining Hall
context: Principal's Office\Classroom Building A Rooftop\Anti - Angel Operations Headquarters\Operation commence time\Planned operation completion\Current time\Planned live performance ending\Academy Main Dining Hall response:	<18:00>
context: Classroom Building A Rooftop\Anti - Angel Operations Headquarters\Operation commence time\Planned operation completion\Current time\Planned live performance ending\Academy Main Dining Hall\<18:00> response:	Academy Main Dining Hall
context: Anti - Angel Operations Headquarters\Operation commence time\Planned operation completion\Current time\Planned live performance ending\Academy Main Dining Hall\<18:00>\Academy Main Dining Hall response:	Second Contact Bridge
context: Operation commence time\Planned operation completion\Current time\Planned live performance ending\Academy Main Dining Hall\<18:00>\Academy Main Dining Hall\Second Contact Bridge response:	Academy Main Dining Hall Interior
context: Planned operation completion\Current time\Planned live performance ending\Academy Main Dining Hall\<18:00>\Academy Main Dining Hall\Second Contact Bridge\Academy Main Dining Hall Interior response:	TS END
context: Current time\Planned live performance ending\Academy Main Dining Hall\<18:00>\Academy Main Dining Hall\Second Contact Bridge\Academy Main Dining Hall Interior\TS END response:	ED START
context: Planned live performance ending\Academy Main Dining Hall\<18:00>\Academy Main Dining Hall\Second Contact Bridge\Academy Main Dining Hall Interior\TS END\ED START response:	itsumo hitori de aruiteta
context: Academy Main Dining Hall\<18:00>\Academy Main Dining Hall\Second Contact Bridge\Academy Main Dining Hall Interior\TS END\ED START\itsumo hitori de aruiteta response:	furikaeru to minna wa tooku
context: <18:00>\Academy Main Dining Hall\Second Contact Bridge\Academy Main Dining Hall Interior\TS END\ED START\itsumo hitori de aruiteta\furikaeru to minna wa tooku response:	mou nani mo kowakunai
context: Academy Main Dining Hall\Second Contact Bridge\Academy Main Dining Hall Interior\TS END\ED START\itsumo hitori de aruiteta\furikaeru to minna wa tooku\mou nani mo kowakunai response:	sou tsubuyaitemiseru
context: Second Contact Bridge\Academy Main Dining Hall Interior\TS END\ED START\itsumo hitori de aruiteta\furikaeru to minna wa tooku\mou nani mo kowakunai\sou tsubuyaitemiseru response:	itsuka hito wa hitori ni natte
context: Academy Main Dining Hall Interior\TS END\ED START\itsumo hitori de aruiteta\furikaeru to minna wa tooku\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte response:	omoide no naka ni ikiteku dake
