context: You fell into a pond? response:	No wonder you smell so bad.
context: You fell into a pond?\No wonder you smell so bad. response:	You'd better use treatment, too, and not just shampoo. Got it?
context: You fell into a pond?\No wonder you smell so bad.\You'd better use treatment, too, and not just shampoo. Got it? response:	Fine.
context: You fell into a pond?\No wonder you smell so bad.\You'd better use treatment, too, and not just shampoo. Got it?\Fine. response:	Damn it, what a pain.
context: You fell into a pond?\No wonder you smell so bad.\You'd better use treatment, too, and not just shampoo. Got it?\Fine.\Damn it, what a pain. response:	I can't believe you put up with having such long hair.
context: You fell into a pond?\No wonder you smell so bad.\You'd better use treatment, too, and not just shampoo. Got it?\Fine.\Damn it, what a pain.\I can't believe you put up with having such long hair. response:	Y-Yeah, well, I wash it every day.
context: You fell into a pond?\No wonder you smell so bad.\You'd better use treatment, too, and not just shampoo. Got it?\Fine.\Damn it, what a pain.\I can't believe you put up with having such long hair.\Y-Yeah, well, I wash it every day. response:	I wonder if you could care for so much hair.
context: You fell into a pond?\No wonder you smell so bad.\You'd better use treatment, too, and not just shampoo. Got it?\Fine.\Damn it, what a pain.\I can't believe you put up with having such long hair.\Y-Yeah, well, I wash it every day.\I wonder if you could care for so much hair. response:	I'd never let it get that long in the first place.
context: No wonder you smell so bad.\You'd better use treatment, too, and not just shampoo. Got it?\Fine.\Damn it, what a pain.\I can't believe you put up with having such long hair.\Y-Yeah, well, I wash it every day.\I wonder if you could care for so much hair.\I'd never let it get that long in the first place. response:	I just imagined you with long hair, and now I feel sick.
context: You'd better use treatment, too, and not just shampoo. Got it?\Fine.\Damn it, what a pain.\I can't believe you put up with having such long hair.\Y-Yeah, well, I wash it every day.\I wonder if you could care for so much hair.\I'd never let it get that long in the first place.\I just imagined you with long hair, and now I feel sick. response:	I might look good.
context: Fine.\Damn it, what a pain.\I can't believe you put up with having such long hair.\Y-Yeah, well, I wash it every day.\I wonder if you could care for so much hair.\I'd never let it get that long in the first place.\I just imagined you with long hair, and now I feel sick.\I might look good. response:	Don't underestimate my potential.
context: Damn it, what a pain.\I can't believe you put up with having such long hair.\Y-Yeah, well, I wash it every day.\I wonder if you could care for so much hair.\I'd never let it get that long in the first place.\I just imagined you with long hair, and now I feel sick.\I might look good.\Don't underestimate my potential. response:	Huh?
context: I can't believe you put up with having such long hair.\Y-Yeah, well, I wash it every day.\I wonder if you could care for so much hair.\I'd never let it get that long in the first place.\I just imagined you with long hair, and now I feel sick.\I might look good.\Don't underestimate my potential.\Huh? response:	I just noticed I'm talking with Nino.
context: Y-Yeah, well, I wash it every day.\I wonder if you could care for so much hair.\I'd never let it get that long in the first place.\I just imagined you with long hair, and now I feel sick.\I might look good.\Don't underestimate my potential.\Huh?\I just noticed I'm talking with Nino. response:	I don't even care about my hairstyle.
context: I wonder if you could care for so much hair.\I'd never let it get that long in the first place.\I just imagined you with long hair, and now I feel sick.\I might look good.\Don't underestimate my potential.\Huh?\I just noticed I'm talking with Nino.\I don't even care about my hairstyle. response:	Then do something about your weird hair.
context: I'd never let it get that long in the first place.\I just imagined you with long hair, and now I feel sick.\I might look good.\Don't underestimate my potential.\Huh?\I just noticed I'm talking with Nino.\I don't even care about my hairstyle.\Then do something about your weird hair. response:	This is the only cut Raiha knows how to do.
