context: 0:00 response:	6.05 August 23rd Thursday
context: 0:00\6.05 August 23rd Thursday response:	6:45 August 30th Thursday
context: 0:00\6.05 August 23rd Thursday\6:45 August 30th Thursday response:	I love you!
context: 0:00\6.05 August 23rd Thursday\6:45 August 30th Thursday\I love you! response:	yume kanaeru made chousen wa tsuzuku
context: 0:00\6.05 August 23rd Thursday\6:45 August 30th Thursday\I love you!\yume kanaeru made chousen wa tsuzuku response:	boku wa dokomade chikazuketandarou?
context: 0:00\6.05 August 23rd Thursday\6:45 August 30th Thursday\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou? response:	juunengo no mirai kagayaiteru sugata wa
context: 0:00\6.05 August 23rd Thursday\6:45 August 30th Thursday\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa response:	koukai wa shinai jibun de egaita story
context: 0:00\6.05 August 23rd Thursday\6:45 August 30th Thursday\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story response:	fumidaseba yukute habamu genjitsu
context: 6.05 August 23rd Thursday\6:45 August 30th Thursday\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu response:	makenai to ima mune ni chikatta
context: 6:45 August 30th Thursday\I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta response:	kokorozashita tsukamitai yume ga arukara
context: I love you!\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara response:	moyashite yuke jounetsu wo atsuku
context: yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku response:	yume no tochuu de meguriau deai to wakare
context: boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare response:	kimi ga oshietekureta boku dake ga motsu chikara
context: juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara response:	tachiagatteikundayo nando tsumazuitatte
context: koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte response:	Dream of life
context: fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life response:	Can you hear my heartbeat
context: makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat response:	Baby I trust you my friend
context: kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat\Baby I trust you my friend response:	I think Azuki just dumped me.
context: moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat\Baby I trust you my friend\I think Azuki just dumped me. response:	She found out that I've been hiding what happened between her mom and my uncle...
context: yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat\Baby I trust you my friend\I think Azuki just dumped me.\She found out that I've been hiding what happened between her mom and my uncle... response:	and told me she couldn't trust me.
