context: Oh, so you have an older brother? response:	Yup. He's married and even has a kid.
context: Oh, so you have an older brother?\Yup. He's married and even has a kid. response:	So I don't see him often.
context: Oh, so you have an older brother?\Yup. He's married and even has a kid.\So I don't see him often. response:	Milady.
context: Oh, so you have an older brother?\Yup. He's married and even has a kid.\So I don't see him often.\Milady. response:	Lovely...
context: Oh, so you have an older brother?\Yup. He's married and even has a kid.\So I don't see him often.\Milady.\Lovely... response:	This way please.
context: Oh, so you have an older brother?\Yup. He's married and even has a kid.\So I don't see him often.\Milady.\Lovely...\This way please. response:	Wow!
context: Oh, so you have an older brother?\Yup. He's married and even has a kid.\So I don't see him often.\Milady.\Lovely...\This way please.\Wow! response:	PLACEHOLDER
context: Oh, so you have an older brother?\Yup. He's married and even has a kid.\So I don't see him often.\Milady.\Lovely...\This way please.\Wow!\PLACEHOLDER response:	She's cute.
context: Yup. He's married and even has a kid.\So I don't see him often.\Milady.\Lovely...\This way please.\Wow!\PLACEHOLDER\She's cute. response:	Please have a seat.
context: So I don't see him often.\Milady.\Lovely...\This way please.\Wow!\PLACEHOLDER\She's cute.\Please have a seat. response:	It's got to be her.
context: Milady.\Lovely...\This way please.\Wow!\PLACEHOLDER\She's cute.\Please have a seat.\It's got to be her. response:	Excuse me!
context: Lovely...\This way please.\Wow!\PLACEHOLDER\She's cute.\Please have a seat.\It's got to be her.\Excuse me! response:	Could you possibly be... Aoi-chan?
context: This way please.\Wow!\PLACEHOLDER\She's cute.\Please have a seat.\It's got to be her.\Excuse me!\Could you possibly be... Aoi-chan? response:	Aoi? That famous net idol?
context: Wow!\PLACEHOLDER\She's cute.\Please have a seat.\It's got to be her.\Excuse me!\Could you possibly be... Aoi-chan?\Aoi? That famous net idol? response:	So there were this many people who were watching me.
context: PLACEHOLDER\She's cute.\Please have a seat.\It's got to be her.\Excuse me!\Could you possibly be... Aoi-chan?\Aoi? That famous net idol?\So there were this many people who were watching me. response:	Then... you really are...
context: She's cute.\Please have a seat.\It's got to be her.\Excuse me!\Could you possibly be... Aoi-chan?\Aoi? That famous net idol?\So there were this many people who were watching me.\Then... you really are... response:	Aoi's...
context: Please have a seat.\It's got to be her.\Excuse me!\Could you possibly be... Aoi-chan?\Aoi? That famous net idol?\So there were this many people who were watching me.\Then... you really are...\Aoi's... response:	Delighted!
context: It's got to be her.\Excuse me!\Could you possibly be... Aoi-chan?\Aoi? That famous net idol?\So there were this many people who were watching me.\Then... you really are...\Aoi's...\Delighted! response:	What's going on?
context: Excuse me!\Could you possibly be... Aoi-chan?\Aoi? That famous net idol?\So there were this many people who were watching me.\Then... you really are...\Aoi's...\Delighted!\What's going on? response:	Hi, Satsuki-san.
context: Could you possibly be... Aoi-chan?\Aoi? That famous net idol?\So there were this many people who were watching me.\Then... you really are...\Aoi's...\Delighted!\What's going on?\Hi, Satsuki-san. response:	Aoi-chan!?
context: Aoi? That famous net idol?\So there were this many people who were watching me.\Then... you really are...\Aoi's...\Delighted!\What's going on?\Hi, Satsuki-san.\Aoi-chan!? response:	You want to work here?!
context: So there were this many people who were watching me.\Then... you really are...\Aoi's...\Delighted!\What's going on?\Hi, Satsuki-san.\Aoi-chan!?\You want to work here?! response:	That's the Chief's niece?
context: Then... you really are...\Aoi's...\Delighted!\What's going on?\Hi, Satsuki-san.\Aoi-chan!?\You want to work here?!\That's the Chief's niece? response:	I heard it's her older brother's child.
context: Aoi's...\Delighted!\What's going on?\Hi, Satsuki-san.\Aoi-chan!?\You want to work here?!\That's the Chief's niece?\I heard it's her older brother's child. response:	So cute.
context: Delighted!\What's going on?\Hi, Satsuki-san.\Aoi-chan!?\You want to work here?!\That's the Chief's niece?\I heard it's her older brother's child.\So cute. response:	What are you talking about?! Of course you can't!
context: What's going on?\Hi, Satsuki-san.\Aoi-chan!?\You want to work here?!\That's the Chief's niece?\I heard it's her older brother's child.\So cute.\What are you talking about?! Of course you can't! response:	Why not?
context: Hi, Satsuki-san.\Aoi-chan!?\You want to work here?!\That's the Chief's niece?\I heard it's her older brother's child.\So cute.\What are you talking about?! Of course you can't!\Why not? response:	You're only in middle school!
context: Aoi-chan!?\You want to work here?!\That's the Chief's niece?\I heard it's her older brother's child.\So cute.\What are you talking about?! Of course you can't!\Why not?\You're only in middle school! response:	Now that is impossible.
context: You want to work here?!\That's the Chief's niece?\I heard it's her older brother's child.\So cute.\What are you talking about?! Of course you can't!\Why not?\You're only in middle school!\Now that is impossible. response:	What are you going to do about school?
context: That's the Chief's niece?\I heard it's her older brother's child.\So cute.\What are you talking about?! Of course you can't!\Why not?\You're only in middle school!\Now that is impossible.\What are you going to do about school? response:	I'll skip for a while.
context: I heard it's her older brother's child.\So cute.\What are you talking about?! Of course you can't!\Why not?\You're only in middle school!\Now that is impossible.\What are you going to do about school?\I'll skip for a while. response:	I've been exiled from my house.
context: So cute.\What are you talking about?! Of course you can't!\Why not?\You're only in middle school!\Now that is impossible.\What are you going to do about school?\I'll skip for a while.\I've been exiled from my house. response:	Wow, eccentric.
context: What are you talking about?! Of course you can't!\Why not?\You're only in middle school!\Now that is impossible.\What are you going to do about school?\I'll skip for a while.\I've been exiled from my house.\Wow, eccentric. response:	Chief!
context: Why not?\You're only in middle school!\Now that is impossible.\What are you going to do about school?\I'll skip for a while.\I've been exiled from my house.\Wow, eccentric.\Chief! response:	What an exhibitionist.
context: You're only in middle school!\Now that is impossible.\What are you going to do about school?\I'll skip for a while.\I've been exiled from my house.\Wow, eccentric.\Chief!\What an exhibitionist. response:	The access count is through the roof.
context: Now that is impossible.\What are you going to do about school?\I'll skip for a while.\I've been exiled from my house.\Wow, eccentric.\Chief!\What an exhibitionist.\The access count is through the roof. response:	So you'll have custody for a while?
