context: Whaaat? So lame! response:	Is that the end of Act 1?
context: Whaaat? So lame!\Is that the end of Act 1? response:	For Tenorio's big guns, that was pretty meh.
context: Whaaat? So lame!\Is that the end of Act 1?\For Tenorio's big guns, that was pretty meh. response:	Well, I hear the next one is the real deal.
context: Whaaat? So lame!\Is that the end of Act 1?\For Tenorio's big guns, that was pretty meh.\Well, I hear the next one is the real deal. response:	Then I guess we can look forward to Act 2!
context: Whaaat? So lame!\Is that the end of Act 1?\For Tenorio's big guns, that was pretty meh.\Well, I hear the next one is the real deal.\Then I guess we can look forward to Act 2! response:	Decisions and Duels
context: Whaaat? So lame!\Is that the end of Act 1?\For Tenorio's big guns, that was pretty meh.\Well, I hear the next one is the real deal.\Then I guess we can look forward to Act 2!\Decisions and Duels response:	I-I'm so sorry...
context: Whaaat? So lame!\Is that the end of Act 1?\For Tenorio's big guns, that was pretty meh.\Well, I hear the next one is the real deal.\Then I guess we can look forward to Act 2!\Decisions and Duels\I-I'm so sorry... response:	For not being able to swim...
context: Whaaat? So lame!\Is that the end of Act 1?\For Tenorio's big guns, that was pretty meh.\Well, I hear the next one is the real deal.\Then I guess we can look forward to Act 2!\Decisions and Duels\I-I'm so sorry...\For not being able to swim... response:	No, I'm the one who should be apologizing.
context: Is that the end of Act 1?\For Tenorio's big guns, that was pretty meh.\Well, I hear the next one is the real deal.\Then I guess we can look forward to Act 2!\Decisions and Duels\I-I'm so sorry...\For not being able to swim...\No, I'm the one who should be apologizing. response:	Dragging you into this...
context: For Tenorio's big guns, that was pretty meh.\Well, I hear the next one is the real deal.\Then I guess we can look forward to Act 2!\Decisions and Duels\I-I'm so sorry...\For not being able to swim...\No, I'm the one who should be apologizing.\Dragging you into this... response:	No, no...
context: Well, I hear the next one is the real deal.\Then I guess we can look forward to Act 2!\Decisions and Duels\I-I'm so sorry...\For not being able to swim...\No, I'm the one who should be apologizing.\Dragging you into this...\No, no... response:	Still, they sure are huge.
context: Then I guess we can look forward to Act 2!\Decisions and Duels\I-I'm so sorry...\For not being able to swim...\No, I'm the one who should be apologizing.\Dragging you into this...\No, no...\Still, they sure are huge. response:	Something wrong?
