context: The report says the Scarlet Flame Golden Lion response:	appeared in the Far North rebel army camp.
context: The report says the Scarlet Flame Golden Lion\appeared in the Far North rebel army camp. response:	The Scarlet Flame Golden Lion?
context: The report says the Scarlet Flame Golden Lion\appeared in the Far North rebel army camp.\The Scarlet Flame Golden Lion? response:	Ye Hua, I am very disappointed in you.
context: The report says the Scarlet Flame Golden Lion\appeared in the Far North rebel army camp.\The Scarlet Flame Golden Lion?\Ye Hua, I am very disappointed in you. response:	I asked Lord Yuan Shi of the Realm of Supreme Purity
context: The report says the Scarlet Flame Golden Lion\appeared in the Far North rebel army camp.\The Scarlet Flame Golden Lion?\Ye Hua, I am very disappointed in you.\I asked Lord Yuan Shi of the Realm of Supreme Purity response:	in the Great Overarching Heaven
context: The report says the Scarlet Flame Golden Lion\appeared in the Far North rebel army camp.\The Scarlet Flame Golden Lion?\Ye Hua, I am very disappointed in you.\I asked Lord Yuan Shi of the Realm of Supreme Purity\in the Great Overarching Heaven response:	to take you as his last disciple.
context: The report says the Scarlet Flame Golden Lion\appeared in the Far North rebel army camp.\The Scarlet Flame Golden Lion?\Ye Hua, I am very disappointed in you.\I asked Lord Yuan Shi of the Realm of Supreme Purity\in the Great Overarching Heaven\to take you as his last disciple. response:	The Lord had enlightened only one other disciple, the Lord of Numinous Treasures.
context: The report says the Scarlet Flame Golden Lion\appeared in the Far North rebel army camp.\The Scarlet Flame Golden Lion?\Ye Hua, I am very disappointed in you.\I asked Lord Yuan Shi of the Realm of Supreme Purity\in the Great Overarching Heaven\to take you as his last disciple.\The Lord had enlightened only one other disciple, the Lord of Numinous Treasures. response:	He has stringent requirements for accepting a disciple.
context: appeared in the Far North rebel army camp.\The Scarlet Flame Golden Lion?\Ye Hua, I am very disappointed in you.\I asked Lord Yuan Shi of the Realm of Supreme Purity\in the Great Overarching Heaven\to take you as his last disciple.\The Lord had enlightened only one other disciple, the Lord of Numinous Treasures.\He has stringent requirements for accepting a disciple. response:	Yet, he did not say a word, and accepted you as his last disciple.
context: The Scarlet Flame Golden Lion?\Ye Hua, I am very disappointed in you.\I asked Lord Yuan Shi of the Realm of Supreme Purity\in the Great Overarching Heaven\to take you as his last disciple.\The Lord had enlightened only one other disciple, the Lord of Numinous Treasures.\He has stringent requirements for accepting a disciple.\Yet, he did not say a word, and accepted you as his last disciple. response:	How happy I was.
context: Ye Hua, I am very disappointed in you.\I asked Lord Yuan Shi of the Realm of Supreme Purity\in the Great Overarching Heaven\to take you as his last disciple.\The Lord had enlightened only one other disciple, the Lord of Numinous Treasures.\He has stringent requirements for accepting a disciple.\Yet, he did not say a word, and accepted you as his last disciple.\How happy I was. response:	Later on, you ascended to high immortal in less than 20,000 years
context: I asked Lord Yuan Shi of the Realm of Supreme Purity\in the Great Overarching Heaven\to take you as his last disciple.\The Lord had enlightened only one other disciple, the Lord of Numinous Treasures.\He has stringent requirements for accepting a disciple.\Yet, he did not say a word, and accepted you as his last disciple.\How happy I was.\Later on, you ascended to high immortal in less than 20,000 years response:	showing all the people of the world that you are not Mo Yuan's substitute.
context: in the Great Overarching Heaven\to take you as his last disciple.\The Lord had enlightened only one other disciple, the Lord of Numinous Treasures.\He has stringent requirements for accepting a disciple.\Yet, he did not say a word, and accepted you as his last disciple.\How happy I was.\Later on, you ascended to high immortal in less than 20,000 years\showing all the people of the world that you are not Mo Yuan's substitute. response:	You finally earned the respect.
context: to take you as his last disciple.\The Lord had enlightened only one other disciple, the Lord of Numinous Treasures.\He has stringent requirements for accepting a disciple.\Yet, he did not say a word, and accepted you as his last disciple.\How happy I was.\Later on, you ascended to high immortal in less than 20,000 years\showing all the people of the world that you are not Mo Yuan's substitute.\You finally earned the respect. response:	Crown Prince Ye Hua surpassed High God Mo Yuan.
context: The Lord had enlightened only one other disciple, the Lord of Numinous Treasures.\He has stringent requirements for accepting a disciple.\Yet, he did not say a word, and accepted you as his last disciple.\How happy I was.\Later on, you ascended to high immortal in less than 20,000 years\showing all the people of the world that you are not Mo Yuan's substitute.\You finally earned the respect.\Crown Prince Ye Hua surpassed High God Mo Yuan. response:	But ever since you went to the Mortal Realm to subdue the Golden Lion...
context: He has stringent requirements for accepting a disciple.\Yet, he did not say a word, and accepted you as his last disciple.\How happy I was.\Later on, you ascended to high immortal in less than 20,000 years\showing all the people of the world that you are not Mo Yuan's substitute.\You finally earned the respect.\Crown Prince Ye Hua surpassed High God Mo Yuan.\But ever since you went to the Mortal Realm to subdue the Golden Lion... response:	everything you have done has disappointed me again and again!
context: Yet, he did not say a word, and accepted you as his last disciple.\How happy I was.\Later on, you ascended to high immortal in less than 20,000 years\showing all the people of the world that you are not Mo Yuan's substitute.\You finally earned the respect.\Crown Prince Ye Hua surpassed High God Mo Yuan.\But ever since you went to the Mortal Realm to subdue the Golden Lion...\everything you have done has disappointed me again and again! response:	Please don't be angry, Your Majesty.
context: How happy I was.\Later on, you ascended to high immortal in less than 20,000 years\showing all the people of the world that you are not Mo Yuan's substitute.\You finally earned the respect.\Crown Prince Ye Hua surpassed High God Mo Yuan.\But ever since you went to the Mortal Realm to subdue the Golden Lion...\everything you have done has disappointed me again and again!\Please don't be angry, Your Majesty. response:	Please give me a chance to redeem myself.
context: Later on, you ascended to high immortal in less than 20,000 years\showing all the people of the world that you are not Mo Yuan's substitute.\You finally earned the respect.\Crown Prince Ye Hua surpassed High God Mo Yuan.\But ever since you went to the Mortal Realm to subdue the Golden Lion...\everything you have done has disappointed me again and again!\Please don't be angry, Your Majesty.\Please give me a chance to redeem myself. response:	Allow me to lead the army to the Far North rebellion.
context: showing all the people of the world that you are not Mo Yuan's substitute.\You finally earned the respect.\Crown Prince Ye Hua surpassed High God Mo Yuan.\But ever since you went to the Mortal Realm to subdue the Golden Lion...\everything you have done has disappointed me again and again!\Please don't be angry, Your Majesty.\Please give me a chance to redeem myself.\Allow me to lead the army to the Far North rebellion. response:	Ye Hua, do not concern yourself with love affairs.
context: You finally earned the respect.\Crown Prince Ye Hua surpassed High God Mo Yuan.\But ever since you went to the Mortal Realm to subdue the Golden Lion...\everything you have done has disappointed me again and again!\Please don't be angry, Your Majesty.\Please give me a chance to redeem myself.\Allow me to lead the army to the Far North rebellion.\Ye Hua, do not concern yourself with love affairs. response:	In the war with the Mermaid Clan, you were no match for the Mermaid King
context: Crown Prince Ye Hua surpassed High God Mo Yuan.\But ever since you went to the Mortal Realm to subdue the Golden Lion...\everything you have done has disappointed me again and again!\Please don't be angry, Your Majesty.\Please give me a chance to redeem myself.\Allow me to lead the army to the Far North rebellion.\Ye Hua, do not concern yourself with love affairs.\In the war with the Mermaid Clan, you were no match for the Mermaid King response:	and you failed to subdue the Golden Lion.
context: But ever since you went to the Mortal Realm to subdue the Golden Lion...\everything you have done has disappointed me again and again!\Please don't be angry, Your Majesty.\Please give me a chance to redeem myself.\Allow me to lead the army to the Far North rebellion.\Ye Hua, do not concern yourself with love affairs.\In the war with the Mermaid Clan, you were no match for the Mermaid King\and you failed to subdue the Golden Lion. response:	The Far North rebellion is your last chance.
context: everything you have done has disappointed me again and again!\Please don't be angry, Your Majesty.\Please give me a chance to redeem myself.\Allow me to lead the army to the Far North rebellion.\Ye Hua, do not concern yourself with love affairs.\In the war with the Mermaid Clan, you were no match for the Mermaid King\and you failed to subdue the Golden Lion.\The Far North rebellion is your last chance. response:	And although you are the heir apparent
context: Please don't be angry, Your Majesty.\Please give me a chance to redeem myself.\Allow me to lead the army to the Far North rebellion.\Ye Hua, do not concern yourself with love affairs.\In the war with the Mermaid Clan, you were no match for the Mermaid King\and you failed to subdue the Golden Lion.\The Far North rebellion is your last chance.\And although you are the heir apparent response:	and are usually addressed by others as the Crown Prince
context: Please give me a chance to redeem myself.\Allow me to lead the army to the Far North rebellion.\Ye Hua, do not concern yourself with love affairs.\In the war with the Mermaid Clan, you were no match for the Mermaid King\and you failed to subdue the Golden Lion.\The Far North rebellion is your last chance.\And although you are the heir apparent\and are usually addressed by others as the Crown Prince response:	you have yet to be granted the Crown Prince seal
context: Allow me to lead the army to the Far North rebellion.\Ye Hua, do not concern yourself with love affairs.\In the war with the Mermaid Clan, you were no match for the Mermaid King\and you failed to subdue the Golden Lion.\The Far North rebellion is your last chance.\And although you are the heir apparent\and are usually addressed by others as the Crown Prince\you have yet to be granted the Crown Prince seal response:	and have not yet received the allegiance of the vassals of the four seas.
context: Ye Hua, do not concern yourself with love affairs.\In the war with the Mermaid Clan, you were no match for the Mermaid King\and you failed to subdue the Golden Lion.\The Far North rebellion is your last chance.\And although you are the heir apparent\and are usually addressed by others as the Crown Prince\you have yet to be granted the Crown Prince seal\and have not yet received the allegiance of the vassals of the four seas. response:	I understand.
context: In the war with the Mermaid Clan, you were no match for the Mermaid King\and you failed to subdue the Golden Lion.\The Far North rebellion is your last chance.\And although you are the heir apparent\and are usually addressed by others as the Crown Prince\you have yet to be granted the Crown Prince seal\and have not yet received the allegiance of the vassals of the four seas.\I understand. response:	I will return victorious.
context: and you failed to subdue the Golden Lion.\The Far North rebellion is your last chance.\And although you are the heir apparent\and are usually addressed by others as the Crown Prince\you have yet to be granted the Crown Prince seal\and have not yet received the allegiance of the vassals of the four seas.\I understand.\I will return victorious. response:	Should there be any more mishaps
context: The Far North rebellion is your last chance.\And although you are the heir apparent\and are usually addressed by others as the Crown Prince\you have yet to be granted the Crown Prince seal\and have not yet received the allegiance of the vassals of the four seas.\I understand.\I will return victorious.\Should there be any more mishaps response:	not only you, but the entire Xiwu Palace
context: And although you are the heir apparent\and are usually addressed by others as the Crown Prince\you have yet to be granted the Crown Prince seal\and have not yet received the allegiance of the vassals of the four seas.\I understand.\I will return victorious.\Should there be any more mishaps\not only you, but the entire Xiwu Palace response:	will suffer punishment.
context: and are usually addressed by others as the Crown Prince\you have yet to be granted the Crown Prince seal\and have not yet received the allegiance of the vassals of the four seas.\I understand.\I will return victorious.\Should there be any more mishaps\not only you, but the entire Xiwu Palace\will suffer punishment. response:	Yes.
context: you have yet to be granted the Crown Prince seal\and have not yet received the allegiance of the vassals of the four seas.\I understand.\I will return victorious.\Should there be any more mishaps\not only you, but the entire Xiwu Palace\will suffer punishment.\Yes. response:	Your Highness, wait here.
context: and have not yet received the allegiance of the vassals of the four seas.\I understand.\I will return victorious.\Should there be any more mishaps\not only you, but the entire Xiwu Palace\will suffer punishment.\Yes.\Your Highness, wait here. response:	I sent someone to fetch a bowl of tonic from the kitchen.
context: I understand.\I will return victorious.\Should there be any more mishaps\not only you, but the entire Xiwu Palace\will suffer punishment.\Yes.\Your Highness, wait here.\I sent someone to fetch a bowl of tonic from the kitchen. response:	When it gets here, you can personally deliver it to Zichen Hall.
context: I will return victorious.\Should there be any more mishaps\not only you, but the entire Xiwu Palace\will suffer punishment.\Yes.\Your Highness, wait here.\I sent someone to fetch a bowl of tonic from the kitchen.\When it gets here, you can personally deliver it to Zichen Hall. response:	His Highness will surely be pleased.
context: Should there be any more mishaps\not only you, but the entire Xiwu Palace\will suffer punishment.\Yes.\Your Highness, wait here.\I sent someone to fetch a bowl of tonic from the kitchen.\When it gets here, you can personally deliver it to Zichen Hall.\His Highness will surely be pleased. response:	But...
context: not only you, but the entire Xiwu Palace\will suffer punishment.\Yes.\Your Highness, wait here.\I sent someone to fetch a bowl of tonic from the kitchen.\When it gets here, you can personally deliver it to Zichen Hall.\His Highness will surely be pleased.\But... response:	Didn't Ye Hua previously
context: will suffer punishment.\Yes.\Your Highness, wait here.\I sent someone to fetch a bowl of tonic from the kitchen.\When it gets here, you can personally deliver it to Zichen Hall.\His Highness will surely be pleased.\But...\Didn't Ye Hua previously response:	forbid everyone in the Hall of Beautiful Youth from going out?
context: Yes.\Your Highness, wait here.\I sent someone to fetch a bowl of tonic from the kitchen.\When it gets here, you can personally deliver it to Zichen Hall.\His Highness will surely be pleased.\But...\Didn't Ye Hua previously\forbid everyone in the Hall of Beautiful Youth from going out? response:	Would it not be bad for me to walk around?
context: Your Highness, wait here.\I sent someone to fetch a bowl of tonic from the kitchen.\When it gets here, you can personally deliver it to Zichen Hall.\His Highness will surely be pleased.\But...\Didn't Ye Hua previously\forbid everyone in the Hall of Beautiful Youth from going out?\Would it not be bad for me to walk around? response:	The Crown Prince said not to step foot outside of Xiwu Palace.
context: I sent someone to fetch a bowl of tonic from the kitchen.\When it gets here, you can personally deliver it to Zichen Hall.\His Highness will surely be pleased.\But...\Didn't Ye Hua previously\forbid everyone in the Hall of Beautiful Youth from going out?\Would it not be bad for me to walk around?\The Crown Prince said not to step foot outside of Xiwu Palace. response:	Your Highness would just be delivering the tonic within the palace.
context: When it gets here, you can personally deliver it to Zichen Hall.\His Highness will surely be pleased.\But...\Didn't Ye Hua previously\forbid everyone in the Hall of Beautiful Youth from going out?\Would it not be bad for me to walk around?\The Crown Prince said not to step foot outside of Xiwu Palace.\Your Highness would just be delivering the tonic within the palace. response:	His Highness will not scold you.
context: His Highness will surely be pleased.\But...\Didn't Ye Hua previously\forbid everyone in the Hall of Beautiful Youth from going out?\Would it not be bad for me to walk around?\The Crown Prince said not to step foot outside of Xiwu Palace.\Your Highness would just be delivering the tonic within the palace.\His Highness will not scold you. response:	All right then. Thank you, Nai Nai.
context: But...\Didn't Ye Hua previously\forbid everyone in the Hall of Beautiful Youth from going out?\Would it not be bad for me to walk around?\The Crown Prince said not to step foot outside of Xiwu Palace.\Your Highness would just be delivering the tonic within the palace.\His Highness will not scold you.\All right then. Thank you, Nai Nai. response:	I was brought here by the Crown Prince to serve Your Highness.
context: Didn't Ye Hua previously\forbid everyone in the Hall of Beautiful Youth from going out?\Would it not be bad for me to walk around?\The Crown Prince said not to step foot outside of Xiwu Palace.\Your Highness would just be delivering the tonic within the palace.\His Highness will not scold you.\All right then. Thank you, Nai Nai.\I was brought here by the Crown Prince to serve Your Highness. response:	There is no need to thank me.
context: forbid everyone in the Hall of Beautiful Youth from going out?\Would it not be bad for me to walk around?\The Crown Prince said not to step foot outside of Xiwu Palace.\Your Highness would just be delivering the tonic within the palace.\His Highness will not scold you.\All right then. Thank you, Nai Nai.\I was brought here by the Crown Prince to serve Your Highness.\There is no need to thank me. response:	I'll be going now.
context: Would it not be bad for me to walk around?\The Crown Prince said not to step foot outside of Xiwu Palace.\Your Highness would just be delivering the tonic within the palace.\His Highness will not scold you.\All right then. Thank you, Nai Nai.\I was brought here by the Crown Prince to serve Your Highness.\There is no need to thank me.\I'll be going now. response:	You will go as well.
context: The Crown Prince said not to step foot outside of Xiwu Palace.\Your Highness would just be delivering the tonic within the palace.\His Highness will not scold you.\All right then. Thank you, Nai Nai.\I was brought here by the Crown Prince to serve Your Highness.\There is no need to thank me.\I'll be going now.\You will go as well. response:	Me?
context: Your Highness would just be delivering the tonic within the palace.\His Highness will not scold you.\All right then. Thank you, Nai Nai.\I was brought here by the Crown Prince to serve Your Highness.\There is no need to thank me.\I'll be going now.\You will go as well.\Me? response:	Father, I am not one to lead an army.
