context: Sensei, could I... response:	Yes?
context: Sensei, could I...\Yes? response:	Kobuchizawa.
context: Sensei, could I...\Yes?\Kobuchizawa. response:	From my grandma?
context: Sensei, could I...\Yes?\Kobuchizawa.\From my grandma? response:	Yes, please return home at once.
context: Sensei, could I...\Yes?\Kobuchizawa.\From my grandma?\Yes, please return home at once. response:	Did something happen to my grandma?
context: Sensei, could I...\Yes?\Kobuchizawa.\From my grandma?\Yes, please return home at once.\Did something happen to my grandma? response:	Well...
context: Sensei, could I...\Yes?\Kobuchizawa.\From my grandma?\Yes, please return home at once.\Did something happen to my grandma?\Well... response:	It was almost like a dream.
context: Sensei, could I...\Yes?\Kobuchizawa.\From my grandma?\Yes, please return home at once.\Did something happen to my grandma?\Well...\It was almost like a dream. response:	Oh. I'm not waking up.
context: Yes?\Kobuchizawa.\From my grandma?\Yes, please return home at once.\Did something happen to my grandma?\Well...\It was almost like a dream.\Oh. I'm not waking up. response:	Why aren't I waking up? I thought.
context: Kobuchizawa.\From my grandma?\Yes, please return home at once.\Did something happen to my grandma?\Well...\It was almost like a dream.\Oh. I'm not waking up.\Why aren't I waking up? I thought. response:	That feeling never ended.
context: From my grandma?\Yes, please return home at once.\Did something happen to my grandma?\Well...\It was almost like a dream.\Oh. I'm not waking up.\Why aren't I waking up? I thought.\That feeling never ended. response:	It still hasn't ended.
context: Yes, please return home at once.\Did something happen to my grandma?\Well...\It was almost like a dream.\Oh. I'm not waking up.\Why aren't I waking up? I thought.\That feeling never ended.\It still hasn't ended. response:	A Place Further Than the Universe
context: Did something happen to my grandma?\Well...\It was almost like a dream.\Oh. I'm not waking up.\Why aren't I waking up? I thought.\That feeling never ended.\It still hasn't ended.\A Place Further Than the Universe response:	45 Like 27 Comments
context: Well...\It was almost like a dream.\Oh. I'm not waking up.\Why aren't I waking up? I thought.\That feeling never ended.\It still hasn't ended.\A Place Further Than the Universe\45 Like 27 Comments response:	DearMom
context: It was almost like a dream.\Oh. I'm not waking up.\Why aren't I waking up? I thought.\That feeling never ended.\It still hasn't ended.\A Place Further Than the Universe\45 Like 27 Comments\DearMom response:	Lavatory Bath Washroom
context: Oh. I'm not waking up.\Why aren't I waking up? I thought.\That feeling never ended.\It still hasn't ended.\A Place Further Than the Universe\45 Like 27 Comments\DearMom\Lavatory Bath Washroom response:	For three weeks?
context: Why aren't I waking up? I thought.\That feeling never ended.\It still hasn't ended.\A Place Further Than the Universe\45 Like 27 Comments\DearMom\Lavatory Bath Washroom\For three weeks? response:	It's not too far, but we can't get there via helicopter.
context: That feeling never ended.\It still hasn't ended.\A Place Further Than the Universe\45 Like 27 Comments\DearMom\Lavatory Bath Washroom\For three weeks?\It's not too far, but we can't get there via helicopter. response:	You mean...
context: It still hasn't ended.\A Place Further Than the Universe\45 Like 27 Comments\DearMom\Lavatory Bath Washroom\For three weeks?\It's not too far, but we can't get there via helicopter.\You mean... response:	Righto!
context: A Place Further Than the Universe\45 Like 27 Comments\DearMom\Lavatory Bath Washroom\For three weeks?\It's not too far, but we can't get there via helicopter.\You mean...\Righto! response:	Yeah!
context: 45 Like 27 Comments\DearMom\Lavatory Bath Washroom\For three weeks?\It's not too far, but we can't get there via helicopter.\You mean...\Righto!\Yeah! response:	We finally get to take one!
context: DearMom\Lavatory Bath Washroom\For three weeks?\It's not too far, but we can't get there via helicopter.\You mean...\Righto!\Yeah!\We finally get to take one! response:	It's not particularly fun.
context: Lavatory Bath Washroom\For three weeks?\It's not too far, but we can't get there via helicopter.\You mean...\Righto!\Yeah!\We finally get to take one!\It's not particularly fun. response:	They're very slow!
context: For three weeks?\It's not too far, but we can't get there via helicopter.\You mean...\Righto!\Yeah!\We finally get to take one!\It's not particularly fun.\They're very slow! response:	We have to avoid crevasses and other dangerous places as we go.
context: It's not too far, but we can't get there via helicopter.\You mean...\Righto!\Yeah!\We finally get to take one!\It's not particularly fun.\They're very slow!\We have to avoid crevasses and other dangerous places as we go. response:	We'll be going one way, then have to alter course a bit...
context: You mean...\Righto!\Yeah!\We finally get to take one!\It's not particularly fun.\They're very slow!\We have to avoid crevasses and other dangerous places as we go.\We'll be going one way, then have to alter course a bit... response:	Kanae.
context: Righto!\Yeah!\We finally get to take one!\It's not particularly fun.\They're very slow!\We have to avoid crevasses and other dangerous places as we go.\We'll be going one way, then have to alter course a bit...\Kanae. response:	I meant to do that! Totally meant to do that!
context: Yeah!\We finally get to take one!\It's not particularly fun.\They're very slow!\We have to avoid crevasses and other dangerous places as we go.\We'll be going one way, then have to alter course a bit...\Kanae.\I meant to do that! Totally meant to do that! response:	You're the one always complaining about how annoying long hair is, aren't you?
context: We finally get to take one!\It's not particularly fun.\They're very slow!\We have to avoid crevasses and other dangerous places as we go.\We'll be going one way, then have to alter course a bit...\Kanae.\I meant to do that! Totally meant to do that!\You're the one always complaining about how annoying long hair is, aren't you? response:	Please make sure to turn the tap off after doing laundry.
context: It's not particularly fun.\They're very slow!\We have to avoid crevasses and other dangerous places as we go.\We'll be going one way, then have to alter course a bit...\Kanae.\I meant to do that! Totally meant to do that!\You're the one always complaining about how annoying long hair is, aren't you?\Please make sure to turn the tap off after doing laundry. response:	Well, it's better than when Takako used to cut it, at least...
context: They're very slow!\We have to avoid crevasses and other dangerous places as we go.\We'll be going one way, then have to alter course a bit...\Kanae.\I meant to do that! Totally meant to do that!\You're the one always complaining about how annoying long hair is, aren't you?\Please make sure to turn the tap off after doing laundry.\Well, it's better than when Takako used to cut it, at least... response:	What about you?
