context: Ugh! response:	Die Inuyasha!
context: Ugh!\Die Inuyasha! response:	In order to become a full-fledged demon...
context: Ugh!\Die Inuyasha!\In order to become a full-fledged demon... response:	the half-demon Inuyasha required fragments of the Sacred Jewel.
context: Ugh!\Die Inuyasha!\In order to become a full-fledged demon...\the half-demon Inuyasha required fragments of the Sacred Jewel. response:	But someone tricked Inuyasha and Kikyo...
context: Ugh!\Die Inuyasha!\In order to become a full-fledged demon...\the half-demon Inuyasha required fragments of the Sacred Jewel.\But someone tricked Inuyasha and Kikyo... response:	into hating each other and fighting.
context: Ugh!\Die Inuyasha!\In order to become a full-fledged demon...\the half-demon Inuyasha required fragments of the Sacred Jewel.\But someone tricked Inuyasha and Kikyo...\into hating each other and fighting. response:	The demon behind this cruel scheme...
context: Ugh!\Die Inuyasha!\In order to become a full-fledged demon...\the half-demon Inuyasha required fragments of the Sacred Jewel.\But someone tricked Inuyasha and Kikyo...\into hating each other and fighting.\The demon behind this cruel scheme... response:	was Naraku.
context: Ugh!\Die Inuyasha!\In order to become a full-fledged demon...\the half-demon Inuyasha required fragments of the Sacred Jewel.\But someone tricked Inuyasha and Kikyo...\into hating each other and fighting.\The demon behind this cruel scheme...\was Naraku. response:	Why did you betray me, Inuyasha?!
context: Die Inuyasha!\In order to become a full-fledged demon...\the half-demon Inuyasha required fragments of the Sacred Jewel.\But someone tricked Inuyasha and Kikyo...\into hating each other and fighting.\The demon behind this cruel scheme...\was Naraku.\Why did you betray me, Inuyasha?! response:	W-wha!
context: In order to become a full-fledged demon...\the half-demon Inuyasha required fragments of the Sacred Jewel.\But someone tricked Inuyasha and Kikyo...\into hating each other and fighting.\The demon behind this cruel scheme...\was Naraku.\Why did you betray me, Inuyasha?!\W-wha! response:	So if you keep gathering these Sacred Jewel fragments...
context: the half-demon Inuyasha required fragments of the Sacred Jewel.\But someone tricked Inuyasha and Kikyo...\into hating each other and fighting.\The demon behind this cruel scheme...\was Naraku.\Why did you betray me, Inuyasha?!\W-wha!\So if you keep gathering these Sacred Jewel fragments... response:	you'll come across Naraku?
context: But someone tricked Inuyasha and Kikyo...\into hating each other and fighting.\The demon behind this cruel scheme...\was Naraku.\Why did you betray me, Inuyasha?!\W-wha!\So if you keep gathering these Sacred Jewel fragments...\you'll come across Naraku? response:	I'm gonna avenge Kikyo's death... I'll find him and send him to hell!
context: into hating each other and fighting.\The demon behind this cruel scheme...\was Naraku.\Why did you betray me, Inuyasha?!\W-wha!\So if you keep gathering these Sacred Jewel fragments...\you'll come across Naraku?\I'm gonna avenge Kikyo's death... I'll find him and send him to hell! response:	We got a good haul today, Chief!
context: The demon behind this cruel scheme...\was Naraku.\Why did you betray me, Inuyasha?!\W-wha!\So if you keep gathering these Sacred Jewel fragments...\you'll come across Naraku?\I'm gonna avenge Kikyo's death... I'll find him and send him to hell!\We got a good haul today, Chief! response:	Look at these bales of rice!
context: was Naraku.\Why did you betray me, Inuyasha?!\W-wha!\So if you keep gathering these Sacred Jewel fragments...\you'll come across Naraku?\I'm gonna avenge Kikyo's death... I'll find him and send him to hell!\We got a good haul today, Chief!\Look at these bales of rice! response:	For a puny village, they sure had a hoard.
context: Why did you betray me, Inuyasha?!\W-wha!\So if you keep gathering these Sacred Jewel fragments...\you'll come across Naraku?\I'm gonna avenge Kikyo's death... I'll find him and send him to hell!\We got a good haul today, Chief!\Look at these bales of rice!\For a puny village, they sure had a hoard. response:	Let's hurry, Chief.
context: W-wha!\So if you keep gathering these Sacred Jewel fragments...\you'll come across Naraku?\I'm gonna avenge Kikyo's death... I'll find him and send him to hell!\We got a good haul today, Chief!\Look at these bales of rice!\For a puny village, they sure had a hoard.\Let's hurry, Chief. response:	Demons are supposed to appear around here after dark.
context: So if you keep gathering these Sacred Jewel fragments...\you'll come across Naraku?\I'm gonna avenge Kikyo's death... I'll find him and send him to hell!\We got a good haul today, Chief!\Look at these bales of rice!\For a puny village, they sure had a hoard.\Let's hurry, Chief.\Demons are supposed to appear around here after dark. response:	Can't be a mercenary if you're'fraid of demons!
context: you'll come across Naraku?\I'm gonna avenge Kikyo's death... I'll find him and send him to hell!\We got a good haul today, Chief!\Look at these bales of rice!\For a puny village, they sure had a hoard.\Let's hurry, Chief.\Demons are supposed to appear around here after dark.\Can't be a mercenary if you're'fraid of demons! response:	- Chief look! - Huh?
context: I'm gonna avenge Kikyo's death... I'll find him and send him to hell!\We got a good haul today, Chief!\Look at these bales of rice!\For a puny village, they sure had a hoard.\Let's hurry, Chief.\Demons are supposed to appear around here after dark.\Can't be a mercenary if you're'fraid of demons!\- Chief look! - Huh? response:	That's a mere mortal.
context: We got a good haul today, Chief!\Look at these bales of rice!\For a puny village, they sure had a hoard.\Let's hurry, Chief.\Demons are supposed to appear around here after dark.\Can't be a mercenary if you're'fraid of demons!\- Chief look! - Huh?\That's a mere mortal. response:	Interesting armor he's got.
context: Look at these bales of rice!\For a puny village, they sure had a hoard.\Let's hurry, Chief.\Demons are supposed to appear around here after dark.\Can't be a mercenary if you're'fraid of demons!\- Chief look! - Huh?\That's a mere mortal.\Interesting armor he's got. response:	Kill'im and strip'im!
context: For a puny village, they sure had a hoard.\Let's hurry, Chief.\Demons are supposed to appear around here after dark.\Can't be a mercenary if you're'fraid of demons!\- Chief look! - Huh?\That's a mere mortal.\Interesting armor he's got.\Kill'im and strip'im! response:	Well done!
context: Let's hurry, Chief.\Demons are supposed to appear around here after dark.\Can't be a mercenary if you're'fraid of demons!\- Chief look! - Huh?\That's a mere mortal.\Interesting armor he's got.\Kill'im and strip'im!\Well done! response:	You are the one and only Lord Sesshomaru!
context: Demons are supposed to appear around here after dark.\Can't be a mercenary if you're'fraid of demons!\- Chief look! - Huh?\That's a mere mortal.\Interesting armor he's got.\Kill'im and strip'im!\Well done!\You are the one and only Lord Sesshomaru! response:	Slaying that blue demon and taking his arm was a splendid idea!
context: Can't be a mercenary if you're'fraid of demons!\- Chief look! - Huh?\That's a mere mortal.\Interesting armor he's got.\Kill'im and strip'im!\Well done!\You are the one and only Lord Sesshomaru!\Slaying that blue demon and taking his arm was a splendid idea! response:	Are you blind?
context: - Chief look! - Huh?\That's a mere mortal.\Interesting armor he's got.\Kill'im and strip'im!\Well done!\You are the one and only Lord Sesshomaru!\Slaying that blue demon and taking his arm was a splendid idea!\Are you blind? response:	This is already useless!
context: That's a mere mortal.\Interesting armor he's got.\Kill'im and strip'im!\Well done!\You are the one and only Lord Sesshomaru!\Slaying that blue demon and taking his arm was a splendid idea!\Are you blind?\This is already useless! response:	Oh... gone bad again?
context: Interesting armor he's got.\Kill'im and strip'im!\Well done!\You are the one and only Lord Sesshomaru!\Slaying that blue demon and taking his arm was a splendid idea!\Are you blind?\This is already useless!\Oh... gone bad again? response:	Arghhh!
context: Kill'im and strip'im!\Well done!\You are the one and only Lord Sesshomaru!\Slaying that blue demon and taking his arm was a splendid idea!\Are you blind?\This is already useless!\Oh... gone bad again?\Arghhh! response:	Find a demon with a more suitable arm.
context: Well done!\You are the one and only Lord Sesshomaru!\Slaying that blue demon and taking his arm was a splendid idea!\Are you blind?\This is already useless!\Oh... gone bad again?\Arghhh!\Find a demon with a more suitable arm. response:	Or else... I'll kill you!
context: You are the one and only Lord Sesshomaru!\Slaying that blue demon and taking his arm was a splendid idea!\Are you blind?\This is already useless!\Oh... gone bad again?\Arghhh!\Find a demon with a more suitable arm.\Or else... I'll kill you! response:	Arghhh!
context: Slaying that blue demon and taking his arm was a splendid idea!\Are you blind?\This is already useless!\Oh... gone bad again?\Arghhh!\Find a demon with a more suitable arm.\Or else... I'll kill you!\Arghhh! response:	And it's all the fault of that Inuyasha...
context: Are you blind?\This is already useless!\Oh... gone bad again?\Arghhh!\Find a demon with a more suitable arm.\Or else... I'll kill you!\Arghhh!\And it's all the fault of that Inuyasha... response:	for cutting off Lord Sesshomaru's arm.
context: This is already useless!\Oh... gone bad again?\Arghhh!\Find a demon with a more suitable arm.\Or else... I'll kill you!\Arghhh!\And it's all the fault of that Inuyasha...\for cutting off Lord Sesshomaru's arm. response:	Die!
context: Oh... gone bad again?\Arghhh!\Find a demon with a more suitable arm.\Or else... I'll kill you!\Arghhh!\And it's all the fault of that Inuyasha...\for cutting off Lord Sesshomaru's arm.\Die! response:	No... I don't hate that sword.
context: Arghhh!\Find a demon with a more suitable arm.\Or else... I'll kill you!\Arghhh!\And it's all the fault of that Inuyasha...\for cutting off Lord Sesshomaru's arm.\Die!\No... I don't hate that sword. response:	Just that half-demon Inuyasha!
context: Find a demon with a more suitable arm.\Or else... I'll kill you!\Arghhh!\And it's all the fault of that Inuyasha...\for cutting off Lord Sesshomaru's arm.\Die!\No... I don't hate that sword.\Just that half-demon Inuyasha! response:	The Tetsusaiga belongs with Lord Sesshomaru!
context: Or else... I'll kill you!\Arghhh!\And it's all the fault of that Inuyasha...\for cutting off Lord Sesshomaru's arm.\Die!\No... I don't hate that sword.\Just that half-demon Inuyasha!\The Tetsusaiga belongs with Lord Sesshomaru! response:	We will take it back from Inuyasha without fail!
context: Arghhh!\And it's all the fault of that Inuyasha...\for cutting off Lord Sesshomaru's arm.\Die!\No... I don't hate that sword.\Just that half-demon Inuyasha!\The Tetsusaiga belongs with Lord Sesshomaru!\We will take it back from Inuyasha without fail! response:	Even if I find another arm, it'll be useless after a while.
context: And it's all the fault of that Inuyasha...\for cutting off Lord Sesshomaru's arm.\Die!\No... I don't hate that sword.\Just that half-demon Inuyasha!\The Tetsusaiga belongs with Lord Sesshomaru!\We will take it back from Inuyasha without fail!\Even if I find another arm, it'll be useless after a while. response:	You seem to be troubled.
context: for cutting off Lord Sesshomaru's arm.\Die!\No... I don't hate that sword.\Just that half-demon Inuyasha!\The Tetsusaiga belongs with Lord Sesshomaru!\We will take it back from Inuyasha without fail!\Even if I find another arm, it'll be useless after a while.\You seem to be troubled. response:	Pardon me, but are you Inuyasha's elder brother, Sesshomaru?
context: Die!\No... I don't hate that sword.\Just that half-demon Inuyasha!\The Tetsusaiga belongs with Lord Sesshomaru!\We will take it back from Inuyasha without fail!\Even if I find another arm, it'll be useless after a while.\You seem to be troubled.\Pardon me, but are you Inuyasha's elder brother, Sesshomaru? response:	Who are you?
context: No... I don't hate that sword.\Just that half-demon Inuyasha!\The Tetsusaiga belongs with Lord Sesshomaru!\We will take it back from Inuyasha without fail!\Even if I find another arm, it'll be useless after a while.\You seem to be troubled.\Pardon me, but are you Inuyasha's elder brother, Sesshomaru?\Who are you? response:	Like you, I despise Inuyasha.
context: Just that half-demon Inuyasha!\The Tetsusaiga belongs with Lord Sesshomaru!\We will take it back from Inuyasha without fail!\Even if I find another arm, it'll be useless after a while.\You seem to be troubled.\Pardon me, but are you Inuyasha's elder brother, Sesshomaru?\Who are you?\Like you, I despise Inuyasha. response:	It was rude of me, but I overheard you talking.
context: The Tetsusaiga belongs with Lord Sesshomaru!\We will take it back from Inuyasha without fail!\Even if I find another arm, it'll be useless after a while.\You seem to be troubled.\Pardon me, but are you Inuyasha's elder brother, Sesshomaru?\Who are you?\Like you, I despise Inuyasha.\It was rude of me, but I overheard you talking. response:	May I suggest that you use this arm?
context: We will take it back from Inuyasha without fail!\Even if I find another arm, it'll be useless after a while.\You seem to be troubled.\Pardon me, but are you Inuyasha's elder brother, Sesshomaru?\Who are you?\Like you, I despise Inuyasha.\It was rude of me, but I overheard you talking.\May I suggest that you use this arm? response:	Don't jest! That's a human arm!
context: Even if I find another arm, it'll be useless after a while.\You seem to be troubled.\Pardon me, but are you Inuyasha's elder brother, Sesshomaru?\Who are you?\Like you, I despise Inuyasha.\It was rude of me, but I overheard you talking.\May I suggest that you use this arm?\Don't jest! That's a human arm! response:	Precisely.
context: You seem to be troubled.\Pardon me, but are you Inuyasha's elder brother, Sesshomaru?\Who are you?\Like you, I despise Inuyasha.\It was rude of me, but I overheard you talking.\May I suggest that you use this arm?\Don't jest! That's a human arm!\Precisely. response:	However, it's not JUST a human arm.
context: Pardon me, but are you Inuyasha's elder brother, Sesshomaru?\Who are you?\Like you, I despise Inuyasha.\It was rude of me, but I overheard you talking.\May I suggest that you use this arm?\Don't jest! That's a human arm!\Precisely.\However, it's not JUST a human arm. response:	It's a human arm with a Sacred Jewel fragment imbedded in it.
context: Who are you?\Like you, I despise Inuyasha.\It was rude of me, but I overheard you talking.\May I suggest that you use this arm?\Don't jest! That's a human arm!\Precisely.\However, it's not JUST a human arm.\It's a human arm with a Sacred Jewel fragment imbedded in it. response:	A Sacred Jewel fragment?
context: Like you, I despise Inuyasha.\It was rude of me, but I overheard you talking.\May I suggest that you use this arm?\Don't jest! That's a human arm!\Precisely.\However, it's not JUST a human arm.\It's a human arm with a Sacred Jewel fragment imbedded in it.\A Sacred Jewel fragment? response:	This arm will empower you...
context: It was rude of me, but I overheard you talking.\May I suggest that you use this arm?\Don't jest! That's a human arm!\Precisely.\However, it's not JUST a human arm.\It's a human arm with a Sacred Jewel fragment imbedded in it.\A Sacred Jewel fragment?\This arm will empower you... response:	to wield the Tetsusaiga, Inuyasha's fabled sword.
context: May I suggest that you use this arm?\Don't jest! That's a human arm!\Precisely.\However, it's not JUST a human arm.\It's a human arm with a Sacred Jewel fragment imbedded in it.\A Sacred Jewel fragment?\This arm will empower you...\to wield the Tetsusaiga, Inuyasha's fabled sword. response:	The Tetsusaiga is known as the protector of humans.
context: Don't jest! That's a human arm!\Precisely.\However, it's not JUST a human arm.\It's a human arm with a Sacred Jewel fragment imbedded in it.\A Sacred Jewel fragment?\This arm will empower you...\to wield the Tetsusaiga, Inuyasha's fabled sword.\The Tetsusaiga is known as the protector of humans. response:	Presently, a demon like you cannot touch the Tetsusaiga.
context: Precisely.\However, it's not JUST a human arm.\It's a human arm with a Sacred Jewel fragment imbedded in it.\A Sacred Jewel fragment?\This arm will empower you...\to wield the Tetsusaiga, Inuyasha's fabled sword.\The Tetsusaiga is known as the protector of humans.\Presently, a demon like you cannot touch the Tetsusaiga. response:	Humph... You mentioned that you hate Inuyasha.
