context: Holy cow! A seminar on how to become a princess?! response:	That's practically like a seminar made just for me!
context: Holy cow! A seminar on how to become a princess?!\That's practically like a seminar made just for me! response:	Sophisticated conversation, elegant manners
context: Holy cow! A seminar on how to become a princess?!\That's practically like a seminar made just for me!\Sophisticated conversation, elegant manners response:	and a brilliant grand ball!
context: Holy cow! A seminar on how to become a princess?!\That's practically like a seminar made just for me!\Sophisticated conversation, elegant manners\and a brilliant grand ball! response:	But an evil shadow appears in this beautiful garden of flowers!
context: Holy cow! A seminar on how to become a princess?!\That's practically like a seminar made just for me!\Sophisticated conversation, elegant manners\and a brilliant grand ball!\But an evil shadow appears in this beautiful garden of flowers! response:	On behalf of the ladies, I shall punish you!
context: Holy cow! A seminar on how to become a princess?!\That's practically like a seminar made just for me!\Sophisticated conversation, elegant manners\and a brilliant grand ball!\But an evil shadow appears in this beautiful garden of flowers!\On behalf of the ladies, I shall punish you! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Holy cow! A seminar on how to become a princess?!\That's practically like a seminar made just for me!\Sophisticated conversation, elegant manners\and a brilliant grand ball!\But an evil shadow appears in this beautiful garden of flowers!\On behalf of the ladies, I shall punish you!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Holy cow! A seminar on how to become a princess?!\That's practically like a seminar made just for me!\Sophisticated conversation, elegant manners\and a brilliant grand ball!\But an evil shadow appears in this beautiful garden of flowers!\On behalf of the ladies, I shall punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: That's practically like a seminar made just for me!\Sophisticated conversation, elegant manners\and a brilliant grand ball!\But an evil shadow appears in this beautiful garden of flowers!\On behalf of the ladies, I shall punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: Sophisticated conversation, elegant manners\and a brilliant grand ball!\But an evil shadow appears in this beautiful garden of flowers!\On behalf of the ladies, I shall punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: and a brilliant grand ball!\But an evil shadow appears in this beautiful garden of flowers!\On behalf of the ladies, I shall punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
