context: Stop spoiling him! response:	Hm? Rin-chan?
context: Stop spoiling him!\Hm? Rin-chan? response:	Shh. Don't be too loud.
context: Stop spoiling him!\Hm? Rin-chan?\Shh. Don't be too loud. response:	Hm?
context: Stop spoiling him!\Hm? Rin-chan?\Shh. Don't be too loud.\Hm? response:	Okiku, it's almost close to lunch,
context: Stop spoiling him!\Hm? Rin-chan?\Shh. Don't be too loud.\Hm?\Okiku, it's almost close to lunch, response:	and you're not waking him up?
context: Stop spoiling him!\Hm? Rin-chan?\Shh. Don't be too loud.\Hm?\Okiku, it's almost close to lunch,\and you're not waking him up? response:	We just went on summer break. Why are you letting him do that?!
context: Stop spoiling him!\Hm? Rin-chan?\Shh. Don't be too loud.\Hm?\Okiku, it's almost close to lunch,\and you're not waking him up?\We just went on summer break. Why are you letting him do that?! response:	It's summer break, Rin-chan.
context: Stop spoiling him!\Hm? Rin-chan?\Shh. Don't be too loud.\Hm?\Okiku, it's almost close to lunch,\and you're not waking him up?\We just went on summer break. Why are you letting him do that?!\It's summer break, Rin-chan. response:	I'm going to let him go to sleep when he wants,
context: Hm? Rin-chan?\Shh. Don't be too loud.\Hm?\Okiku, it's almost close to lunch,\and you're not waking him up?\We just went on summer break. Why are you letting him do that?!\It's summer break, Rin-chan.\I'm going to let him go to sleep when he wants, response:	and wake up and eat when he wants.
context: Shh. Don't be too loud.\Hm?\Okiku, it's almost close to lunch,\and you're not waking him up?\We just went on summer break. Why are you letting him do that?!\It's summer break, Rin-chan.\I'm going to let him go to sleep when he wants,\and wake up and eat when he wants. response:	You're just going to make Souta lazy!
context: Hm?\Okiku, it's almost close to lunch,\and you're not waking him up?\We just went on summer break. Why are you letting him do that?!\It's summer break, Rin-chan.\I'm going to let him go to sleep when he wants,\and wake up and eat when he wants.\You're just going to make Souta lazy! response:	You need to make sure he gets up at a decent
context: Okiku, it's almost close to lunch,\and you're not waking him up?\We just went on summer break. Why are you letting him do that?!\It's summer break, Rin-chan.\I'm going to let him go to sleep when he wants,\and wake up and eat when he wants.\You're just going to make Souta lazy!\You need to make sure he gets up at a decent response:	Oh, Souta. Hey.
context: and you're not waking him up?\We just went on summer break. Why are you letting him do that?!\It's summer break, Rin-chan.\I'm going to let him go to sleep when he wants,\and wake up and eat when he wants.\You're just going to make Souta lazy!\You need to make sure he gets up at a decent\Oh, Souta. Hey. response:	You're getting up, I see!
context: We just went on summer break. Why are you letting him do that?!\It's summer break, Rin-chan.\I'm going to let him go to sleep when he wants,\and wake up and eat when he wants.\You're just going to make Souta lazy!\You need to make sure he gets up at a decent\Oh, Souta. Hey.\You're getting up, I see! response:	Let's all have a popsicle laying here together, Rin-kun.
