context: Guess what, Yukimura! response:	Yes?
context: Guess what, Yukimura!\Yes? response:	I just overheard some girls in middle school talking by our school gate.
context: Guess what, Yukimura!\Yes?\I just overheard some girls in middle school talking by our school gate. response:	Seika High's image is starting to change, don't you think?
context: Guess what, Yukimura!\Yes?\I just overheard some girls in middle school talking by our school gate.\Seika High's image is starting to change, don't you think? response:	Yeah. The scary feeling's gone. And I mean, before, the air here used to be sick.
context: Guess what, Yukimura!\Yes?\I just overheard some girls in middle school talking by our school gate.\Seika High's image is starting to change, don't you think?\Yeah. The scary feeling's gone. And I mean, before, the air here used to be sick. response:	That's what they said.
context: Guess what, Yukimura!\Yes?\I just overheard some girls in middle school talking by our school gate.\Seika High's image is starting to change, don't you think?\Yeah. The scary feeling's gone. And I mean, before, the air here used to be sick.\That's what they said. response:	Really? We must have really changed, then.
context: Guess what, Yukimura!\Yes?\I just overheard some girls in middle school talking by our school gate.\Seika High's image is starting to change, don't you think?\Yeah. The scary feeling's gone. And I mean, before, the air here used to be sick.\That's what they said.\Really? We must have really changed, then. response:	I'm sure we'll get a lot more new girls coming in.
context: Guess what, Yukimura!\Yes?\I just overheard some girls in middle school talking by our school gate.\Seika High's image is starting to change, don't you think?\Yeah. The scary feeling's gone. And I mean, before, the air here used to be sick.\That's what they said.\Really? We must have really changed, then.\I'm sure we'll get a lot more new girls coming in. response:	I'm glad we have good representatives in the council this term.
context: Yes?\I just overheard some girls in middle school talking by our school gate.\Seika High's image is starting to change, don't you think?\Yeah. The scary feeling's gone. And I mean, before, the air here used to be sick.\That's what they said.\Really? We must have really changed, then.\I'm sure we'll get a lot more new girls coming in.\I'm glad we have good representatives in the council this term. response:	Besides, next week is an open house for seniors in junior high.
context: I just overheard some girls in middle school talking by our school gate.\Seika High's image is starting to change, don't you think?\Yeah. The scary feeling's gone. And I mean, before, the air here used to be sick.\That's what they said.\Really? We must have really changed, then.\I'm sure we'll get a lot more new girls coming in.\I'm glad we have good representatives in the council this term.\Besides, next week is an open house for seniors in junior high. response:	If we keep working the way we do now, the ratio of girls in Seika will increase!
context: Seika High's image is starting to change, don't you think?\Yeah. The scary feeling's gone. And I mean, before, the air here used to be sick.\That's what they said.\Really? We must have really changed, then.\I'm sure we'll get a lot more new girls coming in.\I'm glad we have good representatives in the council this term.\Besides, next week is an open house for seniors in junior high.\If we keep working the way we do now, the ratio of girls in Seika will increase! response:	I see more suggestions from the girls than from boys.
context: Yeah. The scary feeling's gone. And I mean, before, the air here used to be sick.\That's what they said.\Really? We must have really changed, then.\I'm sure we'll get a lot more new girls coming in.\I'm glad we have good representatives in the council this term.\Besides, next week is an open house for seniors in junior high.\If we keep working the way we do now, the ratio of girls in Seika will increase!\I see more suggestions from the girls than from boys. response:	Plenty of doodles from the boys, too.
context: That's what they said.\Really? We must have really changed, then.\I'm sure we'll get a lot more new girls coming in.\I'm glad we have good representatives in the council this term.\Besides, next week is an open house for seniors in junior high.\If we keep working the way we do now, the ratio of girls in Seika will increase!\I see more suggestions from the girls than from boys.\Plenty of doodles from the boys, too. response:	It's gotten lot better, but we still have a mountain of work to do.
context: Really? We must have really changed, then.\I'm sure we'll get a lot more new girls coming in.\I'm glad we have good representatives in the council this term.\Besides, next week is an open house for seniors in junior high.\If we keep working the way we do now, the ratio of girls in Seika will increase!\I see more suggestions from the girls than from boys.\Plenty of doodles from the boys, too.\It's gotten lot better, but we still have a mountain of work to do. response:	Okay, first we'll distribute the work amongst us.
context: I'm sure we'll get a lot more new girls coming in.\I'm glad we have good representatives in the council this term.\Besides, next week is an open house for seniors in junior high.\If we keep working the way we do now, the ratio of girls in Seika will increase!\I see more suggestions from the girls than from boys.\Plenty of doodles from the boys, too.\It's gotten lot better, but we still have a mountain of work to do.\Okay, first we'll distribute the work amongst us. response:	Then we'll make priorities to-
context: I'm glad we have good representatives in the council this term.\Besides, next week is an open house for seniors in junior high.\If we keep working the way we do now, the ratio of girls in Seika will increase!\I see more suggestions from the girls than from boys.\Plenty of doodles from the boys, too.\It's gotten lot better, but we still have a mountain of work to do.\Okay, first we'll distribute the work amongst us.\Then we'll make priorities to- response:	Prez.
context: Besides, next week is an open house for seniors in junior high.\If we keep working the way we do now, the ratio of girls in Seika will increase!\I see more suggestions from the girls than from boys.\Plenty of doodles from the boys, too.\It's gotten lot better, but we still have a mountain of work to do.\Okay, first we'll distribute the work amongst us.\Then we'll make priorities to-\Prez. response:	Can I borrow a towel and a drier?
context: If we keep working the way we do now, the ratio of girls in Seika will increase!\I see more suggestions from the girls than from boys.\Plenty of doodles from the boys, too.\It's gotten lot better, but we still have a mountain of work to do.\Okay, first we'll distribute the work amongst us.\Then we'll make priorities to-\Prez.\Can I borrow a towel and a drier? response:	What is it this time?
context: I see more suggestions from the girls than from boys.\Plenty of doodles from the boys, too.\It's gotten lot better, but we still have a mountain of work to do.\Okay, first we'll distribute the work amongst us.\Then we'll make priorities to-\Prez.\Can I borrow a towel and a drier?\What is it this time? response:	Um, if it's a towel...
context: Plenty of doodles from the boys, too.\It's gotten lot better, but we still have a mountain of work to do.\Okay, first we'll distribute the work amongst us.\Then we'll make priorities to-\Prez.\Can I borrow a towel and a drier?\What is it this time?\Um, if it's a towel... response:	You can use mine if you don't mind.
context: It's gotten lot better, but we still have a mountain of work to do.\Okay, first we'll distribute the work amongst us.\Then we'll make priorities to-\Prez.\Can I borrow a towel and a drier?\What is it this time?\Um, if it's a towel...\You can use mine if you don't mind. response:	I thought I might use it during PE today,
