context: The Alliance forces will arrive on this battlefield by evening. response:	Approximately 40,000 strong.
context: The Alliance forces will arrive on this battlefield by evening.\Approximately 40,000 strong. response:	Forty Thousand?
context: The Alliance forces will arrive on this battlefield by evening.\Approximately 40,000 strong.\Forty Thousand? response:	We should consider that less than expected.
context: The Alliance forces will arrive on this battlefield by evening.\Approximately 40,000 strong.\Forty Thousand?\We should consider that less than expected. response:	After all, Waldlind and Nord's forces have been depleting from all their battles.
context: The Alliance forces will arrive on this battlefield by evening.\Approximately 40,000 strong.\Forty Thousand?\We should consider that less than expected.\After all, Waldlind and Nord's forces have been depleting from all their battles. response:	The Union really is coming, right?
context: The Alliance forces will arrive on this battlefield by evening.\Approximately 40,000 strong.\Forty Thousand?\We should consider that less than expected.\After all, Waldlind and Nord's forces have been depleting from all their battles.\The Union really is coming, right? response:	I've been advised that they're on their way.
context: The Alliance forces will arrive on this battlefield by evening.\Approximately 40,000 strong.\Forty Thousand?\We should consider that less than expected.\After all, Waldlind and Nord's forces have been depleting from all their battles.\The Union really is coming, right?\I've been advised that they're on their way. response:	However, they won't be arriving until after noon tomorrow.
context: The Alliance forces will arrive on this battlefield by evening.\Approximately 40,000 strong.\Forty Thousand?\We should consider that less than expected.\After all, Waldlind and Nord's forces have been depleting from all their battles.\The Union really is coming, right?\I've been advised that they're on their way.\However, they won't be arriving until after noon tomorrow. response:	Kind of late, huh?
context: Approximately 40,000 strong.\Forty Thousand?\We should consider that less than expected.\After all, Waldlind and Nord's forces have been depleting from all their battles.\The Union really is coming, right?\I've been advised that they're on their way.\However, they won't be arriving until after noon tomorrow.\Kind of late, huh? response:	There's no need for us to initiate anything in this battle.
context: Forty Thousand?\We should consider that less than expected.\After all, Waldlind and Nord's forces have been depleting from all their battles.\The Union really is coming, right?\I've been advised that they're on their way.\However, they won't be arriving until after noon tomorrow.\Kind of late, huh?\There's no need for us to initiate anything in this battle. response:	We just have to hold the line until the Union gets here.
context: We should consider that less than expected.\After all, Waldlind and Nord's forces have been depleting from all their battles.\The Union really is coming, right?\I've been advised that they're on their way.\However, they won't be arriving until after noon tomorrow.\Kind of late, huh?\There's no need for us to initiate anything in this battle.\We just have to hold the line until the Union gets here. response:	Let's put an end to this great war!
context: After all, Waldlind and Nord's forces have been depleting from all their battles.\The Union really is coming, right?\I've been advised that they're on their way.\However, they won't be arriving until after noon tomorrow.\Kind of late, huh?\There's no need for us to initiate anything in this battle.\We just have to hold the line until the Union gets here.\Let's put an end to this great war! response:	Everything will be decided tomorrow.
context: The Union really is coming, right?\I've been advised that they're on their way.\However, they won't be arriving until after noon tomorrow.\Kind of late, huh?\There's no need for us to initiate anything in this battle.\We just have to hold the line until the Union gets here.\Let's put an end to this great war!\Everything will be decided tomorrow. response:	Send word to Lord Nayuta in the vanguard, and Lord Shahn in the second unit.
context: I've been advised that they're on their way.\However, they won't be arriving until after noon tomorrow.\Kind of late, huh?\There's no need for us to initiate anything in this battle.\We just have to hold the line until the Union gets here.\Let's put an end to this great war!\Everything will be decided tomorrow.\Send word to Lord Nayuta in the vanguard, and Lord Shahn in the second unit. response:	Commence the attack!
context: However, they won't be arriving until after noon tomorrow.\Kind of late, huh?\There's no need for us to initiate anything in this battle.\We just have to hold the line until the Union gets here.\Let's put an end to this great war!\Everything will be decided tomorrow.\Send word to Lord Nayuta in the vanguard, and Lord Shahn in the second unit.\Commence the attack! response:	Let's go!
context: Kind of late, huh?\There's no need for us to initiate anything in this battle.\We just have to hold the line until the Union gets here.\Let's put an end to this great war!\Everything will be decided tomorrow.\Send word to Lord Nayuta in the vanguard, and Lord Shahn in the second unit.\Commence the attack!\Let's go! response:	No one can defeat our Divine Beast Juggernaut!
context: There's no need for us to initiate anything in this battle.\We just have to hold the line until the Union gets here.\Let's put an end to this great war!\Everything will be decided tomorrow.\Send word to Lord Nayuta in the vanguard, and Lord Shahn in the second unit.\Commence the attack!\Let's go!\No one can defeat our Divine Beast Juggernaut! response:	Lord Nayuta will clear the path for us! Don't rush the attack!
context: We just have to hold the line until the Union gets here.\Let's put an end to this great war!\Everything will be decided tomorrow.\Send word to Lord Nayuta in the vanguard, and Lord Shahn in the second unit.\Commence the attack!\Let's go!\No one can defeat our Divine Beast Juggernaut!\Lord Nayuta will clear the path for us! Don't rush the attack! response:	Use magical beasts to break through, then swallow us up with a horde of infantry.
context: Let's put an end to this great war!\Everything will be decided tomorrow.\Send word to Lord Nayuta in the vanguard, and Lord Shahn in the second unit.\Commence the attack!\Let's go!\No one can defeat our Divine Beast Juggernaut!\Lord Nayuta will clear the path for us! Don't rush the attack!\Use magical beasts to break through, then swallow us up with a horde of infantry. response:	A sound strategy, so typical of Father.
context: Everything will be decided tomorrow.\Send word to Lord Nayuta in the vanguard, and Lord Shahn in the second unit.\Commence the attack!\Let's go!\No one can defeat our Divine Beast Juggernaut!\Lord Nayuta will clear the path for us! Don't rush the attack!\Use magical beasts to break through, then swallow us up with a horde of infantry.\A sound strategy, so typical of Father. response:	In that case, we'll counter with a trick move!
context: Send word to Lord Nayuta in the vanguard, and Lord Shahn in the second unit.\Commence the attack!\Let's go!\No one can defeat our Divine Beast Juggernaut!\Lord Nayuta will clear the path for us! Don't rush the attack!\Use magical beasts to break through, then swallow us up with a horde of infantry.\A sound strategy, so typical of Father.\In that case, we'll counter with a trick move! response:	Commence the attack!
context: Commence the attack!\Let's go!\No one can defeat our Divine Beast Juggernaut!\Lord Nayuta will clear the path for us! Don't rush the attack!\Use magical beasts to break through, then swallow us up with a horde of infantry.\A sound strategy, so typical of Father.\In that case, we'll counter with a trick move!\Commence the attack! response:	Fall back!
context: Let's go!\No one can defeat our Divine Beast Juggernaut!\Lord Nayuta will clear the path for us! Don't rush the attack!\Use magical beasts to break through, then swallow us up with a horde of infantry.\A sound strategy, so typical of Father.\In that case, we'll counter with a trick move!\Commence the attack!\Fall back! response:	Damn it, destroy that scaffold!
context: No one can defeat our Divine Beast Juggernaut!\Lord Nayuta will clear the path for us! Don't rush the attack!\Use magical beasts to break through, then swallow us up with a horde of infantry.\A sound strategy, so typical of Father.\In that case, we'll counter with a trick move!\Commence the attack!\Fall back!\Damn it, destroy that scaffold! response:	Withdraw!
context: Lord Nayuta will clear the path for us! Don't rush the attack!\Use magical beasts to break through, then swallow us up with a horde of infantry.\A sound strategy, so typical of Father.\In that case, we'll counter with a trick move!\Commence the attack!\Fall back!\Damn it, destroy that scaffold!\Withdraw! response:	All forces, halt!
context: Use magical beasts to break through, then swallow us up with a horde of infantry.\A sound strategy, so typical of Father.\In that case, we'll counter with a trick move!\Commence the attack!\Fall back!\Damn it, destroy that scaffold!\Withdraw!\All forces, halt! response:	Don't let this chance slip!
context: A sound strategy, so typical of Father.\In that case, we'll counter with a trick move!\Commence the attack!\Fall back!\Damn it, destroy that scaffold!\Withdraw!\All forces, halt!\Don't let this chance slip! response:	What in...
