context: A healthy soul... response:	A bomb?
context: A healthy soul...\A bomb? response:	Kid-kun, that's...
context: A healthy soul...\A bomb?\Kid-kun, that's... response:	What a careless way to arrange it...
context: A healthy soul...\A bomb?\Kid-kun, that's...\What a careless way to arrange it... response:	This is disgusting!
context: A healthy soul...\A bomb?\Kid-kun, that's...\What a careless way to arrange it...\This is disgusting! response:	I heard an explosion.
context: A healthy soul...\A bomb?\Kid-kun, that's...\What a careless way to arrange it...\This is disgusting!\I heard an explosion. response:	Must be the sound of the egg-bombs I planted earlier.
context: A healthy soul...\A bomb?\Kid-kun, that's...\What a careless way to arrange it...\This is disgusting!\I heard an explosion.\Must be the sound of the egg-bombs I planted earlier. response:	We have to hurry...
context: A healthy soul...\A bomb?\Kid-kun, that's...\What a careless way to arrange it...\This is disgusting!\I heard an explosion.\Must be the sound of the egg-bombs I planted earlier.\We have to hurry... response:	This scent...
context: A bomb?\Kid-kun, that's...\What a careless way to arrange it...\This is disgusting!\I heard an explosion.\Must be the sound of the egg-bombs I planted earlier.\We have to hurry...\This scent... response:	Yes, we're almost there...
context: Kid-kun, that's...\What a careless way to arrange it...\This is disgusting!\I heard an explosion.\Must be the sound of the egg-bombs I planted earlier.\We have to hurry...\This scent...\Yes, we're almost there... response:	The Kishin is just ahead.
context: What a careless way to arrange it...\This is disgusting!\I heard an explosion.\Must be the sound of the egg-bombs I planted earlier.\We have to hurry...\This scent...\Yes, we're almost there...\The Kishin is just ahead. response:	The fools...
context: This is disgusting!\I heard an explosion.\Must be the sound of the egg-bombs I planted earlier.\We have to hurry...\This scent...\Yes, we're almost there...\The Kishin is just ahead.\The fools... response:	We are the ones taking the lead.
context: I heard an explosion.\Must be the sound of the egg-bombs I planted earlier.\We have to hurry...\This scent...\Yes, we're almost there...\The Kishin is just ahead.\The fools...\We are the ones taking the lead. response:	This is disgusting!
context: Must be the sound of the egg-bombs I planted earlier.\We have to hurry...\This scent...\Yes, we're almost there...\The Kishin is just ahead.\The fools...\We are the ones taking the lead.\This is disgusting! response:	What a careless way to arrange this...
context: We have to hurry...\This scent...\Yes, we're almost there...\The Kishin is just ahead.\The fools...\We are the ones taking the lead.\This is disgusting!\What a careless way to arrange this... response:	Dammit.
context: This scent...\Yes, we're almost there...\The Kishin is just ahead.\The fools...\We are the ones taking the lead.\This is disgusting!\What a careless way to arrange this...\Dammit. response:	Oi, forget about the careless arrangement...
context: Yes, we're almost there...\The Kishin is just ahead.\The fools...\We are the ones taking the lead.\This is disgusting!\What a careless way to arrange this...\Dammit.\Oi, forget about the careless arrangement... response:	Let's get trough this in one go.
context: The Kishin is just ahead.\The fools...\We are the ones taking the lead.\This is disgusting!\What a careless way to arrange this...\Dammit.\Oi, forget about the careless arrangement...\Let's get trough this in one go. response:	It's better not to mess around too much...
context: The fools...\We are the ones taking the lead.\This is disgusting!\What a careless way to arrange this...\Dammit.\Oi, forget about the careless arrangement...\Let's get trough this in one go.\It's better not to mess around too much... response:	I'm feeling a bit sick. This disgusts me.
context: We are the ones taking the lead.\This is disgusting!\What a careless way to arrange this...\Dammit.\Oi, forget about the careless arrangement...\Let's get trough this in one go.\It's better not to mess around too much...\I'm feeling a bit sick. This disgusts me. response:	Now, where have we seen this?
context: This is disgusting!\What a careless way to arrange this...\Dammit.\Oi, forget about the careless arrangement...\Let's get trough this in one go.\It's better not to mess around too much...\I'm feeling a bit sick. This disgusts me.\Now, where have we seen this? response:	Well, I guess that to Kid a place with no symmetry is like a place full of monsters to a normal person...
context: What a careless way to arrange this...\Dammit.\Oi, forget about the careless arrangement...\Let's get trough this in one go.\It's better not to mess around too much...\I'm feeling a bit sick. This disgusts me.\Now, where have we seen this?\Well, I guess that to Kid a place with no symmetry is like a place full of monsters to a normal person... response:	That's a good way to put it for a normal situation but, you know...
context: Dammit.\Oi, forget about the careless arrangement...\Let's get trough this in one go.\It's better not to mess around too much...\I'm feeling a bit sick. This disgusts me.\Now, where have we seen this?\Well, I guess that to Kid a place with no symmetry is like a place full of monsters to a normal person...\That's a good way to put it for a normal situation but, you know... response:	Aren't they scary just as it is?
context: Oi, forget about the careless arrangement...\Let's get trough this in one go.\It's better not to mess around too much...\I'm feeling a bit sick. This disgusts me.\Now, where have we seen this?\Well, I guess that to Kid a place with no symmetry is like a place full of monsters to a normal person...\That's a good way to put it for a normal situation but, you know...\Aren't they scary just as it is? response:	Yeah, you make a really good point.
