context: Serial Killer!! in Akihabara? response:	That serial killer showed up again?
context: Serial Killer!! in Akihabara?\That serial killer showed up again? response:	We don't die, so it's kind of hard to understand.
context: Serial Killer!! in Akihabara?\That serial killer showed up again?\We don't die, so it's kind of hard to understand. response:	But that makes it even scarier.
context: Serial Killer!! in Akihabara?\That serial killer showed up again?\We don't die, so it's kind of hard to understand.\But that makes it even scarier. response:	How many victims have there been?
context: Serial Killer!! in Akihabara?\That serial killer showed up again?\We don't die, so it's kind of hard to understand.\But that makes it even scarier.\How many victims have there been? response:	I wish they wouldn't do it at a time like this.
context: Serial Killer!! in Akihabara?\That serial killer showed up again?\We don't die, so it's kind of hard to understand.\But that makes it even scarier.\How many victims have there been?\I wish they wouldn't do it at a time like this. response:	It's hurting our sales, and ruining our Christmas.
context: Serial Killer!! in Akihabara?\That serial killer showed up again?\We don't die, so it's kind of hard to understand.\But that makes it even scarier.\How many victims have there been?\I wish they wouldn't do it at a time like this.\It's hurting our sales, and ruining our Christmas. response:	But why doesn't the Royal Guard show up?
context: Serial Killer!! in Akihabara?\That serial killer showed up again?\We don't die, so it's kind of hard to understand.\But that makes it even scarier.\How many victims have there been?\I wish they wouldn't do it at a time like this.\It's hurting our sales, and ruining our Christmas.\But why doesn't the Royal Guard show up? response:	Now that you mention it...
context: That serial killer showed up again?\We don't die, so it's kind of hard to understand.\But that makes it even scarier.\How many victims have there been?\I wish they wouldn't do it at a time like this.\It's hurting our sales, and ruining our Christmas.\But why doesn't the Royal Guard show up?\Now that you mention it... response:	The Royal Guard is a security system from when this world was a game.
context: We don't die, so it's kind of hard to understand.\But that makes it even scarier.\How many victims have there been?\I wish they wouldn't do it at a time like this.\It's hurting our sales, and ruining our Christmas.\But why doesn't the Royal Guard show up?\Now that you mention it...\The Royal Guard is a security system from when this world was a game. response:	They immediately detect any violent acts committed within no-combat zones,
context: But that makes it even scarier.\How many victims have there been?\I wish they wouldn't do it at a time like this.\It's hurting our sales, and ruining our Christmas.\But why doesn't the Royal Guard show up?\Now that you mention it...\The Royal Guard is a security system from when this world was a game.\They immediately detect any violent acts committed within no-combat zones, response:	and teleport in to neutralize the situation.
context: How many victims have there been?\I wish they wouldn't do it at a time like this.\It's hurting our sales, and ruining our Christmas.\But why doesn't the Royal Guard show up?\Now that you mention it...\The Royal Guard is a security system from when this world was a game.\They immediately detect any violent acts committed within no-combat zones,\and teleport in to neutralize the situation. response:	They have equipment called movable armor that allows them to use external magic
context: I wish they wouldn't do it at a time like this.\It's hurting our sales, and ruining our Christmas.\But why doesn't the Royal Guard show up?\Now that you mention it...\The Royal Guard is a security system from when this world was a game.\They immediately detect any violent acts committed within no-combat zones,\and teleport in to neutralize the situation.\They have equipment called movable armor that allows them to use external magic response:	to greatly increase their physical abilities.
context: It's hurting our sales, and ruining our Christmas.\But why doesn't the Royal Guard show up?\Now that you mention it...\The Royal Guard is a security system from when this world was a game.\They immediately detect any violent acts committed within no-combat zones,\and teleport in to neutralize the situation.\They have equipment called movable armor that allows them to use external magic\to greatly increase their physical abilities. response:	This gives the Royal Guard,
context: But why doesn't the Royal Guard show up?\Now that you mention it...\The Royal Guard is a security system from when this world was a game.\They immediately detect any violent acts committed within no-combat zones,\and teleport in to neutralize the situation.\They have equipment called movable armor that allows them to use external magic\to greatly increase their physical abilities.\This gives the Royal Guard, response:	who are People of the Land, power that exceeds that of adventurers,
context: Now that you mention it...\The Royal Guard is a security system from when this world was a game.\They immediately detect any violent acts committed within no-combat zones,\and teleport in to neutralize the situation.\They have equipment called movable armor that allows them to use external magic\to greatly increase their physical abilities.\This gives the Royal Guard,\who are People of the Land, power that exceeds that of adventurers, response:	allowing them to keep the city safe.
context: The Royal Guard is a security system from when this world was a game.\They immediately detect any violent acts committed within no-combat zones,\and teleport in to neutralize the situation.\They have equipment called movable armor that allows them to use external magic\to greatly increase their physical abilities.\This gives the Royal Guard,\who are People of the Land, power that exceeds that of adventurers,\allowing them to keep the city safe. response:	Tomorrow's Christmas Eve, huh?
context: They immediately detect any violent acts committed within no-combat zones,\and teleport in to neutralize the situation.\They have equipment called movable armor that allows them to use external magic\to greatly increase their physical abilities.\This gives the Royal Guard,\who are People of the Land, power that exceeds that of adventurers,\allowing them to keep the city safe.\Tomorrow's Christmas Eve, huh? response:	And look what we're doing.
context: and teleport in to neutralize the situation.\They have equipment called movable armor that allows them to use external magic\to greatly increase their physical abilities.\This gives the Royal Guard,\who are People of the Land, power that exceeds that of adventurers,\allowing them to keep the city safe.\Tomorrow's Christmas Eve, huh?\And look what we're doing. response:	It can't be helped.
context: They have equipment called movable armor that allows them to use external magic\to greatly increase their physical abilities.\This gives the Royal Guard,\who are People of the Land, power that exceeds that of adventurers,\allowing them to keep the city safe.\Tomorrow's Christmas Eve, huh?\And look what we're doing.\It can't be helped. response:	No sign of anything so far.
context: to greatly increase their physical abilities.\This gives the Royal Guard,\who are People of the Land, power that exceeds that of adventurers,\allowing them to keep the city safe.\Tomorrow's Christmas Eve, huh?\And look what we're doing.\It can't be helped.\No sign of anything so far. response:	Moving to the next block.
context: This gives the Royal Guard,\who are People of the Land, power that exceeds that of adventurers,\allowing them to keep the city safe.\Tomorrow's Christmas Eve, huh?\And look what we're doing.\It can't be helped.\No sign of anything so far.\Moving to the next block. response:	When you go looking for them, they don't show up.
context: who are People of the Land, power that exceeds that of adventurers,\allowing them to keep the city safe.\Tomorrow's Christmas Eve, huh?\And look what we're doing.\It can't be helped.\No sign of anything so far.\Moving to the next block.\When you go looking for them, they don't show up. response:	This isn't even a quest.
context: allowing them to keep the city safe.\Tomorrow's Christmas Eve, huh?\And look what we're doing.\It can't be helped.\No sign of anything so far.\Moving to the next block.\When you go looking for them, they don't show up.\This isn't even a quest. response:	And it's kind of cold.
context: Tomorrow's Christmas Eve, huh?\And look what we're doing.\It can't be helped.\No sign of anything so far.\Moving to the next block.\When you go looking for them, they don't show up.\This isn't even a quest.\And it's kind of cold. response:	That's him!
context: And look what we're doing.\It can't be helped.\No sign of anything so far.\Moving to the next block.\When you go looking for them, they don't show up.\This isn't even a quest.\And it's kind of cold.\That's him! response:	Where did he come from?
context: It can't be helped.\No sign of anything so far.\Moving to the next block.\When you go looking for them, they don't show up.\This isn't even a quest.\And it's kind of cold.\That's him!\Where did he come from? response:	Status! Identify him first!
context: No sign of anything so far.\Moving to the next block.\When you go looking for them, they don't show up.\This isn't even a quest.\And it's kind of cold.\That's him!\Where did he come from?\Status! Identify him first! response:	What the hell?
context: Moving to the next block.\When you go looking for them, they don't show up.\This isn't even a quest.\And it's kind of cold.\That's him!\Where did he come from?\Status! Identify him first!\What the hell? response:	He's
context: When you go looking for them, they don't show up.\This isn't even a quest.\And it's kind of cold.\That's him!\Where did he come from?\Status! Identify him first!\What the hell?\He's response:	Christmas Eve
context: This isn't even a quest.\And it's kind of cold.\That's him!\Where did he come from?\Status! Identify him first!\What the hell?\He's\Christmas Eve response:	Christmas Eve.
context: And it's kind of cold.\That's him!\Where did he come from?\Status! Identify him first!\What the hell?\He's\Christmas Eve\Christmas Eve. response:	It's Christmas Eve
context: That's him!\Where did he come from?\Status! Identify him first!\What the hell?\He's\Christmas Eve\Christmas Eve.\It's Christmas Eve response:	Wiped out?
context: Where did he come from?\Status! Identify him first!\What the hell?\He's\Christmas Eve\Christmas Eve.\It's Christmas Eve\Wiped out? response:	Yes. They were some of my guild's best adventurers.
context: Status! Identify him first!\What the hell?\He's\Christmas Eve\Christmas Eve.\It's Christmas Eve\Wiped out?\Yes. They were some of my guild's best adventurers. response:	That puts the death count over ten.
context: What the hell?\He's\Christmas Eve\Christmas Eve.\It's Christmas Eve\Wiped out?\Yes. They were some of my guild's best adventurers.\That puts the death count over ten. response:	His name is Embert Nelreth.
context: He's\Christmas Eve\Christmas Eve.\It's Christmas Eve\Wiped out?\Yes. They were some of my guild's best adventurers.\That puts the death count over ten.\His name is Embert Nelreth. response:	No guild affiliation, samurai class,
context: Christmas Eve\Christmas Eve.\It's Christmas Eve\Wiped out?\Yes. They were some of my guild's best adventurers.\That puts the death count over ten.\His name is Embert Nelreth.\No guild affiliation, samurai class, response:	level 94.
context: Christmas Eve.\It's Christmas Eve\Wiped out?\Yes. They were some of my guild's best adventurers.\That puts the death count over ten.\His name is Embert Nelreth.\No guild affiliation, samurai class,\level 94. response:	That's all the information we have.
context: It's Christmas Eve\Wiped out?\Yes. They were some of my guild's best adventurers.\That puts the death count over ten.\His name is Embert Nelreth.\No guild affiliation, samurai class,\level 94.\That's all the information we have. response:	No, the bigger problem is that we know this much and still can't do anything.
context: Wiped out?\Yes. They were some of my guild's best adventurers.\That puts the death count over ten.\His name is Embert Nelreth.\No guild affiliation, samurai class,\level 94.\That's all the information we have.\No, the bigger problem is that we know this much and still can't do anything. response:	Yeah.
context: Yes. They were some of my guild's best adventurers.\That puts the death count over ten.\His name is Embert Nelreth.\No guild affiliation, samurai class,\level 94.\That's all the information we have.\No, the bigger problem is that we know this much and still can't do anything.\Yeah. response:	And even if he killed us, that wouldn't be the end.
context: That puts the death count over ten.\His name is Embert Nelreth.\No guild affiliation, samurai class,\level 94.\That's all the information we have.\No, the bigger problem is that we know this much and still can't do anything.\Yeah.\And even if he killed us, that wouldn't be the end. response:	Not for us adventurers.
context: His name is Embert Nelreth.\No guild affiliation, samurai class,\level 94.\That's all the information we have.\No, the bigger problem is that we know this much and still can't do anything.\Yeah.\And even if he killed us, that wouldn't be the end.\Not for us adventurers. response:	Part of me thinks we aren't worried enough, but that's better than panic.
context: No guild affiliation, samurai class,\level 94.\That's all the information we have.\No, the bigger problem is that we know this much and still can't do anything.\Yeah.\And even if he killed us, that wouldn't be the end.\Not for us adventurers.\Part of me thinks we aren't worried enough, but that's better than panic. response:	But if we can't solve this soon, I don't think that will last.
context: level 94.\That's all the information we have.\No, the bigger problem is that we know this much and still can't do anything.\Yeah.\And even if he killed us, that wouldn't be the end.\Not for us adventurers.\Part of me thinks we aren't worried enough, but that's better than panic.\But if we can't solve this soon, I don't think that will last. response:	Evacuation is one possibility, I think.
context: That's all the information we have.\No, the bigger problem is that we know this much and still can't do anything.\Yeah.\And even if he killed us, that wouldn't be the end.\Not for us adventurers.\Part of me thinks we aren't worried enough, but that's better than panic.\But if we can't solve this soon, I don't think that will last.\Evacuation is one possibility, I think. response:	Abandon Akihabara?
context: No, the bigger problem is that we know this much and still can't do anything.\Yeah.\And even if he killed us, that wouldn't be the end.\Not for us adventurers.\Part of me thinks we aren't worried enough, but that's better than panic.\But if we can't solve this soon, I don't think that will last.\Evacuation is one possibility, I think.\Abandon Akihabara? response:	Only as an emergency measure.
context: Yeah.\And even if he killed us, that wouldn't be the end.\Not for us adventurers.\Part of me thinks we aren't worried enough, but that's better than panic.\But if we can't solve this soon, I don't think that will last.\Evacuation is one possibility, I think.\Abandon Akihabara?\Only as an emergency measure. response:	We could move to Shibuya temporarily.
context: And even if he killed us, that wouldn't be the end.\Not for us adventurers.\Part of me thinks we aren't worried enough, but that's better than panic.\But if we can't solve this soon, I don't think that will last.\Evacuation is one possibility, I think.\Abandon Akihabara?\Only as an emergency measure.\We could move to Shibuya temporarily. response:	You're being too dramatic.
context: Not for us adventurers.\Part of me thinks we aren't worried enough, but that's better than panic.\But if we can't solve this soon, I don't think that will last.\Evacuation is one possibility, I think.\Abandon Akihabara?\Only as an emergency measure.\We could move to Shibuya temporarily.\You're being too dramatic. response:	And anyway, that's not something those of us
context: Part of me thinks we aren't worried enough, but that's better than panic.\But if we can't solve this soon, I don't think that will last.\Evacuation is one possibility, I think.\Abandon Akihabara?\Only as an emergency measure.\We could move to Shibuya temporarily.\You're being too dramatic.\And anyway, that's not something those of us response:	in this room can decide on our own.
context: But if we can't solve this soon, I don't think that will last.\Evacuation is one possibility, I think.\Abandon Akihabara?\Only as an emergency measure.\We could move to Shibuya temporarily.\You're being too dramatic.\And anyway, that's not something those of us\in this room can decide on our own. response:	Still, maybe we should at least evacuate the lower-leveled kids?
context: Evacuation is one possibility, I think.\Abandon Akihabara?\Only as an emergency measure.\We could move to Shibuya temporarily.\You're being too dramatic.\And anyway, that's not something those of us\in this room can decide on our own.\Still, maybe we should at least evacuate the lower-leveled kids? response:	That's worth discussing.
context: Abandon Akihabara?\Only as an emergency measure.\We could move to Shibuya temporarily.\You're being too dramatic.\And anyway, that's not something those of us\in this room can decide on our own.\Still, maybe we should at least evacuate the lower-leveled kids?\That's worth discussing. response:	But still, serial killings in Akihabara?
context: Only as an emergency measure.\We could move to Shibuya temporarily.\You're being too dramatic.\And anyway, that's not something those of us\in this room can decide on our own.\Still, maybe we should at least evacuate the lower-leveled kids?\That's worth discussing.\But still, serial killings in Akihabara? response:	We need to think of some way to stop it.
context: We could move to Shibuya temporarily.\You're being too dramatic.\And anyway, that's not something those of us\in this room can decide on our own.\Still, maybe we should at least evacuate the lower-leveled kids?\That's worth discussing.\But still, serial killings in Akihabara?\We need to think of some way to stop it. response:	Yes.
context: You're being too dramatic.\And anyway, that's not something those of us\in this room can decide on our own.\Still, maybe we should at least evacuate the lower-leveled kids?\That's worth discussing.\But still, serial killings in Akihabara?\We need to think of some way to stop it.\Yes. response:	By the way, what's the villain in glasses doing?
context: And anyway, that's not something those of us\in this room can decide on our own.\Still, maybe we should at least evacuate the lower-leveled kids?\That's worth discussing.\But still, serial killings in Akihabara?\We need to think of some way to stop it.\Yes.\By the way, what's the villain in glasses doing? response:	He keeps missing the conferences that he initiated himself.
context: in this room can decide on our own.\Still, maybe we should at least evacuate the lower-leveled kids?\That's worth discussing.\But still, serial killings in Akihabara?\We need to think of some way to stop it.\Yes.\By the way, what's the villain in glasses doing?\He keeps missing the conferences that he initiated himself. response:	Well, he's, um... You know...
context: Still, maybe we should at least evacuate the lower-leveled kids?\That's worth discussing.\But still, serial killings in Akihabara?\We need to think of some way to stop it.\Yes.\By the way, what's the villain in glasses doing?\He keeps missing the conferences that he initiated himself.\Well, he's, um... You know... response:	He's out and about, trying to deal with our financial problems.
context: That's worth discussing.\But still, serial killings in Akihabara?\We need to think of some way to stop it.\Yes.\By the way, what's the villain in glasses doing?\He keeps missing the conferences that he initiated himself.\Well, he's, um... You know...\He's out and about, trying to deal with our financial problems. response:	You know, it's December, and the Christmas event is tomorrow.
context: But still, serial killings in Akihabara?\We need to think of some way to stop it.\Yes.\By the way, what's the villain in glasses doing?\He keeps missing the conferences that he initiated himself.\Well, he's, um... You know...\He's out and about, trying to deal with our financial problems.\You know, it's December, and the Christmas event is tomorrow. response:	Zantleaf?
context: We need to think of some way to stop it.\Yes.\By the way, what's the villain in glasses doing?\He keeps missing the conferences that he initiated himself.\Well, he's, um... You know...\He's out and about, trying to deal with our financial problems.\You know, it's December, and the Christmas event is tomorrow.\Zantleaf? response:	Yep.
context: Yes.\By the way, what's the villain in glasses doing?\He keeps missing the conferences that he initiated himself.\Well, he's, um... You know...\He's out and about, trying to deal with our financial problems.\You know, it's December, and the Christmas event is tomorrow.\Zantleaf?\Yep. response:	Anyone below level 50 is being asked to help take out the goblins.
context: By the way, what's the villain in glasses doing?\He keeps missing the conferences that he initiated himself.\Well, he's, um... You know...\He's out and about, trying to deal with our financial problems.\You know, it's December, and the Christmas event is tomorrow.\Zantleaf?\Yep.\Anyone below level 50 is being asked to help take out the goblins. response:	Isn't that just an excuse to get us away from the serial killer?
context: He keeps missing the conferences that he initiated himself.\Well, he's, um... You know...\He's out and about, trying to deal with our financial problems.\You know, it's December, and the Christmas event is tomorrow.\Zantleaf?\Yep.\Anyone below level 50 is being asked to help take out the goblins.\Isn't that just an excuse to get us away from the serial killer? response:	Well, that's at the heart of it, I'd imagine.
context: Well, he's, um... You know...\He's out and about, trying to deal with our financial problems.\You know, it's December, and the Christmas event is tomorrow.\Zantleaf?\Yep.\Anyone below level 50 is being asked to help take out the goblins.\Isn't that just an excuse to get us away from the serial killer?\Well, that's at the heart of it, I'd imagine. response:	I don't want special treatment, Chief!
context: He's out and about, trying to deal with our financial problems.\You know, it's December, and the Christmas event is tomorrow.\Zantleaf?\Yep.\Anyone below level 50 is being asked to help take out the goblins.\Isn't that just an excuse to get us away from the serial killer?\Well, that's at the heart of it, I'd imagine.\I don't want special treatment, Chief! response:	We can also
context: You know, it's December, and the Christmas event is tomorrow.\Zantleaf?\Yep.\Anyone below level 50 is being asked to help take out the goblins.\Isn't that just an excuse to get us away from the serial killer?\Well, that's at the heart of it, I'd imagine.\I don't want special treatment, Chief!\We can also response:	Tohya!
context: Zantleaf?\Yep.\Anyone below level 50 is being asked to help take out the goblins.\Isn't that just an excuse to get us away from the serial killer?\Well, that's at the heart of it, I'd imagine.\I don't want special treatment, Chief!\We can also\Tohya! response:	Do you want to defeat the murderer?
context: Yep.\Anyone below level 50 is being asked to help take out the goblins.\Isn't that just an excuse to get us away from the serial killer?\Well, that's at the heart of it, I'd imagine.\I don't want special treatment, Chief!\We can also\Tohya!\Do you want to defeat the murderer? response:	Of course!
context: Anyone below level 50 is being asked to help take out the goblins.\Isn't that just an excuse to get us away from the serial killer?\Well, that's at the heart of it, I'd imagine.\I don't want special treatment, Chief!\We can also\Tohya!\Do you want to defeat the murderer?\Of course! response:	You might die.
context: Isn't that just an excuse to get us away from the serial killer?\Well, that's at the heart of it, I'd imagine.\I don't want special treatment, Chief!\We can also\Tohya!\Do you want to defeat the murderer?\Of course!\You might die. response:	I'm prepared for that.
context: Well, that's at the heart of it, I'd imagine.\I don't want special treatment, Chief!\We can also\Tohya!\Do you want to defeat the murderer?\Of course!\You might die.\I'm prepared for that. response:	Because you'll come back to life?
context: I don't want special treatment, Chief!\We can also\Tohya!\Do you want to defeat the murderer?\Of course!\You might die.\I'm prepared for that.\Because you'll come back to life? response:	N-No, that's not it...
context: We can also\Tohya!\Do you want to defeat the murderer?\Of course!\You might die.\I'm prepared for that.\Because you'll come back to life?\N-No, that's not it... response:	Tohya?
context: Tohya!\Do you want to defeat the murderer?\Of course!\You might die.\I'm prepared for that.\Because you'll come back to life?\N-No, that's not it...\Tohya? response:	Is that how a front-line fighter should think?
context: Do you want to defeat the murderer?\Of course!\You might die.\I'm prepared for that.\Because you'll come back to life?\N-No, that's not it...\Tohya?\Is that how a front-line fighter should think? response:	O-Oh...
context: Of course!\You might die.\I'm prepared for that.\Because you'll come back to life?\N-No, that's not it...\Tohya?\Is that how a front-line fighter should think?\O-Oh... response:	That's right.
context: You might die.\I'm prepared for that.\Because you'll come back to life?\N-No, that's not it...\Tohya?\Is that how a front-line fighter should think?\O-Oh...\That's right. response:	If I rush in and die, the party won't be able to function.
context: I'm prepared for that.\Because you'll come back to life?\N-No, that's not it...\Tohya?\Is that how a front-line fighter should think?\O-Oh...\That's right.\If I rush in and die, the party won't be able to function. response:	Not only that.
context: Because you'll come back to life?\N-No, that's not it...\Tohya?\Is that how a front-line fighter should think?\O-Oh...\That's right.\If I rush in and die, the party won't be able to function.\Not only that. response:	Just the fact that you revive
context: N-No, that's not it...\Tohya?\Is that how a front-line fighter should think?\O-Oh...\That's right.\If I rush in and die, the party won't be able to function.\Not only that.\Just the fact that you revive response:	means that, essentially, you're getting special treatment.
context: Tohya?\Is that how a front-line fighter should think?\O-Oh...\That's right.\If I rush in and die, the party won't be able to function.\Not only that.\Just the fact that you revive\means that, essentially, you're getting special treatment. response:	By getting used to that, thinking of it as normal...
context: Is that how a front-line fighter should think?\O-Oh...\That's right.\If I rush in and die, the party won't be able to function.\Not only that.\Just the fact that you revive\means that, essentially, you're getting special treatment.\By getting used to that, thinking of it as normal... response:	It seems to me that you lose something in exchange.
context: O-Oh...\That's right.\If I rush in and die, the party won't be able to function.\Not only that.\Just the fact that you revive\means that, essentially, you're getting special treatment.\By getting used to that, thinking of it as normal...\It seems to me that you lose something in exchange. response:	Akatsuki didn't come home again today.
context: That's right.\If I rush in and die, the party won't be able to function.\Not only that.\Just the fact that you revive\means that, essentially, you're getting special treatment.\By getting used to that, thinking of it as normal...\It seems to me that you lose something in exchange.\Akatsuki didn't come home again today. response:	It's Christmas Eve. Want to get something to eat somewhere?
context: If I rush in and die, the party won't be able to function.\Not only that.\Just the fact that you revive\means that, essentially, you're getting special treatment.\By getting used to that, thinking of it as normal...\It seems to me that you lose something in exchange.\Akatsuki didn't come home again today.\It's Christmas Eve. Want to get something to eat somewhere? response:	Where are you,
context: Not only that.\Just the fact that you revive\means that, essentially, you're getting special treatment.\By getting used to that, thinking of it as normal...\It seems to me that you lose something in exchange.\Akatsuki didn't come home again today.\It's Christmas Eve. Want to get something to eat somewhere?\Where are you, response:	I-I'll pay!
