context: There's so much I need to talk about. response:	About her.
context: There's so much I need to talk about.\About her. response:	Him.
context: There's so much I need to talk about.\About her.\Him. response:	Him.
context: There's so much I need to talk about.\About her.\Him.\Him. response:	Her.
context: There's so much I need to talk about.\About her.\Him.\Him.\Her. response:	Him.
context: There's so much I need to talk about.\About her.\Him.\Him.\Her.\Him. response:	Hey!
context: There's so much I need to talk about.\About her.\Him.\Him.\Her.\Him.\Hey! response:	And him.
context: There's so much I need to talk about.\About her.\Him.\Him.\Her.\Him.\Hey!\And him. response:	But it wouldn't make sense to start here.
context: About her.\Him.\Him.\Her.\Him.\Hey!\And him.\But it wouldn't make sense to start here. response:	Let's go back to the beginning.
context: Him.\Him.\Her.\Him.\Hey!\And him.\But it wouldn't make sense to start here.\Let's go back to the beginning. response:	Sitting Next To Yoshida-kun
context: Him.\Her.\Him.\Hey!\And him.\But it wouldn't make sense to start here.\Let's go back to the beginning.\Sitting Next To Yoshida-kun response:	My name is Mizutani Shizuku.
context: Her.\Him.\Hey!\And him.\But it wouldn't make sense to start here.\Let's go back to the beginning.\Sitting Next To Yoshida-kun\My name is Mizutani Shizuku. response:	I'm a first-year at Syoyo High School.
context: Him.\Hey!\And him.\But it wouldn't make sense to start here.\Let's go back to the beginning.\Sitting Next To Yoshida-kun\My name is Mizutani Shizuku.\I'm a first-year at Syoyo High School. response:	I sit next to Yoshida-kun,
context: Hey!\And him.\But it wouldn't make sense to start here.\Let's go back to the beginning.\Sitting Next To Yoshida-kun\My name is Mizutani Shizuku.\I'm a first-year at Syoyo High School.\I sit next to Yoshida-kun, response:	who hasn't come to class once
context: And him.\But it wouldn't make sense to start here.\Let's go back to the beginning.\Sitting Next To Yoshida-kun\My name is Mizutani Shizuku.\I'm a first-year at Syoyo High School.\I sit next to Yoshida-kun,\who hasn't come to class once response:	after spilling blood on the first day of school.
context: But it wouldn't make sense to start here.\Let's go back to the beginning.\Sitting Next To Yoshida-kun\My name is Mizutani Shizuku.\I'm a first-year at Syoyo High School.\I sit next to Yoshida-kun,\who hasn't come to class once\after spilling blood on the first day of school. response:	I heard he was covered in blood and laughing.
context: Let's go back to the beginning.\Sitting Next To Yoshida-kun\My name is Mizutani Shizuku.\I'm a first-year at Syoyo High School.\I sit next to Yoshida-kun,\who hasn't come to class once\after spilling blood on the first day of school.\I heard he was covered in blood and laughing. response:	Now, Yoshida Haru
context: Sitting Next To Yoshida-kun\My name is Mizutani Shizuku.\I'm a first-year at Syoyo High School.\I sit next to Yoshida-kun,\who hasn't come to class once\after spilling blood on the first day of school.\I heard he was covered in blood and laughing.\Now, Yoshida Haru response:	They say he hangs out with scary people.
context: My name is Mizutani Shizuku.\I'm a first-year at Syoyo High School.\I sit next to Yoshida-kun,\who hasn't come to class once\after spilling blood on the first day of school.\I heard he was covered in blood and laughing.\Now, Yoshida Haru\They say he hangs out with scary people. response:	He can shatter concrete with a sideways karate chop.
context: I'm a first-year at Syoyo High School.\I sit next to Yoshida-kun,\who hasn't come to class once\after spilling blood on the first day of school.\I heard he was covered in blood and laughing.\Now, Yoshida Haru\They say he hangs out with scary people.\He can shatter concrete with a sideways karate chop. response:	is the hot topic of the school as the phantom first-year.
context: I sit next to Yoshida-kun,\who hasn't come to class once\after spilling blood on the first day of school.\I heard he was covered in blood and laughing.\Now, Yoshida Haru\They say he hangs out with scary people.\He can shatter concrete with a sideways karate chop.\is the hot topic of the school as the phantom first-year. response:	A month ago, he put several upperclassmen in the hospital,
context: who hasn't come to class once\after spilling blood on the first day of school.\I heard he was covered in blood and laughing.\Now, Yoshida Haru\They say he hangs out with scary people.\He can shatter concrete with a sideways karate chop.\is the hot topic of the school as the phantom first-year.\A month ago, he put several upperclassmen in the hospital, response:	and you can still find lingering evidence of
context: after spilling blood on the first day of school.\I heard he was covered in blood and laughing.\Now, Yoshida Haru\They say he hangs out with scary people.\He can shatter concrete with a sideways karate chop.\is the hot topic of the school as the phantom first-year.\A month ago, he put several upperclassmen in the hospital,\and you can still find lingering evidence of response:	the carnage at the crime scene.
context: I heard he was covered in blood and laughing.\Now, Yoshida Haru\They say he hangs out with scary people.\He can shatter concrete with a sideways karate chop.\is the hot topic of the school as the phantom first-year.\A month ago, he put several upperclassmen in the hospital,\and you can still find lingering evidence of\the carnage at the crime scene. response:	However, none of that mattered to me.
context: Now, Yoshida Haru\They say he hangs out with scary people.\He can shatter concrete with a sideways karate chop.\is the hot topic of the school as the phantom first-year.\A month ago, he put several upperclassmen in the hospital,\and you can still find lingering evidence of\the carnage at the crime scene.\However, none of that mattered to me. response:	I could use a new study guide...
context: They say he hangs out with scary people.\He can shatter concrete with a sideways karate chop.\is the hot topic of the school as the phantom first-year.\A month ago, he put several upperclassmen in the hospital,\and you can still find lingering evidence of\the carnage at the crime scene.\However, none of that mattered to me.\I could use a new study guide... response:	10,000,000 Yen Annual Income 1st Grade Class 1, Mizutani Shizuku
context: He can shatter concrete with a sideways karate chop.\is the hot topic of the school as the phantom first-year.\A month ago, he put several upperclassmen in the hospital,\and you can still find lingering evidence of\the carnage at the crime scene.\However, none of that mattered to me.\I could use a new study guide...\10,000,000 Yen Annual Income 1st Grade Class 1, Mizutani Shizuku response:	I have a dream.
context: is the hot topic of the school as the phantom first-year.\A month ago, he put several upperclassmen in the hospital,\and you can still find lingering evidence of\the carnage at the crime scene.\However, none of that mattered to me.\I could use a new study guide...\10,000,000 Yen Annual Income 1st Grade Class 1, Mizutani Shizuku\I have a dream. response:	In order to achieve that dream,
context: A month ago, he put several upperclassmen in the hospital,\and you can still find lingering evidence of\the carnage at the crime scene.\However, none of that mattered to me.\I could use a new study guide...\10,000,000 Yen Annual Income 1st Grade Class 1, Mizutani Shizuku\I have a dream.\In order to achieve that dream, response:	I am completely focused on calculus for the time being.
