context: Once upon a time, there was a child. response:	For the child, the world was filled with wonder.
context: Once upon a time, there was a child.\For the child, the world was filled with wonder. response:	How? Why? How come?
context: Once upon a time, there was a child.\For the child, the world was filled with wonder.\How? Why? How come? response:	When one mystery was solved, two new mysteries would arise.
context: Once upon a time, there was a child.\For the child, the world was filled with wonder.\How? Why? How come?\When one mystery was solved, two new mysteries would arise. response:	When two mysteries were solved, four new mysteries would arise.
context: Once upon a time, there was a child.\For the child, the world was filled with wonder.\How? Why? How come?\When one mystery was solved, two new mysteries would arise.\When two mysteries were solved, four new mysteries would arise. response:	When four mysteries were solved, there would be countless mysteries.
context: Once upon a time, there was a child.\For the child, the world was filled with wonder.\How? Why? How come?\When one mystery was solved, two new mysteries would arise.\When two mysteries were solved, four new mysteries would arise.\When four mysteries were solved, there would be countless mysteries. response:	In time, the child became consumed by these mysteries.
context: Once upon a time, there was a child.\For the child, the world was filled with wonder.\How? Why? How come?\When one mystery was solved, two new mysteries would arise.\When two mysteries were solved, four new mysteries would arise.\When four mysteries were solved, there would be countless mysteries.\In time, the child became consumed by these mysteries. response:	No! Stop!
context: Once upon a time, there was a child.\For the child, the world was filled with wonder.\How? Why? How come?\When one mystery was solved, two new mysteries would arise.\When two mysteries were solved, four new mysteries would arise.\When four mysteries were solved, there would be countless mysteries.\In time, the child became consumed by these mysteries.\No! Stop! response:	Please, don't come near me!
context: For the child, the world was filled with wonder.\How? Why? How come?\When one mystery was solved, two new mysteries would arise.\When two mysteries were solved, four new mysteries would arise.\When four mysteries were solved, there would be countless mysteries.\In time, the child became consumed by these mysteries.\No! Stop!\Please, don't come near me! response:	Tutu...
context: How? Why? How come?\When one mystery was solved, two new mysteries would arise.\When two mysteries were solved, four new mysteries would arise.\When four mysteries were solved, there would be countless mysteries.\In time, the child became consumed by these mysteries.\No! Stop!\Please, don't come near me!\Tutu... response:	No, I didn't mean to make him suffer!
context: When one mystery was solved, two new mysteries would arise.\When two mysteries were solved, four new mysteries would arise.\When four mysteries were solved, there would be countless mysteries.\In time, the child became consumed by these mysteries.\No! Stop!\Please, don't come near me!\Tutu...\No, I didn't mean to make him suffer! response:	Not knowing what all the feelings were, like to be happy and to love...
context: When two mysteries were solved, four new mysteries would arise.\When four mysteries were solved, there would be countless mysteries.\In time, the child became consumed by these mysteries.\No! Stop!\Please, don't come near me!\Tutu...\No, I didn't mean to make him suffer!\Not knowing what all the feelings were, like to be happy and to love... response:	I thought that was sad, and that's why... that's why...
context: When four mysteries were solved, there would be countless mysteries.\In time, the child became consumed by these mysteries.\No! Stop!\Please, don't come near me!\Tutu...\No, I didn't mean to make him suffer!\Not knowing what all the feelings were, like to be happy and to love...\I thought that was sad, and that's why... that's why... response:	Quack! Quack, quack, quack, quack, quack!
context: In time, the child became consumed by these mysteries.\No! Stop!\Please, don't come near me!\Tutu...\No, I didn't mean to make him suffer!\Not knowing what all the feelings were, like to be happy and to love...\I thought that was sad, and that's why... that's why...\Quack! Quack, quack, quack, quack, quack! response:	Quack, quack, quack, quack, quack! Quack!
context: No! Stop!\Please, don't come near me!\Tutu...\No, I didn't mean to make him suffer!\Not knowing what all the feelings were, like to be happy and to love...\I thought that was sad, and that's why... that's why...\Quack! Quack, quack, quack, quack, quack!\Quack, quack, quack, quack, quack! Quack! response:	The Crow Princess
context: Please, don't come near me!\Tutu...\No, I didn't mean to make him suffer!\Not knowing what all the feelings were, like to be happy and to love...\I thought that was sad, and that's why... that's why...\Quack! Quack, quack, quack, quack, quack!\Quack, quack, quack, quack, quack! Quack!\The Crow Princess response:	I didn't mean for it to be like this.
