context: It is the turn of the 20th century. response:	The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,
context: It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet, response:	has created a dramatic shift in the balance of global power.
context: It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power. response:	With its monopoly on Cavorite, and the Air Fleet at its command,
context: It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command, response:	the Kingdom of Albion became the greatest world power since the Roman Empire.
context: It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire. response:	However,
context: It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However, response:	revolution split the kingdom into East and West,
context: It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West, response:	with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.
context: It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion. response:	Ten years later, London became the front line of a secret war fought between the nations' spies.
context: The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front line of a secret war fought between the nations' spies. response:	Wh-who are you?
context: has created a dramatic shift in the balance of global power.\With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front line of a secret war fought between the nations' spies.\Wh-who are you? response:	Just a passing extraterrestrial.
context: With its monopoly on Cavorite, and the Air Fleet at its command,\the Kingdom of Albion became the greatest world power since the Roman Empire.\However,\revolution split the kingdom into East and West,\with the London Wall separating the Kingdom of Albion from the Commonwealth of Albion.\Ten years later, London became the front line of a secret war fought between the nations' spies.\Wh-who are you?\Just a passing extraterrestrial. response:	What?
