context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	The Eye of the Midnight Sun arrived at the Witches' Forest,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun arrived at the Witches' Forest, response:	searching for a magic stone.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun arrived at the Witches' Forest,\searching for a magic stone. response:	Wanting to take advantage of the chaos they were causing,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun arrived at the Witches' Forest,\searching for a magic stone.\Wanting to take advantage of the chaos they were causing, response:	the Diamond Kingdom came to steal the Queen of Witches' secret.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun arrived at the Witches' Forest,\searching for a magic stone.\Wanting to take advantage of the chaos they were causing,\the Diamond Kingdom came to steal the Queen of Witches' secret. response:	Million Lasers!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun arrived at the Witches' Forest,\searching for a magic stone.\Wanting to take advantage of the chaos they were causing,\the Diamond Kingdom came to steal the Queen of Witches' secret.\Million Lasers! response:	Guess I'll just have to kill this chick first!
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun arrived at the Witches' Forest,\searching for a magic stone.\Wanting to take advantage of the chaos they were causing,\the Diamond Kingdom came to steal the Queen of Witches' secret.\Million Lasers!\Guess I'll just have to kill this chick first! response:	Don't!
context: He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun arrived at the Witches' Forest,\searching for a magic stone.\Wanting to take advantage of the chaos they were causing,\the Diamond Kingdom came to steal the Queen of Witches' secret.\Million Lasers!\Guess I'll just have to kill this chick first!\Don't! response:	Your lessons got through to me.
context: The Eye of the Midnight Sun arrived at the Witches' Forest,\searching for a magic stone.\Wanting to take advantage of the chaos they were causing,\the Diamond Kingdom came to steal the Queen of Witches' secret.\Million Lasers!\Guess I'll just have to kill this chick first!\Don't!\Your lessons got through to me. response:	Fanzell's former student Mars, who was still in the Diamond Kingdom's army,
