context: That took longer than expected. response:	I-I'm very sorry.
context: That took longer than expected.\I-I'm very sorry. response:	You're a weak-willed, inept brat whose only saving grace is swordsmanship,
context: That took longer than expected.\I-I'm very sorry.\You're a weak-willed, inept brat whose only saving grace is swordsmanship, response:	but I can turn you into a Rank 1 student who'll go down in Seidoukan history.
context: That took longer than expected.\I-I'm very sorry.\You're a weak-willed, inept brat whose only saving grace is swordsmanship,\but I can turn you into a Rank 1 student who'll go down in Seidoukan history. response:	Only my foolproof planning can make that possible.
context: That took longer than expected.\I-I'm very sorry.\You're a weak-willed, inept brat whose only saving grace is swordsmanship,\but I can turn you into a Rank 1 student who'll go down in Seidoukan history.\Only my foolproof planning can make that possible. response:	Yes, Uncle, I understand...
context: That took longer than expected.\I-I'm very sorry.\You're a weak-willed, inept brat whose only saving grace is swordsmanship,\but I can turn you into a Rank 1 student who'll go down in Seidoukan history.\Only my foolproof planning can make that possible.\Yes, Uncle, I understand... response:	Don't you ever forget that!
context: That took longer than expected.\I-I'm very sorry.\You're a weak-willed, inept brat whose only saving grace is swordsmanship,\but I can turn you into a Rank 1 student who'll go down in Seidoukan history.\Only my foolproof planning can make that possible.\Yes, Uncle, I understand...\Don't you ever forget that! response:	That is, if you want your dreams to come true!
context: That took longer than expected.\I-I'm very sorry.\You're a weak-willed, inept brat whose only saving grace is swordsmanship,\but I can turn you into a Rank 1 student who'll go down in Seidoukan history.\Only my foolproof planning can make that possible.\Yes, Uncle, I understand...\Don't you ever forget that!\That is, if you want your dreams to come true! response:	Yes, I understand.
context: I-I'm very sorry.\You're a weak-willed, inept brat whose only saving grace is swordsmanship,\but I can turn you into a Rank 1 student who'll go down in Seidoukan history.\Only my foolproof planning can make that possible.\Yes, Uncle, I understand...\Don't you ever forget that!\That is, if you want your dreams to come true!\Yes, I understand. response:	I understand, Uncle.
context: You're a weak-willed, inept brat whose only saving grace is swordsmanship,\but I can turn you into a Rank 1 student who'll go down in Seidoukan history.\Only my foolproof planning can make that possible.\Yes, Uncle, I understand...\Don't you ever forget that!\That is, if you want your dreams to come true!\Yes, I understand.\I understand, Uncle. response:	The True Face of the Girl
context: but I can turn you into a Rank 1 student who'll go down in Seidoukan history.\Only my foolproof planning can make that possible.\Yes, Uncle, I understand...\Don't you ever forget that!\That is, if you want your dreams to come true!\Yes, I understand.\I understand, Uncle.\The True Face of the Girl response:	Uh... So you are mad at me after all?
