context: The Master was as cute as always today... response:	She truly is an angel from Heaven.
context: The Master was as cute as always today...\She truly is an angel from Heaven. response:	Close the door already! I'm in my boxers.
context: The Master was as cute as always today...\She truly is an angel from Heaven.\Close the door already! I'm in my boxers. response:	Oh, and the folks will be visiting Mom's hometown over the weekend.
context: The Master was as cute as always today...\She truly is an angel from Heaven.\Close the door already! I'm in my boxers.\Oh, and the folks will be visiting Mom's hometown over the weekend. response:	As of tomorrow, it'll be just the two of us.
context: The Master was as cute as always today...\She truly is an angel from Heaven.\Close the door already! I'm in my boxers.\Oh, and the folks will be visiting Mom's hometown over the weekend.\As of tomorrow, it'll be just the two of us. response:	You wanna get some food delivered?
context: The Master was as cute as always today...\She truly is an angel from Heaven.\Close the door already! I'm in my boxers.\Oh, and the folks will be visiting Mom's hometown over the weekend.\As of tomorrow, it'll be just the two of us.\You wanna get some food delivered? response:	A-and so...
context: The Master was as cute as always today...\She truly is an angel from Heaven.\Close the door already! I'm in my boxers.\Oh, and the folks will be visiting Mom's hometown over the weekend.\As of tomorrow, it'll be just the two of us.\You wanna get some food delivered?\A-and so... response:	When I go back home today,
context: The Master was as cute as always today...\She truly is an angel from Heaven.\Close the door already! I'm in my boxers.\Oh, and the folks will be visiting Mom's hometown over the weekend.\As of tomorrow, it'll be just the two of us.\You wanna get some food delivered?\A-and so...\When I go back home today, response:	it will just be me and my brother!
context: She truly is an angel from Heaven.\Close the door already! I'm in my boxers.\Oh, and the folks will be visiting Mom's hometown over the weekend.\As of tomorrow, it'll be just the two of us.\You wanna get some food delivered?\A-and so...\When I go back home today,\it will just be me and my brother! response:	What's so bad about that?
context: Close the door already! I'm in my boxers.\Oh, and the folks will be visiting Mom's hometown over the weekend.\As of tomorrow, it'll be just the two of us.\You wanna get some food delivered?\A-and so...\When I go back home today,\it will just be me and my brother!\What's so bad about that? response:	Our house is Hell as it is, but now it will be Hades!
context: Oh, and the folks will be visiting Mom's hometown over the weekend.\As of tomorrow, it'll be just the two of us.\You wanna get some food delivered?\A-and so...\When I go back home today,\it will just be me and my brother!\What's so bad about that?\Our house is Hell as it is, but now it will be Hades! response:	How is Hades different from Hell...?
context: As of tomorrow, it'll be just the two of us.\You wanna get some food delivered?\A-and so...\When I go back home today,\it will just be me and my brother!\What's so bad about that?\Our house is Hell as it is, but now it will be Hades!\How is Hades different from Hell...? response:	Hey, you should just stay here tonight!
context: You wanna get some food delivered?\A-and so...\When I go back home today,\it will just be me and my brother!\What's so bad about that?\Our house is Hell as it is, but now it will be Hades!\How is Hades different from Hell...?\Hey, you should just stay here tonight! response:	WHAAAT?!
context: A-and so...\When I go back home today,\it will just be me and my brother!\What's so bad about that?\Our house is Hell as it is, but now it will be Hades!\How is Hades different from Hell...?\Hey, you should just stay here tonight!\WHAAAT?! response:	I-i-i-is th-th-that okay?
context: When I go back home today,\it will just be me and my brother!\What's so bad about that?\Our house is Hell as it is, but now it will be Hades!\How is Hades different from Hell...?\Hey, you should just stay here tonight!\WHAAAT?!\I-i-i-is th-th-that okay? response:	Yeah. I'll have to ask my brother, though.
context: it will just be me and my brother!\What's so bad about that?\Our house is Hell as it is, but now it will be Hades!\How is Hades different from Hell...?\Hey, you should just stay here tonight!\WHAAAT?!\I-i-i-is th-th-that okay?\Yeah. I'll have to ask my brother, though. response:	Sure, that's fine.
context: What's so bad about that?\Our house is Hell as it is, but now it will be Hades!\How is Hades different from Hell...?\Hey, you should just stay here tonight!\WHAAAT?!\I-i-i-is th-th-that okay?\Yeah. I'll have to ask my brother, though.\Sure, that's fine. response:	Score!
