context: Coming all the way out here, it's no wonder it's cold. response:	We are pretty far from Clarines.
context: Coming all the way out here, it's no wonder it's cold.\We are pretty far from Clarines. response:	Sorry, Shirayuki.
context: Coming all the way out here, it's no wonder it's cold.\We are pretty far from Clarines.\Sorry, Shirayuki. response:	We're in a hurry, so we can only take you partway.
context: Coming all the way out here, it's no wonder it's cold.\We are pretty far from Clarines.\Sorry, Shirayuki.\We're in a hurry, so we can only take you partway. response:	I apologize, as well.
context: Coming all the way out here, it's no wonder it's cold.\We are pretty far from Clarines.\Sorry, Shirayuki.\We're in a hurry, so we can only take you partway.\I apologize, as well. response:	Thank you for allowing me to travel with you and even ride with you.
context: Coming all the way out here, it's no wonder it's cold.\We are pretty far from Clarines.\Sorry, Shirayuki.\We're in a hurry, so we can only take you partway.\I apologize, as well.\Thank you for allowing me to travel with you and even ride with you. response:	I can't believe you have to go all the way to Laxdo for an errand.
context: Coming all the way out here, it's no wonder it's cold.\We are pretty far from Clarines.\Sorry, Shirayuki.\We're in a hurry, so we can only take you partway.\I apologize, as well.\Thank you for allowing me to travel with you and even ride with you.\I can't believe you have to go all the way to Laxdo for an errand. response:	Court herbalists have it rough, too.
context: Coming all the way out here, it's no wonder it's cold.\We are pretty far from Clarines.\Sorry, Shirayuki.\We're in a hurry, so we can only take you partway.\I apologize, as well.\Thank you for allowing me to travel with you and even ride with you.\I can't believe you have to go all the way to Laxdo for an errand.\Court herbalists have it rough, too. response:	It's because I'm still an apprentice.
context: We are pretty far from Clarines.\Sorry, Shirayuki.\We're in a hurry, so we can only take you partway.\I apologize, as well.\Thank you for allowing me to travel with you and even ride with you.\I can't believe you have to go all the way to Laxdo for an errand.\Court herbalists have it rough, too.\It's because I'm still an apprentice. response:	And we often study outside, as well.
context: Sorry, Shirayuki.\We're in a hurry, so we can only take you partway.\I apologize, as well.\Thank you for allowing me to travel with you and even ride with you.\I can't believe you have to go all the way to Laxdo for an errand.\Court herbalists have it rough, too.\It's because I'm still an apprentice.\And we often study outside, as well. response:	Speaking of which, when I told Lord Haruka that you passed,
context: We're in a hurry, so we can only take you partway.\I apologize, as well.\Thank you for allowing me to travel with you and even ride with you.\I can't believe you have to go all the way to Laxdo for an errand.\Court herbalists have it rough, too.\It's because I'm still an apprentice.\And we often study outside, as well.\Speaking of which, when I told Lord Haruka that you passed, response:	he said, Congratulations.
context: I apologize, as well.\Thank you for allowing me to travel with you and even ride with you.\I can't believe you have to go all the way to Laxdo for an errand.\Court herbalists have it rough, too.\It's because I'm still an apprentice.\And we often study outside, as well.\Speaking of which, when I told Lord Haruka that you passed,\he said, Congratulations. response:	But he said it with a sigh.
context: Thank you for allowing me to travel with you and even ride with you.\I can't believe you have to go all the way to Laxdo for an errand.\Court herbalists have it rough, too.\It's because I'm still an apprentice.\And we often study outside, as well.\Speaking of which, when I told Lord Haruka that you passed,\he said, Congratulations.\But he said it with a sigh. response:	He's funny, isn't he?
context: I can't believe you have to go all the way to Laxdo for an errand.\Court herbalists have it rough, too.\It's because I'm still an apprentice.\And we often study outside, as well.\Speaking of which, when I told Lord Haruka that you passed,\he said, Congratulations.\But he said it with a sigh.\He's funny, isn't he? response:	You can tell what he's thinking immediately.
context: Court herbalists have it rough, too.\It's because I'm still an apprentice.\And we often study outside, as well.\Speaking of which, when I told Lord Haruka that you passed,\he said, Congratulations.\But he said it with a sigh.\He's funny, isn't he?\You can tell what he's thinking immediately. response:	Yeah...
context: It's because I'm still an apprentice.\And we often study outside, as well.\Speaking of which, when I told Lord Haruka that you passed,\he said, Congratulations.\But he said it with a sigh.\He's funny, isn't he?\You can tell what he's thinking immediately.\Yeah... response:	Zen, did something happen?
context: And we often study outside, as well.\Speaking of which, when I told Lord Haruka that you passed,\he said, Congratulations.\But he said it with a sigh.\He's funny, isn't he?\You can tell what he's thinking immediately.\Yeah...\Zen, did something happen? response:	You're in a hurry?
