context: Is This the End!? A Brutally Transcendent Power Attacks Gohan response:	Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!
context: Is This the End!? A Brutally Transcendent Power Attacks Gohan\Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid! response:	K- Kakarotto, that smooth-headed one, and so on, all those guys from Earth take things too easily!
context: Is This the End!? A Brutally Transcendent Power Attacks Gohan\Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!\K- Kakarotto, that smooth-headed one, and so on, all those guys from Earth take things too easily! response:	Oh, my fault, my fault. It seems I have too much power, and can't control myself all that well.
context: Is This the End!? A Brutally Transcendent Power Attacks Gohan\Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!\K- Kakarotto, that smooth-headed one, and so on, all those guys from Earth take things too easily!\Oh, my fault, my fault. It seems I have too much power, and can't control myself all that well. response:	Krillin-san!
context: Is This the End!? A Brutally Transcendent Power Attacks Gohan\Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!\K- Kakarotto, that smooth-headed one, and so on, all those guys from Earth take things too easily!\Oh, my fault, my fault. It seems I have too much power, and can't control myself all that well.\Krillin-san! response:	Who would have thought you could still be this spirited?
context: Is This the End!? A Brutally Transcendent Power Attacks Gohan\Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!\K- Kakarotto, that smooth-headed one, and so on, all those guys from Earth take things too easily!\Oh, my fault, my fault. It seems I have too much power, and can't control myself all that well.\Krillin-san!\Who would have thought you could still be this spirited? response:	Gohan...
context: Is This the End!? A Brutally Transcendent Power Attacks Gohan\Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!\K- Kakarotto, that smooth-headed one, and so on, all those guys from Earth take things too easily!\Oh, my fault, my fault. It seems I have too much power, and can't control myself all that well.\Krillin-san!\Who would have thought you could still be this spirited?\Gohan... response:	How does that feel?
context: Is This the End!? A Brutally Transcendent Power Attacks Gohan\Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!\K- Kakarotto, that smooth-headed one, and so on, all those guys from Earth take things too easily!\Oh, my fault, my fault. It seems I have too much power, and can't control myself all that well.\Krillin-san!\Who would have thought you could still be this spirited?\Gohan...\How does that feel? response:	Not yet?
context: Bungling jackass! That's what you get for being distracted by that Nameksei-jin kid!\K- Kakarotto, that smooth-headed one, and so on, all those guys from Earth take things too easily!\Oh, my fault, my fault. It seems I have too much power, and can't control myself all that well.\Krillin-san!\Who would have thought you could still be this spirited?\Gohan...\How does that feel?\Not yet? response:	Not yet?
context: K- Kakarotto, that smooth-headed one, and so on, all those guys from Earth take things too easily!\Oh, my fault, my fault. It seems I have too much power, and can't control myself all that well.\Krillin-san!\Who would have thought you could still be this spirited?\Gohan...\How does that feel?\Not yet?\Not yet? response:	Damn it, not yet? Then how long?
context: Oh, my fault, my fault. It seems I have too much power, and can't control myself all that well.\Krillin-san!\Who would have thought you could still be this spirited?\Gohan...\How does that feel?\Not yet?\Not yet?\Damn it, not yet? Then how long? response:	Calm down, Yamcha!
context: Krillin-san!\Who would have thought you could still be this spirited?\Gohan...\How does that feel?\Not yet?\Not yet?\Damn it, not yet? Then how long?\Calm down, Yamcha! response:	It's not good to get so carried away!
context: Who would have thought you could still be this spirited?\Gohan...\How does that feel?\Not yet?\Not yet?\Damn it, not yet? Then how long?\Calm down, Yamcha!\It's not good to get so carried away! response:	How am I supposed to be calm about this?
context: Gohan...\How does that feel?\Not yet?\Not yet?\Damn it, not yet? Then how long?\Calm down, Yamcha!\It's not good to get so carried away!\How am I supposed to be calm about this? response:	Right now, Goku and Krillin and the others are off fighting for their lives against someone so awful,
