context: I've been tall ever since I was young. response:	When we line up for morning assembly, I'm always at the end.
context: I've been tall ever since I was young.\When we line up for morning assembly, I'm always at the end. response:	But I happen to be named Koizumi.
context: I've been tall ever since I was young.\When we line up for morning assembly, I'm always at the end.\But I happen to be named Koizumi. response:	I'm sorry.
context: I've been tall ever since I was young.\When we line up for morning assembly, I'm always at the end.\But I happen to be named Koizumi.\I'm sorry. response:	It's not Oizumi.
context: I've been tall ever since I was young.\When we line up for morning assembly, I'm always at the end.\But I happen to be named Koizumi.\I'm sorry.\It's not Oizumi. response:	That's how it is.
context: I've been tall ever since I was young.\When we line up for morning assembly, I'm always at the end.\But I happen to be named Koizumi.\I'm sorry.\It's not Oizumi.\That's how it is. response:	And so...
context: I've been tall ever since I was young.\When we line up for morning assembly, I'm always at the end.\But I happen to be named Koizumi.\I'm sorry.\It's not Oizumi.\That's how it is.\And so... response:	Summer vacation starts tomorrow.
context: I've been tall ever since I was young.\When we line up for morning assembly, I'm always at the end.\But I happen to be named Koizumi.\I'm sorry.\It's not Oizumi.\That's how it is.\And so...\Summer vacation starts tomorrow. response:	Everyone needs to watch their health.
context: When we line up for morning assembly, I'm always at the end.\But I happen to be named Koizumi.\I'm sorry.\It's not Oizumi.\That's how it is.\And so...\Summer vacation starts tomorrow.\Everyone needs to watch their health. response:	Especially the third-years, who will need to prepare for exams soon.
context: But I happen to be named Koizumi.\I'm sorry.\It's not Oizumi.\That's how it is.\And so...\Summer vacation starts tomorrow.\Everyone needs to watch their health.\Especially the third-years, who will need to prepare for exams soon. response:	Be careful not to catch a cold.
context: I'm sorry.\It's not Oizumi.\That's how it is.\And so...\Summer vacation starts tomorrow.\Everyone needs to watch their health.\Especially the third-years, who will need to prepare for exams soon.\Be careful not to catch a cold. response:	The first-years should be careful, too...
context: It's not Oizumi.\That's how it is.\And so...\Summer vacation starts tomorrow.\Everyone needs to watch their health.\Especially the third-years, who will need to prepare for exams soon.\Be careful not to catch a cold.\The first-years should be careful, too... response:	Damn it!
context: That's how it is.\And so...\Summer vacation starts tomorrow.\Everyone needs to watch their health.\Especially the third-years, who will need to prepare for exams soon.\Be careful not to catch a cold.\The first-years should be careful, too...\Damn it! response:	My summon monsters have all been wiped out!
context: And so...\Summer vacation starts tomorrow.\Everyone needs to watch their health.\Especially the third-years, who will need to prepare for exams soon.\Be careful not to catch a cold.\The first-years should be careful, too...\Damn it!\My summon monsters have all been wiped out! response:	What an idiot.
context: Summer vacation starts tomorrow.\Everyone needs to watch their health.\Especially the third-years, who will need to prepare for exams soon.\Be careful not to catch a cold.\The first-years should be careful, too...\Damn it!\My summon monsters have all been wiped out!\What an idiot. response:	Freshman year summer! I'll definitely find a boyfriend!
context: Everyone needs to watch their health.\Especially the third-years, who will need to prepare for exams soon.\Be careful not to catch a cold.\The first-years should be careful, too...\Damn it!\My summon monsters have all been wiped out!\What an idiot.\Freshman year summer! I'll definitely find a boyfriend! response:	So you stayed up all night playing games, huh?
context: Especially the third-years, who will need to prepare for exams soon.\Be careful not to catch a cold.\The first-years should be careful, too...\Damn it!\My summon monsters have all been wiped out!\What an idiot.\Freshman year summer! I'll definitely find a boyfriend!\So you stayed up all night playing games, huh? response:	Sorry.
context: Be careful not to catch a cold.\The first-years should be careful, too...\Damn it!\My summon monsters have all been wiped out!\What an idiot.\Freshman year summer! I'll definitely find a boyfriend!\So you stayed up all night playing games, huh?\Sorry. response:	That's not very lady-like.
context: The first-years should be careful, too...\Damn it!\My summon monsters have all been wiped out!\What an idiot.\Freshman year summer! I'll definitely find a boyfriend!\So you stayed up all night playing games, huh?\Sorry.\That's not very lady-like. response:	And sleeping while standing? Are you a giraffe?
context: Damn it!\My summon monsters have all been wiped out!\What an idiot.\Freshman year summer! I'll definitely find a boyfriend!\So you stayed up all night playing games, huh?\Sorry.\That's not very lady-like.\And sleeping while standing? Are you a giraffe? response:	I might have been one in a past life.
context: My summon monsters have all been wiped out!\What an idiot.\Freshman year summer! I'll definitely find a boyfriend!\So you stayed up all night playing games, huh?\Sorry.\That's not very lady-like.\And sleeping while standing? Are you a giraffe?\I might have been one in a past life. response:	Quite the joker, aren't you?
context: What an idiot.\Freshman year summer! I'll definitely find a boyfriend!\So you stayed up all night playing games, huh?\Sorry.\That's not very lady-like.\And sleeping while standing? Are you a giraffe?\I might have been one in a past life.\Quite the joker, aren't you? response:	Okay, since you think you're so funny,
context: Freshman year summer! I'll definitely find a boyfriend!\So you stayed up all night playing games, huh?\Sorry.\That's not very lady-like.\And sleeping while standing? Are you a giraffe?\I might have been one in a past life.\Quite the joker, aren't you?\Okay, since you think you're so funny, response:	No way! Summer vacation starts tomorrow!
context: So you stayed up all night playing games, huh?\Sorry.\That's not very lady-like.\And sleeping while standing? Are you a giraffe?\I might have been one in a past life.\Quite the joker, aren't you?\Okay, since you think you're so funny,\No way! Summer vacation starts tomorrow! response:	You don't get a vacation.
context: Sorry.\That's not very lady-like.\And sleeping while standing? Are you a giraffe?\I might have been one in a past life.\Quite the joker, aren't you?\Okay, since you think you're so funny,\No way! Summer vacation starts tomorrow!\You don't get a vacation. response:	You need to take summer classes.
context: That's not very lady-like.\And sleeping while standing? Are you a giraffe?\I might have been one in a past life.\Quite the joker, aren't you?\Okay, since you think you're so funny,\No way! Summer vacation starts tomorrow!\You don't get a vacation.\You need to take summer classes. response:	Huuuh?
context: And sleeping while standing? Are you a giraffe?\I might have been one in a past life.\Quite the joker, aren't you?\Okay, since you think you're so funny,\No way! Summer vacation starts tomorrow!\You don't get a vacation.\You need to take summer classes.\Huuuh? response:	Don't give me that huh. That's it. Now get going.
context: I might have been one in a past life.\Quite the joker, aren't you?\Okay, since you think you're so funny,\No way! Summer vacation starts tomorrow!\You don't get a vacation.\You need to take summer classes.\Huuuh?\Don't give me that huh. That's it. Now get going. response:	Being tall has absolutely no advantages.
context: Quite the joker, aren't you?\Okay, since you think you're so funny,\No way! Summer vacation starts tomorrow!\You don't get a vacation.\You need to take summer classes.\Huuuh?\Don't give me that huh. That's it. Now get going.\Being tall has absolutely no advantages. response:	No matter what I do, I always draw attention to myself.
context: Okay, since you think you're so funny,\No way! Summer vacation starts tomorrow!\You don't get a vacation.\You need to take summer classes.\Huuuh?\Don't give me that huh. That's it. Now get going.\Being tall has absolutely no advantages.\No matter what I do, I always draw attention to myself. response:	Here you go.
context: No way! Summer vacation starts tomorrow!\You don't get a vacation.\You need to take summer classes.\Huuuh?\Don't give me that huh. That's it. Now get going.\Being tall has absolutely no advantages.\No matter what I do, I always draw attention to myself.\Here you go. response:	Are you making fun of me?
