context: OP response:	TS
context: OP\TS response:	ED
context: OP\TS\ED response:	yume kanaeru made chousen wa tsuzuku
context: OP\TS\ED\yume kanaeru made chousen wa tsuzuku response:	boku wa dokomade chikazuketandarou?
context: OP\TS\ED\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou? response:	juunengo no mirai kagayaiteru sugata wa
context: OP\TS\ED\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa response:	koukai wa shinai jibun de egaita story
context: OP\TS\ED\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story response:	fumidaseba yukute habamu genjitsu
context: OP\TS\ED\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu response:	makenai to ima mune ni chikatta
context: TS\ED\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta response:	kokorozashita tsukamitai yume ga arukara
context: ED\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara response:	moyashite yuke jounetsu wo atsuku
context: yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku response:	yume no tochuu de meguriau deai to wakare
context: boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare response:	kimi ga oshietekureta boku dake ga motsu chikara
context: juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara response:	tachiagatteikundayo nando tsumazuitatte
context: koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte response:	Dream of life
context: fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life response:	Can you hear my heartbeat
context: makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat response:	Baby I trust you my friend
context: kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat\Baby I trust you my friend response:	Mashiro, let's do our best.
context: moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat\Baby I trust you my friend\Mashiro, let's do our best. response:	I know you can draw without resting.
context: yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat\Baby I trust you my friend\Mashiro, let's do our best.\I know you can draw without resting. response:	I believe in you.
context: kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat\Baby I trust you my friend\Mashiro, let's do our best.\I know you can draw without resting.\I believe in you. response:	Let's make our dreams come true.
context: tachiagatteikundayo nando tsumazuitatte\Dream of life\Can you hear my heartbeat\Baby I trust you my friend\Mashiro, let's do our best.\I know you can draw without resting.\I believe in you.\Let's make our dreams come true. response:	Yeah.
context: Dream of life\Can you hear my heartbeat\Baby I trust you my friend\Mashiro, let's do our best.\I know you can draw without resting.\I believe in you.\Let's make our dreams come true.\Yeah. response:	I-I cant tell him to stop drawing.
context: Can you hear my heartbeat\Baby I trust you my friend\Mashiro, let's do our best.\I know you can draw without resting.\I believe in you.\Let's make our dreams come true.\Yeah.\I-I cant tell him to stop drawing. response:	Azuki.
context: Baby I trust you my friend\Mashiro, let's do our best.\I know you can draw without resting.\I believe in you.\Let's make our dreams come true.\Yeah.\I-I cant tell him to stop drawing.\Azuki. response:	Yes?
context: Mashiro, let's do our best.\I know you can draw without resting.\I believe in you.\Let's make our dreams come true.\Yeah.\I-I cant tell him to stop drawing.\Azuki.\Yes? response:	I'm all right now.
