context: Zeref... response:	You are mine...
context: Zeref...\You are mine... response:	I'm not going to give you up to anyone... Anyone.
context: Zeref...\You are mine...\I'm not going to give you up to anyone... Anyone. response:	I will make you king of the world.
context: Zeref...\You are mine...\I'm not going to give you up to anyone... Anyone.\I will make you king of the world. response:	All for the the World of Great Magic...
context: Zeref...\You are mine...\I'm not going to give you up to anyone... Anyone.\I will make you king of the world.\All for the the World of Great Magic... response:	That thing's persistent!
context: Zeref...\You are mine...\I'm not going to give you up to anyone... Anyone.\I will make you king of the world.\All for the the World of Great Magic...\That thing's persistent! response:	At this rate, the both of us will...
context: Zeref...\You are mine...\I'm not going to give you up to anyone... Anyone.\I will make you king of the world.\All for the the World of Great Magic...\That thing's persistent!\At this rate, the both of us will... response:	Why are you stopping?
context: Zeref...\You are mine...\I'm not going to give you up to anyone... Anyone.\I will make you king of the world.\All for the the World of Great Magic...\That thing's persistent!\At this rate, the both of us will...\Why are you stopping? response:	A dead end?
context: You are mine...\I'm not going to give you up to anyone... Anyone.\I will make you king of the world.\All for the the World of Great Magic...\That thing's persistent!\At this rate, the both of us will...\Why are you stopping?\A dead end? response:	Man!
context: I'm not going to give you up to anyone... Anyone.\I will make you king of the world.\All for the the World of Great Magic...\That thing's persistent!\At this rate, the both of us will...\Why are you stopping?\A dead end?\Man! response:	Now look here...
context: I will make you king of the world.\All for the the World of Great Magic...\That thing's persistent!\At this rate, the both of us will...\Why are you stopping?\A dead end?\Man!\Now look here... response:	Ark of Embodiment.
context: All for the the World of Great Magic...\That thing's persistent!\At this rate, the both of us will...\Why are you stopping?\A dead end?\Man!\Now look here...\Ark of Embodiment. response:	You idiot!
context: That thing's persistent!\At this rate, the both of us will...\Why are you stopping?\A dead end?\Man!\Now look here...\Ark of Embodiment.\You idiot! response:	Is your brain made of muscle?
context: At this rate, the both of us will...\Why are you stopping?\A dead end?\Man!\Now look here...\Ark of Embodiment.\You idiot!\Is your brain made of muscle? response:	Try thinking about where you're escaping to next time!
context: Why are you stopping?\A dead end?\Man!\Now look here...\Ark of Embodiment.\You idiot!\Is your brain made of muscle?\Try thinking about where you're escaping to next time! response:	Clam it!
context: A dead end?\Man!\Now look here...\Ark of Embodiment.\You idiot!\Is your brain made of muscle?\Try thinking about where you're escaping to next time!\Clam it! response:	How'bout you try runnin' yourself next time!
context: Man!\Now look here...\Ark of Embodiment.\You idiot!\Is your brain made of muscle?\Try thinking about where you're escaping to next time!\Clam it!\How'bout you try runnin' yourself next time! response:	I've taken a lot of damage! I can just now barely stand!
