context: Damn it, Mob. response:	You could've let me know if you had other plans.
context: Damn it, Mob.\You could've let me know if you had other plans. response:	Why do you think I gave you a cellphone?
context: Damn it, Mob.\You could've let me know if you had other plans.\Why do you think I gave you a cellphone? response:	You can drop me off here.
context: Damn it, Mob.\You could've let me know if you had other plans.\Why do you think I gave you a cellphone?\You can drop me off here. response:	Th-Thank you. That'll be 8,810 yen.
context: Damn it, Mob.\You could've let me know if you had other plans.\Why do you think I gave you a cellphone?\You can drop me off here.\Th-Thank you. That'll be 8,810 yen. response:	Hakata Salt
context: Damn it, Mob.\You could've let me know if you had other plans.\Why do you think I gave you a cellphone?\You can drop me off here.\Th-Thank you. That'll be 8,810 yen.\Hakata Salt response:	S-Sir? What are you going to do out here so late?
context: Damn it, Mob.\You could've let me know if you had other plans.\Why do you think I gave you a cellphone?\You can drop me off here.\Th-Thank you. That'll be 8,810 yen.\Hakata Salt\S-Sir? What are you going to do out here so late? response:	Don't worry.
context: Damn it, Mob.\You could've let me know if you had other plans.\Why do you think I gave you a cellphone?\You can drop me off here.\Th-Thank you. That'll be 8,810 yen.\Hakata Salt\S-Sir? What are you going to do out here so late?\Don't worry. response:	I'm not planning to do anything rash.
context: You could've let me know if you had other plans.\Why do you think I gave you a cellphone?\You can drop me off here.\Th-Thank you. That'll be 8,810 yen.\Hakata Salt\S-Sir? What are you going to do out here so late?\Don't worry.\I'm not planning to do anything rash. response:	What the heck is he doing out here?
context: Why do you think I gave you a cellphone?\You can drop me off here.\Th-Thank you. That'll be 8,810 yen.\Hakata Salt\S-Sir? What are you going to do out here so late?\Don't worry.\I'm not planning to do anything rash.\What the heck is he doing out here? response:	Mob Psycho 100
context: You can drop me off here.\Th-Thank you. That'll be 8,810 yen.\Hakata Salt\S-Sir? What are you going to do out here so late?\Don't worry.\I'm not planning to do anything rash.\What the heck is he doing out here?\Mob Psycho 100 response:	I-It's okay, Ritsu.
context: Th-Thank you. That'll be 8,810 yen.\Hakata Salt\S-Sir? What are you going to do out here so late?\Don't worry.\I'm not planning to do anything rash.\What the heck is he doing out here?\Mob Psycho 100\I-It's okay, Ritsu. response:	I'm pretty sure it's this way.
context: Hakata Salt\S-Sir? What are you going to do out here so late?\Don't worry.\I'm not planning to do anything rash.\What the heck is he doing out here?\Mob Psycho 100\I-It's okay, Ritsu.\I'm pretty sure it's this way. response:	Okay...
context: S-Sir? What are you going to do out here so late?\Don't worry.\I'm not planning to do anything rash.\What the heck is he doing out here?\Mob Psycho 100\I-It's okay, Ritsu.\I'm pretty sure it's this way.\Okay... response:	This is the same place as earlier.
context: Don't worry.\I'm not planning to do anything rash.\What the heck is he doing out here?\Mob Psycho 100\I-It's okay, Ritsu.\I'm pretty sure it's this way.\Okay...\This is the same place as earlier. response:	I'm sorry, Ritsu. It's my fault for saying we should go exploring...
context: I'm not planning to do anything rash.\What the heck is he doing out here?\Mob Psycho 100\I-It's okay, Ritsu.\I'm pretty sure it's this way.\Okay...\This is the same place as earlier.\I'm sorry, Ritsu. It's my fault for saying we should go exploring... response:	Forget the apologies. Let's focus on finding a way back.
context: What the heck is he doing out here?\Mob Psycho 100\I-It's okay, Ritsu.\I'm pretty sure it's this way.\Okay...\This is the same place as earlier.\I'm sorry, Ritsu. It's my fault for saying we should go exploring...\Forget the apologies. Let's focus on finding a way back. response:	Yeah... But how?
context: Mob Psycho 100\I-It's okay, Ritsu.\I'm pretty sure it's this way.\Okay...\This is the same place as earlier.\I'm sorry, Ritsu. It's my fault for saying we should go exploring...\Forget the apologies. Let's focus on finding a way back.\Yeah... But how? response:	Oh, I know!
context: I-It's okay, Ritsu.\I'm pretty sure it's this way.\Okay...\This is the same place as earlier.\I'm sorry, Ritsu. It's my fault for saying we should go exploring...\Forget the apologies. Let's focus on finding a way back.\Yeah... But how?\Oh, I know! response:	Ritsu?
context: I'm pretty sure it's this way.\Okay...\This is the same place as earlier.\I'm sorry, Ritsu. It's my fault for saying we should go exploring...\Forget the apologies. Let's focus on finding a way back.\Yeah... But how?\Oh, I know!\Ritsu? response:	I learned this in science class.
context: Okay...\This is the same place as earlier.\I'm sorry, Ritsu. It's my fault for saying we should go exploring...\Forget the apologies. Let's focus on finding a way back.\Yeah... But how?\Oh, I know!\Ritsu?\I learned this in science class. response:	The side with moss growing on it is north.
context: This is the same place as earlier.\I'm sorry, Ritsu. It's my fault for saying we should go exploring...\Forget the apologies. Let's focus on finding a way back.\Yeah... But how?\Oh, I know!\Ritsu?\I learned this in science class.\The side with moss growing on it is north. response:	Moss always grows where the sun doesn't shine much!
context: I'm sorry, Ritsu. It's my fault for saying we should go exploring...\Forget the apologies. Let's focus on finding a way back.\Yeah... But how?\Oh, I know!\Ritsu?\I learned this in science class.\The side with moss growing on it is north.\Moss always grows where the sun doesn't shine much! response:	See?
context: Forget the apologies. Let's focus on finding a way back.\Yeah... But how?\Oh, I know!\Ritsu?\I learned this in science class.\The side with moss growing on it is north.\Moss always grows where the sun doesn't shine much!\See? response:	This way is north.
context: Yeah... But how?\Oh, I know!\Ritsu?\I learned this in science class.\The side with moss growing on it is north.\Moss always grows where the sun doesn't shine much!\See?\This way is north. response:	If we walk this way, we'll get to the river.
context: Oh, I know!\Ritsu?\I learned this in science class.\The side with moss growing on it is north.\Moss always grows where the sun doesn't shine much!\See?\This way is north.\If we walk this way, we'll get to the river. response:	Then we can get back to where we were barbecuing.
context: Ritsu?\I learned this in science class.\The side with moss growing on it is north.\Moss always grows where the sun doesn't shine much!\See?\This way is north.\If we walk this way, we'll get to the river.\Then we can get back to where we were barbecuing. response:	Let's go, Nii-san.
context: I learned this in science class.\The side with moss growing on it is north.\Moss always grows where the sun doesn't shine much!\See?\This way is north.\If we walk this way, we'll get to the river.\Then we can get back to where we were barbecuing.\Let's go, Nii-san. response:	Yeah!
context: The side with moss growing on it is north.\Moss always grows where the sun doesn't shine much!\See?\This way is north.\If we walk this way, we'll get to the river.\Then we can get back to where we were barbecuing.\Let's go, Nii-san.\Yeah! response:	Looks like you're awake.
