context: There is nothing to debate! response:	I merely punished them for their folly!
context: There is nothing to debate!\I merely punished them for their folly! response:	You wolf in sheep's clothing!
context: There is nothing to debate!\I merely punished them for their folly!\You wolf in sheep's clothing! response:	Go back to hell!
context: There is nothing to debate!\I merely punished them for their folly!\You wolf in sheep's clothing!\Go back to hell! response:	And now, having killed me, you and I are the same.
context: There is nothing to debate!\I merely punished them for their folly!\You wolf in sheep's clothing!\Go back to hell!\And now, having killed me, you and I are the same. response:	May you burn with the rest of the criminals.
context: There is nothing to debate!\I merely punished them for their folly!\You wolf in sheep's clothing!\Go back to hell!\And now, having killed me, you and I are the same.\May you burn with the rest of the criminals. response:	I must live with my sin now.
context: There is nothing to debate!\I merely punished them for their folly!\You wolf in sheep's clothing!\Go back to hell!\And now, having killed me, you and I are the same.\May you burn with the rest of the criminals.\I must live with my sin now. response:	For the rest of my life!
context: There is nothing to debate!\I merely punished them for their folly!\You wolf in sheep's clothing!\Go back to hell!\And now, having killed me, you and I are the same.\May you burn with the rest of the criminals.\I must live with my sin now.\For the rest of my life! response:	Yesterday's play was so good.
context: I merely punished them for their folly!\You wolf in sheep's clothing!\Go back to hell!\And now, having killed me, you and I are the same.\May you burn with the rest of the criminals.\I must live with my sin now.\For the rest of my life!\Yesterday's play was so good. response:	You should have come, Violet.
context: You wolf in sheep's clothing!\Go back to hell!\And now, having killed me, you and I are the same.\May you burn with the rest of the criminals.\I must live with my sin now.\For the rest of my life!\Yesterday's play was so good.\You should have come, Violet. response:	If you mean Red Devil, I am reading the play now.
context: Go back to hell!\And now, having killed me, you and I are the same.\May you burn with the rest of the criminals.\I must live with my sin now.\For the rest of my life!\Yesterday's play was so good.\You should have come, Violet.\If you mean Red Devil, I am reading the play now. response:	I'm so jealous.
context: And now, having killed me, you and I are the same.\May you burn with the rest of the criminals.\I must live with my sin now.\For the rest of my life!\Yesterday's play was so good.\You should have come, Violet.\If you mean Red Devil, I am reading the play now.\I'm so jealous. response:	I would have loved to scribe for Oscar Webster.
context: May you burn with the rest of the criminals.\I must live with my sin now.\For the rest of my life!\Yesterday's play was so good.\You should have come, Violet.\If you mean Red Devil, I am reading the play now.\I'm so jealous.\I would have loved to scribe for Oscar Webster. response:	It means you get to read his new work first, doesn't it?
context: I must live with my sin now.\For the rest of my life!\Yesterday's play was so good.\You should have come, Violet.\If you mean Red Devil, I am reading the play now.\I'm so jealous.\I would have loved to scribe for Oscar Webster.\It means you get to read his new work first, doesn't it? response:	It'll be his first new work in a while when he finishes.
context: For the rest of my life!\Yesterday's play was so good.\You should have come, Violet.\If you mean Red Devil, I am reading the play now.\I'm so jealous.\I would have loved to scribe for Oscar Webster.\It means you get to read his new work first, doesn't it?\It'll be his first new work in a while when he finishes. response:	Ah, I must live with my sin now.
context: Yesterday's play was so good.\You should have come, Violet.\If you mean Red Devil, I am reading the play now.\I'm so jealous.\I would have loved to scribe for Oscar Webster.\It means you get to read his new work first, doesn't it?\It'll be his first new work in a while when he finishes.\Ah, I must live with my sin now. response:	For the rest of my life.
context: You should have come, Violet.\If you mean Red Devil, I am reading the play now.\I'm so jealous.\I would have loved to scribe for Oscar Webster.\It means you get to read his new work first, doesn't it?\It'll be his first new work in a while when he finishes.\Ah, I must live with my sin now.\For the rest of my life. response:	Here are the letter requests.
context: If you mean Red Devil, I am reading the play now.\I'm so jealous.\I would have loved to scribe for Oscar Webster.\It means you get to read his new work first, doesn't it?\It'll be his first new work in a while when he finishes.\Ah, I must live with my sin now.\For the rest of my life.\Here are the letter requests. response:	This many?
context: I'm so jealous.\I would have loved to scribe for Oscar Webster.\It means you get to read his new work first, doesn't it?\It'll be his first new work in a while when he finishes.\Ah, I must live with my sin now.\For the rest of my life.\Here are the letter requests.\This many? response:	There have been more requests for Violet since the published love letters.
