context: Hm? response:	Just one more time...
context: Hm?\Just one more time... response:	At the very moment Hinata is at the highest point of his jump,
context: Hm?\Just one more time...\At the very moment Hinata is at the highest point of his jump, response:	to set the ball at the optimum spiking level...
context: Hm?\Just one more time...\At the very moment Hinata is at the highest point of his jump,\to set the ball at the optimum spiking level... response:	Then I will take aim...
context: Hm?\Just one more time...\At the very moment Hinata is at the highest point of his jump,\to set the ball at the optimum spiking level...\Then I will take aim... response:	Haikyu!!
context: Hm?\Just one more time...\At the very moment Hinata is at the highest point of his jump,\to set the ball at the optimum spiking level...\Then I will take aim...\Haikyu!! response:	Episode 13: Rival
context: Hm?\Just one more time...\At the very moment Hinata is at the highest point of his jump,\to set the ball at the optimum spiking level...\Then I will take aim...\Haikyu!!\Episode 13: Rival response:	The toss was a little too high.
context: Hm?\Just one more time...\At the very moment Hinata is at the highest point of his jump,\to set the ball at the optimum spiking level...\Then I will take aim...\Haikyu!!\Episode 13: Rival\The toss was a little too high. response:	Captain.
context: Just one more time...\At the very moment Hinata is at the highest point of his jump,\to set the ball at the optimum spiking level...\Then I will take aim...\Haikyu!!\Episode 13: Rival\The toss was a little too high.\Captain. response:	Nice save, Daichi-san.
context: At the very moment Hinata is at the highest point of his jump,\to set the ball at the optimum spiking level...\Then I will take aim...\Haikyu!!\Episode 13: Rival\The toss was a little too high.\Captain.\Nice save, Daichi-san. response:	It's in.
context: to set the ball at the optimum spiking level...\Then I will take aim...\Haikyu!!\Episode 13: Rival\The toss was a little too high.\Captain.\Nice save, Daichi-san.\It's in. response:	Front, front.
context: Then I will take aim...\Haikyu!!\Episode 13: Rival\The toss was a little too high.\Captain.\Nice save, Daichi-san.\It's in.\Front, front. response:	Nice, Inuoka.
context: Haikyu!!\Episode 13: Rival\The toss was a little too high.\Captain.\Nice save, Daichi-san.\It's in.\Front, front.\Nice, Inuoka. response:	Bring it.
context: Episode 13: Rival\The toss was a little too high.\Captain.\Nice save, Daichi-san.\It's in.\Front, front.\Nice, Inuoka.\Bring it. response:	Tora.
context: The toss was a little too high.\Captain.\Nice save, Daichi-san.\It's in.\Front, front.\Nice, Inuoka.\Bring it.\Tora. response:	Let's do this, Hinata. One, two...
