context: Rei Kiriyama response:	Zero? What a weird name.
context: Rei Kiriyama\Zero? What a weird name. response:	But it suits you.
context: Rei Kiriyama\Zero? What a weird name.\But it suits you. response:	Isn't that right?
context: Rei Kiriyama\Zero? What a weird name.\But it suits you.\Isn't that right? response:	You don't have a home. You don't have a family.
context: Rei Kiriyama\Zero? What a weird name.\But it suits you.\Isn't that right?\You don't have a home. You don't have a family. response:	You don't go to school.
context: Rei Kiriyama\Zero? What a weird name.\But it suits you.\Isn't that right?\You don't have a home. You don't have a family.\You don't go to school. response:	You don't have any friends.
context: Rei Kiriyama\Zero? What a weird name.\But it suits you.\Isn't that right?\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends. response:	See? There's no place for you in this world.
context: Rei Kiriyama\Zero? What a weird name.\But it suits you.\Isn't that right?\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\See? There's no place for you in this world. response:	TAKABASHI
context: Zero? What a weird name.\But it suits you.\Isn't that right?\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\See? There's no place for you in this world.\TAKABASHI response:	SHOGI HALL
context: But it suits you.\Isn't that right?\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\See? There's no place for you in this world.\TAKABASHI\SHOGI HALL response:	The calm mind is the way.
context: Isn't that right?\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\See? There's no place for you in this world.\TAKABASHI\SHOGI HALL\The calm mind is the way. response:	How have you been, Rei?
context: You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\See? There's no place for you in this world.\TAKABASHI\SHOGI HALL\The calm mind is the way.\How have you been, Rei? response:	Sure is hot, huh? We're not even in the rainy season yet.
context: You don't go to school.\You don't have any friends.\See? There's no place for you in this world.\TAKABASHI\SHOGI HALL\The calm mind is the way.\How have you been, Rei?\Sure is hot, huh? We're not even in the rainy season yet. response:	JS CHILDREN'S SHOGI TOURNAMENT
context: You don't have any friends.\See? There's no place for you in this world.\TAKABASHI\SHOGI HALL\The calm mind is the way.\How have you been, Rei?\Sure is hot, huh? We're not even in the rainy season yet.\JS CHILDREN'S SHOGI TOURNAMENT response:	Well, what am I saying.
context: See? There's no place for you in this world.\TAKABASHI\SHOGI HALL\The calm mind is the way.\How have you been, Rei?\Sure is hot, huh? We're not even in the rainy season yet.\JS CHILDREN'S SHOGI TOURNAMENT\Well, what am I saying. response:	It's a time like this and all I can do is comment on the weather.
context: TAKABASHI\SHOGI HALL\The calm mind is the way.\How have you been, Rei?\Sure is hot, huh? We're not even in the rainy season yet.\JS CHILDREN'S SHOGI TOURNAMENT\Well, what am I saying.\It's a time like this and all I can do is comment on the weather. response:	JS CHILDREN'S SHOGI TOURNAMENT
context: SHOGI HALL\The calm mind is the way.\How have you been, Rei?\Sure is hot, huh? We're not even in the rainy season yet.\JS CHILDREN'S SHOGI TOURNAMENT\Well, what am I saying.\It's a time like this and all I can do is comment on the weather.\JS CHILDREN'S SHOGI TOURNAMENT response:	Well, let's begin.
