context: And so... response:	Can anyone tell me what AD means?
context: And so...\Can anyone tell me what AD means? response:	It's here...
context: And so...\Can anyone tell me what AD means?\It's here... response:	The time's finally come.
context: And so...\Can anyone tell me what AD means?\It's here...\The time's finally come. response:	What has?
context: And so...\Can anyone tell me what AD means?\It's here...\The time's finally come.\What has? response:	Is something about to happen?
context: And so...\Can anyone tell me what AD means?\It's here...\The time's finally come.\What has?\Is something about to happen? response:	Angel's assault begins.
context: And so...\Can anyone tell me what AD means?\It's here...\The time's finally come.\What has?\Is something about to happen?\Angel's assault begins. response:	Angel's assault?
context: And so...\Can anyone tell me what AD means?\It's here...\The time's finally come.\What has?\Is something about to happen?\Angel's assault begins.\Angel's assault? response:	What do you mean by assault?
context: Can anyone tell me what AD means?\It's here...\The time's finally come.\What has?\Is something about to happen?\Angel's assault begins.\Angel's assault?\What do you mean by assault? response:	It's exam season.
context: It's here...\The time's finally come.\What has?\Is something about to happen?\Angel's assault begins.\Angel's assault?\What do you mean by assault?\It's exam season. response:	Uh... how does that...
context: The time's finally come.\What has?\Is something about to happen?\Angel's assault begins.\Angel's assault?\What do you mean by assault?\It's exam season.\Uh... how does that... response:	Think about it.
context: What has?\Is something about to happen?\Angel's assault begins.\Angel's assault?\What do you mean by assault?\It's exam season.\Uh... how does that...\Think about it. response:	Making us attend classes is important, but making us take tests and getting good scores...
context: Is something about to happen?\Angel's assault begins.\Angel's assault?\What do you mean by assault?\It's exam season.\Uh... how does that...\Think about it.\Making us attend classes is important, but making us take tests and getting good scores... response:	That's also important for Angel.
context: Angel's assault begins.\Angel's assault?\What do you mean by assault?\It's exam season.\Uh... how does that...\Think about it.\Making us attend classes is important, but making us take tests and getting good scores...\That's also important for Angel. response:	But this exam period might actually be a good opportunity for us to take Angel down.
context: Angel's assault?\What do you mean by assault?\It's exam season.\Uh... how does that...\Think about it.\Making us attend classes is important, but making us take tests and getting good scores...\That's also important for Angel.\But this exam period might actually be a good opportunity for us to take Angel down. response:	You sound like you've got an idea, Yurippe.
context: What do you mean by assault?\It's exam season.\Uh... how does that...\Think about it.\Making us attend classes is important, but making us take tests and getting good scores...\That's also important for Angel.\But this exam period might actually be a good opportunity for us to take Angel down.\You sound like you've got an idea, Yurippe. response:	Let's hear it.
context: It's exam season.\Uh... how does that...\Think about it.\Making us attend classes is important, but making us take tests and getting good scores...\That's also important for Angel.\But this exam period might actually be a good opportunity for us to take Angel down.\You sound like you've got an idea, Yurippe.\Let's hear it. response:	We'll interfere with Angel's tests and make her get bad marks.
context: Uh... how does that...\Think about it.\Making us attend classes is important, but making us take tests and getting good scores...\That's also important for Angel.\But this exam period might actually be a good opportunity for us to take Angel down.\You sound like you've got an idea, Yurippe.\Let's hear it.\We'll interfere with Angel's tests and make her get bad marks. response:	That way we'll force her score down to the lowest in the school.
context: Think about it.\Making us attend classes is important, but making us take tests and getting good scores...\That's also important for Angel.\But this exam period might actually be a good opportunity for us to take Angel down.\You sound like you've got an idea, Yurippe.\Let's hear it.\We'll interfere with Angel's tests and make her get bad marks.\That way we'll force her score down to the lowest in the school. response:	What will that accomplish?
context: Making us attend classes is important, but making us take tests and getting good scores...\That's also important for Angel.\But this exam period might actually be a good opportunity for us to take Angel down.\You sound like you've got an idea, Yurippe.\Let's hear it.\We'll interfere with Angel's tests and make her get bad marks.\That way we'll force her score down to the lowest in the school.\What will that accomplish? response:	The loss of her reputation.
context: That's also important for Angel.\But this exam period might actually be a good opportunity for us to take Angel down.\You sound like you've got an idea, Yurippe.\Let's hear it.\We'll interfere with Angel's tests and make her get bad marks.\That way we'll force her score down to the lowest in the school.\What will that accomplish?\The loss of her reputation. response:	Do you think she'll be able to retain her dignity as student council president like that?
context: But this exam period might actually be a good opportunity for us to take Angel down.\You sound like you've got an idea, Yurippe.\Let's hear it.\We'll interfere with Angel's tests and make her get bad marks.\That way we'll force her score down to the lowest in the school.\What will that accomplish?\The loss of her reputation.\Do you think she'll be able to retain her dignity as student council president like that? response:	So you're saying that'll weaken her?
context: You sound like you've got an idea, Yurippe.\Let's hear it.\We'll interfere with Angel's tests and make her get bad marks.\That way we'll force her score down to the lowest in the school.\What will that accomplish?\The loss of her reputation.\Do you think she'll be able to retain her dignity as student council president like that?\So you're saying that'll weaken her? response:	At the very least, the opinions of the ordinary students and teachers will change.
context: Let's hear it.\We'll interfere with Angel's tests and make her get bad marks.\That way we'll force her score down to the lowest in the school.\What will that accomplish?\The loss of her reputation.\Do you think she'll be able to retain her dignity as student council president like that?\So you're saying that'll weaken her?\At the very least, the opinions of the ordinary students and teachers will change. response:	It'll cause a change in their behavior that we've never seen before.
context: We'll interfere with Angel's tests and make her get bad marks.\That way we'll force her score down to the lowest in the school.\What will that accomplish?\The loss of her reputation.\Do you think she'll be able to retain her dignity as student council president like that?\So you're saying that'll weaken her?\At the very least, the opinions of the ordinary students and teachers will change.\It'll cause a change in their behavior that we've never seen before. response:	What kind?
context: That way we'll force her score down to the lowest in the school.\What will that accomplish?\The loss of her reputation.\Do you think she'll be able to retain her dignity as student council president like that?\So you're saying that'll weaken her?\At the very least, the opinions of the ordinary students and teachers will change.\It'll cause a change in their behavior that we've never seen before.\What kind? response:	Who knows? I can't predict that.
context: What will that accomplish?\The loss of her reputation.\Do you think she'll be able to retain her dignity as student council president like that?\So you're saying that'll weaken her?\At the very least, the opinions of the ordinary students and teachers will change.\It'll cause a change in their behavior that we've never seen before.\What kind?\Who knows? I can't predict that. response:	Then isn't this meaningless?
context: The loss of her reputation.\Do you think she'll be able to retain her dignity as student council president like that?\So you're saying that'll weaken her?\At the very least, the opinions of the ordinary students and teachers will change.\It'll cause a change in their behavior that we've never seen before.\What kind?\Who knows? I can't predict that.\Then isn't this meaningless? response:	But if she isn't a creation of God, an angel...
context: Do you think she'll be able to retain her dignity as student council president like that?\So you're saying that'll weaken her?\At the very least, the opinions of the ordinary students and teachers will change.\It'll cause a change in their behavior that we've never seen before.\What kind?\Who knows? I can't predict that.\Then isn't this meaningless?\But if she isn't a creation of God, an angel... response:	If her emotions aren't made of steel...
context: So you're saying that'll weaken her?\At the very least, the opinions of the ordinary students and teachers will change.\It'll cause a change in their behavior that we've never seen before.\What kind?\Who knows? I can't predict that.\Then isn't this meaningless?\But if she isn't a creation of God, an angel...\If her emotions aren't made of steel... response:	If she has a human soul, same as us, then...
context: At the very least, the opinions of the ordinary students and teachers will change.\It'll cause a change in their behavior that we've never seen before.\What kind?\Who knows? I can't predict that.\Then isn't this meaningless?\But if she isn't a creation of God, an angel...\If her emotions aren't made of steel...\If she has a human soul, same as us, then... response:	That loss of dignity will be an effective emotional attack.
