context: Interviews with Monster Girls response:	Demi-chans Want to Learn
context: Interviews with Monster Girls\Demi-chans Want to Learn response:	Our ranks from the last exams are up!
context: Interviews with Monster Girls\Demi-chans Want to Learn\Our ranks from the last exams are up! response:	They are.
context: Interviews with Monster Girls\Demi-chans Want to Learn\Our ranks from the last exams are up!\They are. response:	Midterm Exams Highest Ranking Scores Year 1
context: Interviews with Monster Girls\Demi-chans Want to Learn\Our ranks from the last exams are up!\They are.\Midterm Exams Highest Ranking Scores Year 1 response:	But it doesn't have much to do with us.
context: Interviews with Monster Girls\Demi-chans Want to Learn\Our ranks from the last exams are up!\They are.\Midterm Exams Highest Ranking Scores Year 1\But it doesn't have much to do with us. response:	Well...
context: Interviews with Monster Girls\Demi-chans Want to Learn\Our ranks from the last exams are up!\They are.\Midterm Exams Highest Ranking Scores Year 1\But it doesn't have much to do with us.\Well... response:	Just take a look at number 2!
context: Interviews with Monster Girls\Demi-chans Want to Learn\Our ranks from the last exams are up!\They are.\Midterm Exams Highest Ranking Scores Year 1\But it doesn't have much to do with us.\Well...\Just take a look at number 2! response:	Huh? I-It can't be...
context: Demi-chans Want to Learn\Our ranks from the last exams are up!\They are.\Midterm Exams Highest Ranking Scores Year 1\But it doesn't have much to do with us.\Well...\Just take a look at number 2!\Huh? I-It can't be... response:	2nd: Takanashi Hi
context: Our ranks from the last exams are up!\They are.\Midterm Exams Highest Ranking Scores Year 1\But it doesn't have much to do with us.\Well...\Just take a look at number 2!\Huh? I-It can't be...\2nd: Takanashi Hi response:	2nd: Takanashi Himari
context: They are.\Midterm Exams Highest Ranking Scores Year 1\But it doesn't have much to do with us.\Well...\Just take a look at number 2!\Huh? I-It can't be...\2nd: Takanashi Hi\2nd: Takanashi Himari response:	I'm proud of my little sister!
context: Midterm Exams Highest Ranking Scores Year 1\But it doesn't have much to do with us.\Well...\Just take a look at number 2!\Huh? I-It can't be...\2nd: Takanashi Hi\2nd: Takanashi Himari\I'm proud of my little sister! response:	Oh, that's definitely great, but...
context: But it doesn't have much to do with us.\Well...\Just take a look at number 2!\Huh? I-It can't be...\2nd: Takanashi Hi\2nd: Takanashi Himari\I'm proud of my little sister!\Oh, that's definitely great, but... response:	H-Hey, hey!
context: Well...\Just take a look at number 2!\Huh? I-It can't be...\2nd: Takanashi Hi\2nd: Takanashi Himari\I'm proud of my little sister!\Oh, that's definitely great, but...\H-Hey, hey! response:	Hmm?
context: Just take a look at number 2!\Huh? I-It can't be...\2nd: Takanashi Hi\2nd: Takanashi Himari\I'm proud of my little sister!\Oh, that's definitely great, but...\H-Hey, hey!\Hmm? response:	Look at number 5! Number 5!
context: Huh? I-It can't be...\2nd: Takanashi Hi\2nd: Takanashi Himari\I'm proud of my little sister!\Oh, that's definitely great, but...\H-Hey, hey!\Hmm?\Look at number 5! Number 5! response:	Number 5?
context: 2nd: Takanashi Hi\2nd: Takanashi Himari\I'm proud of my little sister!\Oh, that's definitely great, but...\H-Hey, hey!\Hmm?\Look at number 5! Number 5!\Number 5? response:	5th
context: 2nd: Takanashi Himari\I'm proud of my little sister!\Oh, that's definitely great, but...\H-Hey, hey!\Hmm?\Look at number 5! Number 5!\Number 5?\5th response:	Machi
context: I'm proud of my little sister!\Oh, that's definitely great, but...\H-Hey, hey!\Hmm?\Look at number 5! Number 5!\Number 5?\5th\Machi response:	Kyouko
context: Oh, that's definitely great, but...\H-Hey, hey!\Hmm?\Look at number 5! Number 5!\Number 5?\5th\Machi\Kyouko response:	5th: Machi Kyouko
context: H-Hey, hey!\Hmm?\Look at number 5! Number 5!\Number 5?\5th\Machi\Kyouko\5th: Machi Kyouko response:	That's a surprise...
context: Hmm?\Look at number 5! Number 5!\Number 5?\5th\Machi\Kyouko\5th: Machi Kyouko\That's a surprise... response:	I guess Kyouko is really good at her studies.
context: Look at number 5! Number 5!\Number 5?\5th\Machi\Kyouko\5th: Machi Kyouko\That's a surprise...\I guess Kyouko is really good at her studies. response:	Right, Hika
context: Number 5?\5th\Machi\Kyouko\5th: Machi Kyouko\That's a surprise...\I guess Kyouko is really good at her studies.\Right, Hika response:	This happened...
context: 5th\Machi\Kyouko\5th: Machi Kyouko\That's a surprise...\I guess Kyouko is really good at her studies.\Right, Hika\This happened... response:	Th-This really happened.
context: Machi\Kyouko\5th: Machi Kyouko\That's a surprise...\I guess Kyouko is really good at her studies.\Right, Hika\This happened...\Th-This really happened. response:	You're way too shaken.
context: Kyouko\5th: Machi Kyouko\That's a surprise...\I guess Kyouko is really good at her studies.\Right, Hika\This happened...\Th-This really happened.\You're way too shaken. response:	Also, you're in Kyouko's class.
context: 5th: Machi Kyouko\That's a surprise...\I guess Kyouko is really good at her studies.\Right, Hika\This happened...\Th-This really happened.\You're way too shaken.\Also, you're in Kyouko's class. response:	You never noticed?
context: That's a surprise...\I guess Kyouko is really good at her studies.\Right, Hika\This happened...\Th-This really happened.\You're way too shaken.\Also, you're in Kyouko's class.\You never noticed? response:	Macchi...
context: I guess Kyouko is really good at her studies.\Right, Hika\This happened...\Th-This really happened.\You're way too shaken.\Also, you're in Kyouko's class.\You never noticed?\Macchi... response:	I asked her what score she got, but she wouldn't tell me,
context: Right, Hika\This happened...\Th-This really happened.\You're way too shaken.\Also, you're in Kyouko's class.\You never noticed?\Macchi...\I asked her what score she got, but she wouldn't tell me, response:	so I figured it must've been really bad...
context: This happened...\Th-This really happened.\You're way too shaken.\Also, you're in Kyouko's class.\You never noticed?\Macchi...\I asked her what score she got, but she wouldn't tell me,\so I figured it must've been really bad... response:	Answer Sheet Machi Kyouko
context: Th-This really happened.\You're way too shaken.\Also, you're in Kyouko's class.\You never noticed?\Macchi...\I asked her what score she got, but she wouldn't tell me,\so I figured it must've been really bad...\Answer Sheet Machi Kyouko response:	After seeing your score, she probably felt bad.
context: You're way too shaken.\Also, you're in Kyouko's class.\You never noticed?\Macchi...\I asked her what score she got, but she wouldn't tell me,\so I figured it must've been really bad...\Answer Sheet Machi Kyouko\After seeing your score, she probably felt bad. response:	Oh, the results are up already?
context: Also, you're in Kyouko's class.\You never noticed?\Macchi...\I asked her what score she got, but she wouldn't tell me,\so I figured it must've been really bad...\Answer Sheet Machi Kyouko\After seeing your score, she probably felt bad.\Oh, the results are up already? response:	Takahashi-sensei!
context: You never noticed?\Macchi...\I asked her what score she got, but she wouldn't tell me,\so I figured it must've been really bad...\Answer Sheet Machi Kyouko\After seeing your score, she probably felt bad.\Oh, the results are up already?\Takahashi-sensei! response:	This is, um...
context: Macchi...\I asked her what score she got, but she wouldn't tell me,\so I figured it must've been really bad...\Answer Sheet Machi Kyouko\After seeing your score, she probably felt bad.\Oh, the results are up already?\Takahashi-sensei!\This is, um... response:	Isn't Kyouko amazing?
context: I asked her what score she got, but she wouldn't tell me,\so I figured it must've been really bad...\Answer Sheet Machi Kyouko\After seeing your score, she probably felt bad.\Oh, the results are up already?\Takahashi-sensei!\This is, um...\Isn't Kyouko amazing? response:	Yeah, very impressive.
context: so I figured it must've been really bad...\Answer Sheet Machi Kyouko\After seeing your score, she probably felt bad.\Oh, the results are up already?\Takahashi-sensei!\This is, um...\Isn't Kyouko amazing?\Yeah, very impressive. response:	But you didn't do too badly yourself, Yuki.
context: Answer Sheet Machi Kyouko\After seeing your score, she probably felt bad.\Oh, the results are up already?\Takahashi-sensei!\This is, um...\Isn't Kyouko amazing?\Yeah, very impressive.\But you didn't do too badly yourself, Yuki. response:	Don't convince yourself that the top-rank students are beyond your reach.
context: After seeing your score, she probably felt bad.\Oh, the results are up already?\Takahashi-sensei!\This is, um...\Isn't Kyouko amazing?\Yeah, very impressive.\But you didn't do too badly yourself, Yuki.\Don't convince yourself that the top-rank students are beyond your reach. response:	O-Okay!
context: Oh, the results are up already?\Takahashi-sensei!\This is, um...\Isn't Kyouko amazing?\Yeah, very impressive.\But you didn't do too badly yourself, Yuki.\Don't convince yourself that the top-rank students are beyond your reach.\O-Okay! response:	I thought Macchi was a goofball like me!
context: Takahashi-sensei!\This is, um...\Isn't Kyouko amazing?\Yeah, very impressive.\But you didn't do too badly yourself, Yuki.\Don't convince yourself that the top-rank students are beyond your reach.\O-Okay!\I thought Macchi was a goofball like me! response:	Hikari...
context: This is, um...\Isn't Kyouko amazing?\Yeah, very impressive.\But you didn't do too badly yourself, Yuki.\Don't convince yourself that the top-rank students are beyond your reach.\O-Okay!\I thought Macchi was a goofball like me!\Hikari... response:	Takanashi Hikari-san...
context: Isn't Kyouko amazing?\Yeah, very impressive.\But you didn't do too badly yourself, Yuki.\Don't convince yourself that the top-rank students are beyond your reach.\O-Okay!\I thought Macchi was a goofball like me!\Hikari...\Takanashi Hikari-san... response:	Y-Yes? Why did you use my full name?
context: Yeah, very impressive.\But you didn't do too badly yourself, Yuki.\Don't convince yourself that the top-rank students are beyond your reach.\O-Okay!\I thought Macchi was a goofball like me!\Hikari...\Takanashi Hikari-san...\Y-Yes? Why did you use my full name? response:	I guess there's no getting out of supplemental classes for you.
context: But you didn't do too badly yourself, Yuki.\Don't convince yourself that the top-rank students are beyond your reach.\O-Okay!\I thought Macchi was a goofball like me!\Hikari...\Takanashi Hikari-san...\Y-Yes? Why did you use my full name?\I guess there's no getting out of supplemental classes for you. response:	You didn't do particularly well in any subject.
context: Don't convince yourself that the top-rank students are beyond your reach.\O-Okay!\I thought Macchi was a goofball like me!\Hikari...\Takanashi Hikari-san...\Y-Yes? Why did you use my full name?\I guess there's no getting out of supplemental classes for you.\You didn't do particularly well in any subject. response:	Three failing scores.
context: O-Okay!\I thought Macchi was a goofball like me!\Hikari...\Takanashi Hikari-san...\Y-Yes? Why did you use my full name?\I guess there's no getting out of supplemental classes for you.\You didn't do particularly well in any subject.\Three failing scores. response:	Just because you're a vampire
context: I thought Macchi was a goofball like me!\Hikari...\Takanashi Hikari-san...\Y-Yes? Why did you use my full name?\I guess there's no getting out of supplemental classes for you.\You didn't do particularly well in any subject.\Three failing scores.\Just because you're a vampire response:	doesn't mean your exams should be all red, too...
context: Hikari...\Takanashi Hikari-san...\Y-Yes? Why did you use my full name?\I guess there's no getting out of supplemental classes for you.\You didn't do particularly well in any subject.\Three failing scores.\Just because you're a vampire\doesn't mean your exams should be all red, too... response:	Instead of being jealous of your friends' scores,
context: Takanashi Hikari-san...\Y-Yes? Why did you use my full name?\I guess there's no getting out of supplemental classes for you.\You didn't do particularly well in any subject.\Three failing scores.\Just because you're a vampire\doesn't mean your exams should be all red, too...\Instead of being jealous of your friends' scores, response:	you should take a good look at your own mistakes.
context: Y-Yes? Why did you use my full name?\I guess there's no getting out of supplemental classes for you.\You didn't do particularly well in any subject.\Three failing scores.\Just because you're a vampire\doesn't mean your exams should be all red, too...\Instead of being jealous of your friends' scores,\you should take a good look at your own mistakes. response:	S-Sensei!
context: I guess there's no getting out of supplemental classes for you.\You didn't do particularly well in any subject.\Three failing scores.\Just because you're a vampire\doesn't mean your exams should be all red, too...\Instead of being jealous of your friends' scores,\you should take a good look at your own mistakes.\S-Sensei! response:	H-Hug... Hug me?
context: You didn't do particularly well in any subject.\Three failing scores.\Just because you're a vampire\doesn't mean your exams should be all red, too...\Instead of being jealous of your friends' scores,\you should take a good look at your own mistakes.\S-Sensei!\H-Hug... Hug me? response:	Don't yell at me...
context: Three failing scores.\Just because you're a vampire\doesn't mean your exams should be all red, too...\Instead of being jealous of your friends' scores,\you should take a good look at your own mistakes.\S-Sensei!\H-Hug... Hug me?\Don't yell at me... response:	Bye.
context: Just because you're a vampire\doesn't mean your exams should be all red, too...\Instead of being jealous of your friends' scores,\you should take a good look at your own mistakes.\S-Sensei!\H-Hug... Hug me?\Don't yell at me...\Bye. response:	Sensei!
context: doesn't mean your exams should be all red, too...\Instead of being jealous of your friends' scores,\you should take a good look at your own mistakes.\S-Sensei!\H-Hug... Hug me?\Don't yell at me...\Bye.\Sensei! response:	Droop.
context: Instead of being jealous of your friends' scores,\you should take a good look at your own mistakes.\S-Sensei!\H-Hug... Hug me?\Don't yell at me...\Bye.\Sensei!\Droop. response:	It's like some skit.
context: you should take a good look at your own mistakes.\S-Sensei!\H-Hug... Hug me?\Don't yell at me...\Bye.\Sensei!\Droop.\It's like some skit. response:	Yukki, what should I do?!
context: S-Sensei!\H-Hug... Hug me?\Don't yell at me...\Bye.\Sensei!\Droop.\It's like some skit.\Yukki, what should I do?! response:	You're seriously crying?
context: H-Hug... Hug me?\Don't yell at me...\Bye.\Sensei!\Droop.\It's like some skit.\Yukki, what should I do?!\You're seriously crying? response:	I don't want Sensei to hate me!
context: Don't yell at me...\Bye.\Sensei!\Droop.\It's like some skit.\Yukki, what should I do?!\You're seriously crying?\I don't want Sensei to hate me! response:	Well, he scolded you for not studying,
context: Bye.\Sensei!\Droop.\It's like some skit.\Yukki, what should I do?!\You're seriously crying?\I don't want Sensei to hate me!\Well, he scolded you for not studying, response:	so there's only one thing to do.
context: Sensei!\Droop.\It's like some skit.\Yukki, what should I do?!\You're seriously crying?\I don't want Sensei to hate me!\Well, he scolded you for not studying,\so there's only one thing to do. response:	One thing?
context: Droop.\It's like some skit.\Yukki, what should I do?!\You're seriously crying?\I don't want Sensei to hate me!\Well, he scolded you for not studying,\so there's only one thing to do.\One thing? response:	Study and get good scores on your exams.
context: It's like some skit.\Yukki, what should I do?!\You're seriously crying?\I don't want Sensei to hate me!\Well, he scolded you for not studying,\so there's only one thing to do.\One thing?\Study and get good scores on your exams. response:	But the exams are over!
context: Yukki, what should I do?!\You're seriously crying?\I don't want Sensei to hate me!\Well, he scolded you for not studying,\so there's only one thing to do.\One thing?\Study and get good scores on your exams.\But the exams are over! response:	Midterms are over, but proficiency tests are coming up.
context: You're seriously crying?\I don't want Sensei to hate me!\Well, he scolded you for not studying,\so there's only one thing to do.\One thing?\Study and get good scores on your exams.\But the exams are over!\Midterms are over, but proficiency tests are coming up. response:	What? More tests?
