context: but there is only desolation under an autumn sunset. response:	Swift waters parted by the jagged rocks
context: but there is only desolation under an autumn sunset.\Swift waters parted by the jagged rocks response:	The Fukui Class A champion is
context: but there is only desolation under an autumn sunset.\Swift waters parted by the jagged rocks\The Fukui Class A champion is response:	Murao Shinichi-kun from the Fukui Nagumo Society.
context: but there is only desolation under an autumn sunset.\Swift waters parted by the jagged rocks\The Fukui Class A champion is\Murao Shinichi-kun from the Fukui Nagumo Society. response:	The runner-up is Wataya Arata-kun from the Fukui Nagumo Society.
context: but there is only desolation under an autumn sunset.\Swift waters parted by the jagged rocks\The Fukui Class A champion is\Murao Shinichi-kun from the Fukui Nagumo Society.\The runner-up is Wataya Arata-kun from the Fukui Nagumo Society. response:	The Nagumo Society is impressive.
context: but there is only desolation under an autumn sunset.\Swift waters parted by the jagged rocks\The Fukui Class A champion is\Murao Shinichi-kun from the Fukui Nagumo Society.\The runner-up is Wataya Arata-kun from the Fukui Nagumo Society.\The Nagumo Society is impressive. response:	They placed first and second in the Fukui tournament,
context: but there is only desolation under an autumn sunset.\Swift waters parted by the jagged rocks\The Fukui Class A champion is\Murao Shinichi-kun from the Fukui Nagumo Society.\The runner-up is Wataya Arata-kun from the Fukui Nagumo Society.\The Nagumo Society is impressive.\They placed first and second in the Fukui tournament, response:	which features over 100 Class A players.
context: but there is only desolation under an autumn sunset.\Swift waters parted by the jagged rocks\The Fukui Class A champion is\Murao Shinichi-kun from the Fukui Nagumo Society.\The runner-up is Wataya Arata-kun from the Fukui Nagumo Society.\The Nagumo Society is impressive.\They placed first and second in the Fukui tournament,\which features over 100 Class A players. response:	The final match was excellent.
context: Swift waters parted by the jagged rocks\The Fukui Class A champion is\Murao Shinichi-kun from the Fukui Nagumo Society.\The runner-up is Wataya Arata-kun from the Fukui Nagumo Society.\The Nagumo Society is impressive.\They placed first and second in the Fukui tournament,\which features over 100 Class A players.\The final match was excellent. response:	Players from the same society showing no mercy.
context: The Fukui Class A champion is\Murao Shinichi-kun from the Fukui Nagumo Society.\The runner-up is Wataya Arata-kun from the Fukui Nagumo Society.\The Nagumo Society is impressive.\They placed first and second in the Fukui tournament,\which features over 100 Class A players.\The final match was excellent.\Players from the same society showing no mercy. response:	Murao-kun managed to outlast his opponent.
context: Murao Shinichi-kun from the Fukui Nagumo Society.\The runner-up is Wataya Arata-kun from the Fukui Nagumo Society.\The Nagumo Society is impressive.\They placed first and second in the Fukui tournament,\which features over 100 Class A players.\The final match was excellent.\Players from the same society showing no mercy.\Murao-kun managed to outlast his opponent. response:	Runner-up Wataya Arata
context: The runner-up is Wataya Arata-kun from the Fukui Nagumo Society.\The Nagumo Society is impressive.\They placed first and second in the Fukui tournament,\which features over 100 Class A players.\The final match was excellent.\Players from the same society showing no mercy.\Murao-kun managed to outlast his opponent.\Runner-up Wataya Arata response:	Congratulations.
context: The Nagumo Society is impressive.\They placed first and second in the Fukui tournament,\which features over 100 Class A players.\The final match was excellent.\Players from the same society showing no mercy.\Murao-kun managed to outlast his opponent.\Runner-up Wataya Arata\Congratulations. response:	You're strong, when you're serious about playing.
context: They placed first and second in the Fukui tournament,\which features over 100 Class A players.\The final match was excellent.\Players from the same society showing no mercy.\Murao-kun managed to outlast his opponent.\Runner-up Wataya Arata\Congratulations.\You're strong, when you're serious about playing. response:	I can't wait to see you play in the Master match this fall.
context: which features over 100 Class A players.\The final match was excellent.\Players from the same society showing no mercy.\Murao-kun managed to outlast his opponent.\Runner-up Wataya Arata\Congratulations.\You're strong, when you're serious about playing.\I can't wait to see you play in the Master match this fall. response:	National Karuta Tournament Fukui Champions
context: The final match was excellent.\Players from the same society showing no mercy.\Murao-kun managed to outlast his opponent.\Runner-up Wataya Arata\Congratulations.\You're strong, when you're serious about playing.\I can't wait to see you play in the Master match this fall.\National Karuta Tournament Fukui Champions response:	Wataya Hajime Wataya Hajime Wataya Hajime Wataya Hajime
