context: <National Astronomical Observatory of Japan> response:	<No Tresspassing>
context: <National Astronomical Observatory of Japan>\<No Tresspassing> response:	I saw a whale when I opened my eyes...
context: <National Astronomical Observatory of Japan>\<No Tresspassing>\I saw a whale when I opened my eyes... response:	So I thought I would take a picture...
context: <National Astronomical Observatory of Japan>\<No Tresspassing>\I saw a whale when I opened my eyes...\So I thought I would take a picture... response:	But I thought better of it.
context: <National Astronomical Observatory of Japan>\<No Tresspassing>\I saw a whale when I opened my eyes...\So I thought I would take a picture...\But I thought better of it. response:	Why did I even entertain such a thought?
context: <National Astronomical Observatory of Japan>\<No Tresspassing>\I saw a whale when I opened my eyes...\So I thought I would take a picture...\But I thought better of it.\Why did I even entertain such a thought? response:	There is no reason to want a photo of it.
context: <National Astronomical Observatory of Japan>\<No Tresspassing>\I saw a whale when I opened my eyes...\So I thought I would take a picture...\But I thought better of it.\Why did I even entertain such a thought?\There is no reason to want a photo of it. response:	Tsukiakari no michishirube
context: <National Astronomical Observatory of Japan>\<No Tresspassing>\I saw a whale when I opened my eyes...\So I thought I would take a picture...\But I thought better of it.\Why did I even entertain such a thought?\There is no reason to want a photo of it.\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: <No Tresspassing>\I saw a whale when I opened my eyes...\So I thought I would take a picture...\But I thought better of it.\Why did I even entertain such a thought?\There is no reason to want a photo of it.\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: I saw a whale when I opened my eyes...\So I thought I would take a picture...\But I thought better of it.\Why did I even entertain such a thought?\There is no reason to want a photo of it.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: So I thought I would take a picture...\But I thought better of it.\Why did I even entertain such a thought?\There is no reason to want a photo of it.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: But I thought better of it.\Why did I even entertain such a thought?\There is no reason to want a photo of it.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Why did I even entertain such a thought?\There is no reason to want a photo of it.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: There is no reason to want a photo of it.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Nee dareka oshiete
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete response:	Hey, someone, tell me
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me response:	Minna sou na no kana?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana? response:	Is everyone like that?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that? response:	Kyou ga shiawase nara
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara response:	That they'feel it's good enough
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough response:	Sore de ii to omoeru tte
context: No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte response:	if they're if happy today'
context: Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today' response:	Osanai koro ni wa
context: Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa response:	When I was young
context: Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young response:	Tashika ni atta yo
context: Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo response:	They certainly existed
context: Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed response:	Yume o oikaketeta
context: That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta response:	I pursued my dreams
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
