context: Not yet. I'm not finished... response:	I'm going to be... the Wizard King.
context: Not yet. I'm not finished...\I'm going to be... the Wizard King. response:	You? The Wizard King?
context: Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King? response:	I have the ability to find out
context: Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out response:	just how much magical power one has with these chains.
context: Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains. response:	And you have no magic whatsoever.
context: Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever. response:	You must've been born that way. No wonder you couldn't get a grimoire.
context: Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire. response:	To think that you lack even an ounce of magic
context: Not yet. I'm not finished...\I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic response:	in this world where magic is everything.
context: I'm going to be... the Wizard King.\You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything. response:	What a priceless find!
context: You? The Wizard King?\I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find! response:	Huh?
context: I have the ability to find out\just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh? response:	What the hell?
context: just how much magical power one has with these chains.\And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh?\What the hell? response:	Then no matter how hard I try, I won't be able to use magic?
context: And you have no magic whatsoever.\You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic? response:	To think that someone so pathetic existed.
context: You must've been born that way. No wonder you couldn't get a grimoire.\To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed. response:	You won't even be able to find a job, let alone become the Wizard King!
context: To think that you lack even an ounce of magic\in this world where magic is everything.\What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King! response:	I'm sure your friend, the great genius over there, mocks you, too.
context: in this world where magic is everything.\What a priceless find!\Huh?\What the hell?\Then no matter how hard I try, I won't be able to use magic?\To think that someone so pathetic existed.\You won't even be able to find a job, let alone become the Wizard King!\I'm sure your friend, the great genius over there, mocks you, too. response:	Yeah, maybe.
