context: This is a BETA version. response:	I will go to Europe.
context: This is a BETA version.\I will go to Europe. response:	After the Rising Star's Christmas performance is over,
context: This is a BETA version.\I will go to Europe.\After the Rising Star's Christmas performance is over, response:	I will go to Europe...
context: This is a BETA version.\I will go to Europe.\After the Rising Star's Christmas performance is over,\I will go to Europe... response:	You...
context: This is a BETA version.\I will go to Europe.\After the Rising Star's Christmas performance is over,\I will go to Europe...\You... response:	So you don't know the reason why she participates in the competition?
context: This is a BETA version.\I will go to Europe.\After the Rising Star's Christmas performance is over,\I will go to Europe...\You...\So you don't know the reason why she participates in the competition? response:	She wants to catch up with you!
context: This is a BETA version.\I will go to Europe.\After the Rising Star's Christmas performance is over,\I will go to Europe...\You...\So you don't know the reason why she participates in the competition?\She wants to catch up with you! response:	With that determination she arrived at this stage.
context: This is a BETA version.\I will go to Europe.\After the Rising Star's Christmas performance is over,\I will go to Europe...\You...\So you don't know the reason why she participates in the competition?\She wants to catch up with you!\With that determination she arrived at this stage. response:	What's that? Such a messy playing..
context: I will go to Europe.\After the Rising Star's Christmas performance is over,\I will go to Europe...\You...\So you don't know the reason why she participates in the competition?\She wants to catch up with you!\With that determination she arrived at this stage.\What's that? Such a messy playing.. response:	Nodame?
context: After the Rising Star's Christmas performance is over,\I will go to Europe...\You...\So you don't know the reason why she participates in the competition?\She wants to catch up with you!\With that determination she arrived at this stage.\What's that? Such a messy playing..\Nodame? response:	It's over now...
context: I will go to Europe...\You...\So you don't know the reason why she participates in the competition?\She wants to catch up with you!\With that determination she arrived at this stage.\What's that? Such a messy playing..\Nodame?\It's over now... response:	What is she doing now?
context: You...\So you don't know the reason why she participates in the competition?\She wants to catch up with you!\With that determination she arrived at this stage.\What's that? Such a messy playing..\Nodame?\It's over now...\What is she doing now? response:	I wonder what's wrong with her...
context: So you don't know the reason why she participates in the competition?\She wants to catch up with you!\With that determination she arrived at this stage.\What's that? Such a messy playing..\Nodame?\It's over now...\What is she doing now?\I wonder what's wrong with her... response:	Could it be that she forgets that she still has one more piece to play?
context: She wants to catch up with you!\With that determination she arrived at this stage.\What's that? Such a messy playing..\Nodame?\It's over now...\What is she doing now?\I wonder what's wrong with her...\Could it be that she forgets that she still has one more piece to play? response:	Chiaki-Senpai
context: With that determination she arrived at this stage.\What's that? Such a messy playing..\Nodame?\It's over now...\What is she doing now?\I wonder what's wrong with her...\Could it be that she forgets that she still has one more piece to play?\Chiaki-Senpai response:	Debussy..
context: What's that? Such a messy playing..\Nodame?\It's over now...\What is she doing now?\I wonder what's wrong with her...\Could it be that she forgets that she still has one more piece to play?\Chiaki-Senpai\Debussy.. response:	Imagine more enjoyable things!
context: Nodame?\It's over now...\What is she doing now?\I wonder what's wrong with her...\Could it be that she forgets that she still has one more piece to play?\Chiaki-Senpai\Debussy..\Imagine more enjoyable things! response:	Like being in love...feeling good
context: It's over now...\What is she doing now?\I wonder what's wrong with her...\Could it be that she forgets that she still has one more piece to play?\Chiaki-Senpai\Debussy..\Imagine more enjoyable things!\Like being in love...feeling good response:	Being in love...feel good??
context: What is she doing now?\I wonder what's wrong with her...\Could it be that she forgets that she still has one more piece to play?\Chiaki-Senpai\Debussy..\Imagine more enjoyable things!\Like being in love...feeling good\Being in love...feel good?? response:	Yes. Debussy...
context: I wonder what's wrong with her...\Could it be that she forgets that she still has one more piece to play?\Chiaki-Senpai\Debussy..\Imagine more enjoyable things!\Like being in love...feeling good\Being in love...feel good??\Yes. Debussy... response:	went to an island in the south with his lover,
