context: The Infinity Clock is in our hands. response:	The amplitude limiter is almost finished.
context: The Infinity Clock is in our hands.\The amplitude limiter is almost finished. response:	Let's hurry up and finish off the church!
context: The Infinity Clock is in our hands.\The amplitude limiter is almost finished.\Let's hurry up and finish off the church! response:	Even more destruction and the end...
context: The Infinity Clock is in our hands.\The amplitude limiter is almost finished.\Let's hurry up and finish off the church!\Even more destruction and the end... response:	To bring the end to this world,
context: The Infinity Clock is in our hands.\The amplitude limiter is almost finished.\Let's hurry up and finish off the church!\Even more destruction and the end...\To bring the end to this world, response:	there's something we still need.
context: The Infinity Clock is in our hands.\The amplitude limiter is almost finished.\Let's hurry up and finish off the church!\Even more destruction and the end...\To bring the end to this world,\there's something we still need. response:	The wind is weak...
context: The Infinity Clock is in our hands.\The amplitude limiter is almost finished.\Let's hurry up and finish off the church!\Even more destruction and the end...\To bring the end to this world,\there's something we still need.\The wind is weak... response:	A wind blowing from the abyss of destruction...
context: The Infinity Clock is in our hands.\The amplitude limiter is almost finished.\Let's hurry up and finish off the church!\Even more destruction and the end...\To bring the end to this world,\there's something we still need.\The wind is weak...\A wind blowing from the abyss of destruction... response:	That's right.
context: The amplitude limiter is almost finished.\Let's hurry up and finish off the church!\Even more destruction and the end...\To bring the end to this world,\there's something we still need.\The wind is weak...\A wind blowing from the abyss of destruction...\That's right. response:	The Infinity Clock isn't complete yet.
context: Let's hurry up and finish off the church!\Even more destruction and the end...\To bring the end to this world,\there's something we still need.\The wind is weak...\A wind blowing from the abyss of destruction...\That's right.\The Infinity Clock isn't complete yet. response:	To obtain great power,
context: Even more destruction and the end...\To bring the end to this world,\there's something we still need.\The wind is weak...\A wind blowing from the abyss of destruction...\That's right.\The Infinity Clock isn't complete yet.\To obtain great power, response:	the sacrifice of something suitable is the price that must be paid.
context: To bring the end to this world,\there's something we still need.\The wind is weak...\A wind blowing from the abyss of destruction...\That's right.\The Infinity Clock isn't complete yet.\To obtain great power,\the sacrifice of something suitable is the price that must be paid. response:	We know that better than anyone.
context: there's something we still need.\The wind is weak...\A wind blowing from the abyss of destruction...\That's right.\The Infinity Clock isn't complete yet.\To obtain great power,\the sacrifice of something suitable is the price that must be paid.\We know that better than anyone. response:	Go!
context: The wind is weak...\A wind blowing from the abyss of destruction...\That's right.\The Infinity Clock isn't complete yet.\To obtain great power,\the sacrifice of something suitable is the price that must be paid.\We know that better than anyone.\Go! response:	With our power, the end-time will move forward even more!
context: A wind blowing from the abyss of destruction...\That's right.\The Infinity Clock isn't complete yet.\To obtain great power,\the sacrifice of something suitable is the price that must be paid.\We know that better than anyone.\Go!\With our power, the end-time will move forward even more! response:	Oracion Seis...
context: That's right.\The Infinity Clock isn't complete yet.\To obtain great power,\the sacrifice of something suitable is the price that must be paid.\We know that better than anyone.\Go!\With our power, the end-time will move forward even more!\Oracion Seis... response:	Just what we didn't need...
context: The Infinity Clock isn't complete yet.\To obtain great power,\the sacrifice of something suitable is the price that must be paid.\We know that better than anyone.\Go!\With our power, the end-time will move forward even more!\Oracion Seis...\Just what we didn't need... response:	So that's why the old Master got summoned by the Council, huh?
context: To obtain great power,\the sacrifice of something suitable is the price that must be paid.\We know that better than anyone.\Go!\With our power, the end-time will move forward even more!\Oracion Seis...\Just what we didn't need...\So that's why the old Master got summoned by the Council, huh? response:	Yeah.
context: the sacrifice of something suitable is the price that must be paid.\We know that better than anyone.\Go!\With our power, the end-time will move forward even more!\Oracion Seis...\Just what we didn't need...\So that's why the old Master got summoned by the Council, huh?\Yeah. response:	Not only did we tangle with them during that Nirvana business,
context: We know that better than anyone.\Go!\With our power, the end-time will move forward even more!\Oracion Seis...\Just what we didn't need...\So that's why the old Master got summoned by the Council, huh?\Yeah.\Not only did we tangle with them during that Nirvana business, response:	but there was that other breakout as well.
context: Go!\With our power, the end-time will move forward even more!\Oracion Seis...\Just what we didn't need...\So that's why the old Master got summoned by the Council, huh?\Yeah.\Not only did we tangle with them during that Nirvana business,\but there was that other breakout as well. response:	They're worse than they were seven years ago.
context: With our power, the end-time will move forward even more!\Oracion Seis...\Just what we didn't need...\So that's why the old Master got summoned by the Council, huh?\Yeah.\Not only did we tangle with them during that Nirvana business,\but there was that other breakout as well.\They're worse than they were seven years ago. response:	But we were helpless against them...
context: Oracion Seis...\Just what we didn't need...\So that's why the old Master got summoned by the Council, huh?\Yeah.\Not only did we tangle with them during that Nirvana business,\but there was that other breakout as well.\They're worse than they were seven years ago.\But we were helpless against them... response:	I couldn't do anything.
context: Just what we didn't need...\So that's why the old Master got summoned by the Council, huh?\Yeah.\Not only did we tangle with them during that Nirvana business,\but there was that other breakout as well.\They're worse than they were seven years ago.\But we were helpless against them...\I couldn't do anything. response:	Dammit!
context: So that's why the old Master got summoned by the Council, huh?\Yeah.\Not only did we tangle with them during that Nirvana business,\but there was that other breakout as well.\They're worse than they were seven years ago.\But we were helpless against them...\I couldn't do anything.\Dammit! response:	No. When you get down to it, it was my fault...
context: Yeah.\Not only did we tangle with them during that Nirvana business,\but there was that other breakout as well.\They're worse than they were seven years ago.\But we were helpless against them...\I couldn't do anything.\Dammit!\No. When you get down to it, it was my fault... response:	No, it's not your fault, Michelle!
context: Not only did we tangle with them during that Nirvana business,\but there was that other breakout as well.\They're worse than they were seven years ago.\But we were helpless against them...\I couldn't do anything.\Dammit!\No. When you get down to it, it was my fault...\No, it's not your fault, Michelle! response:	Remember what Natsu said before?
context: but there was that other breakout as well.\They're worse than they were seven years ago.\But we were helpless against them...\I couldn't do anything.\Dammit!\No. When you get down to it, it was my fault...\No, it's not your fault, Michelle!\Remember what Natsu said before? response:	My father should have left a more detailed message.
context: They're worse than they were seven years ago.\But we were helpless against them...\I couldn't do anything.\Dammit!\No. When you get down to it, it was my fault...\No, it's not your fault, Michelle!\Remember what Natsu said before?\My father should have left a more detailed message. response:	In the first place, Lucy, how did your father
context: But we were helpless against them...\I couldn't do anything.\Dammit!\No. When you get down to it, it was my fault...\No, it's not your fault, Michelle!\Remember what Natsu said before?\My father should have left a more detailed message.\In the first place, Lucy, how did your father response:	get involved with that clock?
context: I couldn't do anything.\Dammit!\No. When you get down to it, it was my fault...\No, it's not your fault, Michelle!\Remember what Natsu said before?\My father should have left a more detailed message.\In the first place, Lucy, how did your father\get involved with that clock? response:	I don't know that myself.
context: Dammit!\No. When you get down to it, it was my fault...\No, it's not your fault, Michelle!\Remember what Natsu said before?\My father should have left a more detailed message.\In the first place, Lucy, how did your father\get involved with that clock?\I don't know that myself. response:	We'll solve that mystery another day.
context: No. When you get down to it, it was my fault...\No, it's not your fault, Michelle!\Remember what Natsu said before?\My father should have left a more detailed message.\In the first place, Lucy, how did your father\get involved with that clock?\I don't know that myself.\We'll solve that mystery another day. response:	Right now, we have to find Oracion Seis
context: No, it's not your fault, Michelle!\Remember what Natsu said before?\My father should have left a more detailed message.\In the first place, Lucy, how did your father\get involved with that clock?\I don't know that myself.\We'll solve that mystery another day.\Right now, we have to find Oracion Seis response:	and take back the Infinity Clock!
context: Remember what Natsu said before?\My father should have left a more detailed message.\In the first place, Lucy, how did your father\get involved with that clock?\I don't know that myself.\We'll solve that mystery another day.\Right now, we have to find Oracion Seis\and take back the Infinity Clock! response:	Anyway, let's go!
