context: Leiden is such a big city! response:	I know! I got lost because there's
context: Leiden is such a big city!\I know! I got lost because there's response:	so many more roads than my town.
context: Leiden is such a big city!\I know! I got lost because there's\so many more roads than my town. response:	They say it's easier to find a job if you have a brooch from here.
context: Leiden is such a big city!\I know! I got lost because there's\so many more roads than my town.\They say it's easier to find a job if you have a brooch from here. response:	I just want to graduate and go home.
context: Leiden is such a big city!\I know! I got lost because there's\so many more roads than my town.\They say it's easier to find a job if you have a brooch from here.\I just want to graduate and go home. response:	I bet you just want the brooch.
context: Leiden is such a big city!\I know! I got lost because there's\so many more roads than my town.\They say it's easier to find a job if you have a brooch from here.\I just want to graduate and go home.\I bet you just want the brooch. response:	You got me.
context: Leiden is such a big city!\I know! I got lost because there's\so many more roads than my town.\They say it's easier to find a job if you have a brooch from here.\I just want to graduate and go home.\I bet you just want the brooch.\You got me. response:	Quiet.
context: Leiden is such a big city!\I know! I got lost because there's\so many more roads than my town.\They say it's easier to find a job if you have a brooch from here.\I just want to graduate and go home.\I bet you just want the brooch.\You got me.\Quiet. response:	I'm very sorry.
context: I know! I got lost because there's\so many more roads than my town.\They say it's easier to find a job if you have a brooch from here.\I just want to graduate and go home.\I bet you just want the brooch.\You got me.\Quiet.\I'm very sorry. response:	You'll be considered absent on your second tardy.
context: so many more roads than my town.\They say it's easier to find a job if you have a brooch from here.\I just want to graduate and go home.\I bet you just want the brooch.\You got me.\Quiet.\I'm very sorry.\You'll be considered absent on your second tardy. response:	Yes, ma'am.
context: They say it's easier to find a job if you have a brooch from here.\I just want to graduate and go home.\I bet you just want the brooch.\You got me.\Quiet.\I'm very sorry.\You'll be considered absent on your second tardy.\Yes, ma'am. response:	Now that the war is over,
context: I just want to graduate and go home.\I bet you just want the brooch.\You got me.\Quiet.\I'm very sorry.\You'll be considered absent on your second tardy.\Yes, ma'am.\Now that the war is over, response:	the demand for Dolls has never been higher.
context: I bet you just want the brooch.\You got me.\Quiet.\I'm very sorry.\You'll be considered absent on your second tardy.\Yes, ma'am.\Now that the war is over,\the demand for Dolls has never been higher. response:	Of course, it is possible to become a Doll
context: You got me.\Quiet.\I'm very sorry.\You'll be considered absent on your second tardy.\Yes, ma'am.\Now that the war is over,\the demand for Dolls has never been higher.\Of course, it is possible to become a Doll response:	without attending our school.
context: Quiet.\I'm very sorry.\You'll be considered absent on your second tardy.\Yes, ma'am.\Now that the war is over,\the demand for Dolls has never been higher.\Of course, it is possible to become a Doll\without attending our school. response:	But our objective is not to train just any Doll.
context: I'm very sorry.\You'll be considered absent on your second tardy.\Yes, ma'am.\Now that the war is over,\the demand for Dolls has never been higher.\Of course, it is possible to become a Doll\without attending our school.\But our objective is not to train just any Doll. response:	It is to train you to become the best Doll you can be.
context: You'll be considered absent on your second tardy.\Yes, ma'am.\Now that the war is over,\the demand for Dolls has never been higher.\Of course, it is possible to become a Doll\without attending our school.\But our objective is not to train just any Doll.\It is to train you to become the best Doll you can be. response:	Graduating from our school is proof of excellence.
context: Yes, ma'am.\Now that the war is over,\the demand for Dolls has never been higher.\Of course, it is possible to become a Doll\without attending our school.\But our objective is not to train just any Doll.\It is to train you to become the best Doll you can be.\Graduating from our school is proof of excellence. response:	However, if I do not deem you a worthy Doll,
context: Now that the war is over,\the demand for Dolls has never been higher.\Of course, it is possible to become a Doll\without attending our school.\But our objective is not to train just any Doll.\It is to train you to become the best Doll you can be.\Graduating from our school is proof of excellence.\However, if I do not deem you a worthy Doll, response:	you will never be given this certification.
context: the demand for Dolls has never been higher.\Of course, it is possible to become a Doll\without attending our school.\But our objective is not to train just any Doll.\It is to train you to become the best Doll you can be.\Graduating from our school is proof of excellence.\However, if I do not deem you a worthy Doll,\you will never be given this certification. response:	Do you understand?
context: Of course, it is possible to become a Doll\without attending our school.\But our objective is not to train just any Doll.\It is to train you to become the best Doll you can be.\Graduating from our school is proof of excellence.\However, if I do not deem you a worthy Doll,\you will never be given this certification.\Do you understand? response:	Affirmative.
context: without attending our school.\But our objective is not to train just any Doll.\It is to train you to become the best Doll you can be.\Graduating from our school is proof of excellence.\However, if I do not deem you a worthy Doll,\you will never be given this certification.\Do you understand?\Affirmative. response:	Violet Evergarden.
context: But our objective is not to train just any Doll.\It is to train you to become the best Doll you can be.\Graduating from our school is proof of excellence.\However, if I do not deem you a worthy Doll,\you will never be given this certification.\Do you understand?\Affirmative.\Violet Evergarden. response:	Despite her doll-like outfit,
context: It is to train you to become the best Doll you can be.\Graduating from our school is proof of excellence.\However, if I do not deem you a worthy Doll,\you will never be given this certification.\Do you understand?\Affirmative.\Violet Evergarden.\Despite her doll-like outfit, response:	she had the demeanor...
context: Graduating from our school is proof of excellence.\However, if I do not deem you a worthy Doll,\you will never be given this certification.\Do you understand?\Affirmative.\Violet Evergarden.\Despite her doll-like outfit,\she had the demeanor... response:	of a military soldier.
context: However, if I do not deem you a worthy Doll,\you will never be given this certification.\Do you understand?\Affirmative.\Violet Evergarden.\Despite her doll-like outfit,\she had the demeanor...\of a military soldier. response:	An optimal Doll
context: you will never be given this certification.\Do you understand?\Affirmative.\Violet Evergarden.\Despite her doll-like outfit,\she had the demeanor...\of a military soldier.\An optimal Doll response:	must be able to type as fast as someone speaks.
context: Do you understand?\Affirmative.\Violet Evergarden.\Despite her doll-like outfit,\she had the demeanor...\of a military soldier.\An optimal Doll\must be able to type as fast as someone speaks. response:	Now, begin.
context: Affirmative.\Violet Evergarden.\Despite her doll-like outfit,\she had the demeanor...\of a military soldier.\An optimal Doll\must be able to type as fast as someone speaks.\Now, begin. response:	What is the matter, Ms. Evergarden?
context: Violet Evergarden.\Despite her doll-like outfit,\she had the demeanor...\of a military soldier.\An optimal Doll\must be able to type as fast as someone speaks.\Now, begin.\What is the matter, Ms. Evergarden? response:	You did not specify a speed.
