context: What is it? response:	Be careful. Something's out there.
context: What is it?\Be careful. Something's out there. response:	Who's there?
context: What is it?\Be careful. Something's out there.\Who's there? response:	Take this!
context: What is it?\Be careful. Something's out there.\Who's there?\Take this! response:	You filthy demon... I shall erase you from this world!
context: What is it?\Be careful. Something's out there.\Who's there?\Take this!\You filthy demon... I shall erase you from this world! response:	Izumo!
context: What is it?\Be careful. Something's out there.\Who's there?\Take this!\You filthy demon... I shall erase you from this world!\Izumo! response:	Stop spacing out!
context: What is it?\Be careful. Something's out there.\Who's there?\Take this!\You filthy demon... I shall erase you from this world!\Izumo!\Stop spacing out! response:	Uke! Mike!
context: What is it?\Be careful. Something's out there.\Who's there?\Take this!\You filthy demon... I shall erase you from this world!\Izumo!\Stop spacing out!\Uke! Mike! response:	Good morning!
context: Be careful. Something's out there.\Who's there?\Take this!\You filthy demon... I shall erase you from this world!\Izumo!\Stop spacing out!\Uke! Mike!\Good morning! response:	Hey!
context: Who's there?\Take this!\You filthy demon... I shall erase you from this world!\Izumo!\Stop spacing out!\Uke! Mike!\Good morning!\Hey! response:	Good morning!
context: Take this!\You filthy demon... I shall erase you from this world!\Izumo!\Stop spacing out!\Uke! Mike!\Good morning!\Hey!\Good morning! response:	What's this mess? What happened here?
context: You filthy demon... I shall erase you from this world!\Izumo!\Stop spacing out!\Uke! Mike!\Good morning!\Hey!\Good morning!\What's this mess? What happened here? response:	I'd like to know that too.
context: Izumo!\Stop spacing out!\Uke! Mike!\Good morning!\Hey!\Good morning!\What's this mess? What happened here?\I'd like to know that too. response:	And why aren't you in class?
context: Stop spacing out!\Uke! Mike!\Good morning!\Hey!\Good morning!\What's this mess? What happened here?\I'd like to know that too.\And why aren't you in class? response:	Haven't you seen the message?
context: Uke! Mike!\Good morning!\Hey!\Good morning!\What's this mess? What happened here?\I'd like to know that too.\And why aren't you in class?\Haven't you seen the message? response:	I have urgently summoned every single Exorcist in this region here.
context: Good morning!\Hey!\Good morning!\What's this mess? What happened here?\I'd like to know that too.\And why aren't you in class?\Haven't you seen the message?\I have urgently summoned every single Exorcist in this region here. response:	We're still Esquires though...
context: Hey!\Good morning!\What's this mess? What happened here?\I'd like to know that too.\And why aren't you in class?\Haven't you seen the message?\I have urgently summoned every single Exorcist in this region here.\We're still Esquires though... response:	The situation is of such gravity that we need everyone available.
context: Good morning!\What's this mess? What happened here?\I'd like to know that too.\And why aren't you in class?\Haven't you seen the message?\I have urgently summoned every single Exorcist in this region here.\We're still Esquires though...\The situation is of such gravity that we need everyone available. response:	A demon called Gale has infiltrated the Academy.
context: What's this mess? What happened here?\I'd like to know that too.\And why aren't you in class?\Haven't you seen the message?\I have urgently summoned every single Exorcist in this region here.\We're still Esquires though...\The situation is of such gravity that we need everyone available.\A demon called Gale has infiltrated the Academy. response:	The Academy is protected by Sir Pheles' powerful barriers, so stronger demons can't enter.
context: I'd like to know that too.\And why aren't you in class?\Haven't you seen the message?\I have urgently summoned every single Exorcist in this region here.\We're still Esquires though...\The situation is of such gravity that we need everyone available.\A demon called Gale has infiltrated the Academy.\The Academy is protected by Sir Pheles' powerful barriers, so stronger demons can't enter. response:	There are two possible explanations.
context: And why aren't you in class?\Haven't you seen the message?\I have urgently summoned every single Exorcist in this region here.\We're still Esquires though...\The situation is of such gravity that we need everyone available.\A demon called Gale has infiltrated the Academy.\The Academy is protected by Sir Pheles' powerful barriers, so stronger demons can't enter.\There are two possible explanations. response:	Either my barriers have a weak point, or someone from the inside invited it here.
context: Haven't you seen the message?\I have urgently summoned every single Exorcist in this region here.\We're still Esquires though...\The situation is of such gravity that we need everyone available.\A demon called Gale has infiltrated the Academy.\The Academy is protected by Sir Pheles' powerful barriers, so stronger demons can't enter.\There are two possible explanations.\Either my barriers have a weak point, or someone from the inside invited it here. response:	Invited it?
context: I have urgently summoned every single Exorcist in this region here.\We're still Esquires though...\The situation is of such gravity that we need everyone available.\A demon called Gale has infiltrated the Academy.\The Academy is protected by Sir Pheles' powerful barriers, so stronger demons can't enter.\There are two possible explanations.\Either my barriers have a weak point, or someone from the inside invited it here.\Invited it? response:	Who and why?
context: We're still Esquires though...\The situation is of such gravity that we need everyone available.\A demon called Gale has infiltrated the Academy.\The Academy is protected by Sir Pheles' powerful barriers, so stronger demons can't enter.\There are two possible explanations.\Either my barriers have a weak point, or someone from the inside invited it here.\Invited it?\Who and why? response:	That is something I would like to know as well.
context: The situation is of such gravity that we need everyone available.\A demon called Gale has infiltrated the Academy.\The Academy is protected by Sir Pheles' powerful barriers, so stronger demons can't enter.\There are two possible explanations.\Either my barriers have a weak point, or someone from the inside invited it here.\Invited it?\Who and why?\That is something I would like to know as well. response:	I've ordered the teachers to track down Gale.
context: A demon called Gale has infiltrated the Academy.\The Academy is protected by Sir Pheles' powerful barriers, so stronger demons can't enter.\There are two possible explanations.\Either my barriers have a weak point, or someone from the inside invited it here.\Invited it?\Who and why?\That is something I would like to know as well.\I've ordered the teachers to track down Gale. response:	I want you Esquires to inspect all the barriers.
context: The Academy is protected by Sir Pheles' powerful barriers, so stronger demons can't enter.\There are two possible explanations.\Either my barriers have a weak point, or someone from the inside invited it here.\Invited it?\Who and why?\That is something I would like to know as well.\I've ordered the teachers to track down Gale.\I want you Esquires to inspect all the barriers. response:	Yessir.
context: There are two possible explanations.\Either my barriers have a weak point, or someone from the inside invited it here.\Invited it?\Who and why?\That is something I would like to know as well.\I've ordered the teachers to track down Gale.\I want you Esquires to inspect all the barriers.\Yessir. response:	You stay and continue your training.
context: Either my barriers have a weak point, or someone from the inside invited it here.\Invited it?\Who and why?\That is something I would like to know as well.\I've ordered the teachers to track down Gale.\I want you Esquires to inspect all the barriers.\Yessir.\You stay and continue your training. response:	Whaaat!
context: Invited it?\Who and why?\That is something I would like to know as well.\I've ordered the teachers to track down Gale.\I want you Esquires to inspect all the barriers.\Yessir.\You stay and continue your training.\Whaaat! response:	Nothing abnormal.
context: Who and why?\That is something I would like to know as well.\I've ordered the teachers to track down Gale.\I want you Esquires to inspect all the barriers.\Yessir.\You stay and continue your training.\Whaaat!\Nothing abnormal. response:	He said all the barriers, but how many are there?
context: That is something I would like to know as well.\I've ordered the teachers to track down Gale.\I want you Esquires to inspect all the barriers.\Yessir.\You stay and continue your training.\Whaaat!\Nothing abnormal.\He said all the barriers, but how many are there? response:	12,000.
context: I've ordered the teachers to track down Gale.\I want you Esquires to inspect all the barriers.\Yessir.\You stay and continue your training.\Whaaat!\Nothing abnormal.\He said all the barriers, but how many are there?\12,000. response:	No way... I can't do this.
context: I want you Esquires to inspect all the barriers.\Yessir.\You stay and continue your training.\Whaaat!\Nothing abnormal.\He said all the barriers, but how many are there?\12,000.\No way... I can't do this. response:	Everyone's on it, but Neko's nowhere to be seen...
context: Yessir.\You stay and continue your training.\Whaaat!\Nothing abnormal.\He said all the barriers, but how many are there?\12,000.\No way... I can't do this.\Everyone's on it, but Neko's nowhere to be seen... response:	When I woke up he wasn't at the dorm.
context: You stay and continue your training.\Whaaat!\Nothing abnormal.\He said all the barriers, but how many are there?\12,000.\No way... I can't do this.\Everyone's on it, but Neko's nowhere to be seen...\When I woke up he wasn't at the dorm. response:	He's not answering his cell either.
context: Whaaat!\Nothing abnormal.\He said all the barriers, but how many are there?\12,000.\No way... I can't do this.\Everyone's on it, but Neko's nowhere to be seen...\When I woke up he wasn't at the dorm.\He's not answering his cell either. response:	And he didn't come along to fix the Kurikara.
context: Nothing abnormal.\He said all the barriers, but how many are there?\12,000.\No way... I can't do this.\Everyone's on it, but Neko's nowhere to be seen...\When I woke up he wasn't at the dorm.\He's not answering his cell either.\And he didn't come along to fix the Kurikara. response:	He's not gonna drop out of the Exorcist cram school, right?
context: He said all the barriers, but how many are there?\12,000.\No way... I can't do this.\Everyone's on it, but Neko's nowhere to be seen...\When I woke up he wasn't at the dorm.\He's not answering his cell either.\And he didn't come along to fix the Kurikara.\He's not gonna drop out of the Exorcist cram school, right? response:	Like hell he would!
context: 12,000.\No way... I can't do this.\Everyone's on it, but Neko's nowhere to be seen...\When I woke up he wasn't at the dorm.\He's not answering his cell either.\And he didn't come along to fix the Kurikara.\He's not gonna drop out of the Exorcist cram school, right?\Like hell he would! response:	Satan killed his family and he made a vow to avenge them.
context: No way... I can't do this.\Everyone's on it, but Neko's nowhere to be seen...\When I woke up he wasn't at the dorm.\He's not answering his cell either.\And he didn't come along to fix the Kurikara.\He's not gonna drop out of the Exorcist cram school, right?\Like hell he would!\Satan killed his family and he made a vow to avenge them. response:	Bon...
context: Everyone's on it, but Neko's nowhere to be seen...\When I woke up he wasn't at the dorm.\He's not answering his cell either.\And he didn't come along to fix the Kurikara.\He's not gonna drop out of the Exorcist cram school, right?\Like hell he would!\Satan killed his family and he made a vow to avenge them.\Bon... response:	He would never give up.
context: When I woke up he wasn't at the dorm.\He's not answering his cell either.\And he didn't come along to fix the Kurikara.\He's not gonna drop out of the Exorcist cram school, right?\Like hell he would!\Satan killed his family and he made a vow to avenge them.\Bon...\He would never give up. response:	It hurts...
context: He's not answering his cell either.\And he didn't come along to fix the Kurikara.\He's not gonna drop out of the Exorcist cram school, right?\Like hell he would!\Satan killed his family and he made a vow to avenge them.\Bon...\He would never give up.\It hurts... response:	It hurts?
context: And he didn't come along to fix the Kurikara.\He's not gonna drop out of the Exorcist cram school, right?\Like hell he would!\Satan killed his family and he made a vow to avenge them.\Bon...\He would never give up.\It hurts...\It hurts? response:	Of course! I was shot with a gun!
context: He's not gonna drop out of the Exorcist cram school, right?\Like hell he would!\Satan killed his family and he made a vow to avenge them.\Bon...\He would never give up.\It hurts...\It hurts?\Of course! I was shot with a gun! response:	If you accept me, guns like that will mean nothing.
context: Like hell he would!\Satan killed his family and he made a vow to avenge them.\Bon...\He would never give up.\It hurts...\It hurts?\Of course! I was shot with a gun!\If you accept me, guns like that will mean nothing. response:	Why are you rejecting me?
context: Satan killed his family and he made a vow to avenge them.\Bon...\He would never give up.\It hurts...\It hurts?\Of course! I was shot with a gun!\If you accept me, guns like that will mean nothing.\Why are you rejecting me? response:	With me on your side, you wouldn't have to be afraid of the son of Satan!
context: Bon...\He would never give up.\It hurts...\It hurts?\Of course! I was shot with a gun!\If you accept me, guns like that will mean nothing.\Why are you rejecting me?\With me on your side, you wouldn't have to be afraid of the son of Satan! response:	Let's fight together!
context: He would never give up.\It hurts...\It hurts?\Of course! I was shot with a gun!\If you accept me, guns like that will mean nothing.\Why are you rejecting me?\With me on your side, you wouldn't have to be afraid of the son of Satan!\Let's fight together! response:	Let's kill the son of Satan!
context: It hurts...\It hurts?\Of course! I was shot with a gun!\If you accept me, guns like that will mean nothing.\Why are you rejecting me?\With me on your side, you wouldn't have to be afraid of the son of Satan!\Let's fight together!\Let's kill the son of Satan! response:	No! That's not what I want!
context: It hurts?\Of course! I was shot with a gun!\If you accept me, guns like that will mean nothing.\Why are you rejecting me?\With me on your side, you wouldn't have to be afraid of the son of Satan!\Let's fight together!\Let's kill the son of Satan!\No! That's not what I want! response:	I would never kill Okumura...
context: Of course! I was shot with a gun!\If you accept me, guns like that will mean nothing.\Why are you rejecting me?\With me on your side, you wouldn't have to be afraid of the son of Satan!\Let's fight together!\Let's kill the son of Satan!\No! That's not what I want!\I would never kill Okumura... response:	Rin Okumura... Why is a guy like him in my class?
context: If you accept me, guns like that will mean nothing.\Why are you rejecting me?\With me on your side, you wouldn't have to be afraid of the son of Satan!\Let's fight together!\Let's kill the son of Satan!\No! That's not what I want!\I would never kill Okumura...\Rin Okumura... Why is a guy like him in my class? response:	Is he trying to take away my friends too?
context: Why are you rejecting me?\With me on your side, you wouldn't have to be afraid of the son of Satan!\Let's fight together!\Let's kill the son of Satan!\No! That's not what I want!\I would never kill Okumura...\Rin Okumura... Why is a guy like him in my class?\Is he trying to take away my friends too? response:	Filthy demon... I hate you... I hate you... I hate you!
context: With me on your side, you wouldn't have to be afraid of the son of Satan!\Let's fight together!\Let's kill the son of Satan!\No! That's not what I want!\I would never kill Okumura...\Rin Okumura... Why is a guy like him in my class?\Is he trying to take away my friends too?\Filthy demon... I hate you... I hate you... I hate you! response:	That's not it!
context: Let's fight together!\Let's kill the son of Satan!\No! That's not what I want!\I would never kill Okumura...\Rin Okumura... Why is a guy like him in my class?\Is he trying to take away my friends too?\Filthy demon... I hate you... I hate you... I hate you!\That's not it! response:	Acknowledge and accept the darkness in your heart.
context: Let's kill the son of Satan!\No! That's not what I want!\I would never kill Okumura...\Rin Okumura... Why is a guy like him in my class?\Is he trying to take away my friends too?\Filthy demon... I hate you... I hate you... I hate you!\That's not it!\Acknowledge and accept the darkness in your heart. response:	If you wish, I'll help you anytime.
context: No! That's not what I want!\I would never kill Okumura...\Rin Okumura... Why is a guy like him in my class?\Is he trying to take away my friends too?\Filthy demon... I hate you... I hate you... I hate you!\That's not it!\Acknowledge and accept the darkness in your heart.\If you wish, I'll help you anytime. response:	Where am I?
context: I would never kill Okumura...\Rin Okumura... Why is a guy like him in my class?\Is he trying to take away my friends too?\Filthy demon... I hate you... I hate you... I hate you!\That's not it!\Acknowledge and accept the darkness in your heart.\If you wish, I'll help you anytime.\Where am I? response:	I gotta get back or they'll worry about me.
context: Rin Okumura... Why is a guy like him in my class?\Is he trying to take away my friends too?\Filthy demon... I hate you... I hate you... I hate you!\That's not it!\Acknowledge and accept the darkness in your heart.\If you wish, I'll help you anytime.\Where am I?\I gotta get back or they'll worry about me. response:	Revenge tastes great. When your soul is shrouded in hatred,
context: Is he trying to take away my friends too?\Filthy demon... I hate you... I hate you... I hate you!\That's not it!\Acknowledge and accept the darkness in your heart.\If you wish, I'll help you anytime.\Where am I?\I gotta get back or they'll worry about me.\Revenge tastes great. When your soul is shrouded in hatred, response:	I'll have my chance to take you!
context: Filthy demon... I hate you... I hate you... I hate you!\That's not it!\Acknowledge and accept the darkness in your heart.\If you wish, I'll help you anytime.\Where am I?\I gotta get back or they'll worry about me.\Revenge tastes great. When your soul is shrouded in hatred,\I'll have my chance to take you! response:	How long do I have to keep doing this?
