context: dou ka please can you keep my se cret? response:	mu ga mu chuu da that's all right
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right response:	Please, please can you keep my secret?
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret? response:	The mirror, shining so brilliantly.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly. response:	I wonder how do I look in it.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it. response:	The future, beckoning me forward.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward. response:	What will happen from now, I wonder?
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder? response:	Because what we see is not everything.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything. response:	I'm losing myself but that's all right.
context: mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right. response:	I will now try not to waver.
context: Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver. response:	I want to be true to my heart.
context: The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart. response:	But even I have a secret or two.
context: I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two. response:	That I want to keep to myself.
context: The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself. response:	That's why my secret makes my heart aches slightly.
context: What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly. response:	We'll surely meet again
context: Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again response:	Everything that's reflected by your eyes,
context: I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes, response:	is it all just an illusion?
context: I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion? response:	I wonder how you feel,
context: I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel, response:	as you melt away in this entangling love
context: But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love response:	Take a look at the reason we're joined together
context: That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at the reason we're joined together response:	Let's cling on to each other from our sadness
context: That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at the reason we're joined together\Let's cling on to each other from our sadness response:	Isn't it fine just like that?
context: We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that? response:	It'll be an unadorned beauty
context: Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty response:	Let's understand this, someday...
context: is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday... response:	That no matter where we are,
context: I wonder how you feel,\as you melt away in this entangling love\Take a look at the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we are, response:	we'll surely meet again
context: as you melt away in this entangling love\Take a look at the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we are,\we'll surely meet again response:	Signs: Usui, Misaki
context: Take a look at the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we are,\we'll surely meet again\Signs: Usui, Misaki response:	Exhausted from escaping the crowd
context: Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we are,\we'll surely meet again\Signs: Usui, Misaki\Exhausted from escaping the crowd response:	You're really sly Ayuzawa, Usui you idiot!
context: Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we are,\we'll surely meet again\Signs: Usui, Misaki\Exhausted from escaping the crowd\You're really sly Ayuzawa, Usui you idiot! response:	You're really sly Ayuzawa, Usui you idiot!
context: It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we are,\we'll surely meet again\Signs: Usui, Misaki\Exhausted from escaping the crowd\You're really sly Ayuzawa, Usui you idiot!\You're really sly Ayuzawa, Usui you idiot! response:	3-1 Ramen shop
context: Let's understand this, someday...\That no matter where we are,\we'll surely meet again\Signs: Usui, Misaki\Exhausted from escaping the crowd\You're really sly Ayuzawa, Usui you idiot!\You're really sly Ayuzawa, Usui you idiot!\3-1 Ramen shop response:	Speed-eating
context: That no matter where we are,\we'll surely meet again\Signs: Usui, Misaki\Exhausted from escaping the crowd\You're really sly Ayuzawa, Usui you idiot!\You're really sly Ayuzawa, Usui you idiot!\3-1 Ramen shop\Speed-eating response:	Card game
context: we'll surely meet again\Signs: Usui, Misaki\Exhausted from escaping the crowd\You're really sly Ayuzawa, Usui you idiot!\You're really sly Ayuzawa, Usui you idiot!\3-1 Ramen shop\Speed-eating\Card game response:	3-2 Game Lounge
context: Signs: Usui, Misaki\Exhausted from escaping the crowd\You're really sly Ayuzawa, Usui you idiot!\You're really sly Ayuzawa, Usui you idiot!\3-1 Ramen shop\Speed-eating\Card game\3-2 Game Lounge response:	3-3 Table Tennis Cafe
context: Exhausted from escaping the crowd\You're really sly Ayuzawa, Usui you idiot!\You're really sly Ayuzawa, Usui you idiot!\3-1 Ramen shop\Speed-eating\Card game\3-2 Game Lounge\3-3 Table Tennis Cafe response:	Super Premium Ticket
context: You're really sly Ayuzawa, Usui you idiot!\You're really sly Ayuzawa, Usui you idiot!\3-1 Ramen shop\Speed-eating\Card game\3-2 Game Lounge\3-3 Table Tennis Cafe\Super Premium Ticket response:	Shouldn't the guy eat instead...?
context: You're really sly Ayuzawa, Usui you idiot!\3-1 Ramen shop\Speed-eating\Card game\3-2 Game Lounge\3-3 Table Tennis Cafe\Super Premium Ticket\Shouldn't the guy eat instead...? response:	Lost
context: 3-1 Ramen shop\Speed-eating\Card game\3-2 Game Lounge\3-3 Table Tennis Cafe\Super Premium Ticket\Shouldn't the guy eat instead...?\Lost response:	Huh?
context: Speed-eating\Card game\3-2 Game Lounge\3-3 Table Tennis Cafe\Super Premium Ticket\Shouldn't the guy eat instead...?\Lost\Huh? response:	Right hand
context: Card game\3-2 Game Lounge\3-3 Table Tennis Cafe\Super Premium Ticket\Shouldn't the guy eat instead...?\Lost\Huh?\Right hand response:	Right-hander
context: 3-2 Game Lounge\3-3 Table Tennis Cafe\Super Premium Ticket\Shouldn't the guy eat instead...?\Lost\Huh?\Right hand\Right-hander response:	Grip
context: 3-3 Table Tennis Cafe\Super Premium Ticket\Shouldn't the guy eat instead...?\Lost\Huh?\Right hand\Right-hander\Grip response:	Don't drag me down in the next event, okay?
context: Super Premium Ticket\Shouldn't the guy eat instead...?\Lost\Huh?\Right hand\Right-hander\Grip\Don't drag me down in the next event, okay? response:	You're having fun all the while, aren't you?!
context: Shouldn't the guy eat instead...?\Lost\Huh?\Right hand\Right-hander\Grip\Don't drag me down in the next event, okay?\You're having fun all the while, aren't you?! response:	Quiz
context: Lost\Huh?\Right hand\Right-hander\Grip\Don't drag me down in the next event, okay?\You're having fun all the while, aren't you?!\Quiz response:	Balloon
context: Huh?\Right hand\Right-hander\Grip\Don't drag me down in the next event, okay?\You're having fun all the while, aren't you?!\Quiz\Balloon response:	Challenge
context: Right hand\Right-hander\Grip\Don't drag me down in the next event, okay?\You're having fun all the while, aren't you?!\Quiz\Balloon\Challenge response:	Under extreme stress
context: Right-hander\Grip\Don't drag me down in the next event, okay?\You're having fun all the while, aren't you?!\Quiz\Balloon\Challenge\Under extreme stress response:	We should move now
context: Grip\Don't drag me down in the next event, okay?\You're having fun all the while, aren't you?!\Quiz\Balloon\Challenge\Under extreme stress\We should move now response:	We should move now
context: Don't drag me down in the next event, okay?\You're having fun all the while, aren't you?!\Quiz\Balloon\Challenge\Under extreme stress\We should move now\We should move now response:	Okay
context: You're having fun all the while, aren't you?!\Quiz\Balloon\Challenge\Under extreme stress\We should move now\We should move now\Okay response:	Okay
context: Quiz\Balloon\Challenge\Under extreme stress\We should move now\We should move now\Okay\Okay response:	Super Premium Ticket
context: Balloon\Challenge\Under extreme stress\We should move now\We should move now\Okay\Okay\Super Premium Ticket response:	Congratulations
context: Challenge\Under extreme stress\We should move now\We should move now\Okay\Okay\Super Premium Ticket\Congratulations response:	In Maid Latte
context: Under extreme stress\We should move now\We should move now\Okay\Okay\Super Premium Ticket\Congratulations\In Maid Latte response:	In Maid Latte
context: We should move now\We should move now\Okay\Okay\Super Premium Ticket\Congratulations\In Maid Latte\In Maid Latte response:	In Maid Latte
context: We should move now\Okay\Okay\Super Premium Ticket\Congratulations\In Maid Latte\In Maid Latte\In Maid Latte response:	In Maid Latte
context: Okay\Okay\Super Premium Ticket\Congratulations\In Maid Latte\In Maid Latte\In Maid Latte\In Maid Latte response:	U x Mishi
context: Okay\Super Premium Ticket\Congratulations\In Maid Latte\In Maid Latte\In Maid Latte\In Maid Latte\U x Mishi response:	Guy from UxMishi
context: Super Premium Ticket\Congratulations\In Maid Latte\In Maid Latte\In Maid Latte\In Maid Latte\U x Mishi\Guy from UxMishi response:	Whose!?
context: Congratulations\In Maid Latte\In Maid Latte\In Maid Latte\In Maid Latte\U x Mishi\Guy from UxMishi\Whose!? response:	Just another stalker
context: In Maid Latte\In Maid Latte\In Maid Latte\In Maid Latte\U x Mishi\Guy from UxMishi\Whose!?\Just another stalker response:	You want some juice?
context: In Maid Latte\In Maid Latte\In Maid Latte\U x Mishi\Guy from UxMishi\Whose!?\Just another stalker\You want some juice? response:	Super Premium Ticket
context: In Maid Latte\In Maid Latte\U x Mishi\Guy from UxMishi\Whose!?\Just another stalker\You want some juice?\Super Premium Ticket response:	Congratulations
context: In Maid Latte\U x Mishi\Guy from UxMishi\Whose!?\Just another stalker\You want some juice?\Super Premium Ticket\Congratulations response:	These costumes are precious, so be careful not to get them dirty
context: U x Mishi\Guy from UxMishi\Whose!?\Just another stalker\You want some juice?\Super Premium Ticket\Congratulations\These costumes are precious, so be careful not to get them dirty response:	Ladies' changing room
