context: It was the night of Christmas Eve. response:	Man, that thing looks really nasty up close.
context: It was the night of Christmas Eve.\Man, that thing looks really nasty up close. response:	Luseat of the Seventh Garden...
context: It was the night of Christmas Eve.\Man, that thing looks really nasty up close.\Luseat of the Seventh Garden... response:	Luseat of the Seventh Garden Rank/ Raid
context: It was the night of Christmas Eve.\Man, that thing looks really nasty up close.\Luseat of the Seventh Garden...\Luseat of the Seventh Garden Rank/ Raid response:	Just like the recon team reported, he looks just like the one from Heilos.
context: It was the night of Christmas Eve.\Man, that thing looks really nasty up close.\Luseat of the Seventh Garden...\Luseat of the Seventh Garden Rank/ Raid\Just like the recon team reported, he looks just like the one from Heilos. response:	Let's finish it up quick and eat some chicken.
context: It was the night of Christmas Eve.\Man, that thing looks really nasty up close.\Luseat of the Seventh Garden...\Luseat of the Seventh Garden Rank/ Raid\Just like the recon team reported, he looks just like the one from Heilos.\Let's finish it up quick and eat some chicken. response:	It won't be quick.
context: It was the night of Christmas Eve.\Man, that thing looks really nasty up close.\Luseat of the Seventh Garden...\Luseat of the Seventh Garden Rank/ Raid\Just like the recon team reported, he looks just like the one from Heilos.\Let's finish it up quick and eat some chicken.\It won't be quick. response:	But if we do it like we planned, it should work out.
context: It was the night of Christmas Eve.\Man, that thing looks really nasty up close.\Luseat of the Seventh Garden...\Luseat of the Seventh Garden Rank/ Raid\Just like the recon team reported, he looks just like the one from Heilos.\Let's finish it up quick and eat some chicken.\It won't be quick.\But if we do it like we planned, it should work out. response:	So what are our odds, honestly, Shiroe?
context: Man, that thing looks really nasty up close.\Luseat of the Seventh Garden...\Luseat of the Seventh Garden Rank/ Raid\Just like the recon team reported, he looks just like the one from Heilos.\Let's finish it up quick and eat some chicken.\It won't be quick.\But if we do it like we planned, it should work out.\So what are our odds, honestly, Shiroe? response:	Fifty-fifty.
context: Luseat of the Seventh Garden...\Luseat of the Seventh Garden Rank/ Raid\Just like the recon team reported, he looks just like the one from Heilos.\Let's finish it up quick and eat some chicken.\It won't be quick.\But if we do it like we planned, it should work out.\So what are our odds, honestly, Shiroe?\Fifty-fifty. response:	We're within twenty meters.
context: Luseat of the Seventh Garden Rank/ Raid\Just like the recon team reported, he looks just like the one from Heilos.\Let's finish it up quick and eat some chicken.\It won't be quick.\But if we do it like we planned, it should work out.\So what are our odds, honestly, Shiroe?\Fifty-fifty.\We're within twenty meters. response:	Be careful!
context: Just like the recon team reported, he looks just like the one from Heilos.\Let's finish it up quick and eat some chicken.\It won't be quick.\But if we do it like we planned, it should work out.\So what are our odds, honestly, Shiroe?\Fifty-fifty.\We're within twenty meters.\Be careful! response:	Come on!
