context: upermans response:	upermans
context: upermans\upermans response:	TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.
context: upermans\upermans\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word. response:	H!
context: upermans\upermans\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\H! response:	O?!
context: upermans\upermans\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\H!\O?! response:	I do fall in love!
context: upermans\upermans\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\H!\O?!\I do fall in love! response:	I just realised it for the first time
context: upermans\upermans\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\H!\O?!\I do fall in love!\I just realised it for the first time response:	That I had fallen in love
context: upermans\upermans\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love response:	Twenty-four hours a day thinking of you, you and nothing more than you!
context: upermans\TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you! response:	It's something I wasn't consciously aware of
context: TL note: Shiritori is a Japanese word game in which the players are required to say a word which begins with the final kana of the previous word.\H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of response:	Somehow ( somehow) I'm feeling different from the usual
context: H!\O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual response:	With you ( the two of us) and our dull chatter
context: O?!\I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter response:	Don't tell me ( mutual love?) Nope, it's a one-sided crush
context: I do fall in love!\I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush response:	This is bad! Our gazes met!
context: I just realised it for the first time\That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met! response:	What, what? Why is my heart pounding like this?
context: That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this? response:	Did a short circuit just make a mess out of my mind?
context: Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind? response:	This is my first time... feeling like this...
context: It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this... response:	I wonder if I have a fever
context: Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever response:	Suddenly and precipitately, love has arrived.
context: With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived. response:	Instantly igniting my face into a bright red
context: Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red response:	T-That's stupid?! My hands are shaking
context: This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking response:	Is this really what they call love?
context: What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love? response:	I-I did it! A conversation filled with stutters
context: Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters response:	This awkward silence... *mumble mumble*
context: This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble* response:	Your... ( Your...) I want to know your feelings.
context: I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings. response:	O-One-sided love
