context: Arima-sensei, why do you want to perform at the Culture Festival? response:	I've got this horrible friend.
context: Arima-sensei, why do you want to perform at the Culture Festival?\I've got this horrible friend. response:	And since she's feeling so sorry for herself...
context: Arima-sensei, why do you want to perform at the Culture Festival?\I've got this horrible friend.\And since she's feeling so sorry for herself... response:	I want to punch her, just once.
context: Arima-sensei, why do you want to perform at the Culture Festival?\I've got this horrible friend.\And since she's feeling so sorry for herself...\I want to punch her, just once. response:	That's when I got the feeling.
context: Arima-sensei, why do you want to perform at the Culture Festival?\I've got this horrible friend.\And since she's feeling so sorry for herself...\I want to punch her, just once.\That's when I got the feeling. response:	That something might change.
context: Arima-sensei, why do you want to perform at the Culture Festival?\I've got this horrible friend.\And since she's feeling so sorry for herself...\I want to punch her, just once.\That's when I got the feeling.\That something might change. response:	Let's go.
context: Arima-sensei, why do you want to perform at the Culture Festival?\I've got this horrible friend.\And since she's feeling so sorry for herself...\I want to punch her, just once.\That's when I got the feeling.\That something might change.\Let's go. response:	Okay.
context: Arima-sensei, why do you want to perform at the Culture Festival?\I've got this horrible friend.\And since she's feeling so sorry for herself...\I want to punch her, just once.\That's when I got the feeling.\That something might change.\Let's go.\Okay. response:	Nagi!
context: I've got this horrible friend.\And since she's feeling so sorry for herself...\I want to punch her, just once.\That's when I got the feeling.\That something might change.\Let's go.\Okay.\Nagi! response:	Wow!
context: And since she's feeling so sorry for herself...\I want to punch her, just once.\That's when I got the feeling.\That something might change.\Let's go.\Okay.\Nagi!\Wow! response:	She's a cute kid.
context: I want to punch her, just once.\That's when I got the feeling.\That something might change.\Let's go.\Okay.\Nagi!\Wow!\She's a cute kid. response:	Arima!
context: That's when I got the feeling.\That something might change.\Let's go.\Okay.\Nagi!\Wow!\She's a cute kid.\Arima! response:	Huh? No way!
context: That something might change.\Let's go.\Okay.\Nagi!\Wow!\She's a cute kid.\Arima!\Huh? No way! response:	That boy!
context: Let's go.\Okay.\Nagi!\Wow!\She's a cute kid.\Arima!\Huh? No way!\That boy! response:	It's Kousei Arima!
context: Okay.\Nagi!\Wow!\She's a cute kid.\Arima!\Huh? No way!\That boy!\It's Kousei Arima! response:	With Aiza's little sister?
context: Nagi!\Wow!\She's a cute kid.\Arima!\Huh? No way!\That boy!\It's Kousei Arima!\With Aiza's little sister? response:	Isn't he her big brother's rival?
context: Wow!\She's a cute kid.\Arima!\Huh? No way!\That boy!\It's Kousei Arima!\With Aiza's little sister?\Isn't he her big brother's rival? response:	But didn't he retire?
context: She's a cute kid.\Arima!\Huh? No way!\That boy!\It's Kousei Arima!\With Aiza's little sister?\Isn't he her big brother's rival?\But didn't he retire? response:	Elohim, Essaim... Elohim, Essaim... I implore you...
context: Arima!\Huh? No way!\That boy!\It's Kousei Arima!\With Aiza's little sister?\Isn't he her big brother's rival?\But didn't he retire?\Elohim, Essaim... Elohim, Essaim... I implore you... response:	What's that?
context: Huh? No way!\That boy!\It's Kousei Arima!\With Aiza's little sister?\Isn't he her big brother's rival?\But didn't he retire?\Elohim, Essaim... Elohim, Essaim... I implore you...\What's that? response:	Hey, who knows?
context: That boy!\It's Kousei Arima!\With Aiza's little sister?\Isn't he her big brother's rival?\But didn't he retire?\Elohim, Essaim... Elohim, Essaim... I implore you...\What's that?\Hey, who knows? response:	Okay, good. Couldn't have gotten off to a better start!
