context: You're a rental girlfriend, aren't you? response:	I have to shut that girl up, no matter what!
context: You're a rental girlfriend, aren't you?\I have to shut that girl up, no matter what! response:	Can I take this to mean you're admitting it, Mr. Fake Boyfriend?
context: You're a rental girlfriend, aren't you?\I have to shut that girl up, no matter what!\Can I take this to mean you're admitting it, Mr. Fake Boyfriend? response:	You're admitting it, yes?
context: You're a rental girlfriend, aren't you?\I have to shut that girl up, no matter what!\Can I take this to mean you're admitting it, Mr. Fake Boyfriend?\You're admitting it, yes? response:	U-Uh, no, that's not it.
context: You're a rental girlfriend, aren't you?\I have to shut that girl up, no matter what!\Can I take this to mean you're admitting it, Mr. Fake Boyfriend?\You're admitting it, yes?\U-Uh, no, that's not it. response:	Goodbye.
context: You're a rental girlfriend, aren't you?\I have to shut that girl up, no matter what!\Can I take this to mean you're admitting it, Mr. Fake Boyfriend?\You're admitting it, yes?\U-Uh, no, that's not it.\Goodbye. response:	Hey, wait!
context: You're a rental girlfriend, aren't you?\I have to shut that girl up, no matter what!\Can I take this to mean you're admitting it, Mr. Fake Boyfriend?\You're admitting it, yes?\U-Uh, no, that's not it.\Goodbye.\Hey, wait! response:	Don't follow me!
context: You're a rental girlfriend, aren't you?\I have to shut that girl up, no matter what!\Can I take this to mean you're admitting it, Mr. Fake Boyfriend?\You're admitting it, yes?\U-Uh, no, that's not it.\Goodbye.\Hey, wait!\Don't follow me! response:	Squish!
context: I have to shut that girl up, no matter what!\Can I take this to mean you're admitting it, Mr. Fake Boyfriend?\You're admitting it, yes?\U-Uh, no, that's not it.\Goodbye.\Hey, wait!\Don't follow me!\Squish! response:	Perv!
context: Can I take this to mean you're admitting it, Mr. Fake Boyfriend?\You're admitting it, yes?\U-Uh, no, that's not it.\Goodbye.\Hey, wait!\Don't follow me!\Squish!\Perv! response:	Faking a girlfriend! Stalking! Sexual harassment!
context: You're admitting it, yes?\U-Uh, no, that's not it.\Goodbye.\Hey, wait!\Don't follow me!\Squish!\Perv!\Faking a girlfriend! Stalking! Sexual harassment! response:	You're found guilty on all three charges!
context: U-Uh, no, that's not it.\Goodbye.\Hey, wait!\Don't follow me!\Squish!\Perv!\Faking a girlfriend! Stalking! Sexual harassment!\You're found guilty on all three charges! response:	Don't expect a stay on your sentencing!
context: Goodbye.\Hey, wait!\Don't follow me!\Squish!\Perv!\Faking a girlfriend! Stalking! Sexual harassment!\You're found guilty on all three charges!\Don't expect a stay on your sentencing! response:	Right face!
context: Hey, wait!\Don't follow me!\Squish!\Perv!\Faking a girlfriend! Stalking! Sexual harassment!\You're found guilty on all three charges!\Don't expect a stay on your sentencing!\Right face! response:	I can't let her tell Kuri about Mizuhara!
context: Don't follow me!\Squish!\Perv!\Faking a girlfriend! Stalking! Sexual harassment!\You're found guilty on all three charges!\Don't expect a stay on your sentencing!\Right face!\I can't let her tell Kuri about Mizuhara! response:	Wait a second!
context: Squish!\Perv!\Faking a girlfriend! Stalking! Sexual harassment!\You're found guilty on all three charges!\Don't expect a stay on your sentencing!\Right face!\I can't let her tell Kuri about Mizuhara!\Wait a second! response:	Stop following me.
context: Perv!\Faking a girlfriend! Stalking! Sexual harassment!\You're found guilty on all three charges!\Don't expect a stay on your sentencing!\Right face!\I can't let her tell Kuri about Mizuhara!\Wait a second!\Stop following me. response:	I just live this way.
context: Faking a girlfriend! Stalking! Sexual harassment!\You're found guilty on all three charges!\Don't expect a stay on your sentencing!\Right face!\I can't let her tell Kuri about Mizuhara!\Wait a second!\Stop following me.\I just live this way. response:	I don't want you following me all the way!
context: You're found guilty on all three charges!\Don't expect a stay on your sentencing!\Right face!\I can't let her tell Kuri about Mizuhara!\Wait a second!\Stop following me.\I just live this way.\I don't want you following me all the way! response:	Why? Because you're gonna call Kuri?
context: Don't expect a stay on your sentencing!\Right face!\I can't let her tell Kuri about Mizuhara!\Wait a second!\Stop following me.\I just live this way.\I don't want you following me all the way!\Why? Because you're gonna call Kuri? response:	Relax. I'm not going to tell Shun-kun.
context: Right face!\I can't let her tell Kuri about Mizuhara!\Wait a second!\Stop following me.\I just live this way.\I don't want you following me all the way!\Why? Because you're gonna call Kuri?\Relax. I'm not going to tell Shun-kun. response:	R-Really?
context: I can't let her tell Kuri about Mizuhara!\Wait a second!\Stop following me.\I just live this way.\I don't want you following me all the way!\Why? Because you're gonna call Kuri?\Relax. I'm not going to tell Shun-kun.\R-Really? response:	But I can't trust that.
context: Wait a second!\Stop following me.\I just live this way.\I don't want you following me all the way!\Why? Because you're gonna call Kuri?\Relax. I'm not going to tell Shun-kun.\R-Really?\But I can't trust that. response:	You're Kuri's girlfriend, so who knows how and when you'll let it slip?
context: Stop following me.\I just live this way.\I don't want you following me all the way!\Why? Because you're gonna call Kuri?\Relax. I'm not going to tell Shun-kun.\R-Really?\But I can't trust that.\You're Kuri's girlfriend, so who knows how and when you'll let it slip? response:	Gosh, this is such a pain!
context: I just live this way.\I don't want you following me all the way!\Why? Because you're gonna call Kuri?\Relax. I'm not going to tell Shun-kun.\R-Really?\But I can't trust that.\You're Kuri's girlfriend, so who knows how and when you'll let it slip?\Gosh, this is such a pain! response:	Hold on!
context: I don't want you following me all the way!\Why? Because you're gonna call Kuri?\Relax. I'm not going to tell Shun-kun.\R-Really?\But I can't trust that.\You're Kuri's girlfriend, so who knows how and when you'll let it slip?\Gosh, this is such a pain!\Hold on! response:	Look, I'm sorry, okay?
