context: Let's move! response:	Hange?
context: Let's move!\Hange? response:	G-Get me a horse.
context: Let's move!\Hange?\G-Get me a horse. response:	Section Commander! Where are you trying to go?
context: Let's move!\Hange?\G-Get me a horse.\Section Commander! Where are you trying to go? response:	To that village where we captured the Titan who couldn't walk.
context: Let's move!\Hange?\G-Get me a horse.\Section Commander! Where are you trying to go?\To that village where we captured the Titan who couldn't walk. response:	You mean Ragako?
context: Let's move!\Hange?\G-Get me a horse.\Section Commander! Where are you trying to go?\To that village where we captured the Titan who couldn't walk.\You mean Ragako? response:	I need to see it... with my own eyes.
context: Let's move!\Hange?\G-Get me a horse.\Section Commander! Where are you trying to go?\To that village where we captured the Titan who couldn't walk.\You mean Ragako?\I need to see it... with my own eyes. response:	Don't say something so ridiculous!
context: Let's move!\Hange?\G-Get me a horse.\Section Commander! Where are you trying to go?\To that village where we captured the Titan who couldn't walk.\You mean Ragako?\I need to see it... with my own eyes.\Don't say something so ridiculous! response:	Your body can't take riding a horse right now!
context: Hange?\G-Get me a horse.\Section Commander! Where are you trying to go?\To that village where we captured the Titan who couldn't walk.\You mean Ragako?\I need to see it... with my own eyes.\Don't say something so ridiculous!\Your body can't take riding a horse right now! response:	I have a hunch... that we need to investigate...
context: G-Get me a horse.\Section Commander! Where are you trying to go?\To that village where we captured the Titan who couldn't walk.\You mean Ragako?\I need to see it... with my own eyes.\Don't say something so ridiculous!\Your body can't take riding a horse right now!\I have a hunch... that we need to investigate... response:	All right.
context: Section Commander! Where are you trying to go?\To that village where we captured the Titan who couldn't walk.\You mean Ragako?\I need to see it... with my own eyes.\Don't say something so ridiculous!\Your body can't take riding a horse right now!\I have a hunch... that we need to investigate...\All right. response:	I'll go there on my own, so you just stay here and faint or something.
context: To that village where we captured the Titan who couldn't walk.\You mean Ragako?\I need to see it... with my own eyes.\Don't say something so ridiculous!\Your body can't take riding a horse right now!\I have a hunch... that we need to investigate...\All right.\I'll go there on my own, so you just stay here and faint or something. response:	Spread out! Take formation to locate any enemies!
context: You mean Ragako?\I need to see it... with my own eyes.\Don't say something so ridiculous!\Your body can't take riding a horse right now!\I have a hunch... that we need to investigate...\All right.\I'll go there on my own, so you just stay here and faint or something.\Spread out! Take formation to locate any enemies! response:	Eren...
context: I need to see it... with my own eyes.\Don't say something so ridiculous!\Your body can't take riding a horse right now!\I have a hunch... that we need to investigate...\All right.\I'll go there on my own, so you just stay here and faint or something.\Spread out! Take formation to locate any enemies!\Eren... response:	Opening
context: Don't say something so ridiculous!\Your body can't take riding a horse right now!\I have a hunch... that we need to investigate...\All right.\I'll go there on my own, so you just stay here and faint or something.\Spread out! Take formation to locate any enemies!\Eren...\Opening response:	Oh, Eren?
context: Your body can't take riding a horse right now!\I have a hunch... that we need to investigate...\All right.\I'll go there on my own, so you just stay here and faint or something.\Spread out! Take formation to locate any enemies!\Eren...\Opening\Oh, Eren? response:	You're awake?
context: I have a hunch... that we need to investigate...\All right.\I'll go there on my own, so you just stay here and faint or something.\Spread out! Take formation to locate any enemies!\Eren...\Opening\Oh, Eren?\You're awake? response:	What the hell?!
context: All right.\I'll go there on my own, so you just stay here and faint or something.\Spread out! Take formation to locate any enemies!\Eren...\Opening\Oh, Eren?\You're awake?\What the hell?! response:	My arms!
context: I'll go there on my own, so you just stay here and faint or something.\Spread out! Take formation to locate any enemies!\Eren...\Opening\Oh, Eren?\You're awake?\What the hell?!\My arms! response:	Eren.
