context: It's been a long time. response:	Londark!
context: It's been a long time.\Londark! response:	What are you doing here, Londark?
context: It's been a long time.\Londark!\What are you doing here, Londark? response:	Don't make that scary face.
context: It's been a long time.\Londark!\What are you doing here, Londark?\Don't make that scary face. response:	There's no need for us to fight now...
context: It's been a long time.\Londark!\What are you doing here, Londark?\Don't make that scary face.\There's no need for us to fight now... response:	As long as you do not interfere.
context: It's been a long time.\Londark!\What are you doing here, Londark?\Don't make that scary face.\There's no need for us to fight now...\As long as you do not interfere. response:	Do you know what you're doing?
context: It's been a long time.\Londark!\What are you doing here, Londark?\Don't make that scary face.\There's no need for us to fight now...\As long as you do not interfere.\Do you know what you're doing? response:	I do.
context: It's been a long time.\Londark!\What are you doing here, Londark?\Don't make that scary face.\There's no need for us to fight now...\As long as you do not interfere.\Do you know what you're doing?\I do. response:	I'm doing a job and getting paid,
context: Londark!\What are you doing here, Londark?\Don't make that scary face.\There's no need for us to fight now...\As long as you do not interfere.\Do you know what you're doing?\I do.\I'm doing a job and getting paid, response:	guiding and protecting this iron train.
context: What are you doing here, Londark?\Don't make that scary face.\There's no need for us to fight now...\As long as you do not interfere.\Do you know what you're doing?\I do.\I'm doing a job and getting paid,\guiding and protecting this iron train. response:	And what of the result?
context: Don't make that scary face.\There's no need for us to fight now...\As long as you do not interfere.\Do you know what you're doing?\I do.\I'm doing a job and getting paid,\guiding and protecting this iron train.\And what of the result? response:	Result?
context: There's no need for us to fight now...\As long as you do not interfere.\Do you know what you're doing?\I do.\I'm doing a job and getting paid,\guiding and protecting this iron train.\And what of the result?\Result? response:	There's nothing about that in my manual.
context: As long as you do not interfere.\Do you know what you're doing?\I do.\I'm doing a job and getting paid,\guiding and protecting this iron train.\And what of the result?\Result?\There's nothing about that in my manual. response:	Inferno Strike!
context: Do you know what you're doing?\I do.\I'm doing a job and getting paid,\guiding and protecting this iron train.\And what of the result?\Result?\There's nothing about that in my manual.\Inferno Strike! response:	Of course there isn't.
context: I do.\I'm doing a job and getting paid,\guiding and protecting this iron train.\And what of the result?\Result?\There's nothing about that in my manual.\Inferno Strike!\Of course there isn't. response:	I never received a manual for this world.
context: I'm doing a job and getting paid,\guiding and protecting this iron train.\And what of the result?\Result?\There's nothing about that in my manual.\Inferno Strike!\Of course there isn't.\I never received a manual for this world. response:	Birthday Song
context: guiding and protecting this iron train.\And what of the result?\Result?\There's nothing about that in my manual.\Inferno Strike!\Of course there isn't.\I never received a manual for this world.\Birthday Song response:	Birthday Song.
context: And what of the result?\Result?\There's nothing about that in my manual.\Inferno Strike!\Of course there isn't.\I never received a manual for this world.\Birthday Song\Birthday Song. response:	You believe there's a possibility of war with People of the Land, Shiroe?
context: Result?\There's nothing about that in my manual.\Inferno Strike!\Of course there isn't.\I never received a manual for this world.\Birthday Song\Birthday Song.\You believe there's a possibility of war with People of the Land, Shiroe? response:	I think the Round Table should consider the possibility.
context: There's nothing about that in my manual.\Inferno Strike!\Of course there isn't.\I never received a manual for this world.\Birthday Song\Birthday Song.\You believe there's a possibility of war with People of the Land, Shiroe?\I think the Round Table should consider the possibility. response:	We're in a world where there's a possibility of war breaking out.
context: Inferno Strike!\Of course there isn't.\I never received a manual for this world.\Birthday Song\Birthday Song.\You believe there's a possibility of war with People of the Land, Shiroe?\I think the Round Table should consider the possibility.\We're in a world where there's a possibility of war breaking out. response:	That's what Shiroe was trying to say then.
context: Of course there isn't.\I never received a manual for this world.\Birthday Song\Birthday Song.\You believe there's a possibility of war with People of the Land, Shiroe?\I think the Round Table should consider the possibility.\We're in a world where there's a possibility of war breaking out.\That's what Shiroe was trying to say then. response:	How will each individual
context: I never received a manual for this world.\Birthday Song\Birthday Song.\You believe there's a possibility of war with People of the Land, Shiroe?\I think the Round Table should consider the possibility.\We're in a world where there's a possibility of war breaking out.\That's what Shiroe was trying to say then.\How will each individual response:	who lives in this world confront that possibility?
