context: Episode 4 Umaru and Her Rival response:	Umaru-chan? What's the matter?
context: Episode 4 Umaru and Her Rival\Umaru-chan? What's the matter? response:	Oh, sorry. Let's go, Ebina-chan.
context: Episode 4 Umaru and Her Rival\Umaru-chan? What's the matter?\Oh, sorry. Let's go, Ebina-chan. response:	S-Sure.
context: Episode 4 Umaru and Her Rival\Umaru-chan? What's the matter?\Oh, sorry. Let's go, Ebina-chan.\S-Sure. response:	Now in Stock!!
context: Episode 4 Umaru and Her Rival\Umaru-chan? What's the matter?\Oh, sorry. Let's go, Ebina-chan.\S-Sure.\Now in Stock!! response:	Menacing
context: Episode 4 Umaru and Her Rival\Umaru-chan? What's the matter?\Oh, sorry. Let's go, Ebina-chan.\S-Sure.\Now in Stock!!\Menacing response:	Sir, that's...
context: Episode 4 Umaru and Her Rival\Umaru-chan? What's the matter?\Oh, sorry. Let's go, Ebina-chan.\S-Sure.\Now in Stock!!\Menacing\Sir, that's... response:	Yes. I'm aware.
context: Episode 4 Umaru and Her Rival\Umaru-chan? What's the matter?\Oh, sorry. Let's go, Ebina-chan.\S-Sure.\Now in Stock!!\Menacing\Sir, that's...\Yes. I'm aware. response:	UMR!
context: Umaru-chan? What's the matter?\Oh, sorry. Let's go, Ebina-chan.\S-Sure.\Now in Stock!!\Menacing\Sir, that's...\Yes. I'm aware.\UMR! response:	Action, shooting, fighting, and rhythm games...
context: Oh, sorry. Let's go, Ebina-chan.\S-Sure.\Now in Stock!!\Menacing\Sir, that's...\Yes. I'm aware.\UMR!\Action, shooting, fighting, and rhythm games... response:	She has conquered every game, regardless of the genre.
context: S-Sure.\Now in Stock!!\Menacing\Sir, that's...\Yes. I'm aware.\UMR!\Action, shooting, fighting, and rhythm games...\She has conquered every game, regardless of the genre. response:	On top of that, she is a prodigy when it comes to crane games,
context: Now in Stock!!\Menacing\Sir, that's...\Yes. I'm aware.\UMR!\Action, shooting, fighting, and rhythm games...\She has conquered every game, regardless of the genre.\On top of that, she is a prodigy when it comes to crane games, response:	and can claim any prize with a single coin.
context: Menacing\Sir, that's...\Yes. I'm aware.\UMR!\Action, shooting, fighting, and rhythm games...\She has conquered every game, regardless of the genre.\On top of that, she is a prodigy when it comes to crane games,\and can claim any prize with a single coin. response:	Empty
context: Sir, that's...\Yes. I'm aware.\UMR!\Action, shooting, fighting, and rhythm games...\She has conquered every game, regardless of the genre.\On top of that, she is a prodigy when it comes to crane games,\and can claim any prize with a single coin.\Empty response:	She is the most dangerous gamer known to this arcade: UMR!
context: Yes. I'm aware.\UMR!\Action, shooting, fighting, and rhythm games...\She has conquered every game, regardless of the genre.\On top of that, she is a prodigy when it comes to crane games,\and can claim any prize with a single coin.\Empty\She is the most dangerous gamer known to this arcade: UMR! response:	She's already got her eyes on the Fukigen Nyankoro items we just got in.
context: UMR!\Action, shooting, fighting, and rhythm games...\She has conquered every game, regardless of the genre.\On top of that, she is a prodigy when it comes to crane games,\and can claim any prize with a single coin.\Empty\She is the most dangerous gamer known to this arcade: UMR!\She's already got her eyes on the Fukigen Nyankoro items we just got in. response:	If she were to get a huge haul of those, it'd be a problem.
context: Action, shooting, fighting, and rhythm games...\She has conquered every game, regardless of the genre.\On top of that, she is a prodigy when it comes to crane games,\and can claim any prize with a single coin.\Empty\She is the most dangerous gamer known to this arcade: UMR!\She's already got her eyes on the Fukigen Nyankoro items we just got in.\If she were to get a huge haul of those, it'd be a problem. response:	We're ready for her.
context: She has conquered every game, regardless of the genre.\On top of that, she is a prodigy when it comes to crane games,\and can claim any prize with a single coin.\Empty\She is the most dangerous gamer known to this arcade: UMR!\She's already got her eyes on the Fukigen Nyankoro items we just got in.\If she were to get a huge haul of those, it'd be a problem.\We're ready for her. response:	What?
context: On top of that, she is a prodigy when it comes to crane games,\and can claim any prize with a single coin.\Empty\She is the most dangerous gamer known to this arcade: UMR!\She's already got her eyes on the Fukigen Nyankoro items we just got in.\If she were to get a huge haul of those, it'd be a problem.\We're ready for her.\What? response:	I've already arranged the prizes in that machine so that they won't be easy to get.
context: and can claim any prize with a single coin.\Empty\She is the most dangerous gamer known to this arcade: UMR!\She's already got her eyes on the Fukigen Nyankoro items we just got in.\If she were to get a huge haul of those, it'd be a problem.\We're ready for her.\What?\I've already arranged the prizes in that machine so that they won't be easy to get. response:	Complicated Placement
context: Empty\She is the most dangerous gamer known to this arcade: UMR!\She's already got her eyes on the Fukigen Nyankoro items we just got in.\If she were to get a huge haul of those, it'd be a problem.\We're ready for her.\What?\I've already arranged the prizes in that machine so that they won't be easy to get.\Complicated Placement response:	What?!
