context: I have to get some proper rest. response:	Don't disturb me again.
context: I have to get some proper rest.\Don't disturb me again. response:	Master's soul is gathered.
context: I have to get some proper rest.\Don't disturb me again.\Master's soul is gathered. response:	I just need to get myself ready to retrieve the divine fungal grass
context: I have to get some proper rest.\Don't disturb me again.\Master's soul is gathered.\I just need to get myself ready to retrieve the divine fungal grass response:	from Yingzhou of the Eastern Sea.
context: I have to get some proper rest.\Don't disturb me again.\Master's soul is gathered.\I just need to get myself ready to retrieve the divine fungal grass\from Yingzhou of the Eastern Sea. response:	I just have to keep this from Senior or else
context: I have to get some proper rest.\Don't disturb me again.\Master's soul is gathered.\I just need to get myself ready to retrieve the divine fungal grass\from Yingzhou of the Eastern Sea.\I just have to keep this from Senior or else response:	the other disciples will fight to retrieve the grass.
context: I have to get some proper rest.\Don't disturb me again.\Master's soul is gathered.\I just need to get myself ready to retrieve the divine fungal grass\from Yingzhou of the Eastern Sea.\I just have to keep this from Senior or else\the other disciples will fight to retrieve the grass. response:	Who could it be?
context: I have to get some proper rest.\Don't disturb me again.\Master's soul is gathered.\I just need to get myself ready to retrieve the divine fungal grass\from Yingzhou of the Eastern Sea.\I just have to keep this from Senior or else\the other disciples will fight to retrieve the grass.\Who could it be? response:	It's Senior.
context: Don't disturb me again.\Master's soul is gathered.\I just need to get myself ready to retrieve the divine fungal grass\from Yingzhou of the Eastern Sea.\I just have to keep this from Senior or else\the other disciples will fight to retrieve the grass.\Who could it be?\It's Senior. response:	I'm exhausted. Could you not let me sleep for two days?
context: Master's soul is gathered.\I just need to get myself ready to retrieve the divine fungal grass\from Yingzhou of the Eastern Sea.\I just have to keep this from Senior or else\the other disciples will fight to retrieve the grass.\Who could it be?\It's Senior.\I'm exhausted. Could you not let me sleep for two days? response:	Someone is here to see you.
context: I just need to get myself ready to retrieve the divine fungal grass\from Yingzhou of the Eastern Sea.\I just have to keep this from Senior or else\the other disciples will fight to retrieve the grass.\Who could it be?\It's Senior.\I'm exhausted. Could you not let me sleep for two days?\Someone is here to see you. response:	Who is it?
context: from Yingzhou of the Eastern Sea.\I just have to keep this from Senior or else\the other disciples will fight to retrieve the grass.\Who could it be?\It's Senior.\I'm exhausted. Could you not let me sleep for two days?\Someone is here to see you.\Who is it? response:	Tell him that I can't leave the room. He can come in.
context: I just have to keep this from Senior or else\the other disciples will fight to retrieve the grass.\Who could it be?\It's Senior.\I'm exhausted. Could you not let me sleep for two days?\Someone is here to see you.\Who is it?\Tell him that I can't leave the room. He can come in. response:	Are you sure?
context: the other disciples will fight to retrieve the grass.\Who could it be?\It's Senior.\I'm exhausted. Could you not let me sleep for two days?\Someone is here to see you.\Who is it?\Tell him that I can't leave the room. He can come in.\Are you sure? response:	Yes.
context: Who could it be?\It's Senior.\I'm exhausted. Could you not let me sleep for two days?\Someone is here to see you.\Who is it?\Tell him that I can't leave the room. He can come in.\Are you sure?\Yes. response:	Please come in!
context: It's Senior.\I'm exhausted. Could you not let me sleep for two days?\Someone is here to see you.\Who is it?\Tell him that I can't leave the room. He can come in.\Are you sure?\Yes.\Please come in! response:	Fifth Sister.
context: I'm exhausted. Could you not let me sleep for two days?\Someone is here to see you.\Who is it?\Tell him that I can't leave the room. He can come in.\Are you sure?\Yes.\Please come in!\Fifth Sister. response:	Greetings to Second Brother.
context: Someone is here to see you.\Who is it?\Tell him that I can't leave the room. He can come in.\Are you sure?\Yes.\Please come in!\Fifth Sister.\Greetings to Second Brother. response:	You've been safeguarding High God Mo Yuan's spirit.
context: Who is it?\Tell him that I can't leave the room. He can come in.\Are you sure?\Yes.\Please come in!\Fifth Sister.\Greetings to Second Brother.\You've been safeguarding High God Mo Yuan's spirit. response:	Don't stand on such ceremony.
context: Tell him that I can't leave the room. He can come in.\Are you sure?\Yes.\Please come in!\Fifth Sister.\Greetings to Second Brother.\You've been safeguarding High God Mo Yuan's spirit.\Don't stand on such ceremony. response:	Thank you for being so thoughtful.
context: Are you sure?\Yes.\Please come in!\Fifth Sister.\Greetings to Second Brother.\You've been safeguarding High God Mo Yuan's spirit.\Don't stand on such ceremony.\Thank you for being so thoughtful. response:	I'll make the long story short.
context: Yes.\Please come in!\Fifth Sister.\Greetings to Second Brother.\You've been safeguarding High God Mo Yuan's spirit.\Don't stand on such ceremony.\Thank you for being so thoughtful.\I'll make the long story short. response:	I've heard from Water King of West Sea that whoever cures the eldest prince
context: Please come in!\Fifth Sister.\Greetings to Second Brother.\You've been safeguarding High God Mo Yuan's spirit.\Don't stand on such ceremony.\Thank you for being so thoughtful.\I'll make the long story short.\I've heard from Water King of West Sea that whoever cures the eldest prince response:	his or her daughter could marry into the Crystal Palace.
context: Fifth Sister.\Greetings to Second Brother.\You've been safeguarding High God Mo Yuan's spirit.\Don't stand on such ceremony.\Thank you for being so thoughtful.\I'll make the long story short.\I've heard from Water King of West Sea that whoever cures the eldest prince\his or her daughter could marry into the Crystal Palace. response:	That is true.
context: Greetings to Second Brother.\You've been safeguarding High God Mo Yuan's spirit.\Don't stand on such ceremony.\Thank you for being so thoughtful.\I'll make the long story short.\I've heard from Water King of West Sea that whoever cures the eldest prince\his or her daughter could marry into the Crystal Palace.\That is true. response:	High God Bai Yi, you mean to...
context: You've been safeguarding High God Mo Yuan's spirit.\Don't stand on such ceremony.\Thank you for being so thoughtful.\I'll make the long story short.\I've heard from Water King of West Sea that whoever cures the eldest prince\his or her daughter could marry into the Crystal Palace.\That is true.\High God Bai Yi, you mean to... response:	What do you think of my daughter?
context: Don't stand on such ceremony.\Thank you for being so thoughtful.\I'll make the long story short.\I've heard from Water King of West Sea that whoever cures the eldest prince\his or her daughter could marry into the Crystal Palace.\That is true.\High God Bai Yi, you mean to...\What do you think of my daughter? response:	That little girl?
context: Thank you for being so thoughtful.\I'll make the long story short.\I've heard from Water King of West Sea that whoever cures the eldest prince\his or her daughter could marry into the Crystal Palace.\That is true.\High God Bai Yi, you mean to...\What do you think of my daughter?\That little girl? response:	She might be a bit young but her mother also married young.
context: I'll make the long story short.\I've heard from Water King of West Sea that whoever cures the eldest prince\his or her daughter could marry into the Crystal Palace.\That is true.\High God Bai Yi, you mean to...\What do you think of my daughter?\That little girl?\She might be a bit young but her mother also married young. response:	Even if I'm willing Bai Qian wouldn't consent to it?
context: I've heard from Water King of West Sea that whoever cures the eldest prince\his or her daughter could marry into the Crystal Palace.\That is true.\High God Bai Yi, you mean to...\What do you think of my daughter?\That little girl?\She might be a bit young but her mother also married young.\Even if I'm willing Bai Qian wouldn't consent to it? response:	I just think that the age difference between them is a bit too much.
context: his or her daughter could marry into the Crystal Palace.\That is true.\High God Bai Yi, you mean to...\What do you think of my daughter?\That little girl?\She might be a bit young but her mother also married young.\Even if I'm willing Bai Qian wouldn't consent to it?\I just think that the age difference between them is a bit too much. response:	Moreover, I'm not a unromantic man.
context: That is true.\High God Bai Yi, you mean to...\What do you think of my daughter?\That little girl?\She might be a bit young but her mother also married young.\Even if I'm willing Bai Qian wouldn't consent to it?\I just think that the age difference between them is a bit too much.\Moreover, I'm not a unromantic man. response:	How about this?
context: High God Bai Yi, you mean to...\What do you think of my daughter?\That little girl?\She might be a bit young but her mother also married young.\Even if I'm willing Bai Qian wouldn't consent to it?\I just think that the age difference between them is a bit too much.\Moreover, I'm not a unromantic man.\How about this? response:	High God, why don't I take you to my older brother?
context: What do you think of my daughter?\That little girl?\She might be a bit young but her mother also married young.\Even if I'm willing Bai Qian wouldn't consent to it?\I just think that the age difference between them is a bit too much.\Moreover, I'm not a unromantic man.\How about this?\High God, why don't I take you to my older brother? response:	How about that?
context: That little girl?\She might be a bit young but her mother also married young.\Even if I'm willing Bai Qian wouldn't consent to it?\I just think that the age difference between them is a bit too much.\Moreover, I'm not a unromantic man.\How about this?\High God, why don't I take you to my older brother?\How about that? response:	What's that? Did you just refuse to marry my daughter?
context: She might be a bit young but her mother also married young.\Even if I'm willing Bai Qian wouldn't consent to it?\I just think that the age difference between them is a bit too much.\Moreover, I'm not a unromantic man.\How about this?\High God, why don't I take you to my older brother?\How about that?\What's that? Did you just refuse to marry my daughter? response:	I wouldn't dare. Die Feng wouldn't dare.
context: Even if I'm willing Bai Qian wouldn't consent to it?\I just think that the age difference between them is a bit too much.\Moreover, I'm not a unromantic man.\How about this?\High God, why don't I take you to my older brother?\How about that?\What's that? Did you just refuse to marry my daughter?\I wouldn't dare. Die Feng wouldn't dare. response:	Brother Bai Yi...
context: I just think that the age difference between them is a bit too much.\Moreover, I'm not a unromantic man.\How about this?\High God, why don't I take you to my older brother?\How about that?\What's that? Did you just refuse to marry my daughter?\I wouldn't dare. Die Feng wouldn't dare.\Brother Bai Yi... response:	I understand that you'd like Xiao Jiu to forget about...
context: Moreover, I'm not a unromantic man.\How about this?\High God, why don't I take you to my older brother?\How about that?\What's that? Did you just refuse to marry my daughter?\I wouldn't dare. Die Feng wouldn't dare.\Brother Bai Yi...\I understand that you'd like Xiao Jiu to forget about... response:	That romance.
context: How about this?\High God, why don't I take you to my older brother?\How about that?\What's that? Did you just refuse to marry my daughter?\I wouldn't dare. Die Feng wouldn't dare.\Brother Bai Yi...\I understand that you'd like Xiao Jiu to forget about...\That romance. response:	But it isn't such a good idea to force a marriage upon her either.
context: High God, why don't I take you to my older brother?\How about that?\What's that? Did you just refuse to marry my daughter?\I wouldn't dare. Die Feng wouldn't dare.\Brother Bai Yi...\I understand that you'd like Xiao Jiu to forget about...\That romance.\But it isn't such a good idea to force a marriage upon her either. response:	As Feng Jiu's aunt, do you have a better method to make her
context: How about that?\What's that? Did you just refuse to marry my daughter?\I wouldn't dare. Die Feng wouldn't dare.\Brother Bai Yi...\I understand that you'd like Xiao Jiu to forget about...\That romance.\But it isn't such a good idea to force a marriage upon her either.\As Feng Jiu's aunt, do you have a better method to make her response:	forget about that Lord Dong Hua in the Nine Heavens?
context: What's that? Did you just refuse to marry my daughter?\I wouldn't dare. Die Feng wouldn't dare.\Brother Bai Yi...\I understand that you'd like Xiao Jiu to forget about...\That romance.\But it isn't such a good idea to force a marriage upon her either.\As Feng Jiu's aunt, do you have a better method to make her\forget about that Lord Dong Hua in the Nine Heavens? response:	Do you or do you not have a plan?
context: I wouldn't dare. Die Feng wouldn't dare.\Brother Bai Yi...\I understand that you'd like Xiao Jiu to forget about...\That romance.\But it isn't such a good idea to force a marriage upon her either.\As Feng Jiu's aunt, do you have a better method to make her\forget about that Lord Dong Hua in the Nine Heavens?\Do you or do you not have a plan? response:	Yes! I do have one.
context: Brother Bai Yi...\I understand that you'd like Xiao Jiu to forget about...\That romance.\But it isn't such a good idea to force a marriage upon her either.\As Feng Jiu's aunt, do you have a better method to make her\forget about that Lord Dong Hua in the Nine Heavens?\Do you or do you not have a plan?\Yes! I do have one. response:	Qing Qiu's Bai Feng Jiu is of such a prestigious status.
context: I understand that you'd like Xiao Jiu to forget about...\That romance.\But it isn't such a good idea to force a marriage upon her either.\As Feng Jiu's aunt, do you have a better method to make her\forget about that Lord Dong Hua in the Nine Heavens?\Do you or do you not have a plan?\Yes! I do have one.\Qing Qiu's Bai Feng Jiu is of such a prestigious status. response:	Once she gets to the right age and announces to the public
context: That romance.\But it isn't such a good idea to force a marriage upon her either.\As Feng Jiu's aunt, do you have a better method to make her\forget about that Lord Dong Hua in the Nine Heavens?\Do you or do you not have a plan?\Yes! I do have one.\Qing Qiu's Bai Feng Jiu is of such a prestigious status.\Once she gets to the right age and announces to the public response:	there will be matchmakers coming from all of the realms.
context: But it isn't such a good idea to force a marriage upon her either.\As Feng Jiu's aunt, do you have a better method to make her\forget about that Lord Dong Hua in the Nine Heavens?\Do you or do you not have a plan?\Yes! I do have one.\Qing Qiu's Bai Feng Jiu is of such a prestigious status.\Once she gets to the right age and announces to the public\there will be matchmakers coming from all of the realms. response:	Between me and my brother, one isn't romantic and the other is still ill.
context: As Feng Jiu's aunt, do you have a better method to make her\forget about that Lord Dong Hua in the Nine Heavens?\Do you or do you not have a plan?\Yes! I do have one.\Qing Qiu's Bai Feng Jiu is of such a prestigious status.\Once she gets to the right age and announces to the public\there will be matchmakers coming from all of the realms.\Between me and my brother, one isn't romantic and the other is still ill. response:	Neither of us is the best choice.
