context: Wah! I'm late! I'm late! response:	Oh, honestly! Over-sleeping because my alarm clock broke!
context: Wah! I'm late! I'm late!\Oh, honestly! Over-sleeping because my alarm clock broke! response:	It's still morning, and nothing has gone right!
context: Wah! I'm late! I'm late!\Oh, honestly! Over-sleeping because my alarm clock broke!\It's still morning, and nothing has gone right! response:	With all this, if I don't run into my soulmate when I turn that corner...
context: Wah! I'm late! I'm late!\Oh, honestly! Over-sleeping because my alarm clock broke!\It's still morning, and nothing has gone right!\With all this, if I don't run into my soulmate when I turn that corner... response:	Nothing else can make up for it!
context: Wah! I'm late! I'm late!\Oh, honestly! Over-sleeping because my alarm clock broke!\It's still morning, and nothing has gone right!\With all this, if I don't run into my soulmate when I turn that corner...\Nothing else can make up for it! response:	Ow...
context: Wah! I'm late! I'm late!\Oh, honestly! Over-sleeping because my alarm clock broke!\It's still morning, and nothing has gone right!\With all this, if I don't run into my soulmate when I turn that corner...\Nothing else can make up for it!\Ow... response:	Huh?
context: Wah! I'm late! I'm late!\Oh, honestly! Over-sleeping because my alarm clock broke!\It's still morning, and nothing has gone right!\With all this, if I don't run into my soulmate when I turn that corner...\Nothing else can make up for it!\Ow...\Huh? response:	Apologies. Are you all right?
context: Wah! I'm late! I'm late!\Oh, honestly! Over-sleeping because my alarm clock broke!\It's still morning, and nothing has gone right!\With all this, if I don't run into my soulmate when I turn that corner...\Nothing else can make up for it!\Ow...\Huh?\Apologies. Are you all right? response:	An intelligent, cool guy...
context: Oh, honestly! Over-sleeping because my alarm clock broke!\It's still morning, and nothing has gone right!\With all this, if I don't run into my soulmate when I turn that corner...\Nothing else can make up for it!\Ow...\Huh?\Apologies. Are you all right?\An intelligent, cool guy... response:	Is this...? Could it be? Could it be?
context: It's still morning, and nothing has gone right!\With all this, if I don't run into my soulmate when I turn that corner...\Nothing else can make up for it!\Ow...\Huh?\Apologies. Are you all right?\An intelligent, cool guy...\Is this...? Could it be? Could it be? response:	Destiny...?
context: With all this, if I don't run into my soulmate when I turn that corner...\Nothing else can make up for it!\Ow...\Huh?\Apologies. Are you all right?\An intelligent, cool guy...\Is this...? Could it be? Could it be?\Destiny...? response:	Oh! Why did the jam side, of all things, have to land on my uniform?
context: Nothing else can make up for it!\Ow...\Huh?\Apologies. Are you all right?\An intelligent, cool guy...\Is this...? Could it be? Could it be?\Destiny...?\Oh! Why did the jam side, of all things, have to land on my uniform? response:	I've been so unlucky! Super disastrous! What is this, a curse?
context: Ow...\Huh?\Apologies. Are you all right?\An intelligent, cool guy...\Is this...? Could it be? Could it be?\Destiny...?\Oh! Why did the jam side, of all things, have to land on my uniform?\I've been so unlucky! Super disastrous! What is this, a curse? response:	That would be incorrect.
context: Huh?\Apologies. Are you all right?\An intelligent, cool guy...\Is this...? Could it be? Could it be?\Destiny...?\Oh! Why did the jam side, of all things, have to land on my uniform?\I've been so unlucky! Super disastrous! What is this, a curse?\That would be incorrect. response:	Have you heard of Murphy's Law?
context: Apologies. Are you all right?\An intelligent, cool guy...\Is this...? Could it be? Could it be?\Destiny...?\Oh! Why did the jam side, of all things, have to land on my uniform?\I've been so unlucky! Super disastrous! What is this, a curse?\That would be incorrect.\Have you heard of Murphy's Law? response:	Things like, Why, when you drop a piece of toast, does it land jam-side down?
context: An intelligent, cool guy...\Is this...? Could it be? Could it be?\Destiny...?\Oh! Why did the jam side, of all things, have to land on my uniform?\I've been so unlucky! Super disastrous! What is this, a curse?\That would be incorrect.\Have you heard of Murphy's Law?\Things like, Why, when you drop a piece of toast, does it land jam-side down? response:	Anything that can go wrong, will go wrong. It is a law in a humorous sense.
context: Is this...? Could it be? Could it be?\Destiny...?\Oh! Why did the jam side, of all things, have to land on my uniform?\I've been so unlucky! Super disastrous! What is this, a curse?\That would be incorrect.\Have you heard of Murphy's Law?\Things like, Why, when you drop a piece of toast, does it land jam-side down?\Anything that can go wrong, will go wrong. It is a law in a humorous sense. response:	However, an English researcher named Robert Matthews offered this counter-argument.
context: Destiny...?\Oh! Why did the jam side, of all things, have to land on my uniform?\I've been so unlucky! Super disastrous! What is this, a curse?\That would be incorrect.\Have you heard of Murphy's Law?\Things like, Why, when you drop a piece of toast, does it land jam-side down?\Anything that can go wrong, will go wrong. It is a law in a humorous sense.\However, an English researcher named Robert Matthews offered this counter-argument. response:	He said that if you drop a piece of toast from a table approximately one meter in height,
context: Oh! Why did the jam side, of all things, have to land on my uniform?\I've been so unlucky! Super disastrous! What is this, a curse?\That would be incorrect.\Have you heard of Murphy's Law?\Things like, Why, when you drop a piece of toast, does it land jam-side down?\Anything that can go wrong, will go wrong. It is a law in a humorous sense.\However, an English researcher named Robert Matthews offered this counter-argument.\He said that if you drop a piece of toast from a table approximately one meter in height, response:	Jam
context: I've been so unlucky! Super disastrous! What is this, a curse?\That would be incorrect.\Have you heard of Murphy's Law?\Things like, Why, when you drop a piece of toast, does it land jam-side down?\Anything that can go wrong, will go wrong. It is a law in a humorous sense.\However, an English researcher named Robert Matthews offered this counter-argument.\He said that if you drop a piece of toast from a table approximately one meter in height,\Jam response:	Toast
context: That would be incorrect.\Have you heard of Murphy's Law?\Things like, Why, when you drop a piece of toast, does it land jam-side down?\Anything that can go wrong, will go wrong. It is a law in a humorous sense.\However, an English researcher named Robert Matthews offered this counter-argument.\He said that if you drop a piece of toast from a table approximately one meter in height,\Jam\Toast response:	the chances of the toast landing jam-side down are high.
context: Have you heard of Murphy's Law?\Things like, Why, when you drop a piece of toast, does it land jam-side down?\Anything that can go wrong, will go wrong. It is a law in a humorous sense.\However, an English researcher named Robert Matthews offered this counter-argument.\He said that if you drop a piece of toast from a table approximately one meter in height,\Jam\Toast\the chances of the toast landing jam-side down are high. response:	of rotation when falling would cause it to land jam-side down.
context: Things like, Why, when you drop a piece of toast, does it land jam-side down?\Anything that can go wrong, will go wrong. It is a law in a humorous sense.\However, an English researcher named Robert Matthews offered this counter-argument.\He said that if you drop a piece of toast from a table approximately one meter in height,\Jam\Toast\the chances of the toast landing jam-side down are high.\of rotation when falling would cause it to land jam-side down. response:	And he proved it using physics.
context: Anything that can go wrong, will go wrong. It is a law in a humorous sense.\However, an English researcher named Robert Matthews offered this counter-argument.\He said that if you drop a piece of toast from a table approximately one meter in height,\Jam\Toast\the chances of the toast landing jam-side down are high.\of rotation when falling would cause it to land jam-side down.\And he proved it using physics. response:	Which means that the result is perfectly natural, scientifically.
context: However, an English researcher named Robert Matthews offered this counter-argument.\He said that if you drop a piece of toast from a table approximately one meter in height,\Jam\Toast\the chances of the toast landing jam-side down are high.\of rotation when falling would cause it to land jam-side down.\And he proved it using physics.\Which means that the result is perfectly natural, scientifically. response:	You are not unlucky. Enjoy your high school life.
context: He said that if you drop a piece of toast from a table approximately one meter in height,\Jam\Toast\the chances of the toast landing jam-side down are high.\of rotation when falling would cause it to land jam-side down.\And he proved it using physics.\Which means that the result is perfectly natural, scientifically.\You are not unlucky. Enjoy your high school life. response:	What's with that nerd?
