context: Father! response:	Where were you? Why didn't you bring Jia Yun with you?
context: Father!\Where were you? Why didn't you bring Jia Yun with you? response:	You always talk about how Mother often would get lost in the woods.
context: Father!\Where were you? Why didn't you bring Jia Yun with you?\You always talk about how Mother often would get lost in the woods. response:	I thought it sounded like a mystery.
context: Father!\Where were you? Why didn't you bring Jia Yun with you?\You always talk about how Mother often would get lost in the woods.\I thought it sounded like a mystery. response:	I went today in secret and, of course, I lost my way as well.
context: Father!\Where were you? Why didn't you bring Jia Yun with you?\You always talk about how Mother often would get lost in the woods.\I thought it sounded like a mystery.\I went today in secret and, of course, I lost my way as well. response:	Father, I also ran into a snake monster and was nearly harmed.
context: Father!\Where were you? Why didn't you bring Jia Yun with you?\You always talk about how Mother often would get lost in the woods.\I thought it sounded like a mystery.\I went today in secret and, of course, I lost my way as well.\Father, I also ran into a snake monster and was nearly harmed. response:	Luckily, this sister saved me.
context: Father!\Where were you? Why didn't you bring Jia Yun with you?\You always talk about how Mother often would get lost in the woods.\I thought it sounded like a mystery.\I went today in secret and, of course, I lost my way as well.\Father, I also ran into a snake monster and was nearly harmed.\Luckily, this sister saved me. response:	Don't run off by yourself again.
context: Father!\Where were you? Why didn't you bring Jia Yun with you?\You always talk about how Mother often would get lost in the woods.\I thought it sounded like a mystery.\I went today in secret and, of course, I lost my way as well.\Father, I also ran into a snake monster and was nearly harmed.\Luckily, this sister saved me.\Don't run off by yourself again. response:	Thank you, Miss, for saving him.
context: Where were you? Why didn't you bring Jia Yun with you?\You always talk about how Mother often would get lost in the woods.\I thought it sounded like a mystery.\I went today in secret and, of course, I lost my way as well.\Father, I also ran into a snake monster and was nearly harmed.\Luckily, this sister saved me.\Don't run off by yourself again.\Thank you, Miss, for saving him. response:	It is nothing. Sir, you are...
context: You always talk about how Mother often would get lost in the woods.\I thought it sounded like a mystery.\I went today in secret and, of course, I lost my way as well.\Father, I also ran into a snake monster and was nearly harmed.\Luckily, this sister saved me.\Don't run off by yourself again.\Thank you, Miss, for saving him.\It is nothing. Sir, you are... response:	My lord is the Celestial Tribe's Crown Prince, Ye Hua.
context: I thought it sounded like a mystery.\I went today in secret and, of course, I lost my way as well.\Father, I also ran into a snake monster and was nearly harmed.\Luckily, this sister saved me.\Don't run off by yourself again.\Thank you, Miss, for saving him.\It is nothing. Sir, you are...\My lord is the Celestial Tribe's Crown Prince, Ye Hua. response:	Crown Prince? Miao Qing greets Your Highness.
context: I went today in secret and, of course, I lost my way as well.\Father, I also ran into a snake monster and was nearly harmed.\Luckily, this sister saved me.\Don't run off by yourself again.\Thank you, Miss, for saving him.\It is nothing. Sir, you are...\My lord is the Celestial Tribe's Crown Prince, Ye Hua.\Crown Prince? Miao Qing greets Your Highness. response:	No need to stand on ceremony.
context: Father, I also ran into a snake monster and was nearly harmed.\Luckily, this sister saved me.\Don't run off by yourself again.\Thank you, Miss, for saving him.\It is nothing. Sir, you are...\My lord is the Celestial Tribe's Crown Prince, Ye Hua.\Crown Prince? Miao Qing greets Your Highness.\No need to stand on ceremony. response:	My older brother is the Water King of Eastern Sea.
context: Luckily, this sister saved me.\Don't run off by yourself again.\Thank you, Miss, for saving him.\It is nothing. Sir, you are...\My lord is the Celestial Tribe's Crown Prince, Ye Hua.\Crown Prince? Miao Qing greets Your Highness.\No need to stand on ceremony.\My older brother is the Water King of Eastern Sea. response:	So you are Princess Miao Qing.
