context: Ash rain? response:	Oh no, it's Nokosaregumo!
context: Ash rain?\Oh no, it's Nokosaregumo! response:	Hurry, prepare a bride. Quick!
context: Ash rain?\Oh no, it's Nokosaregumo!\Hurry, prepare a bride. Quick! response:	The black cloud had no proper name.
context: Ash rain?\Oh no, it's Nokosaregumo!\Hurry, prepare a bride. Quick!\The black cloud had no proper name. response:	It floated over the land all alone, as if left behind.
context: Ash rain?\Oh no, it's Nokosaregumo!\Hurry, prepare a bride. Quick!\The black cloud had no proper name.\It floated over the land all alone, as if left behind. response:	So the people often called it Nokosaregumo, the Forsaken Cloud.
context: Ash rain?\Oh no, it's Nokosaregumo!\Hurry, prepare a bride. Quick!\The black cloud had no proper name.\It floated over the land all alone, as if left behind.\So the people often called it Nokosaregumo, the Forsaken Cloud. response:	Party is over
context: Ash rain?\Oh no, it's Nokosaregumo!\Hurry, prepare a bride. Quick!\The black cloud had no proper name.\It floated over the land all alone, as if left behind.\So the people often called it Nokosaregumo, the Forsaken Cloud.\Party is over response:	But I still wanna dance
context: Ash rain?\Oh no, it's Nokosaregumo!\Hurry, prepare a bride. Quick!\The black cloud had no proper name.\It floated over the land all alone, as if left behind.\So the people often called it Nokosaregumo, the Forsaken Cloud.\Party is over\But I still wanna dance response:	I can't even sleep
context: Oh no, it's Nokosaregumo!\Hurry, prepare a bride. Quick!\The black cloud had no proper name.\It floated over the land all alone, as if left behind.\So the people often called it Nokosaregumo, the Forsaken Cloud.\Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: Hurry, prepare a bride. Quick!\The black cloud had no proper name.\It floated over the land all alone, as if left behind.\So the people often called it Nokosaregumo, the Forsaken Cloud.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: The black cloud had no proper name.\It floated over the land all alone, as if left behind.\So the people often called it Nokosaregumo, the Forsaken Cloud.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: It floated over the land all alone, as if left behind.\So the people often called it Nokosaregumo, the Forsaken Cloud.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: So the people often called it Nokosaregumo, the Forsaken Cloud.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	8 The story of Saru
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\8 The story of Saru response:	Ugh, it stinks.
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\8 The story of Saru\Ugh, it stinks. response:	Like rotten eggs.
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\8 The story of Saru\Ugh, it stinks.\Like rotten eggs. response:	Doesn't it bother you?
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\8 The story of Saru\Ugh, it stinks.\Like rotten eggs.\Doesn't it bother you? response:	Can you even smell?
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\8 The story of Saru\Ugh, it stinks.\Like rotten eggs.\Doesn't it bother you?\Can you even smell? response:	Jeez, I'm always the only one talking.
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\8 The story of Saru\Ugh, it stinks.\Like rotten eggs.\Doesn't it bother you?\Can you even smell?\Jeez, I'm always the only one talking. response:	You can talk now, can't you?
context: Light it up, baby. I'm gonna burn it up, yeah\8 The story of Saru\Ugh, it stinks.\Like rotten eggs.\Doesn't it bother you?\Can you even smell?\Jeez, I'm always the only one talking.\You can talk now, can't you? response:	Okay, let's practice talking.
context: 8 The story of Saru\Ugh, it stinks.\Like rotten eggs.\Doesn't it bother you?\Can you even smell?\Jeez, I'm always the only one talking.\You can talk now, can't you?\Okay, let's practice talking. response:	Come on, say something to me.
context: Ugh, it stinks.\Like rotten eggs.\Doesn't it bother you?\Can you even smell?\Jeez, I'm always the only one talking.\You can talk now, can't you?\Okay, let's practice talking.\Come on, say something to me. response:	Wow, a bridal parade.
context: Like rotten eggs.\Doesn't it bother you?\Can you even smell?\Jeez, I'm always the only one talking.\You can talk now, can't you?\Okay, let's practice talking.\Come on, say something to me.\Wow, a bridal parade. response:	But...
context: Doesn't it bother you?\Can you even smell?\Jeez, I'm always the only one talking.\You can talk now, can't you?\Okay, let's practice talking.\Come on, say something to me.\Wow, a bridal parade.\But... response:	Something doesn't seem right.
context: Can you even smell?\Jeez, I'm always the only one talking.\You can talk now, can't you?\Okay, let's practice talking.\Come on, say something to me.\Wow, a bridal parade.\But...\Something doesn't seem right. response:	Hey, stop that!
context: Jeez, I'm always the only one talking.\You can talk now, can't you?\Okay, let's practice talking.\Come on, say something to me.\Wow, a bridal parade.\But...\Something doesn't seem right.\Hey, stop that! response:	Outta my way!
context: You can talk now, can't you?\Okay, let's practice talking.\Come on, say something to me.\Wow, a bridal parade.\But...\Something doesn't seem right.\Hey, stop that!\Outta my way! response:	No, I won't let you shoot arrows at a happy bride.
context: Okay, let's practice talking.\Come on, say something to me.\Wow, a bridal parade.\But...\Something doesn't seem right.\Hey, stop that!\Outta my way!\No, I won't let you shoot arrows at a happy bride. response:	What's wrong with you?
context: Come on, say something to me.\Wow, a bridal parade.\But...\Something doesn't seem right.\Hey, stop that!\Outta my way!\No, I won't let you shoot arrows at a happy bride.\What's wrong with you? response:	A happy bride? Yeah right! Big Sis is being sent off to marry a monster.
context: Wow, a bridal parade.\But...\Something doesn't seem right.\Hey, stop that!\Outta my way!\No, I won't let you shoot arrows at a happy bride.\What's wrong with you?\A happy bride? Yeah right! Big Sis is being sent off to marry a monster. response:	To marry a monster?
context: But...\Something doesn't seem right.\Hey, stop that!\Outta my way!\No, I won't let you shoot arrows at a happy bride.\What's wrong with you?\A happy bride? Yeah right! Big Sis is being sent off to marry a monster.\To marry a monster? response:	So I gotta stop'em.
context: Something doesn't seem right.\Hey, stop that!\Outta my way!\No, I won't let you shoot arrows at a happy bride.\What's wrong with you?\A happy bride? Yeah right! Big Sis is being sent off to marry a monster.\To marry a monster?\So I gotta stop'em. response:	Beat it! Or I'll shoot you too!
context: Hey, stop that!\Outta my way!\No, I won't let you shoot arrows at a happy bride.\What's wrong with you?\A happy bride? Yeah right! Big Sis is being sent off to marry a monster.\To marry a monster?\So I gotta stop'em.\Beat it! Or I'll shoot you too! response:	Calm your horses. Tell me more about it.
context: Outta my way!\No, I won't let you shoot arrows at a happy bride.\What's wrong with you?\A happy bride? Yeah right! Big Sis is being sent off to marry a monster.\To marry a monster?\So I gotta stop'em.\Beat it! Or I'll shoot you too!\Calm your horses. Tell me more about it. response:	We know a thing or two about beating monsters.
context: No, I won't let you shoot arrows at a happy bride.\What's wrong with you?\A happy bride? Yeah right! Big Sis is being sent off to marry a monster.\To marry a monster?\So I gotta stop'em.\Beat it! Or I'll shoot you too!\Calm your horses. Tell me more about it.\We know a thing or two about beating monsters. response:	That's it.
context: What's wrong with you?\A happy bride? Yeah right! Big Sis is being sent off to marry a monster.\To marry a monster?\So I gotta stop'em.\Beat it! Or I'll shoot you too!\Calm your horses. Tell me more about it.\We know a thing or two about beating monsters.\That's it. response:	A cloud right over the village. That's the monster?
