context: Mahou Shoujo Madoka Magica 07 response:	My Motherboard is dead.
context: Mahou Shoujo Madoka Magica 07\My Motherboard is dead. response:	(Alternately You are thinking too naively about fighting. I know I suck at this part)
context: Mahou Shoujo Madoka Magica 07\My Motherboard is dead.\(Alternately You are thinking too naively about fighting. I know I suck at this part) response:	(OP)
context: Mahou Shoujo Madoka Magica 07\My Motherboard is dead.\(Alternately You are thinking too naively about fighting. I know I suck at this part)\(OP) response:	(Episode title) Can I face my true feelings?
context: Mahou Shoujo Madoka Magica 07\My Motherboard is dead.\(Alternately You are thinking too naively about fighting. I know I suck at this part)\(OP)\(Episode title) Can I face my true feelings? response:	ED
context: Mahou Shoujo Madoka Magica 07\My Motherboard is dead.\(Alternately You are thinking too naively about fighting. I know I suck at this part)\(OP)\(Episode title) Can I face my true feelings?\ED response:	Episode 7 Can I face my true feelings?
context: Mahou Shoujo Madoka Magica 07\My Motherboard is dead.\(Alternately You are thinking too naively about fighting. I know I suck at this part)\(OP)\(Episode title) Can I face my true feelings?\ED\Episode 7 Can I face my true feelings? response:	Episode 7 Can I face my true feelings?
context: Mahou Shoujo Madoka Magica 07\My Motherboard is dead.\(Alternately You are thinking too naively about fighting. I know I suck at this part)\(OP)\(Episode title) Can I face my true feelings?\ED\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings? response:	Episode 7 Can I face my true feelings?
context: My Motherboard is dead.\(Alternately You are thinking too naively about fighting. I know I suck at this part)\(OP)\(Episode title) Can I face my true feelings?\ED\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings? response:	Tensugi Takashi
context: (Alternately You are thinking too naively about fighting. I know I suck at this part)\(OP)\(Episode title) Can I face my true feelings?\ED\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Tensugi Takashi response:	Episode 8 I'm such an idiot
context: (OP)\(Episode title) Can I face my true feelings?\ED\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Tensugi Takashi\Episode 8 I'm such an idiot response:	You lied to us.
context: (Episode title) Can I face my true feelings?\ED\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Tensugi Takashi\Episode 8 I'm such an idiot\You lied to us. response:	I simply asked you to become a Magical Girl.
context: ED\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Tensugi Takashi\Episode 8 I'm such an idiot\You lied to us.\I simply asked you to become a Magical Girl. response:	Though you could say that I left out some things.
context: Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Tensugi Takashi\Episode 8 I'm such an idiot\You lied to us.\I simply asked you to become a Magical Girl.\Though you could say that I left out some things. response:	Why didn't you tell us?
context: Episode 7 Can I face my true feelings?\Episode 7 Can I face my true feelings?\Tensugi Takashi\Episode 8 I'm such an idiot\You lied to us.\I simply asked you to become a Magical Girl.\Though you could say that I left out some things.\Why didn't you tell us? response:	Because you didn't ask.
context: Episode 7 Can I face my true feelings?\Tensugi Takashi\Episode 8 I'm such an idiot\You lied to us.\I simply asked you to become a Magical Girl.\Though you could say that I left out some things.\Why didn't you tell us?\Because you didn't ask. response:	Everything would have been fine if you hadn't found out.
context: Tensugi Takashi\Episode 8 I'm such an idiot\You lied to us.\I simply asked you to become a Magical Girl.\Though you could say that I left out some things.\Why didn't you tell us?\Because you didn't ask.\Everything would have been fine if you hadn't found out. response:	Even Mami never realized it.
context: Episode 8 I'm such an idiot\You lied to us.\I simply asked you to become a Magical Girl.\Though you could say that I left out some things.\Why didn't you tell us?\Because you didn't ask.\Everything would have been fine if you hadn't found out.\Even Mami never realized it. response:	It's not like humans such as yourself are even aware of their souls to begin with.
context: You lied to us.\I simply asked you to become a Magical Girl.\Though you could say that I left out some things.\Why didn't you tell us?\Because you didn't ask.\Everything would have been fine if you hadn't found out.\Even Mami never realized it.\It's not like humans such as yourself are even aware of their souls to begin with. response:	It resides in the firing of your neurons.
context: I simply asked you to become a Magical Girl.\Though you could say that I left out some things.\Why didn't you tell us?\Because you didn't ask.\Everything would have been fine if you hadn't found out.\Even Mami never realized it.\It's not like humans such as yourself are even aware of their souls to begin with.\It resides in the firing of your neurons. response:	It's there in your blood and in the beating of your heart.
context: Though you could say that I left out some things.\Why didn't you tell us?\Because you didn't ask.\Everything would have been fine if you hadn't found out.\Even Mami never realized it.\It's not like humans such as yourself are even aware of their souls to begin with.\It resides in the firing of your neurons.\It's there in your blood and in the beating of your heart. response:	If your body ceases to function,
