context: I'm late, I'm late! response:	I gotta go, I gotta go!
context: I'm late, I'm late!\I gotta go, I gotta go! response:	I'm off!
context: I'm late, I'm late!\I gotta go, I gotta go!\I'm off! response:	The Search
context: I'm late, I'm late!\I gotta go, I gotta go!\I'm off!\The Search response:	Man, what a close call.
context: I'm late, I'm late!\I gotta go, I gotta go!\I'm off!\The Search\Man, what a close call. response:	I came this close to being late.
context: I'm late, I'm late!\I gotta go, I gotta go!\I'm off!\The Search\Man, what a close call.\I came this close to being late. response:	Hey, pretty unusual, Chitoge.
context: I'm late, I'm late!\I gotta go, I gotta go!\I'm off!\The Search\Man, what a close call.\I came this close to being late.\Hey, pretty unusual, Chitoge. response:	Even if it was just barely, for you to get here before me...
context: I'm late, I'm late!\I gotta go, I gotta go!\I'm off!\The Search\Man, what a close call.\I came this close to being late.\Hey, pretty unusual, Chitoge.\Even if it was just barely, for you to get here before me... response:	Chitoge?!
context: I gotta go, I gotta go!\I'm off!\The Search\Man, what a close call.\I came this close to being late.\Hey, pretty unusual, Chitoge.\Even if it was just barely, for you to get here before me...\Chitoge?! response:	You lost your ribbon?
context: I'm off!\The Search\Man, what a close call.\I came this close to being late.\Hey, pretty unusual, Chitoge.\Even if it was just barely, for you to get here before me...\Chitoge?!\You lost your ribbon? response:	I didn't notice till I got to school.
context: The Search\Man, what a close call.\I came this close to being late.\Hey, pretty unusual, Chitoge.\Even if it was just barely, for you to get here before me...\Chitoge?!\You lost your ribbon?\I didn't notice till I got to school. response:	Since you were in a hurry, the knot might have been too loose.
context: Man, what a close call.\I came this close to being late.\Hey, pretty unusual, Chitoge.\Even if it was just barely, for you to get here before me...\Chitoge?!\You lost your ribbon?\I didn't notice till I got to school.\Since you were in a hurry, the knot might have been too loose. response:	So you're not even sure where you might have dropped it?
context: I came this close to being late.\Hey, pretty unusual, Chitoge.\Even if it was just barely, for you to get here before me...\Chitoge?!\You lost your ribbon?\I didn't notice till I got to school.\Since you were in a hurry, the knot might have been too loose.\So you're not even sure where you might have dropped it? response:	I'm gonna go look for it now!
context: Hey, pretty unusual, Chitoge.\Even if it was just barely, for you to get here before me...\Chitoge?!\You lost your ribbon?\I didn't notice till I got to school.\Since you were in a hurry, the knot might have been too loose.\So you're not even sure where you might have dropped it?\I'm gonna go look for it now! response:	Hold up, hold up! Class is about to start!
context: Even if it was just barely, for you to get here before me...\Chitoge?!\You lost your ribbon?\I didn't notice till I got to school.\Since you were in a hurry, the knot might have been too loose.\So you're not even sure where you might have dropped it?\I'm gonna go look for it now!\Hold up, hold up! Class is about to start! response:	Come on, calm down, will you?
context: Chitoge?!\You lost your ribbon?\I didn't notice till I got to school.\Since you were in a hurry, the knot might have been too loose.\So you're not even sure where you might have dropped it?\I'm gonna go look for it now!\Hold up, hold up! Class is about to start!\Come on, calm down, will you? response:	I'll help you look for it after school, all right?
context: You lost your ribbon?\I didn't notice till I got to school.\Since you were in a hurry, the knot might have been too loose.\So you're not even sure where you might have dropped it?\I'm gonna go look for it now!\Hold up, hold up! Class is about to start!\Come on, calm down, will you?\I'll help you look for it after school, all right? response:	But that ribbon...
context: I didn't notice till I got to school.\Since you were in a hurry, the knot might have been too loose.\So you're not even sure where you might have dropped it?\I'm gonna go look for it now!\Hold up, hold up! Class is about to start!\Come on, calm down, will you?\I'll help you look for it after school, all right?\But that ribbon... response:	Yeah, I know.
context: Since you were in a hurry, the knot might have been too loose.\So you're not even sure where you might have dropped it?\I'm gonna go look for it now!\Hold up, hold up! Class is about to start!\Come on, calm down, will you?\I'll help you look for it after school, all right?\But that ribbon...\Yeah, I know. response:	It's your cherished ribbon that you got from Ms. Hana, right?
context: So you're not even sure where you might have dropped it?\I'm gonna go look for it now!\Hold up, hold up! Class is about to start!\Come on, calm down, will you?\I'll help you look for it after school, all right?\But that ribbon...\Yeah, I know.\It's your cherished ribbon that you got from Ms. Hana, right? response:	I promise you that I'll find it.
context: I'm gonna go look for it now!\Hold up, hold up! Class is about to start!\Come on, calm down, will you?\I'll help you look for it after school, all right?\But that ribbon...\Yeah, I know.\It's your cherished ribbon that you got from Ms. Hana, right?\I promise you that I'll find it. response:	Well, that's one thing, but...
context: Hold up, hold up! Class is about to start!\Come on, calm down, will you?\I'll help you look for it after school, all right?\But that ribbon...\Yeah, I know.\It's your cherished ribbon that you got from Ms. Hana, right?\I promise you that I'll find it.\Well, that's one thing, but... response:	That's the one that y
context: Come on, calm down, will you?\I'll help you look for it after school, all right?\But that ribbon...\Yeah, I know.\It's your cherished ribbon that you got from Ms. Hana, right?\I promise you that I'll find it.\Well, that's one thing, but...\That's the one that y response:	Huh?
context: I'll help you look for it after school, all right?\But that ribbon...\Yeah, I know.\It's your cherished ribbon that you got from Ms. Hana, right?\I promise you that I'll find it.\Well, that's one thing, but...\That's the one that y\Huh? response:	No, never mind.
context: But that ribbon...\Yeah, I know.\It's your cherished ribbon that you got from Ms. Hana, right?\I promise you that I'll find it.\Well, that's one thing, but...\That's the one that y\Huh?\No, never mind. response:	Never fear, Young Mistress!
context: Yeah, I know.\It's your cherished ribbon that you got from Ms. Hana, right?\I promise you that I'll find it.\Well, that's one thing, but...\That's the one that y\Huh?\No, never mind.\Never fear, Young Mistress! response:	I, too, shall help with the search.
context: It's your cherished ribbon that you got from Ms. Hana, right?\I promise you that I'll find it.\Well, that's one thing, but...\That's the one that y\Huh?\No, never mind.\Never fear, Young Mistress!\I, too, shall help with the search. response:	We'll pitch in, too.
context: I promise you that I'll find it.\Well, that's one thing, but...\That's the one that y\Huh?\No, never mind.\Never fear, Young Mistress!\I, too, shall help with the search.\We'll pitch in, too. response:	You guys!
context: Well, that's one thing, but...\That's the one that y\Huh?\No, never mind.\Never fear, Young Mistress!\I, too, shall help with the search.\We'll pitch in, too.\You guys! response:	For now, let me tie this up for you.
context: That's the one that y\Huh?\No, never mind.\Never fear, Young Mistress!\I, too, shall help with the search.\We'll pitch in, too.\You guys!\For now, let me tie this up for you. response:	Thanks.
context: Huh?\No, never mind.\Never fear, Young Mistress!\I, too, shall help with the search.\We'll pitch in, too.\You guys!\For now, let me tie this up for you.\Thanks. response:	I thought it would come in handy one day, so...
context: No, never mind.\Never fear, Young Mistress!\I, too, shall help with the search.\We'll pitch in, too.\You guys!\For now, let me tie this up for you.\Thanks.\I thought it would come in handy one day, so... response:	My hair/makeup kit!
context: Never fear, Young Mistress!\I, too, shall help with the search.\We'll pitch in, too.\You guys!\For now, let me tie this up for you.\Thanks.\I thought it would come in handy one day, so...\My hair/makeup kit! response:	All right, what kind of style should we go for?
context: I, too, shall help with the search.\We'll pitch in, too.\You guys!\For now, let me tie this up for you.\Thanks.\I thought it would come in handy one day, so...\My hair/makeup kit!\All right, what kind of style should we go for? response:	Honestly! Over a ribbon... how pathetic you are!
context: We'll pitch in, too.\You guys!\For now, let me tie this up for you.\Thanks.\I thought it would come in handy one day, so...\My hair/makeup kit!\All right, what kind of style should we go for?\Honestly! Over a ribbon... how pathetic you are! response:	I can't imagine that anyone would turn in that strip of cloth.
context: You guys!\For now, let me tie this up for you.\Thanks.\I thought it would come in handy one day, so...\My hair/makeup kit!\All right, what kind of style should we go for?\Honestly! Over a ribbon... how pathetic you are!\I can't imagine that anyone would turn in that strip of cloth. response:	By now it might well be discarded along with the trash, no?
context: For now, let me tie this up for you.\Thanks.\I thought it would come in handy one day, so...\My hair/makeup kit!\All right, what kind of style should we go for?\Honestly! Over a ribbon... how pathetic you are!\I can't imagine that anyone would turn in that strip of cloth.\By now it might well be discarded along with the trash, no? response:	Marika Tachibana! Why, you...!
context: Thanks.\I thought it would come in handy one day, so...\My hair/makeup kit!\All right, what kind of style should we go for?\Honestly! Over a ribbon... how pathetic you are!\I can't imagine that anyone would turn in that strip of cloth.\By now it might well be discarded along with the trash, no?\Marika Tachibana! Why, you...! response:	You think so?
context: I thought it would come in handy one day, so...\My hair/makeup kit!\All right, what kind of style should we go for?\Honestly! Over a ribbon... how pathetic you are!\I can't imagine that anyone would turn in that strip of cloth.\By now it might well be discarded along with the trash, no?\Marika Tachibana! Why, you...!\You think so? response:	You really think that's what happened to it?
context: My hair/makeup kit!\All right, what kind of style should we go for?\Honestly! Over a ribbon... how pathetic you are!\I can't imagine that anyone would turn in that strip of cloth.\By now it might well be discarded along with the trash, no?\Marika Tachibana! Why, you...!\You think so?\You really think that's what happened to it? response:	Kirisaki!
context: All right, what kind of style should we go for?\Honestly! Over a ribbon... how pathetic you are!\I can't imagine that anyone would turn in that strip of cloth.\By now it might well be discarded along with the trash, no?\Marika Tachibana! Why, you...!\You think so?\You really think that's what happened to it?\Kirisaki! response:	That's not at all how you'd usually react!
context: Honestly! Over a ribbon... how pathetic you are!\I can't imagine that anyone would turn in that strip of cloth.\By now it might well be discarded along with the trash, no?\Marika Tachibana! Why, you...!\You think so?\You really think that's what happened to it?\Kirisaki!\That's not at all how you'd usually react! response:	I implore you not to sob so hard!
context: I can't imagine that anyone would turn in that strip of cloth.\By now it might well be discarded along with the trash, no?\Marika Tachibana! Why, you...!\You think so?\You really think that's what happened to it?\Kirisaki!\That's not at all how you'd usually react!\I implore you not to sob so hard! response:	Very well, very well!
context: By now it might well be discarded along with the trash, no?\Marika Tachibana! Why, you...!\You think so?\You really think that's what happened to it?\Kirisaki!\That's not at all how you'd usually react!\I implore you not to sob so hard!\Very well, very well! response:	I, too, shall lend a hand in the search,
context: Marika Tachibana! Why, you...!\You think so?\You really think that's what happened to it?\Kirisaki!\That's not at all how you'd usually react!\I implore you not to sob so hard!\Very well, very well!\I, too, shall lend a hand in the search, response:	so for goodness sake, please stop crying!
context: You think so?\You really think that's what happened to it?\Kirisaki!\That's not at all how you'd usually react!\I implore you not to sob so hard!\Very well, very well!\I, too, shall lend a hand in the search,\so for goodness sake, please stop crying! response:	Is she okay? Chitoge...
context: You really think that's what happened to it?\Kirisaki!\That's not at all how you'd usually react!\I implore you not to sob so hard!\Very well, very well!\I, too, shall lend a hand in the search,\so for goodness sake, please stop crying!\Is she okay? Chitoge... response:	I wonder where it could be? Chitoge's ribbon...
context: Kirisaki!\That's not at all how you'd usually react!\I implore you not to sob so hard!\Very well, very well!\I, too, shall lend a hand in the search,\so for goodness sake, please stop crying!\Is she okay? Chitoge...\I wonder where it could be? Chitoge's ribbon... response:	It doesn't seem like anything resembling it was turned in at the police station.
context: That's not at all how you'd usually react!\I implore you not to sob so hard!\Very well, very well!\I, too, shall lend a hand in the search,\so for goodness sake, please stop crying!\Is she okay? Chitoge...\I wonder where it could be? Chitoge's ribbon...\It doesn't seem like anything resembling it was turned in at the police station. response:	Are you all right, Young Mistress?
context: I implore you not to sob so hard!\Very well, very well!\I, too, shall lend a hand in the search,\so for goodness sake, please stop crying!\Is she okay? Chitoge...\I wonder where it could be? Chitoge's ribbon...\It doesn't seem like anything resembling it was turned in at the police station.\Are you all right, Young Mistress? response:	Come on, cheer up, Chitoge.
context: Very well, very well!\I, too, shall lend a hand in the search,\so for goodness sake, please stop crying!\Is she okay? Chitoge...\I wonder where it could be? Chitoge's ribbon...\It doesn't seem like anything resembling it was turned in at the police station.\Are you all right, Young Mistress?\Come on, cheer up, Chitoge. response:	We'll help you look again today.
context: I, too, shall lend a hand in the search,\so for goodness sake, please stop crying!\Is she okay? Chitoge...\I wonder where it could be? Chitoge's ribbon...\It doesn't seem like anything resembling it was turned in at the police station.\Are you all right, Young Mistress?\Come on, cheer up, Chitoge.\We'll help you look again today. response:	Yeah...
context: so for goodness sake, please stop crying!\Is she okay? Chitoge...\I wonder where it could be? Chitoge's ribbon...\It doesn't seem like anything resembling it was turned in at the police station.\Are you all right, Young Mistress?\Come on, cheer up, Chitoge.\We'll help you look again today.\Yeah... response:	Man, what am I gonna do with you?
context: Is she okay? Chitoge...\I wonder where it could be? Chitoge's ribbon...\It doesn't seem like anything resembling it was turned in at the police station.\Are you all right, Young Mistress?\Come on, cheer up, Chitoge.\We'll help you look again today.\Yeah...\Man, what am I gonna do with you? response:	All right, today, as a special treat...
context: I wonder where it could be? Chitoge's ribbon...\It doesn't seem like anything resembling it was turned in at the police station.\Are you all right, Young Mistress?\Come on, cheer up, Chitoge.\We'll help you look again today.\Yeah...\Man, what am I gonna do with you?\All right, today, as a special treat... response:	I'm going to buy you some ramen!
context: It doesn't seem like anything resembling it was turned in at the police station.\Are you all right, Young Mistress?\Come on, cheer up, Chitoge.\We'll help you look again today.\Yeah...\Man, what am I gonna do with you?\All right, today, as a special treat...\I'm going to buy you some ramen! response:	That limited-edition ramen that you love came back on the menu lately, right?
context: Are you all right, Young Mistress?\Come on, cheer up, Chitoge.\We'll help you look again today.\Yeah...\Man, what am I gonna do with you?\All right, today, as a special treat...\I'm going to buy you some ramen!\That limited-edition ramen that you love came back on the menu lately, right? response:	When we find your ribbon, let's all go out for...
context: Come on, cheer up, Chitoge.\We'll help you look again today.\Yeah...\Man, what am I gonna do with you?\All right, today, as a special treat...\I'm going to buy you some ramen!\That limited-edition ramen that you love came back on the menu lately, right?\When we find your ribbon, let's all go out for... response:	No, thanks. I'm not in the mood.
context: We'll help you look again today.\Yeah...\Man, what am I gonna do with you?\All right, today, as a special treat...\I'm going to buy you some ramen!\That limited-edition ramen that you love came back on the menu lately, right?\When we find your ribbon, let's all go out for...\No, thanks. I'm not in the mood. response:	Did she just turn down ramen?
context: Yeah...\Man, what am I gonna do with you?\All right, today, as a special treat...\I'm going to buy you some ramen!\That limited-edition ramen that you love came back on the menu lately, right?\When we find your ribbon, let's all go out for...\No, thanks. I'm not in the mood.\Did she just turn down ramen? response:	I-I-I mean it's ramen!
context: Man, what am I gonna do with you?\All right, today, as a special treat...\I'm going to buy you some ramen!\That limited-edition ramen that you love came back on the menu lately, right?\When we find your ribbon, let's all go out for...\No, thanks. I'm not in the mood.\Did she just turn down ramen?\I-I-I mean it's ramen! response:	She's never done that before, not once!
context: All right, today, as a special treat...\I'm going to buy you some ramen!\That limited-edition ramen that you love came back on the menu lately, right?\When we find your ribbon, let's all go out for...\No, thanks. I'm not in the mood.\Did she just turn down ramen?\I-I-I mean it's ramen!\She's never done that before, not once! response:	Dammit, look how meek she's gotten.
context: I'm going to buy you some ramen!\That limited-edition ramen that you love came back on the menu lately, right?\When we find your ribbon, let's all go out for...\No, thanks. I'm not in the mood.\Did she just turn down ramen?\I-I-I mean it's ramen!\She's never done that before, not once!\Dammit, look how meek she's gotten. response:	It's not a matter of being thrown off...
context: That limited-edition ramen that you love came back on the menu lately, right?\When we find your ribbon, let's all go out for...\No, thanks. I'm not in the mood.\Did she just turn down ramen?\I-I-I mean it's ramen!\She's never done that before, not once!\Dammit, look how meek she's gotten.\It's not a matter of being thrown off... response:	I just can't stand to see her like this!
context: When we find your ribbon, let's all go out for...\No, thanks. I'm not in the mood.\Did she just turn down ramen?\I-I-I mean it's ramen!\She's never done that before, not once!\Dammit, look how meek she's gotten.\It's not a matter of being thrown off...\I just can't stand to see her like this! response:	Yeah, but what is this?
context: No, thanks. I'm not in the mood.\Did she just turn down ramen?\I-I-I mean it's ramen!\She's never done that before, not once!\Dammit, look how meek she's gotten.\It's not a matter of being thrown off...\I just can't stand to see her like this!\Yeah, but what is this? response:	Maybe I'm imagining things, but somehow...
context: Did she just turn down ramen?\I-I-I mean it's ramen!\She's never done that before, not once!\Dammit, look how meek she's gotten.\It's not a matter of being thrown off...\I just can't stand to see her like this!\Yeah, but what is this?\Maybe I'm imagining things, but somehow... response:	No.
context: I-I-I mean it's ramen!\She's never done that before, not once!\Dammit, look how meek she's gotten.\It's not a matter of being thrown off...\I just can't stand to see her like this!\Yeah, but what is this?\Maybe I'm imagining things, but somehow...\No. response:	Normally, it's hard to forget, but she's always been a stunner, right?
context: She's never done that before, not once!\Dammit, look how meek she's gotten.\It's not a matter of being thrown off...\I just can't stand to see her like this!\Yeah, but what is this?\Maybe I'm imagining things, but somehow...\No.\Normally, it's hard to forget, but she's always been a stunner, right? response:	Somehow, together with that meekness,
context: Dammit, look how meek she's gotten.\It's not a matter of being thrown off...\I just can't stand to see her like this!\Yeah, but what is this?\Maybe I'm imagining things, but somehow...\No.\Normally, it's hard to forget, but she's always been a stunner, right?\Somehow, together with that meekness, response:	she looks more feminine than usual to me...
context: It's not a matter of being thrown off...\I just can't stand to see her like this!\Yeah, but what is this?\Maybe I'm imagining things, but somehow...\No.\Normally, it's hard to forget, but she's always been a stunner, right?\Somehow, together with that meekness,\she looks more feminine than usual to me... response:	Hey, Chitoge!
context: I just can't stand to see her like this!\Yeah, but what is this?\Maybe I'm imagining things, but somehow...\No.\Normally, it's hard to forget, but she's always been a stunner, right?\Somehow, together with that meekness,\she looks more feminine than usual to me...\Hey, Chitoge! response:	Wanna arm-wrestle with me?
context: Yeah, but what is this?\Maybe I'm imagining things, but somehow...\No.\Normally, it's hard to forget, but she's always been a stunner, right?\Somehow, together with that meekness,\she looks more feminine than usual to me...\Hey, Chitoge!\Wanna arm-wrestle with me? response:	Why?
context: Maybe I'm imagining things, but somehow...\No.\Normally, it's hard to forget, but she's always been a stunner, right?\Somehow, together with that meekness,\she looks more feminine than usual to me...\Hey, Chitoge!\Wanna arm-wrestle with me?\Why? response:	Never mind why.
context: No.\Normally, it's hard to forget, but she's always been a stunner, right?\Somehow, together with that meekness,\she looks more feminine than usual to me...\Hey, Chitoge!\Wanna arm-wrestle with me?\Why?\Never mind why. response:	Let's go!
context: Normally, it's hard to forget, but she's always been a stunner, right?\Somehow, together with that meekness,\she looks more feminine than usual to me...\Hey, Chitoge!\Wanna arm-wrestle with me?\Why?\Never mind why.\Let's go! response:	Ready... set...
context: Somehow, together with that meekness,\she looks more feminine than usual to me...\Hey, Chitoge!\Wanna arm-wrestle with me?\Why?\Never mind why.\Let's go!\Ready... set... response:	Master Raku!
context: she looks more feminine than usual to me...\Hey, Chitoge!\Wanna arm-wrestle with me?\Why?\Never mind why.\Let's go!\Ready... set...\Master Raku! response:	I was a fool for getting my faint hopes up.
context: Hey, Chitoge!\Wanna arm-wrestle with me?\Why?\Never mind why.\Let's go!\Ready... set...\Master Raku!\I was a fool for getting my faint hopes up. response:	Are you all right? Master Raku!
context: Wanna arm-wrestle with me?\Why?\Never mind why.\Let's go!\Ready... set...\Master Raku!\I was a fool for getting my faint hopes up.\Are you all right? Master Raku! response:	Are you okay, Ichijo?
context: Why?\Never mind why.\Let's go!\Ready... set...\Master Raku!\I was a fool for getting my faint hopes up.\Are you all right? Master Raku!\Are you okay, Ichijo? response:	You really are a moron.
