context: But then, you're gonna pay! response:	I can use these guys.
context: But then, you're gonna pay!\I can use these guys. response:	That's all that people like you are good for, at best.
context: But then, you're gonna pay!\I can use these guys.\That's all that people like you are good for, at best. response:	They're gone! They've both disappeared!
context: But then, you're gonna pay!\I can use these guys.\That's all that people like you are good for, at best.\They're gone! They've both disappeared! response:	T-The woman wearing fatigues who was sitting there!
context: But then, you're gonna pay!\I can use these guys.\That's all that people like you are good for, at best.\They're gone! They've both disappeared!\T-The woman wearing fatigues who was sitting there! response:	It's already overtaken us!
context: But then, you're gonna pay!\I can use these guys.\That's all that people like you are good for, at best.\They're gone! They've both disappeared!\T-The woman wearing fatigues who was sitting there!\It's already overtaken us! response:	The Rail Tracer!
context: But then, you're gonna pay!\I can use these guys.\That's all that people like you are good for, at best.\They're gone! They've both disappeared!\T-The woman wearing fatigues who was sitting there!\It's already overtaken us!\The Rail Tracer! response:	I see. So she arrived without incident?
context: But then, you're gonna pay!\I can use these guys.\That's all that people like you are good for, at best.\They're gone! They've both disappeared!\T-The woman wearing fatigues who was sitting there!\It's already overtaken us!\The Rail Tracer!\I see. So she arrived without incident? response:	Well, apparently, it wasn't exactly without incident.
context: I can use these guys.\That's all that people like you are good for, at best.\They're gone! They've both disappeared!\T-The woman wearing fatigues who was sitting there!\It's already overtaken us!\The Rail Tracer!\I see. So she arrived without incident?\Well, apparently, it wasn't exactly without incident. response:	What do you mean?
context: That's all that people like you are good for, at best.\They're gone! They've both disappeared!\T-The woman wearing fatigues who was sitting there!\It's already overtaken us!\The Rail Tracer!\I see. So she arrived without incident?\Well, apparently, it wasn't exactly without incident.\What do you mean? response:	Word is that the Flying Pussyfoot switched out not only its engine,
context: They're gone! They've both disappeared!\T-The woman wearing fatigues who was sitting there!\It's already overtaken us!\The Rail Tracer!\I see. So she arrived without incident?\Well, apparently, it wasn't exactly without incident.\What do you mean?\Word is that the Flying Pussyfoot switched out not only its engine, response:	but its passenger cars, as well.
context: T-The woman wearing fatigues who was sitting there!\It's already overtaken us!\The Rail Tracer!\I see. So she arrived without incident?\Well, apparently, it wasn't exactly without incident.\What do you mean?\Word is that the Flying Pussyfoot switched out not only its engine,\but its passenger cars, as well. response:	Do we have a read on the circumstances?
context: It's already overtaken us!\The Rail Tracer!\I see. So she arrived without incident?\Well, apparently, it wasn't exactly without incident.\What do you mean?\Word is that the Flying Pussyfoot switched out not only its engine,\but its passenger cars, as well.\Do we have a read on the circumstances? response:	Only fragments.
context: The Rail Tracer!\I see. So she arrived without incident?\Well, apparently, it wasn't exactly without incident.\What do you mean?\Word is that the Flying Pussyfoot switched out not only its engine,\but its passenger cars, as well.\Do we have a read on the circumstances?\Only fragments. response:	Nebula is moving to suppress information about it,
context: I see. So she arrived without incident?\Well, apparently, it wasn't exactly without incident.\What do you mean?\Word is that the Flying Pussyfoot switched out not only its engine,\but its passenger cars, as well.\Do we have a read on the circumstances?\Only fragments.\Nebula is moving to suppress information about it, response:	so we can't really get a grasp of the whole picture,
context: Well, apparently, it wasn't exactly without incident.\What do you mean?\Word is that the Flying Pussyfoot switched out not only its engine,\but its passenger cars, as well.\Do we have a read on the circumstances?\Only fragments.\Nebula is moving to suppress information about it,\so we can't really get a grasp of the whole picture, response:	but there's no question that there was quite an incident.
