context: How I've Waited for this Moment!! Son Goku Revived response:	I can see you!
context: How I've Waited for this Moment!! Son Goku Revived\I can see you! response:	What!?
context: How I've Waited for this Moment!! Son Goku Revived\I can see you!\What!? response:	No way!
context: How I've Waited for this Moment!! Son Goku Revived\I can see you!\What!?\No way! response:	His speed is...
context: How I've Waited for this Moment!! Son Goku Revived\I can see you!\What!?\No way!\His speed is... response:	Damn! To think that Freeza still hasn't gone all-out yet...
context: How I've Waited for this Moment!! Son Goku Revived\I can see you!\What!?\No way!\His speed is...\Damn! To think that Freeza still hasn't gone all-out yet... response:	What a monster!
context: How I've Waited for this Moment!! Son Goku Revived\I can see you!\What!?\No way!\His speed is...\Damn! To think that Freeza still hasn't gone all-out yet...\What a monster! response:	Vegeta, quite frankly, using the attacks and speed you just did,
context: How I've Waited for this Moment!! Son Goku Revived\I can see you!\What!?\No way!\His speed is...\Damn! To think that Freeza still hasn't gone all-out yet...\What a monster!\Vegeta, quite frankly, using the attacks and speed you just did, response:	there's no way you can win against me.
context: I can see you!\What!?\No way!\His speed is...\Damn! To think that Freeza still hasn't gone all-out yet...\What a monster!\Vegeta, quite frankly, using the attacks and speed you just did,\there's no way you can win against me. response:	As I recall, you said something about being a Super Saiyajin.
context: What!?\No way!\His speed is...\Damn! To think that Freeza still hasn't gone all-out yet...\What a monster!\Vegeta, quite frankly, using the attacks and speed you just did,\there's no way you can win against me.\As I recall, you said something about being a Super Saiyajin. response:	If you are as you say,
context: No way!\His speed is...\Damn! To think that Freeza still hasn't gone all-out yet...\What a monster!\Vegeta, quite frankly, using the attacks and speed you just did,\there's no way you can win against me.\As I recall, you said something about being a Super Saiyajin.\If you are as you say, response:	does that mean that's the best the strongest in history can do?
context: His speed is...\Damn! To think that Freeza still hasn't gone all-out yet...\What a monster!\Vegeta, quite frankly, using the attacks and speed you just did,\there's no way you can win against me.\As I recall, you said something about being a Super Saiyajin.\If you are as you say,\does that mean that's the best the strongest in history can do? response:	Up until this point, I could see him...
context: Damn! To think that Freeza still hasn't gone all-out yet...\What a monster!\Vegeta, quite frankly, using the attacks and speed you just did,\there's no way you can win against me.\As I recall, you said something about being a Super Saiyajin.\If you are as you say,\does that mean that's the best the strongest in history can do?\Up until this point, I could see him... response:	Don't make me laugh.
context: What a monster!\Vegeta, quite frankly, using the attacks and speed you just did,\there's no way you can win against me.\As I recall, you said something about being a Super Saiyajin.\If you are as you say,\does that mean that's the best the strongest in history can do?\Up until this point, I could see him...\Don't make me laugh. response:	The Super Saiyajin is then no more than a trivial legend after all.
