context: Don't be such a sissy! response:	Yukimura, I told you that today's the due date of the School Festival's report, right?
context: Don't be such a sissy!\Yukimura, I told you that today's the due date of the School Festival's report, right? response:	Yes! But Prez, there are far too many documents for us to handle.
context: Don't be such a sissy!\Yukimura, I told you that today's the due date of the School Festival's report, right?\Yes! But Prez, there are far too many documents for us to handle. response:	There are lots of classes and clubs that submit at the last minute.
context: Don't be such a sissy!\Yukimura, I told you that today's the due date of the School Festival's report, right?\Yes! But Prez, there are far too many documents for us to handle.\There are lots of classes and clubs that submit at the last minute. response:	A new stack? I can't handle this.
context: Don't be such a sissy!\Yukimura, I told you that today's the due date of the School Festival's report, right?\Yes! But Prez, there are far too many documents for us to handle.\There are lots of classes and clubs that submit at the last minute.\A new stack? I can't handle this. response:	Ah, fine. I'll take care of the rest, so consolidate the pile.
context: Don't be such a sissy!\Yukimura, I told you that today's the due date of the School Festival's report, right?\Yes! But Prez, there are far too many documents for us to handle.\There are lots of classes and clubs that submit at the last minute.\A new stack? I can't handle this.\Ah, fine. I'll take care of the rest, so consolidate the pile. response:	Prez!
context: Don't be such a sissy!\Yukimura, I told you that today's the due date of the School Festival's report, right?\Yes! But Prez, there are far too many documents for us to handle.\There are lots of classes and clubs that submit at the last minute.\A new stack? I can't handle this.\Ah, fine. I'll take care of the rest, so consolidate the pile.\Prez! response:	Calm down.
context: Don't be such a sissy!\Yukimura, I told you that today's the due date of the School Festival's report, right?\Yes! But Prez, there are far too many documents for us to handle.\There are lots of classes and clubs that submit at the last minute.\A new stack? I can't handle this.\Ah, fine. I'll take care of the rest, so consolidate the pile.\Prez!\Calm down. response:	Come on, I can't see it.
context: Yukimura, I told you that today's the due date of the School Festival's report, right?\Yes! But Prez, there are far too many documents for us to handle.\There are lots of classes and clubs that submit at the last minute.\A new stack? I can't handle this.\Ah, fine. I'll take care of the rest, so consolidate the pile.\Prez!\Calm down.\Come on, I can't see it. response:	Don't push.
context: Yes! But Prez, there are far too many documents for us to handle.\There are lots of classes and clubs that submit at the last minute.\A new stack? I can't handle this.\Ah, fine. I'll take care of the rest, so consolidate the pile.\Prez!\Calm down.\Come on, I can't see it.\Don't push. response:	Wow, that's erotic.
context: There are lots of classes and clubs that submit at the last minute.\A new stack? I can't handle this.\Ah, fine. I'll take care of the rest, so consolidate the pile.\Prez!\Calm down.\Come on, I can't see it.\Don't push.\Wow, that's erotic. response:	What a rack.
