context: Wars had ravaged the land for years. response:	The soil was soaked with blood.
context: Wars had ravaged the land for years.\The soil was soaked with blood. response:	The wailings of the bloody survivors could be heard throughout the land.
context: Wars had ravaged the land for years.\The soil was soaked with blood.\The wailings of the bloody survivors could be heard throughout the land. response:	Just kill me, now!
context: Wars had ravaged the land for years.\The soil was soaked with blood.\The wailings of the bloody survivors could be heard throughout the land.\Just kill me, now! response:	Let those who live to rebel take this as a warning.
context: Wars had ravaged the land for years.\The soil was soaked with blood.\The wailings of the bloody survivors could be heard throughout the land.\Just kill me, now!\Let those who live to rebel take this as a warning. response:	No dear, no!
context: Wars had ravaged the land for years.\The soil was soaked with blood.\The wailings of the bloody survivors could be heard throughout the land.\Just kill me, now!\Let those who live to rebel take this as a warning.\No dear, no! response:	Hang that up there too.
context: Wars had ravaged the land for years.\The soil was soaked with blood.\The wailings of the bloody survivors could be heard throughout the land.\Just kill me, now!\Let those who live to rebel take this as a warning.\No dear, no!\Hang that up there too. response:	Party is over
context: Wars had ravaged the land for years.\The soil was soaked with blood.\The wailings of the bloody survivors could be heard throughout the land.\Just kill me, now!\Let those who live to rebel take this as a warning.\No dear, no!\Hang that up there too.\Party is over response:	But I still wanna dance
context: The soil was soaked with blood.\The wailings of the bloody survivors could be heard throughout the land.\Just kill me, now!\Let those who live to rebel take this as a warning.\No dear, no!\Hang that up there too.\Party is over\But I still wanna dance response:	I can't even sleep
context: The wailings of the bloody survivors could be heard throughout the land.\Just kill me, now!\Let those who live to rebel take this as a warning.\No dear, no!\Hang that up there too.\Party is over\But I still wanna dance\I can't even sleep response:	Someday, one day my passion's fire will
context: Just kill me, now!\Let those who live to rebel take this as a warning.\No dear, no!\Hang that up there too.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will response:	From the beginning I knew
context: Let those who live to rebel take this as a warning.\No dear, no!\Hang that up there too.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew response:	One day the flames would die out
context: No dear, no!\Hang that up there too.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out response:	Hey, I thought I didn't need anything
context: Hang that up there too.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	3 The story of Jukai
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\3 The story of Jukai response:	Hey, Kaname.
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\3 The story of Jukai\Hey, Kaname. response:	Hello.
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\3 The story of Jukai\Hey, Kaname.\Hello. response:	This is for Doc.
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\3 The story of Jukai\Hey, Kaname.\Hello.\This is for Doc. response:	Thank you!
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\3 The story of Jukai\Hey, Kaname.\Hello.\This is for Doc.\Thank you! response:	It's nothing compared to what he did for us.
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\3 The story of Jukai\Hey, Kaname.\Hello.\This is for Doc.\Thank you!\It's nothing compared to what he did for us. response:	Thanks to him, my son can run around again.
context: Light it up, baby. I'm gonna burn it up, yeah\3 The story of Jukai\Hey, Kaname.\Hello.\This is for Doc.\Thank you!\It's nothing compared to what he did for us.\Thanks to him, my son can run around again. response:	This world isn't such a bad place with a man like him around.
context: 3 The story of Jukai\Hey, Kaname.\Hello.\This is for Doc.\Thank you!\It's nothing compared to what he did for us.\Thanks to him, my son can run around again.\This world isn't such a bad place with a man like him around. response:	Damn right.
context: Hey, Kaname.\Hello.\This is for Doc.\Thank you!\It's nothing compared to what he did for us.\Thanks to him, my son can run around again.\This world isn't such a bad place with a man like him around.\Damn right. response:	You can move it with your shoulder muscles.
context: Hello.\This is for Doc.\Thank you!\It's nothing compared to what he did for us.\Thanks to him, my son can run around again.\This world isn't such a bad place with a man like him around.\Damn right.\You can move it with your shoulder muscles. response:	All you'll need is a little practice.
context: This is for Doc.\Thank you!\It's nothing compared to what he did for us.\Thanks to him, my son can run around again.\This world isn't such a bad place with a man like him around.\Damn right.\You can move it with your shoulder muscles.\All you'll need is a little practice. response:	I have an arm!
context: Thank you!\It's nothing compared to what he did for us.\Thanks to him, my son can run around again.\This world isn't such a bad place with a man like him around.\Damn right.\You can move it with your shoulder muscles.\All you'll need is a little practice.\I have an arm! response:	I'm so happy for you, dear.
context: It's nothing compared to what he did for us.\Thanks to him, my son can run around again.\This world isn't such a bad place with a man like him around.\Damn right.\You can move it with your shoulder muscles.\All you'll need is a little practice.\I have an arm!\I'm so happy for you, dear. response:	You're really letting me have this for free?
