context: Can't something fun happen for once? response:	Every single day bores me to death.
context: Can't something fun happen for once?\Every single day bores me to death. response:	Words, huh? That's all you've been about these days.
context: Can't something fun happen for once?\Every single day bores me to death.\Words, huh? That's all you've been about these days. response:	The Shiny Rod will lead me to the Words!
context: Can't something fun happen for once?\Every single day bores me to death.\Words, huh? That's all you've been about these days.\The Shiny Rod will lead me to the Words! response:	When can I expect the materials I requested of you?
context: Can't something fun happen for once?\Every single day bores me to death.\Words, huh? That's all you've been about these days.\The Shiny Rod will lead me to the Words!\When can I expect the materials I requested of you? response:	She said Cavendish, right? I wonder if something happened to Diana.
context: Can't something fun happen for once?\Every single day bores me to death.\Words, huh? That's all you've been about these days.\The Shiny Rod will lead me to the Words!\When can I expect the materials I requested of you?\She said Cavendish, right? I wonder if something happened to Diana. response:	Cavendish? I wonder if something happened to Diana.
context: Can't something fun happen for once?\Every single day bores me to death.\Words, huh? That's all you've been about these days.\The Shiny Rod will lead me to the Words!\When can I expect the materials I requested of you?\She said Cavendish, right? I wonder if something happened to Diana.\Cavendish? I wonder if something happened to Diana. response:	I was at the club the other night, and I heard that the legendary Holy Grail is at Brightonberry.
context: Can't something fun happen for once?\Every single day bores me to death.\Words, huh? That's all you've been about these days.\The Shiny Rod will lead me to the Words!\When can I expect the materials I requested of you?\She said Cavendish, right? I wonder if something happened to Diana.\Cavendish? I wonder if something happened to Diana.\I was at the club the other night, and I heard that the legendary Holy Grail is at Brightonberry. response:	I remember Appleton Academy...
context: Every single day bores me to death.\Words, huh? That's all you've been about these days.\The Shiny Rod will lead me to the Words!\When can I expect the materials I requested of you?\She said Cavendish, right? I wonder if something happened to Diana.\Cavendish? I wonder if something happened to Diana.\I was at the club the other night, and I heard that the legendary Holy Grail is at Brightonberry.\I remember Appleton Academy... response:	It's a famous school bearing more than one thousand years of history.
context: Words, huh? That's all you've been about these days.\The Shiny Rod will lead me to the Words!\When can I expect the materials I requested of you?\She said Cavendish, right? I wonder if something happened to Diana.\Cavendish? I wonder if something happened to Diana.\I was at the club the other night, and I heard that the legendary Holy Grail is at Brightonberry.\I remember Appleton Academy...\It's a famous school bearing more than one thousand years of history. response:	What surprised me more is that you're looking for the Words.
context: The Shiny Rod will lead me to the Words!\When can I expect the materials I requested of you?\She said Cavendish, right? I wonder if something happened to Diana.\Cavendish? I wonder if something happened to Diana.\I was at the club the other night, and I heard that the legendary Holy Grail is at Brightonberry.\I remember Appleton Academy...\It's a famous school bearing more than one thousand years of history.\What surprised me more is that you're looking for the Words. response:	Unfortunately, researchers of modern magic aren't prone to know much about ancient magic.
context: When can I expect the materials I requested of you?\She said Cavendish, right? I wonder if something happened to Diana.\Cavendish? I wonder if something happened to Diana.\I was at the club the other night, and I heard that the legendary Holy Grail is at Brightonberry.\I remember Appleton Academy...\It's a famous school bearing more than one thousand years of history.\What surprised me more is that you're looking for the Words.\Unfortunately, researchers of modern magic aren't prone to know much about ancient magic. response:	But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared...
context: She said Cavendish, right? I wonder if something happened to Diana.\Cavendish? I wonder if something happened to Diana.\I was at the club the other night, and I heard that the legendary Holy Grail is at Brightonberry.\I remember Appleton Academy...\It's a famous school bearing more than one thousand years of history.\What surprised me more is that you're looking for the Words.\Unfortunately, researchers of modern magic aren't prone to know much about ancient magic.\But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared... response:	Appleton is famous for its hatred of witches.
context: Cavendish? I wonder if something happened to Diana.\I was at the club the other night, and I heard that the legendary Holy Grail is at Brightonberry.\I remember Appleton Academy...\It's a famous school bearing more than one thousand years of history.\What surprised me more is that you're looking for the Words.\Unfortunately, researchers of modern magic aren't prone to know much about ancient magic.\But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared...\Appleton is famous for its hatred of witches. response:	That's some crazy stuff...
context: I was at the club the other night, and I heard that the legendary Holy Grail is at Brightonberry.\I remember Appleton Academy...\It's a famous school bearing more than one thousand years of history.\What surprised me more is that you're looking for the Words.\Unfortunately, researchers of modern magic aren't prone to know much about ancient magic.\But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared...\Appleton is famous for its hatred of witches.\That's some crazy stuff... response:	Damn, girl...
context: I remember Appleton Academy...\It's a famous school bearing more than one thousand years of history.\What surprised me more is that you're looking for the Words.\Unfortunately, researchers of modern magic aren't prone to know much about ancient magic.\But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared...\Appleton is famous for its hatred of witches.\That's some crazy stuff...\Damn, girl... response:	So this is that famous, age-old school?
context: It's a famous school bearing more than one thousand years of history.\What surprised me more is that you're looking for the Words.\Unfortunately, researchers of modern magic aren't prone to know much about ancient magic.\But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared...\Appleton is famous for its hatred of witches.\That's some crazy stuff...\Damn, girl...\So this is that famous, age-old school? response:	This is that famous school steeped in tradition?
context: What surprised me more is that you're looking for the Words.\Unfortunately, researchers of modern magic aren't prone to know much about ancient magic.\But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared...\Appleton is famous for its hatred of witches.\That's some crazy stuff...\Damn, girl...\So this is that famous, age-old school?\This is that famous school steeped in tradition? response:	Metamorphie Westes!
context: Unfortunately, researchers of modern magic aren't prone to know much about ancient magic.\But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared...\Appleton is famous for its hatred of witches.\That's some crazy stuff...\Damn, girl...\So this is that famous, age-old school?\This is that famous school steeped in tradition?\Metamorphie Westes! response:	I'll take the hit for us and get myself expelled. That's all there is to it.
context: But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared...\Appleton is famous for its hatred of witches.\That's some crazy stuff...\Damn, girl...\So this is that famous, age-old school?\This is that famous school steeped in tradition?\Metamorphie Westes!\I'll take the hit for us and get myself expelled. That's all there is to it. response:	I'll take the hit for us and get expelled. That's all there is to it.
context: Appleton is famous for its hatred of witches.\That's some crazy stuff...\Damn, girl...\So this is that famous, age-old school?\This is that famous school steeped in tradition?\Metamorphie Westes!\I'll take the hit for us and get myself expelled. That's all there is to it.\I'll take the hit for us and get expelled. That's all there is to it. response:	Here.
context: That's some crazy stuff...\Damn, girl...\So this is that famous, age-old school?\This is that famous school steeped in tradition?\Metamorphie Westes!\I'll take the hit for us and get myself expelled. That's all there is to it.\I'll take the hit for us and get expelled. That's all there is to it.\Here. response:	Who do those country's supporters think they are? We'll suppress you in every direct confrontation.
context: Damn, girl...\So this is that famous, age-old school?\This is that famous school steeped in tradition?\Metamorphie Westes!\I'll take the hit for us and get myself expelled. That's all there is to it.\I'll take the hit for us and get expelled. That's all there is to it.\Here.\Who do those country's supporters think they are? We'll suppress you in every direct confrontation. response:	Our dignity will be put on the line with tonight's kickoff.
context: So this is that famous, age-old school?\This is that famous school steeped in tradition?\Metamorphie Westes!\I'll take the hit for us and get myself expelled. That's all there is to it.\I'll take the hit for us and get expelled. That's all there is to it.\Here.\Who do those country's supporters think they are? We'll suppress you in every direct confrontation.\Our dignity will be put on the line with tonight's kickoff. response:	I'm always saying that our Prime Minister is weak.
context: This is that famous school steeped in tradition?\Metamorphie Westes!\I'll take the hit for us and get myself expelled. That's all there is to it.\I'll take the hit for us and get expelled. That's all there is to it.\Here.\Who do those country's supporters think they are? We'll suppress you in every direct confrontation.\Our dignity will be put on the line with tonight's kickoff.\I'm always saying that our Prime Minister is weak. response:	Compromise? What our country truly needs is...
context: Metamorphie Westes!\I'll take the hit for us and get myself expelled. That's all there is to it.\I'll take the hit for us and get expelled. That's all there is to it.\Here.\Who do those country's supporters think they are? We'll suppress you in every direct confrontation.\Our dignity will be put on the line with tonight's kickoff.\I'm always saying that our Prime Minister is weak.\Compromise? What our country truly needs is... response:	Is that how a Louis Blackwell is spoken to?
context: I'll take the hit for us and get myself expelled. That's all there is to it.\I'll take the hit for us and get expelled. That's all there is to it.\Here.\Who do those country's supporters think they are? We'll suppress you in every direct confrontation.\Our dignity will be put on the line with tonight's kickoff.\I'm always saying that our Prime Minister is weak.\Compromise? What our country truly needs is...\Is that how a Louis Blackwell is spoken to? response:	Is that how you speak to me knowing I'm Louis Blackwell?
context: I'll take the hit for us and get expelled. That's all there is to it.\Here.\Who do those country's supporters think they are? We'll suppress you in every direct confrontation.\Our dignity will be put on the line with tonight's kickoff.\I'm always saying that our Prime Minister is weak.\Compromise? What our country truly needs is...\Is that how a Louis Blackwell is spoken to?\Is that how you speak to me knowing I'm Louis Blackwell? response:	Like hell I know you!
context: Here.\Who do those country's supporters think they are? We'll suppress you in every direct confrontation.\Our dignity will be put on the line with tonight's kickoff.\I'm always saying that our Prime Minister is weak.\Compromise? What our country truly needs is...\Is that how a Louis Blackwell is spoken to?\Is that how you speak to me knowing I'm Louis Blackwell?\Like hell I know you! response:	Well, that's a surprise.
context: Who do those country's supporters think they are? We'll suppress you in every direct confrontation.\Our dignity will be put on the line with tonight's kickoff.\I'm always saying that our Prime Minister is weak.\Compromise? What our country truly needs is...\Is that how a Louis Blackwell is spoken to?\Is that how you speak to me knowing I'm Louis Blackwell?\Like hell I know you!\Well, that's a surprise. response:	I never expected to meet a student who didn't show proper respect to a Blackwell.
context: Our dignity will be put on the line with tonight's kickoff.\I'm always saying that our Prime Minister is weak.\Compromise? What our country truly needs is...\Is that how a Louis Blackwell is spoken to?\Is that how you speak to me knowing I'm Louis Blackwell?\Like hell I know you!\Well, that's a surprise.\I never expected to meet a student who didn't show proper respect to a Blackwell. response:	Why you!
context: I'm always saying that our Prime Minister is weak.\Compromise? What our country truly needs is...\Is that how a Louis Blackwell is spoken to?\Is that how you speak to me knowing I'm Louis Blackwell?\Like hell I know you!\Well, that's a surprise.\I never expected to meet a student who didn't show proper respect to a Blackwell.\Why you! response:	Amanda, chill out!
context: Compromise? What our country truly needs is...\Is that how a Louis Blackwell is spoken to?\Is that how you speak to me knowing I'm Louis Blackwell?\Like hell I know you!\Well, that's a surprise.\I never expected to meet a student who didn't show proper respect to a Blackwell.\Why you!\Amanda, chill out! response:	I thought we eradicated them with the familiar exterminator!
context: Is that how a Louis Blackwell is spoken to?\Is that how you speak to me knowing I'm Louis Blackwell?\Like hell I know you!\Well, that's a surprise.\I never expected to meet a student who didn't show proper respect to a Blackwell.\Why you!\Amanda, chill out!\I thought we eradicated them with the familiar exterminator! response:	Rats are witches familiars! Their underlings!
context: Is that how you speak to me knowing I'm Louis Blackwell?\Like hell I know you!\Well, that's a surprise.\I never expected to meet a student who didn't show proper respect to a Blackwell.\Why you!\Amanda, chill out!\I thought we eradicated them with the familiar exterminator!\Rats are witches familiars! Their underlings! response:	We had them all eliminated in order to prevent the witches from deceiving and corrupting our holy place of learning!
context: Like hell I know you!\Well, that's a surprise.\I never expected to meet a student who didn't show proper respect to a Blackwell.\Why you!\Amanda, chill out!\I thought we eradicated them with the familiar exterminator!\Rats are witches familiars! Their underlings!\We had them all eliminated in order to prevent the witches from deceiving and corrupting our holy place of learning! response:	We eliminated them all to prevent the witches from deceiving and corrupting our holy place of learning!
context: Well, that's a surprise.\I never expected to meet a student who didn't show proper respect to a Blackwell.\Why you!\Amanda, chill out!\I thought we eradicated them with the familiar exterminator!\Rats are witches familiars! Their underlings!\We had them all eliminated in order to prevent the witches from deceiving and corrupting our holy place of learning!\We eliminated them all to prevent the witches from deceiving and corrupting our holy place of learning! response:	You think I'd really say Yes, of course and do whatever you want?
context: I never expected to meet a student who didn't show proper respect to a Blackwell.\Why you!\Amanda, chill out!\I thought we eradicated them with the familiar exterminator!\Rats are witches familiars! Their underlings!\We had them all eliminated in order to prevent the witches from deceiving and corrupting our holy place of learning!\We eliminated them all to prevent the witches from deceiving and corrupting our holy place of learning!\You think I'd really say Yes, of course and do whatever you want? response:	This is a normal rat that would get hunted by a fox if you threw it in a field.
context: Why you!\Amanda, chill out!\I thought we eradicated them with the familiar exterminator!\Rats are witches familiars! Their underlings!\We had them all eliminated in order to prevent the witches from deceiving and corrupting our holy place of learning!\We eliminated them all to prevent the witches from deceiving and corrupting our holy place of learning!\You think I'd really say Yes, of course and do whatever you want?\This is a normal rat that would get hunted by a fox if you threw it in a field. response:	You don't have a problem with that, I presume?
context: Amanda, chill out!\I thought we eradicated them with the familiar exterminator!\Rats are witches familiars! Their underlings!\We had them all eliminated in order to prevent the witches from deceiving and corrupting our holy place of learning!\We eliminated them all to prevent the witches from deceiving and corrupting our holy place of learning!\You think I'd really say Yes, of course and do whatever you want?\This is a normal rat that would get hunted by a fox if you threw it in a field.\You don't have a problem with that, I presume? response:	Do you have a problem with that?
context: I thought we eradicated them with the familiar exterminator!\Rats are witches familiars! Their underlings!\We had them all eliminated in order to prevent the witches from deceiving and corrupting our holy place of learning!\We eliminated them all to prevent the witches from deceiving and corrupting our holy place of learning!\You think I'd really say Yes, of course and do whatever you want?\This is a normal rat that would get hunted by a fox if you threw it in a field.\You don't have a problem with that, I presume?\Do you have a problem with that? response:	To what do we owe the honor of witches?
context: Rats are witches familiars! Their underlings!\We had them all eliminated in order to prevent the witches from deceiving and corrupting our holy place of learning!\We eliminated them all to prevent the witches from deceiving and corrupting our holy place of learning!\You think I'd really say Yes, of course and do whatever you want?\This is a normal rat that would get hunted by a fox if you threw it in a field.\You don't have a problem with that, I presume?\Do you have a problem with that?\To what do we owe the honor of witches? response:	How would I be able to look for the Words then?
context: We had them all eliminated in order to prevent the witches from deceiving and corrupting our holy place of learning!\We eliminated them all to prevent the witches from deceiving and corrupting our holy place of learning!\You think I'd really say Yes, of course and do whatever you want?\This is a normal rat that would get hunted by a fox if you threw it in a field.\You don't have a problem with that, I presume?\Do you have a problem with that?\To what do we owe the honor of witches?\How would I be able to look for the Words then? response:	Obviously! Everything is to become a witch who can give people dreams like she did.
context: We eliminated them all to prevent the witches from deceiving and corrupting our holy place of learning!\You think I'd really say Yes, of course and do whatever you want?\This is a normal rat that would get hunted by a fox if you threw it in a field.\You don't have a problem with that, I presume?\Do you have a problem with that?\To what do we owe the honor of witches?\How would I be able to look for the Words then?\Obviously! Everything is to become a witch who can give people dreams like she did. response:	S-Sure, nobody may want me to do it...
context: You think I'd really say Yes, of course and do whatever you want?\This is a normal rat that would get hunted by a fox if you threw it in a field.\You don't have a problem with that, I presume?\Do you have a problem with that?\To what do we owe the honor of witches?\How would I be able to look for the Words then?\Obviously! Everything is to become a witch who can give people dreams like she did.\S-Sure, nobody may want me to do it... response:	I cannot understand why you go to such lengths when nobody has asked you to.
context: This is a normal rat that would get hunted by a fox if you threw it in a field.\You don't have a problem with that, I presume?\Do you have a problem with that?\To what do we owe the honor of witches?\How would I be able to look for the Words then?\Obviously! Everything is to become a witch who can give people dreams like she did.\S-Sure, nobody may want me to do it...\I cannot understand why you go to such lengths when nobody has asked you to. response:	Life is not about my wants.
context: You don't have a problem with that, I presume?\Do you have a problem with that?\To what do we owe the honor of witches?\How would I be able to look for the Words then?\Obviously! Everything is to become a witch who can give people dreams like she did.\S-Sure, nobody may want me to do it...\I cannot understand why you go to such lengths when nobody has asked you to.\Life is not about my wants. response:	The things I must do have been decided.
context: Do you have a problem with that?\To what do we owe the honor of witches?\How would I be able to look for the Words then?\Obviously! Everything is to become a witch who can give people dreams like she did.\S-Sure, nobody may want me to do it...\I cannot understand why you go to such lengths when nobody has asked you to.\Life is not about my wants.\The things I must do have been decided. response:	No matter how much I fail or lose heart, it's something I decided for myself.
context: To what do we owe the honor of witches?\How would I be able to look for the Words then?\Obviously! Everything is to become a witch who can give people dreams like she did.\S-Sure, nobody may want me to do it...\I cannot understand why you go to such lengths when nobody has asked you to.\Life is not about my wants.\The things I must do have been decided.\No matter how much I fail or lose heart, it's something I decided for myself. response:	I'll become someone who can make everyone laugh and fill their hearts with excitement like Chariot!
context: How would I be able to look for the Words then?\Obviously! Everything is to become a witch who can give people dreams like she did.\S-Sure, nobody may want me to do it...\I cannot understand why you go to such lengths when nobody has asked you to.\Life is not about my wants.\The things I must do have been decided.\No matter how much I fail or lose heart, it's something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement like Chariot! response:	What if you're unable to fulfill your dream?
context: Obviously! Everything is to become a witch who can give people dreams like she did.\S-Sure, nobody may want me to do it...\I cannot understand why you go to such lengths when nobody has asked you to.\Life is not about my wants.\The things I must do have been decided.\No matter how much I fail or lose heart, it's something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement like Chariot!\What if you're unable to fulfill your dream? response:	I'll fulfill it!
context: S-Sure, nobody may want me to do it...\I cannot understand why you go to such lengths when nobody has asked you to.\Life is not about my wants.\The things I must do have been decided.\No matter how much I fail or lose heart, it's something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement like Chariot!\What if you're unable to fulfill your dream?\I'll fulfill it! response:	And I won't give up before I fulfill it!
context: I cannot understand why you go to such lengths when nobody has asked you to.\Life is not about my wants.\The things I must do have been decided.\No matter how much I fail or lose heart, it's something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement like Chariot!\What if you're unable to fulfill your dream?\I'll fulfill it!\And I won't give up before I fulfill it! response:	So if I could ask a favor of you...
context: Life is not about my wants.\The things I must do have been decided.\No matter how much I fail or lose heart, it's something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement like Chariot!\What if you're unable to fulfill your dream?\I'll fulfill it!\And I won't give up before I fulfill it!\So if I could ask a favor of you... response:	What good would it do to sow the seeds of disorder in a troublemaker...
