context: I'm sorry. response:	Senpai, what is this?
context: I'm sorry.\Senpai, what is this? response:	What's this all about?
context: I'm sorry.\Senpai, what is this?\What's this all about? response:	What happened?
context: I'm sorry.\Senpai, what is this?\What's this all about?\What happened? response:	And are you okay?
context: I'm sorry.\Senpai, what is this?\What's this all about?\What happened?\And are you okay? response:	It's all my fault...
context: I'm sorry.\Senpai, what is this?\What's this all about?\What happened?\And are you okay?\It's all my fault... response:	Hey, where are you guys?
context: I'm sorry.\Senpai, what is this?\What's this all about?\What happened?\And are you okay?\It's all my fault...\Hey, where are you guys? response:	Nee-chan?
context: I'm sorry.\Senpai, what is this?\What's this all about?\What happened?\And are you okay?\It's all my fault...\Hey, where are you guys?\Nee-chan? response:	Where'd everyone go?
context: Senpai, what is this?\What's this all about?\What happened?\And are you okay?\It's all my fault...\Hey, where are you guys?\Nee-chan?\Where'd everyone go? response:	What is this?
context: What's this all about?\What happened?\And are you okay?\It's all my fault...\Hey, where are you guys?\Nee-chan?\Where'd everyone go?\What is this? response:	What's going on?
context: What happened?\And are you okay?\It's all my fault...\Hey, where are you guys?\Nee-chan?\Where'd everyone go?\What is this?\What's going on? response:	This is...
context: And are you okay?\It's all my fault...\Hey, where are you guys?\Nee-chan?\Where'd everyone go?\What is this?\What's going on?\This is... response:	This is where...
context: It's all my fault...\Hey, where are you guys?\Nee-chan?\Where'd everyone go?\What is this?\What's going on?\This is...\This is where... response:	That's right.
context: Hey, where are you guys?\Nee-chan?\Where'd everyone go?\What is this?\What's going on?\This is...\This is where...\That's right. response:	Ta-Takatsuki-senpai?
context: Nee-chan?\Where'd everyone go?\What is this?\What's going on?\This is...\This is where...\That's right.\Ta-Takatsuki-senpai? response:	I'm...
context: Where'd everyone go?\What is this?\What's going on?\This is...\This is where...\That's right.\Ta-Takatsuki-senpai?\I'm... response:	That's right.
context: What is this?\What's going on?\This is...\This is where...\That's right.\Ta-Takatsuki-senpai?\I'm...\That's right. response:	I knew this.
context: What's going on?\This is...\This is where...\That's right.\Ta-Takatsuki-senpai?\I'm...\That's right.\I knew this. response:	That's why...
context: This is...\This is where...\That's right.\Ta-Takatsuki-senpai?\I'm...\That's right.\I knew this.\That's why... response:	I'm not surprised.
context: This is where...\That's right.\Ta-Takatsuki-senpai?\I'm...\That's right.\I knew this.\That's why...\I'm not surprised. response:	This is kind of... sci-fi.
context: That's right.\Ta-Takatsuki-senpai?\I'm...\That's right.\I knew this.\That's why...\I'm not surprised.\This is kind of... sci-fi. response:	Yeah.
context: Ta-Takatsuki-senpai?\I'm...\That's right.\I knew this.\That's why...\I'm not surprised.\This is kind of... sci-fi.\Yeah. response:	It doesn't work?
context: I'm...\That's right.\I knew this.\That's why...\I'm not surprised.\This is kind of... sci-fi.\Yeah.\It doesn't work? response:	I got into an accident on my way to this planet.
context: That's right.\I knew this.\That's why...\I'm not surprised.\This is kind of... sci-fi.\Yeah.\It doesn't work?\I got into an accident on my way to this planet. response:	It can't fly now.
context: I knew this.\That's why...\I'm not surprised.\This is kind of... sci-fi.\Yeah.\It doesn't work?\I got into an accident on my way to this planet.\It can't fly now. response:	And there's a problem with the system.
