context: Something Given (Part 1) response:	December.
context: Something Given (Part 1)\December. response:	When Christmas was approaching,
context: Something Given (Part 1)\December.\When Christmas was approaching, response:	I got another call from my foster sister, Kyouko.
context: Something Given (Part 1)\December.\When Christmas was approaching,\I got another call from my foster sister, Kyouko. response:	You forgot something? A watch?
context: Something Given (Part 1)\December.\When Christmas was approaching,\I got another call from my foster sister, Kyouko.\You forgot something? A watch? response:	Here it is.
context: Something Given (Part 1)\December.\When Christmas was approaching,\I got another call from my foster sister, Kyouko.\You forgot something? A watch?\Here it is. response:	Thank goodness. Gotou just gave it to me.
context: Something Given (Part 1)\December.\When Christmas was approaching,\I got another call from my foster sister, Kyouko.\You forgot something? A watch?\Here it is.\Thank goodness. Gotou just gave it to me. response:	He gets mad if I don't wear it.
context: Something Given (Part 1)\December.\When Christmas was approaching,\I got another call from my foster sister, Kyouko.\You forgot something? A watch?\Here it is.\Thank goodness. Gotou just gave it to me.\He gets mad if I don't wear it. response:	Hey, I might have gotten a cold.
context: December.\When Christmas was approaching,\I got another call from my foster sister, Kyouko.\You forgot something? A watch?\Here it is.\Thank goodness. Gotou just gave it to me.\He gets mad if I don't wear it.\Hey, I might have gotten a cold. response:	And it's your fault!
context: When Christmas was approaching,\I got another call from my foster sister, Kyouko.\You forgot something? A watch?\Here it is.\Thank goodness. Gotou just gave it to me.\He gets mad if I don't wear it.\Hey, I might have gotten a cold.\And it's your fault! response:	I told you to wait at the Mec in front of the station.
context: I got another call from my foster sister, Kyouko.\You forgot something? A watch?\Here it is.\Thank goodness. Gotou just gave it to me.\He gets mad if I don't wear it.\Hey, I might have gotten a cold.\And it's your fault!\I told you to wait at the Mec in front of the station. response:	Forget it, that place is way too noisy.
context: You forgot something? A watch?\Here it is.\Thank goodness. Gotou just gave it to me.\He gets mad if I don't wear it.\Hey, I might have gotten a cold.\And it's your fault!\I told you to wait at the Mec in front of the station.\Forget it, that place is way too noisy. response:	Why couldn't I have gone to your place?
context: Here it is.\Thank goodness. Gotou just gave it to me.\He gets mad if I don't wear it.\Hey, I might have gotten a cold.\And it's your fault!\I told you to wait at the Mec in front of the station.\Forget it, that place is way too noisy.\Why couldn't I have gone to your place? response:	Why?
context: Thank goodness. Gotou just gave it to me.\He gets mad if I don't wear it.\Hey, I might have gotten a cold.\And it's your fault!\I told you to wait at the Mec in front of the station.\Forget it, that place is way too noisy.\Why couldn't I have gone to your place?\Why? response:	How about I guess what you were just thinking? Rei...
context: He gets mad if I don't wear it.\Hey, I might have gotten a cold.\And it's your fault!\I told you to wait at the Mec in front of the station.\Forget it, that place is way too noisy.\Why couldn't I have gone to your place?\Why?\How about I guess what you were just thinking? Rei... response:	I'm just joking. You look so scary.
context: Hey, I might have gotten a cold.\And it's your fault!\I told you to wait at the Mec in front of the station.\Forget it, that place is way too noisy.\Why couldn't I have gone to your place?\Why?\How about I guess what you were just thinking? Rei...\I'm just joking. You look so scary. response:	Hey, what are you doing for New Year's?
context: And it's your fault!\I told you to wait at the Mec in front of the station.\Forget it, that place is way too noisy.\Why couldn't I have gone to your place?\Why?\How about I guess what you were just thinking? Rei...\I'm just joking. You look so scary.\Hey, what are you doing for New Year's? response:	You're coming home, right?
context: I told you to wait at the Mec in front of the station.\Forget it, that place is way too noisy.\Why couldn't I have gone to your place?\Why?\How about I guess what you were just thinking? Rei...\I'm just joking. You look so scary.\Hey, what are you doing for New Year's?\You're coming home, right? response:	No. I have a lot of matches coming up,
context: Forget it, that place is way too noisy.\Why couldn't I have gone to your place?\Why?\How about I guess what you were just thinking? Rei...\I'm just joking. You look so scary.\Hey, what are you doing for New Year's?\You're coming home, right?\No. I have a lot of matches coming up, response:	so I need to focus on practicing.
